Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S34S1V01,S34S1V02,S34S1V03,S34S1V04,S34S1V05,S34S1V06,S34S1V07,S34S1V08,S34S2V01,S34S2V02,S34S2V03,S34S2V04,S34S2V05,S34S2V06,S34S2V07,S34S2V08,S34S2V09,S34S2V10,S34S2V11,S34S2V12,S34S2V13,S34S2V14,S34S2V15,S34S2V16,S34S2V17,S34S2V18,S34S2V19,S34S2V20,S34S2V21,S34S2V22,S34S2V23,S34S2V24,S34S2V25,S34S2V26,S34S2V27,S34S2V28,S34S2V29,S34S2V30,S34S2V31,S34S2V32,S34S2V33,S34S2V34,S34S2V35,S34S2V36,S34S2V37,S34S2V38,S34S2V39,S34S2V40,S34S2V41,S34S2V42,S34S2V43,S34S2V44,S34S2V45,S34S2V46,S34S3V01,S34S3V02,S34S3V03,S34S3V04,S34S3V05,S34S3V06,S34S3V07,S34S3V08,S34S3V09,S34S3V10,S34S3V11,S34S3V12,S34S3V13,S34S3V14,S34S3V15,S34S3V16,S34S3V17,S34S3V18,S34S3V19,S34S3V20,S34S3V21,S34S3V22,S34S3V23,S34S3V24,S34S3V25,S34S3V26,S34S3V27,S34S3V28,S34S3V29,S34S3V30,S34S3V31,S34S3V32,S34S3V33,S34S3V34,S34S3V35,S34S3V36,S34S3V37,S34S3V38,S34S3V39,S34S3V40,S34S3V41,S34S3V42,S34S3V43,S34S3V44,S34S3V45,S34S3V46,S34S3V47,S34S3V48,S34S3V49,S34S3V50,S34S3V51,S34S3V52,S34S3V53,S34S3V54,S34S3V55,S34S3V56,S34S3V57,S34S3V58,S34S3V59,S34S3V60,S34S3V61,S34S3V62,S34S3V63,S34S3V64,S34S3V65,S34S3V66,S34S3V67,S34S3V68,S34S3V69,S34S3V70,S34S3V71,S34S3V72,S34S3V73,S34S3V74,S34S3V75,S34S3V76,S34S3V77
"Lang, Daniel Aiken",Independent,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),1,9,1,9,9,9,9,2,9,1,2,9,9,9,9,9,9,9,1,9,1,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Argue, Hazen Robert",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1966.02.24 - 1991.10.02 ,1966.02.24 , 1991.10.02 ,(Death),8,9,1,8,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01 ,1966.02.24 , 1996.07.01 ,(Resignation),9,9,1,8,2,1,1,9,9,9,9,2,2,9,9,9,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,9,9,9,9,9,9,1,9,9,9,9,2,9,9,9,9,9,9,9,1,9,9,9,9,2,2,9,2,2,9,9,9,2,2,1,1,9,9,1,1,2,1,2,2,1,9,1,1,9,9,9,9,9,9,9,1,1,1,2,9,9,9,9,9,9,9,9,9,2,1,1,2,1,1
"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05 ,1966.02.24 , 1996.05.05 ,(Death),8,1,9,9,9,1,1,9,9,9,9,9,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,9,1,1,2,2,2,2,2,2,2,2,9,2,2,1,2,9,9,9,9,9,9,2,9,1,1,2,9,2,2,2,1,2,1,1,9,1,1,9,9,9,9,9,2,2,2,2,2,1,2,2,9,9,1,1,1,2,1,1,2,1,2,9,1,1,1,1,1,1,9,9,9,1,2,1,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"McElman, Charles Robert",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1966.02.24 - 1990.04.01 ,1966.02.24 , 1990.04.01 ,(Resignation),8,1,1,8,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Everett, Douglas Donald",Independent,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20 ,1966.11.08 , 1994.01.20 ,(Resignation),9,1,1,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,9,9,9,9,9,1,9,9,9,9,2,2,9,1,1,1,9,9,9,9,2,1,2,2,2,2,2,2,2,2,9,9,1,1,2,9,2,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,2,8,9,9,9,9,2,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,1,2,1,9,9,9,1,1,9,1,1,1,1,1,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,2,9,9,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,2,2,9,9,1,1,1,2,1,1,2,1,2,2,9,9,9,9,9,1,9,9,9,9,9,1,9,9,2,1,1,1,1,1,1,1,1,1,1,2,1,2,9,1
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),9,9,9,8,9,1,1,9,9,9,9,9,2,1,9,2,1,2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,9,1,1,9,1,1,2,2,2,2,2,2,2,2,9,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,2,9,9,9,1,2,1,1,1,1,1,1,1,1,1,2,9,9,9,9,9,9,9,9,9,9,1,1,1,2,1,1,2,1,2,9,9,9,9,9,1,9,9,9,9,9,9,1,1,9,2,1,1,1,1,1,1,1,1,1,8,9,1,2,9,1
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),8,1,1,8,2,1,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,8,2,2,2,9,2,2,1,9,2,1,2,2,2,2,1,9,9,9,9,1,1,2,9,9,9,2,1,2,1,1,1,1,1,1,1,1,1,2,9,9,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,9,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
"Bell (Heath), Ann Elizabeth Haddon",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 1989.11.29 ,1970.10.07 , 1989.11.29 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,1,9,1,1,1,1,1,9,1,1,1,1,1,1,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,1,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1,1,1,1,1,1,1,8,1,2,1,9
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),8,1,1,9,9,9,9,1,2,2,1,9,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,9,1,1,1,1,8,2,2,2,9,9,9,9,2,2,1,1,1,8,1,2,2,9,9,9,9,9,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,9,9,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,9,9,9,9,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,9
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04 ,1971.11.04 , 1998.01.04 ,(Retirement),9,1,1,8,2,1,1,1,2,2,1,2,2,1,9,9,9,9,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,2,1,9,9,9,9,1,1,2,2,9,9,2,9,9,1,9,9,1,1,1,1,1,1,2,2,9,9,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,9,9,9,1,1,9,9,9,1,2,9,9,9,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
"Buckwold, Sidney Labe",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1971.11.04 - 1991.11.03 ,1971.11.04 , 1991.11.03 ,(Retirement),8,9,1,9,2,1,1,9,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,9,9,2,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Van Roggen, George Clifford",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.11.04 - 1992.06.08 ,1971.11.04 , 1992.06.08 ,(Death),1,9,1,8,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,9,9,9,9,9,1,1,1,9,1,8,2,2,2,1,1,1,1,8,2,2,2,2,2,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),8,1,1,8,2,9,9,1,2,2,1,9,2,9,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,2,2,1,1,1,8,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,9,9,9,2,2,9,9,9,2,2,9,9,9,9,1,1,2,1,2,2,1,1,1,1,9,9,9,9,9,1,2,1,1,9,2,1,1,1,1,1,1,1,1,9,2,1,1,2,1,1
"Hicks, Henry Davies",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1990.03.05 ,1972.04.27 , 1990.03.05 ,(Retirement),9,1,1,8,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Asselin, Martial",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1990.08.07 ,1972.09.01 , 1990.08.07 ,(Resignation),1,9,2,9,9,2,9,2,1,1,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Neiman, Joan Bissett",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1995.09.09 ,1972.09.01 , 1995.09.09 ,(Retirement),8,9,9,9,9,1,1,1,2,2,1,2,2,1,9,9,9,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,2,2,2,2,2,8,2,9,9,2,1,2,2,2,9,9,9,9,9,9,9,1,2,2,2,2,2,1,2,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,1,2,1,9
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),8,1,1,8,9,1,1,9,9,9,9,2,2,1,9,9,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,8,1,8,8,8,8,1,2,9,2,2,1,2,2,9,9,9,1,9,9,9,9,9,9,9,9,9,2,1,2,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1
"Riel, Maurice",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1973.10.05 - 1997.04.03 ,1973.10.05 , 1997.04.03 ,(Retirement),9,9,9,9,9,1,9,1,2,2,1,2,9,9,9,9,1,2,1,9,1,1,9,9,1,1,1,1,1,1,1,9,9,9,9,2,9,9,9,1,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,1,2,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,2,2,2,9,1,1,1,2,1,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,1,1,1,1,1,1,9,9,9,1,8,1,2,9,9
"Robichaud, Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 2000.10.21 ,1973.12.21 , 2000.10.21 ,(Retirement),9,1,1,8,2,9,9,9,9,9,9,2,2,9,9,2,1,2,1,9,1,1,1,1,1,1,9,1,1,1,1,1,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,9,9,9,9,1,2,9,9,9,9,9,9,9,2,1,2,1,1,9,9,9,1,1,1,9,9,9,2,9,9,2,1,2,9,2,2,9,9,9,9,9,9,9,9,9,2,1,1,1,1,9,1,9,9,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,9,9,9,2,9,1
"Cottreau, Ernest G.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1989.01.28 ,1974.05.08 , 1989.01.28 ,(Retirement),8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),9,9,1,9,2,9,9,9,9,9,9,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,9,1,1,1,1,1,8,2,2,9,9,9,9,1,1,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1
"Lucier, Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23 ,1975.10.23 , 1999.07.23 ,(Death),8,9,9,9,9,9,1,9,9,9,9,2,9,9,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,9,1,1,2,2,2,2,2,2,2,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Steuart, David Gordon",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1976.12.09 - 1991.01.26 ,1976.12.09 , 1991.01.26 ,(Retirement),9,1,9,9,9,9,9,9,9,9,9,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Rizzuto, Pietro",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.23 - 1997.08.03 ,1976.12.23 , 1997.08.03 ,(Death),9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,2,1,1,1,9,1,1,1,1,9,1,1,1,9,2,2,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,9,9,9,1,9,9,9,9,9,1,9,9,2,9,2,9,9,9,9,9,9,9,1,1,1,1,2,9,2,9,9,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,2,1
"Adams, Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),8,9,9,9,2,1,9,9,9,9,9,2,2,1,9,2,1,2,1,2,1,1,9,9,1,9,1,1,1,1,1,1,8,2,2,9,1,1,1,1,1,2,2,2,2,8,2,2,2,1,9,9,9,9,4,9,9,1,1,9,2,2,9,9,2,9,9,9,9,1,2,1,9,1,1,1,1,9,9,9,9,9,9,9,2,2,1,2,2,2,2,1,9,1,2,1,1,2,1,2,2,1,1,1,1,9,9,9,9,9,1,2,1,1,1,2,1,1,1,1,1,1,1,1,9,9,9,9,9,1,9
"Bosa, Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10 ,1977.04.05 , 1998.12.10 ,(Death),8,1,9,8,2,1,1,9,2,2,1,9,9,9,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,8,8,1,8,1,8,8,8,2,9,2,2,1,2,2,2,2,9,9,9,9,9,1,1,9,2,9,9,2,1,2,9,1,1,1,1,9,1,1,1,2,2,2,2,2,2,1,2,2,2,9,1,1,9,9,1,1,2,1,2,2,1,1,9,9,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,8,9,1,2,1,1
"Frith, Royce Herbert",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1994.08.29 ,1977.04.05 , 1994.08.29 ,(Resignation),8,1,1,8,2,1,1,1,2,2,1,2,2,1,9,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,9,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,8,8,1,2,8,1
"Olson, Horace Andrew (Bud)",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1977.04.05 - 1996.03.07 ,1977.04.05 , 1996.03.07 ,(Resignation),9,1,1,8,2,1,9,1,2,2,1,2,2,1,9,2,9,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,8,2,2,9,9,9,1,1,1,2,2,2,2,2,2,2,2,9,9,9,9,9,9,2,2,1,1,1,9,9,1,1,2,9,9,9,2,1,2,1,9,9,9,9,9,1,1,1,2,9,9,2,2,9,9,9,9,9,9,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,9,9,2,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
"Anderson, Margaret Jean",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1978.03.23 - 1990.08.07 ,1978.03.23 , 1990.08.07 ,(Retirement),8,1,9,9,9,1,1,1,2,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Guay, Joseph-Phillippe",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1990.10.04 ,1978.03.23 , 1990.10.04 ,(Retirement),8,1,1,8,2,1,1,1,2,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Haidasz, Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1998.03.04 ,1978.03.23 , 1998.03.04 ,(Retirement),9,1,1,8,2,9,1,1,2,9,9,2,2,1,9,2,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,8,1,1,1,1,1,1,1,2,1,2,2,9,9,9,2,2,1,9,9,9,9,1,1,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,1,1,1,1,1,1,1,1,1,9,1,1,2,1,1
"Lewis, Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28 ,1978.03.23 , 1999.11.28 ,(Retirement),9,1,1,8,2,1,1,1,2,2,1,2,9,9,9,9,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1,8,2,2,2,1,1,1,1,1,2,8,2,2,2,2,2,2,9,2,2,1,2,9,2,2,9,9,9,9,9,1,1,2,9,9,9,2,9,9,1,1,1,9,9,9,9,9,9,9,2,2,9,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,9,9,9,1,1,9,9,9,9,9,9,9,9,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1
"Marshall, Jack",Progressive Conservative Party,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1994.11.26 ,1978.03.23 , 1994.11.26 ,(Retirement),9,2,9,9,1,9,9,9,9,9,9,1,1,9,2,1,2,1,2,1,2,2,2,9,2,2,2,2,2,2,2,2,1,1,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,9,1,2,9,9,9,9,9,9,2,1,9,9,9,9,2,1,9,2,2,2,1,1,9,9,9,9,1,1,9,1,1,2,1,1,1,1,2,2,2,1,2,2,1,2,1,1,2,2,9,9,2,9,2,1,1,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1
