Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H25S1V001,H25S1V002,H25S1V003,H25S1V004,H25S1V005,H25S1V006,H25S1V007,H25S1V008,H25S1V009,H25S1V010,H25S1V011,H25S1V012,H25S1V013,H25S1V014,H25S1V015,H25S1V016,H25S1V017
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.02.1962,10.04.1962,10.04.1962,10.09.1962,10.11.1962,10.16.1962,10.17.1962,10.17.1962,10.25.1962,11.06.1962,11.06.1962,11.29.1962,12.04.1962,12.12.1962,01.31.1963,02.05.1963,02.05.1963
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,
845,YORK EAST,Ontario,1933 - 1987,25,1962.06.18,1058,4deee6dc-295b-44ee-83b9-04cbe06ba653,"OTTO, Steve",16963,0.3741,Liberal Party of Canada,"Businessman, lawyer",,0,1,,,,,,,,,Poland,,,,2,1,1,1,2,9,9,9,9,1,1,2,9,2,2,1,1
217,ESSEX WEST,Ontario,1924 - 1966,25,1962.06.18,1062,4e3a9e68-a6fb-4e24-9458-cfe2e836c8bc,"GRAY, Herb",18152,0.4555,Liberal Party of Canada,Lawyer,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,1,2,2,1,1
177,DOLLARD,Quebec,1952 - 1987,25,1962.06.18,1063,4e3b4664-6b30-42c5-9685-4b9f9720f0f3,"ROULEAU, Guy",21802,0.5584,Liberal Party of Canada,Lawyer,,1,4,,,,,,,,,,,,,2,1,1,1,2,1,9,9,1,1,1,9,9,2,2,1,1
167,DANFORTH,Ontario,1933 - 1966,25,1962.06.18,1094,50d4b628-2609-4c79-99ff-0a8add8715e9,"SCOTT, Reid",14029,0.3504,New Democratic Party,"Judge, lawyer",,0,1,,,,,,,,,,,,,2,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1
10,ALGOMA EAST,Ontario,1903 - 1966,25,1962.06.18,1107,51c861ef-0f17-4a79-8d9b-0854fb3ef33f,"PEARSON, Lester B.",11934,0.5756,Liberal Party of Canada,Lawyer,,0,6,,,,,,,,,,,,,2,1,1,1,2,9,2,2,9,1,1,9,9,2,2,1,1
325,KENORA--RAINY RIVER,Ontario,1924 - 2003,25,1962.06.18,1112,52856d3c-42ed-4a84-9d56-17dfff0a98d5,"BENIDICKSON, William Moore",15412,0.5566,Liberal Labour Party,Barrister,,0,6,,,,,,,,,,,,,2,1,1,1,2,9,9,9,9,9,9,9,9,2,2,1,1
415,MACLEOD,Alberta,1907 - 1966,25,1962.06.18,1121,5322cf37-a057-49f9-b020-3806cf282371,"KINDT, Lawrence E.",9605,0.4584,Progressive Conservative Party,"Economist, farmer",,0,2,,,,,,,,,United States,,,,2,2,2,2,1,1,1,1,1,2,2,9,1,1,1,2,2
591,QUEENS--LUNENBURG,Nova Scotia,1952 - 1966,25,1962.06.18,1127,53582230-b17d-4b34-9398-b8e59787ba07,"CROUSE, Lloyd R.",12847,0.5369,Progressive Conservative Party,"Administrator, business executive",,0,3,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
384,LAVAL,Quebec,1947 - 1976,25,1962.06.18,1137,53c6f0b4-0865-46ce-ab3e-4e6986352f4a,"ROCHON, Jean",36248,0.4952,Liberal Party of Canada,Optometrist,,1,1,,,,,,,,,,,,,2,1,1,1,2,9,9,9,9,1,1,2,9,2,2,1,1
622,ROSETOWN--BIGGAR,Saskatchewan,1933 - 1966,25,1962.06.18,1139,5411fa73-c4bd-4f74-958e-fe0ec54caf29,"COOPER, C.O.",11720,0.5267,Progressive Conservative Party,Farmer,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
101,CALGARY NORTH,Alberta,1952 - 1996,25,1962.06.18,1145,546df72b-fbe3-4980-ad0f-abc7a4ceed2a,"HARKNESS, Douglas Scott",22446,0.4452,Progressive Conservative Party,"Farmer, teacher",,0,6,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,9,1,9,9
430,MEADOW LAKE,Saskatchewan,1947 - 1976,25,1962.06.18,1146,5477b234-7b2d-4a38-9cd9-31b2826497c8,"CADIEU, Bert",7587,0.521,Progressive Conservative Party,"Contractor, farmer, rancher",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
438,MERCIER,Quebec,1933 - 1980,25,1962.06.18,1154,54dbd3e5-6165-4cbb-a253-0a600f3b13a3,"BOULANGER, Prosper",28898,0.4151,Liberal Party of Canada,Businessman,,1,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
538,PEEL,Ontario,1867 - 1966,25,1962.06.18,1156,54ee0e22-3118-43eb-ac80-297316f87ece,"BEER, Bruce",21221,0.4295,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,1,2,2,1,1
749,TRINITY--CONCEPTION,Newfoundland and Labrador,1949 - 1966,25,1962.06.18,1160,5530bdbe-43af-4f3f-8a9a-e46666fe482d,"TUCKER, James R.",12104,0.6337,Liberal Party of Canada,"Manager, merchant",,0,2,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,1,2,2,1,1
223,FORT WILLIAM,Ontario,1924 - 1976,25,1962.06.18,1179,56513e2e-8222-44a0-8772-6178d9bce0c6,"BADANAI, Hubert",12229,0.4812,Liberal Party of Canada,"Automobile dealer, manager",,0,2,,,,,,,,,Italy,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
437,MELVILLE,Saskatchewan,1924 - 1966,25,1962.06.18,1182,565f3dfb-c1f4-462b-925f-502607e1baaf,"ORMISTON, James N.",8520,0.4393,Progressive Conservative Party,"Farmer, insurance agent",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
419,MAISONNEUVE--ROSEMONT,Quebec,1933 - 1966,25,1962.06.18,1198,577ebab3-23ed-4137-ba44-6acacfa7b60e,"DESCHATELETS, Jean-Paul",18016,0.4623,Liberal Party of Canada,Lawyer,,1,4,,,,,,,,,,,,,2,1,1,1,9,9,9,9,9,9,9,2,9,9,2,1,1
483,NIAGARA FALLS,Ontario,1952 - ,25,1962.06.18,1199,5794257d-84e7-4451-af19-35e0cfc6ccaa,"LAMARSH, Judy",18500,0.5969,Liberal Party of Canada,Barrister,,0,2,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,1,2,2,1,1
263,HALIFAX,Nova Scotia,1867 - ,25,1962.06.18,1200,57c10e16-51a6-4747-b83b-b54c8547f3d5,"MORRIS, Edmund",41804,0.2312,Progressive Conservative Party,"Broadcaster, journalist, radio-commentator",,0,3,,,,,,,,,,,,,2,2,2,2,1,9,9,9,9,2,2,2,9,9,1,9,9
656,SAINTE-MARIE,Quebec,1952 - 1976,25,1962.06.18,1221,59589a84-9f74-4e1a-a40e-842ca444817c,"VALADE, Georges-J.",8748,0.4603,Progressive Conservative Party,Pharmacist,,1,2,,,,,,,,,United States,,,,2,2,2,2,1,1,1,1,1,2,2,9,9,1,1,2,2
54,BONAVISTA--TWILLINGATE,Newfoundland and Labrador,1949 - 1966,25,1962.06.18,1225,5996b081-97f6-4bde-8dec-52df3dca3f76,"PICKERSGILL, John W.",11530,0.7499,Liberal Party of Canada,"Lecturer, senior public servant, shipowner, writer",,0,4,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1
849,YORK--HUMBER,Ontario,1952 - 1966,25,1962.06.18,1227,59a069df-b395-42e0-8bbe-1cd082c90611,"COWAN, Ralph B.",15526,0.3647,Liberal Party of Canada,"Journalist, manager",,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1
203,EGLINTON,Ontario,1933 - 1976,25,1962.06.18,1246,5b04fb13-968f-4dac-80f6-3b569378e120,"FLEMING, Donald M.",18648,0.4549,Progressive Conservative Party,Barrister,,0,6,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,1,9,1,2,2
856,YORKTON,Saskatchewan,1924 - 1966,25,1962.06.18,1270,5d2129fa-debb-42e3-9881-02336e95cbf7,"CLANCY, Gordon Drummond",10202,0.4398,Progressive Conservative Party,Pharmacist,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
507,OKANAGAN BOUNDARY,British Columbia,1952 - 1976,25,1962.06.18,1285,5e00ed8a-3ebd-48a2-9a20-ce869b0c9ca8,"PUGH, David",9069,0.3135,Progressive Conservative Party,"Barrister and solicitor, insurance agent",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
599,RENFREW NORTH,Ontario,1867 - 1972,25,1962.06.18,1292,5e96ddfd-c5c5-4235-9adc-16b8acfff326,"FORGIE, James M.",11313,0.4939,Liberal Party of Canada,"Barrister, lawyer",,0,4,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,1,9,9,1,1
761,VANCOUVER KINGSWAY,British Columbia,1952 - 1987,25,1962.06.18,1315,601dcc44-c8a7-4833-b5cd-7c2615d69e62,"WEBSTER, Arnold Alexander",13837,0.481,New Democratic Party,"School principal, teacher",,0,1,,,,,,,,,,,,,2,1,1,1,2,9,1,2,2,9,9,9,9,2,2,1,1
842,YORK CENTRE,Ontario,1952 - ,25,1962.06.18,1321,6059ff4b-ca5f-4227-87b0-a17ef1943264,"WALKER, James E.",30432,0.3809,Liberal Party of Canada,"Businessman, insurance agent",,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,1,2,2,1,1
822,WINNIPEG NORTH,Manitoba,1914 - 1997,25,1962.06.18,1329,6116d4fa-3305-4f4b-881b-249e81d2a572,"ORLIKOW, David",18236,0.3666,New Democratic Party,"Labour educator, pharmacist",,0,1,,,,,,,,,,,,,2,1,1,1,2,2,1,2,2,2,1,1,2,9,9,1,1
1241,CAPE BRETON NORTH AND VICTORIA,Nova Scotia,1933 - 1966,25,1962.06.18,1357,62fcd932-a16b-434b-b23c-3d11dda9966d,"MUIR, Robert",11019,0.5017,Progressive Conservative Party,"Businessman, miner, salesman",,0,3,,,,,,,,,Scotland,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
236,GATINEAU,Quebec,1947 - 1987,25,1962.06.18,1363,637de48a-ed71-4008-b906-a8381850bc28,"LEDUC, Rodolphe",10135,0.4222,Liberal Party of Canada,Dentist,,1,6,,,,,,,,,,,,,2,1,1,1,9,9,2,2,9,1,1,9,9,2,2,1,1
467,MOOSE MOUNTAIN,Saskatchewan,1947 - 1966,25,1962.06.18,1372,6419cb50-caf3-43c0-9564-74f6b546c8f8,"SOUTHAM, R.R.",8695,0.4276,Progressive Conservative Party,"Businessman, locker plant operator, theatre owner",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
154,COMOX--ALBERNI,British Columbia,1914 - 1976,25,1962.06.18,1378,64ac8c88-87af-41f6-8ffe-90fa135ebb4e,"BARNETT, Thomas Speakman",10474,0.3685,New Democratic Party,"Editor, factory worker, sawmiller",,0,3,,,,,,,,,,,,,2,1,1,1,2,2,1,2,2,2,1,1,9,2,2,1,1
498,NORTHUMBERLAND,Ontario,1914 - 1966,25,1962.06.18,1397,666e62c1-617f-44c5-94ad-62224db38f28,"BRADLEY, Harry",10451,0.4973,Progressive Conservative Party,Teacher,,0,1,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,1,1,1,2,2
581,QUEBEC EAST,Quebec,1867 - 1966,25,1962.06.18,1427,68725805-2bdc-4cbf-a808-c5367e83cfa7,"BEAULE, Robert",22446,0.4999,Social Credit,"Electrician, insurance broker, railway employee",,1,1,,,,,,,,,,,,,1,2,2,2,1,9,1,1,1,1,2,2,9,1,2,1,1
150,COCHRANE,Ontario,1933 - 1976,25,1962.06.18,1445,695b1ef7-77c8-4002-9eae-1ecafc04bd45,"HABEL, Joseph-Anaclet",7969,0.4351,Liberal Party of Canada,Businessman,,0,4,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
570,PRINCE EDWARD--LENNOX,Ontario,1924 - 1966,25,1962.06.18,1477,6c2a8fd1-9da1-4aed-a42b-4397a4b199ac,"ALKENBRACK, A. Douglas",9094,0.5261,Progressive Conservative Party,Lumberman,,0,1,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,9,1,2,2
763,VANCOUVER QUADRA,British Columbia,1947 - ,25,1962.06.18,1512,6dec82d6-fab3-438b-b40f-c7720a93d8c1,"GREEN, Howard Charles",15113,0.4546,Progressive Conservative Party,Barrister,,0,8,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,1,9,1,2,2
555,PORT ARTHUR,Ontario,1933 - 1976,25,1962.06.18,1515,6e0e7dad-52e6-426d-b6d7-f3a4924ce2de,"FISHER, Douglas M.",13437,0.3846,New Democratic Party,"Columnist, journalist, librarian, teacher",,0,3,,,,,,,,,,,,,2,1,1,1,2,9,1,2,2,2,1,9,9,2,2,1,1
617,ROBERVAL,Quebec,1947 - 2004,25,1962.06.18,1528,6ef85d82-0243-4e17-a3bd-41a064680fd1,"GAUTHIER, Charles-Arthur",11180,0.5348,Social Credit,"Furniture and appliances retailer, merchant, undertaker",,1,1,,,,,,,,,,,,,1,9,9,2,1,1,1,1,1,1,2,2,9,1,9,1,1
748,TRINITY,Ontario,1933 - 1987,25,1962.06.18,1541,6ffdccf5-fe20-4be5-b99d-1593863458ac,"HELLYER, Paul",9615,0.4702,Liberal Party of Canada,"Author, builder, businessman, engineer, merchant",,0,4,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,1,9,9,1,1
791,WATERLOO SOUTH,Ontario,1867 - 1966,25,1962.06.18,1544,70609637-38c4-4b18-a718-afdd03b2d5b8,"CHAPLIN, Gordon",11648,0.4231,Progressive Conservative Party,"Businessman, manufacturer",,0,1,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,9,2,2
346,KOOTENAY EAST,British Columbia,1914 - 1966,25,1962.06.18,1566,71f03bcd-4682-4b01-8a75-d1db7d2c664c,"BYRNE, Jim",5414,0.3159,Liberal Party of Canada,Miner,,0,4,,,,,,,,,United States,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1
365,LAMBTON--KENT,Ontario,1933 - 1976,25,1962.06.18,1584,72b19c8d-767e-4fea-8f7e-496572d7c7fe,"BURGESS, John W.",9874,0.5077,Liberal Party of Canada,Lawyer,,0,1,,,,,,,,,,,,,2,1,1,1,2,9,2,2,9,1,1,9,9,2,2,1,1
1260,ST. JOHN'S WEST,Newfoundland and Labrador,1952 - 1987,25,1962.06.18,1614,74eedcfb-8314-4bd0-aa5a-b8307984343e,"CASHIN, Richard",12650,0.495,Liberal Party of Canada,Lawyer,,0,1,,,,,,,,,,,,,2,1,1,9,9,1,2,2,9,9,9,9,9,9,9,9,9
1235,ATHABASKA,Alberta,1924 - 1966,25,1962.06.18,1631,765f261f-d43e-4201-a560-90ec0fd39658,"BIGG, Jack",9678,0.4561,Progressive Conservative Party,"Lawyer, RCMP sergeant",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
712,SUDBURY,Ontario,1947 - ,25,1962.06.18,1647,7740a983-1567-4d6c-9027-3e686466e71c,"MITCHELL, Rodger",17628,0.5777,Liberal Party of Canada,Pharmacist,,0,4,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,9,1,1
271,HAMILTON SOUTH,Ontario,1952 - 1966,25,1962.06.18,1653,778f0917-8681-4a2e-9fb2-0d8fa121a4d4,"MCDONALD, Robert M.T.",17392,0.3487,Progressive Conservative Party,"Businessman, insurance agent, professional football player, public servant",,0,3,,,,,,,,,,,,,2,2,2,2,1,1,1,1,9,2,2,2,9,9,1,2,2
615,RIVIERE-DU-LOUP--TEMISCOUATA,Quebec,1959 - 1966,25,1962.06.18,1673,78934685-ff77-40f1-aaaf-d4faa9f6f7ed,"GAGNON, Philippe",8058,0.3766,Social Credit,"Agent, farmer, salesman",,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,1,2,2,9,1,9,1,1
131,CHAMPLAIN,Quebec,1867 - 2003,25,1962.06.18,1683,796489bc-6ce3-428e-bbe4-e6a51c31767d,"MATTE, Jean-Paul",9936,0.3653,Liberal Party of Canada,"Merchant, trader",,1,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
406,LONGUEUIL,Quebec,1952 - 2004,25,1962.06.18,1685,798aab6e-c28a-4eaf-af7f-0ed0a68899ac,"SEVIGNY, Pierre",17578,0.4427,Progressive Conservative Party,"Contractor, industrialist, real estate agent",,1,2,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,1,2,2
148,COAST-CAPILANO,British Columbia,1947 - 1966,25,1962.06.18,1692,79fcf58d-562c-4fc4-bd06-8500e06bb76e,"DAVIS, Jack",23583,0.4609,Liberal Party of Canada,"Economist, engineer",,0,1,,,,,,,,,,,,,2,1,1,1,2,9,9,9,1,1,1,2,1,9,2,1,1
686,SIMCOE NORTH,Ontario,1867 - ,25,1962.06.18,1704,7aa1cf29-7fc8-4695-8d12-0230acb35610,"SMITH, Heber",11728,0.5805,Progressive Conservative Party,"Barrister, lawyer",,0,3,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,9,9,9,1,1,1,2,2
677,SHEFFORD,Quebec,1867 - ,25,1962.06.18,1710,7b64da9a-572f-402d-b5ea-a3b9211397df,"RONDEAU, Gilbert",12421,0.4202,Social Credit,"Businessman, industrialist, insurance agent",,1,1,,,,,,,,,,,,,1,2,2,2,1,9,1,1,1,1,9,9,9,1,2,1,1
1255,SAINT-HYACINTHE--BAGOT,Quebec,1947 - 1966,25,1962.06.18,1744,7d606ebb-cb8d-4415-8691-214a9e01ec5c,"RICARD, J.-H.-Theogene",12586,0.4628,Progressive Conservative Party,"Business agent, insurance agent, personnel manager",,1,3,,,1,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,1,2,2
734,TIMMINS,Ontario,1947 - 1976,25,1962.06.18,1748,7d99e6fa-2ea6-461d-a602-f3c8c754041d,"MARTIN, Murdo",8834,0.4472,New Democratic Party,"Broker, fire fighter, gentleman",,0,3,,,,,,,,,,,,,2,1,1,1,2,9,1,2,2,2,1,1,2,2,2,1,1
135,CHARLEVOIX,Quebec,1947 - 2003,25,1962.06.18,1752,7e134016-1c54-47e7-b57d-cb2bb1cba33d,"BELANGER, L.-P.-Antoine",8645,0.4239,Social Credit,"Clerk, forester, land surveyor, machinist",,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,1,2,9,9,1,2,1,1
129,CHAMBLY--ROUVILLE,Quebec,1933 - 1966,25,1962.06.18,1754,7e256f37-563f-4a84-b952-ca2704df9a0d,"PILON, Bernard",11813,0.4775,Liberal Party of Canada,Insurance broker,,1,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
246,GREENWOOD,Ontario,1933 - 1976,25,1962.06.18,1766,7f9f4b1b-ac37-43d7-8179-72a9914279d7,"BREWIN, Andrew",9238,0.377,New Democratic Party,"Author, barrister, counsel, lawyer",,0,1,,,,,,,,,England,,,,2,1,1,1,2,2,1,2,2,2,1,9,2,9,2,1,1
145,CHURCHILL,Manitoba,1933 - ,25,1962.06.18,1769,8008b1f1-3d67-41dd-88f0-abb93e3428ec,"SIMPSON, Robert",10943,0.5135,Progressive Conservative Party,"Clerk, miner",,0,3,,,,,,,,,,,,,2,2,2,2,1,1,9,9,9,2,2,2,1,1,1,2,2
51,BONAVENTURE,Quebec,1867 - 1971,25,1962.06.18,1774,806fe861-7408-463e-af2c-c1bf3cc31ce3,"BECHARD, Albert",7559,0.4481,Liberal Party of Canada,Notary,,1,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
703,ST. PAUL'S,Ontario,1933 - 1966,25,1962.06.18,1795,813fe6cb-c021-400f-b842-9bf7bc00a372,"WAHN, Ian Grant",11140,0.4192,Liberal Party of Canada,Lawyer,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1
627,SAGUENAY,Quebec,1947 - 1966,25,1962.06.18,1812,8243258b-8eb1-4ce4-b5c7-e94e46f9ef76,"MALTAIS, Laureat",15992,0.494,Social Credit,Manager,,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,1,2,2,9,1,2,1,1
626,RUSSELL,Ontario,1867 - 1966,25,1962.06.18,1829,8302a349-887d-4cc1-a7ef-632746ec24c6,"TARDIF, Paul",29322,0.5909,Liberal Party of Canada,"Executive, manager",,1,2,,,,,,,,,,,,,2,1,1,1,2,9,2,2,1,1,1,2,9,2,2,1,1
142,CHATEAUGUAY--HUNTINGDON--LAPRAIRIE,Quebec,1947 - 1966,25,1962.06.18,1838,83da53ee-ff05-406f-b989-760d682def19,"BOUCHER, Jean",10305,0.4692,Liberal Party of Canada,Notary,,1,3,,,,,,,,,,,,,2,1,1,1,2,9,9,9,9,1,1,9,9,9,2,1,1
32,BATTLE RIVER--CAMROSE,Alberta,1952 - 1966,25,1962.06.18,1845,848f776b-a069-4408-aef4-71e2b48bef3d,"SMALLWOOD, Clifford S.",12883,0.5345,Progressive Conservative Party,Farmer,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
565,PRINCE ALBERT,Saskatchewan,1907 - 1987,25,1962.06.18,1846,84909dc1-9a60-44b3-a939-2393ab563089,"DIEFENBAKER, John George",18276,0.7078,Progressive Conservative Party,"Barrister, lawyer",,0,7,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,9,1,1,2,2
554,PONTIAC--TEMISCAMINGUE,Quebec,1947 - 1966,25,1962.06.18,1856,84ed4838-0481-4feb-903d-e74c47997afa,"MARTINEAU, Paul",6137,0.3579,Progressive Conservative Party,"Crown attorney, lawyer",,1,2,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,9,2,2,9,9,1,1,2,2
143,CHICOUTIMI,Quebec,1924 - 2000,25,1962.06.18,1857,8528771f-9766-4e69-852c-1b27b715d480,"COTE, Maurice",16566,0.5058,Social Credit,"Broker, investment counsellor, manager, real estate agent, stockbroker",,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,9,9,9,2,9,1,2,1,1
723,TERREBONNE,Quebec,1867 - 1996,25,1962.06.18,1858,854252ec-c1c5-4229-8f8a-7c96242f89f5,"CADIEUX, Leo",15547,0.3921,Liberal Party of Canada,"Journalist, publisher",,1,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,9,2,2,1,1
587,QUEEN'S,Prince Edward Island,1903 - 1966,25,1962.06.18,1900,8874ad6a-cef4-4764-be03-7a8555017c67,"MACQUARRIE, Heath Nelson",11590,0.2574,Progressive Conservative Party,"Author, political scientist, professor, radio-commentator, teacher",,0,3,,,1,,,,,,,,,,2,2,2,2,1,1,1,1,9,2,2,9,9,1,1,2,2
537,PEACE RIVER,Alberta,1924 - ,25,1962.06.18,1904,88de9baa-8839-401f-9aa2-55522b62d47f,"BALDWIN, Ged",12897,0.4817,Progressive Conservative Party,"Barrister, lawyer",,0,2,,,,,,,,,New Zealand,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
683,SHERBROOKE,Quebec,1924 - ,25,1962.06.18,1909,8913d93c-6b93-4535-ab15-8a6fc7ca2e5a,"CHAPDELAINE, Gerard",16673,0.5077,Social Credit,Lawyer,,1,1,,,,,,,,,,,,,1,9,9,9,9,9,9,9,9,1,2,9,9,1,2,1,1
396,LEVIS,Quebec,1867 - 1998,25,1962.06.18,1915,895de848-9f0e-4178-a76d-f1da18dd431f,"ROY, J.-A.",11504,0.4812,Social Credit,"Contractor, farmer, merchant",,1,1,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,1,2,9,9,1,2,1,1
587,QUEEN'S,Prince Edward Island,1903 - 1966,25,1962.06.18,1919,89ac7ae7-ddc1-4da4-b856-57690240d2c4,"MACLEAN, John Angus",12177,0.2691,Progressive Conservative Party,"Airplane pilot, farmer, flying instructor, test pilot",,0,5,,1,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2
284,HIGH PARK,Ontario,1933 - 1972,25,1962.06.18,1923,8a38f62c-d0e5-45d8-9e6d-8692f0120c36,"CAMERON, Alan John Patrick",11388,0.4426,Liberal Party of Canada,"Barrister, lawyer",,0,3,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,9,2,2,1,1
119,CARIBOO,British Columbia,1914 - 1966,25,1962.06.18,1931,8acb8c08-6534-4ab7-8d10-cd230df9e9eb,"LEBOE, Bert Raymond",8435,0.3044,Social Credit,Lumberman,,0,3,,,,,,,,,,,,,1,2,2,2,1,1,1,1,1,9,9,2,9,1,2,1,1
846,YORK NORTH,Ontario,1867 - 2003,25,1962.06.18,1932,8ad23a03-fbd8-4971-94f3-4617b74c02f4,"ADDISON, John",18094,0.4151,Liberal Party of Canada,Business executive,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1
853,YORK SOUTH,Ontario,1903 - 1976,25,1962.06.18,1935,8af30b71-2fe1-41ff-a94b-930e0ac21f50,"LEWIS, David",19101,0.4042,New Democratic Party,"Barrister, lawyer",,0,1,,,,,,,,,Poland,,,,2,1,1,1,9,2,1,2,2,2,1,9,2,2,2,1,1
21,ARGENTEUIL--DEUX-MONTAGNES,Quebec,1947 - 1966,25,1962.06.18,1943,8b49c742-fd6e-47ab-a488-2ad10327a283,"DROUIN, Vincent",11761,0.4234,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,9,2,2,1,1
169,DAUPHIN,Manitoba,1903 - 1983,25,1962.06.18,1949,8c3888bd-920a-4127-b4c9-61640e54b89b,"FORBES, R. Elmer",7158,0.3963,Progressive Conservative Party,"Farmer, registered seed grower",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,1,1,1,2,2
859,YUKON,Yukon,1952 - ,25,1962.06.18,1956,8c857bdf-3db5-43c3-8ee0-d33d66a80817,"NIELSEN, Erik",3250,0.5495,Progressive Conservative Party,"Barrister, lawyer",,0,3,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,9,9,1,2,2
851,YORK--SCARBOROUGH,Ontario,1952 - 1987,25,1962.06.18,1970,8d562f1e-1f7b-49f6-a59f-7a25cafb462c,"MCGEE, Frank",49643,0.406,Progressive Conservative Party,Businessman,,0,3,,,1,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,9,9,1,1,2,2
793,WELLAND,Ontario,1867 - 1987,25,1962.06.18,1975,8dc7a640-3206-4b33-bea9-b6eff4c6d59a,"MCMILLAN, William H.",17614,0.4761,Liberal Party of Canada,Physician,,0,5,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
