Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H26S1V001,H26S1V002,H26S1V003,H26S1V004,H26S1V005,H26S1V006,H26S1V007,H26S1V008,H26S1V009,H26S1V010,H26S1V011,H26S1V012,H26S1V013,H26S1V014,H26S1V015,H26S1V016,H26S1V017,H26S1V018,H26S1V019,H26S1V020,H26S1V021,H26S1V022,H26S1V023,H26S1V024,H26S1V025,H26S1V026,H26S1V027,H26S1V028,H26S1V029,H26S1V030,H26S1V031,H26S1V032,H26S1V033,H26S1V034,H26S1V035,H26S1V036,H26S1V037,H26S1V038,H26S1V039,H26S1V040,H26S1V041,H26S1V042,H26S1V043,H26S1V044,H26S1V045,H26S2V001,H26S2V002,H26S2V003,H26S2V004,H26S2V005,H26S2V006,H26S2V007,H26S2V008,H26S2V009,H26S2V010,H26S2V011,H26S2V012,H26S2V013,H26S2V014,H26S2V015,H26S2V016,H26S2V017,H26S2V018,H26S2V019,H26S2V020,H26S2V021,H26S2V022,H26S2V023,H26S2V024,H26S2V025,H26S2V026,H26S2V027,H26S2V028,H26S2V029,H26S2V030,H26S2V031,H26S2V032,H26S2V033,H26S2V034,H26S2V035,H26S2V036,H26S2V037,H26S2V038,H26S2V039,H26S2V040,H26S2V041,H26S2V042,H26S2V043,H26S2V044,H26S2V045,H26S2V046,H26S2V047,H26S2V048,H26S2V049,H26S2V050,H26S2V051,H26S2V052,H26S2V053,H26S2V054,H26S2V055,H26S2V056,H26S2V057,H26S2V058,H26S3V001,H26S3V002,H26S3V003,H26S3V004,H26S3V005,H26S3V006,H26S3V007,H26S3V008,H26S3V009,H26S3V010,H26S3V011,H26S3V012,H26S3V013,H26S3V014,H26S3V015,H26S3V016,H26S3V017,H26S3V018,H26S3V019,H26S3V020,H26S3V021
44,BELLECHASSE,Quebec,1867 - 1996,26,1963.04.08,292,15cc213a-a4de-4255-a439-52a555a60997,"LAVERDIERE, Herman",5434,0.4494,Liberal Party of Canada,Teacher,,1,1,,,,,,,,,,,,,9,9,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,9,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,9,2,9,9,2,1,1,9,9,9,2,1,2,2,2,2,9,9,1,9,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,9,9,2,2,2,9,9,2,1,9
484,NICKEL BELT,Ontario,1952 - ,26,1963.04.08,296,1618bab0-8e4a-4cc6-9007-84a03ed129ea,"GODIN, O.-J.",13414,0.4518,Liberal Party of Canada,"Barrister, lawyer",,1,3,,,,,,,,,,,,,2,2,1,9,2,1,1,1,2,9,1,1,1,2,2,1,1,2,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,9,9,9,9,9,1,9,2,1,2,9,2,9,9,9,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,2,2,2,9,9,1,2,2,2,2,1,1,9,2,9,9,2,1,1,2,1,2
1125,SAINT-DENIS,Quebec,1952 - 1996,26,1963.04.08-1964.02.02,298,1647b84c-1764-48b8-a6af-5e29cbded7d7,"DENIS, Azellus",11707,0.5101,Liberal Party of Canada,Lawyer,,1,9,,1,,,,,,,,Resignation. Called to the Senate: 1964.02.02,,,2,2,1,9,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,9,1,2,2,9,1,2,2,2,2,2,2,1,1,1,2,9,9,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
359,LAFONTAINE,Quebec,1947 - 1975,26,1963.04.08,300,1661530f-99fc-4f18-b268-71c6e2d0459c,"LACHANCE, Georges-C.",10929,0.5045,Liberal Party of Canada,Lawyer,,1,2,,,,,,,,,,,,,2,2,1,9,2,1,1,9,2,9,1,1,1,9,2,1,1,2,9,9,9,9,2,2,2,2,1,9,9,1,9,2,2,2,9,9,9,9,1,1,9,1,1,1,9,2,9,1,2,2,2,2,9,2,2,1,9,2,1,2,2,2,2,2,1,1,9,1,9,9,9,9,9,9,9,2,9,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,9,2,9,2,2,2,2,1,1,1,2,9,2,2,1,1,2,9,2
702,ST. JOHN--ALBERT,New Brunswick,1914 - 1966,26,1963.04.08,317,175a30ca-697f-4e88-925e-3ffebf19ea5f,"BELL, Thomas M.",21584,0.5173,Progressive Conservative Party,"Barrister, lawyer",,0,5,,,,,,,,,,,,,1,9,2,9,1,2,2,1,1,9,9,1,9,1,1,2,1,1,2,1,1,1,9,9,9,9,9,1,1,2,2,1,2,1,1,1,1,1,2,1,1,9,9,9,9,1,1,9,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,9,9,1,1,1,2,9,9,9,9,9,1,9,9,2,9,1,2,9,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,9,9,9,9,9,1,1,1,9,9,9,9,9,2,1,2,2,9,1,9,1,1,2,9,2,2,9
1253,ST. BONIFACE,Manitoba,1952 - 1996,26,1963.04.08,325,1792c581-80bc-4163-a582-1b384f53ab67,"TEILLET, Roger-Joseph",13547,0.4067,Liberal Party of Canada,"Business manager, businessman, insurance agent, manager",,1,2,,1,,,,,,,,,,,2,9,9,1,9,9,1,9,9,1,9,1,1,9,9,1,1,2,1,1,1,1,2,2,9,9,9,9,2,1,9,2,2,2,2,2,2,1,9,9,9,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,9,2,2,2,2,9,9,9,9,9,9,9,1,1,9,9,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,2,9,9,2,1,1,2,1,2
433,MEGANTIC,Quebec,1947 - 1966,26,1963.04.08-1963.08.31,335,184bb42b-3d9a-445d-a741-c2acec461ffd,"LANGLOIS, Raymond",11329,0.4382,Social Credit,Professor,,1,2,1,,,1,,,,,,,,,1,2,1,9,2,2,9,9,2,9,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
433,MEGANTIC,Quebec,1947 - 1966,26,1963.09.01,335.1,184bb42b-3d9a-445d-a741-c2acec461ffd,"LANGLOIS, Raymond",11329,0.4382,Ralliement Creditiste,Professor,,1,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,2,2,9,2,1,1,1,2,9,2,2,2,2,1,2,2,9,9,9,1,1,2,9,2,2,1,2,9,2,1,1,1,1,9,9,2,9,2,9,9,1,2,9,1,9,1,9,1,2,9,1,2,9,9,9,9,2,1,2,9,9,1,9,9,9,2,2,2,1,2,2,1,2,2,1,2,2,2,9,9,9,9,9,2,2,1,9,1,1,9,9,1,1,2,2,9,9,9,9,9,1,9,9,9,9
1125,SAINT-DENIS,Quebec,1952 - 1996,26,1964.02.10,375,1b89a5d2-5388-4d19-922f-3ddad9230807,"PRUD'HOMME, Marcel",7781,0.5034,Liberal Party of Canada,"Lawyer, political scientist",,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,2,2,2,2,2,2,1,1,2,9,2,2,2,2,9,1,1,2,1,1,9,9,9,2,1,2,9,2,2,1,2,1,9,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,9,9,1,2,2,2,2,1,1,9,2,2,2,2,1,1,2,1,2
498,NORTHUMBERLAND,Ontario,1914 - 1966,26,1963.04.08,404,1dd291e1-3595-417c-ab03-48b8369cd9a8,"JEWETT, Pauline",10343,0.4881,Liberal Party of Canada,"Administrator, political scientist, professor",,0,1,,,,,,,,,,,,,2,2,1,9,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,9,1,1,9,2,1,1,2,2,2,9,2,2,2,1,1,2,1,9,9,9,2,9,1,9,2,9,1,2,1,1,2,1,9,9,2,9,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,9,2,2,9,9,9,2,2,2,2,1,1,9,2,9,2,2,1,1,2,1,2
613,RICHMOND--WOLFE,Quebec,1867 - 1966,26,1963.04.08,405,1dddf61e-1b50-4a0c-87eb-847c3ba302d4,"ASSELIN, Patrick-T.",8762,0.3971,Liberal Party of Canada,"Administrator, farmer",,1,1,,,,,,,,,,,,,2,2,1,1,9,1,1,1,2,1,1,1,1,9,9,1,1,2,1,1,1,1,2,2,9,9,9,2,2,1,1,2,2,2,9,2,2,1,1,1,2,1,1,1,2,2,9,1,2,2,2,2,2,2,2,9,9,2,9,2,2,9,2,9,9,9,2,1,9,9,9,1,9,1,2,9,9,2,1,9,9,9,9,2,9,2,2,1,2,2,1,1,2,2,1,1,9,9,2,2,1,1,2,2,2,9,9,9,2,2,9,2,1,1,9,2,9,2,9,9,1,9,9,2
704,STANSTEAD,Quebec,1867 - 1966,26,1963.04.08,411,1e1554aa-39d7-4a3d-a03e-bb6490bee6ec,"FOREST, Yves",7649,0.4078,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,2,1,9,2,1,1,1,2,9,9,1,1,9,9,1,1,2,9,1,1,9,2,2,2,9,9,9,2,1,9,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,9,1,2,2,2,2,2,2,2,9,1,2,9,2,2,9,2,9,9,9,2,1,1,2,9,9,9,9,2,9,9,2,9,9,1,2,1,9,2,2,2,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,9,2,2,9,9,1,2,2,9,2,1,1,9,2,9,2,9,9,1,2,1,2
336,KING'S,Prince Edward Island,1892 - 1966,26,1963.04.08,420,1eb0e1bf-067b-4ea1-b97d-8dd867a0afda,"MULLALY, John Cooney",4705,0.5187,Liberal Party of Canada,Teacher,,0,1,,,,,,,,,,,,,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,9,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,9,9,9,2,9,1,2,1,9,2,9,9,1,2,1,9,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2
533,PARKDALE,Ontario,1914 - 1976,26,1963.04.08,428,1f6ad92a-d937-48f3-9640-2bd76aa82544,"HAIDASZ, Stanley",12694,0.5119,Liberal Party of Canada,Physician,,0,3,,,1,,,,,,,,,,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,9,9,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,1,9,9,9,9,2,1,2,2,2,2,1,2,1,2,1,9,9,9,9,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,9,9,9,2
17,ANTIGONISH--GUYSBOROUGH,Nova Scotia,1914 - 1966,26,1963.04.08,437,1ff3d0ab-f0ae-4f2f-8554-fe0f6f03c903,"STEWART, John B.",6947,0.5435,Liberal Party of Canada,"Author, expert on parliamentary procedure, professor",,0,2,,,1,,,,,,,,,,2,2,1,1,2,1,1,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,2,1,1,2,2,2,2,2,2,2,9,1,2,1,2,2,2,2,9,9,1,2,1,1,2,1,1,2,1,2,2,2,2,1,2,9,9,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,9,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2
201,EDMONTON WEST,Alberta,1914 - 1987,26,1963.04.08,446,2094cd47-759f-4f54-8d75-9da36dd888a2,"LAMBERT, Marcel",26578,0.4228,Progressive Conservative Party,Lawyer,,1,4,,,,,,,,,,,,,1,1,2,2,1,9,2,1,1,9,9,1,9,9,9,9,9,1,2,1,1,9,2,1,1,9,2,1,1,9,2,1,2,1,1,9,9,9,9,9,9,9,1,9,1,1,1,1,1,2,1,2,2,2,1,2,1,1,9,2,1,1,1,9,9,9,9,9,9,2,1,1,2,2,1,9,1,2,9,1,9,2,1,9,1,1,1,2,1,9,2,2,1,2,9,9,2,2,1,9,9,1,1,1,1,1,2,9,2,9,2,1,9,2,9,9,9,9,9,9,2,9,2,1
522,OTTAWA WEST,Ontario,1933 - 1996,26,1963.04.08,451,20afcc72-88d0-433e-8b61-a7bcd98b2ec9,"MCILRAITH, George",18634,0.6044,Liberal Party of Canada,"Barrister, lawyer",,0,8,,1,,,,,,,,,,,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,9,2,1,1,1,1,2,2,9,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,9,1,2,1,1,9,9,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2
487,NIPISSING,Ontario,1892 - 2003,26,1963.04.08-1964.03.14,468,2236b2c9-14e1-4268-abd9-ae0c588ce1df,"GARLAND, Jack",16547,0.5959,Liberal Party of Canada,"Journalist, manager, manufacturer",,0,6,,1,,,,,,,,Died in office: 1964.03.14,,,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,9,1,1,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
440,MIDDLESEX EAST,Ontario,1867 - 1966,26,1963.04.08,484,237256bb-a2f6-45e2-8613-4c572c3288c0,"MILLAR, Campbell E.",19850,0.4497,Progressive Conservative Party,Inspector,,0,2,,,,,,,,,,,,,1,1,9,2,1,2,2,1,1,1,9,1,2,9,9,9,1,9,2,1,1,1,2,1,9,9,9,9,1,2,2,1,2,1,1,1,1,1,2,1,1,9,1,2,1,1,1,1,1,2,1,2,2,9,1,9,1,1,2,2,1,9,1,9,1,9,1,9,9,9,9,9,2,2,1,1,1,9,9,1,2,2,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,9,9,9,9,9,1,1,9,9,1,9,2,1,9,1,2,2,9,1,2,9,1,9,9,9,9,1
696,SPADINA,Ontario,1933 - 1987,26,1963.04.08,490,23ca3dab-dcc7-4157-86f8-e63aa87535a3,"RYAN, Perry",14850,0.5467,Liberal Party of Canada,"Barrister and solicitor, lawyer",,0,2,,,,,,,,,,,,,2,2,1,1,2,1,1,1,2,1,9,1,1,2,2,9,1,2,9,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,9,9,9,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,9,2,2,1,9,2,9,9,2,1,1,9,1,2,9,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,2,2,9,9,2,1,2,2,2,2,1,1,1,2,9,2,9,9,1,2,1,2
216,ESSEX SOUTH,Ontario,1882 - 1966,26,1963.04.08,492,23fe2e19-4f64-4dd6-9bdb-7f6984a01ded,"WHELAN, Eugene F.",12947,0.5069,Liberal Party of Canada,"Farmer, politician",,0,2,,,,,,,,,,,,,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,9,1,1,1,2,2,1,1,2,2,2,2,2,2,2,9,9,2,1,2,2,2,2,9,1,1,9,9,9,2,9,1,2,1,2,2,2,9,9,9,9,9,1,2,2,2,2,1,2,2,1,1,2,2,1,9,1,9,2,2,1,1,2,9,2,9,2,1,9,2,2,2,1,1,9,2,9,9,2,1,9,2,1,2
479,NEW WESTMINSTER,British Columbia,1872 - 1976,26,1963.04.08,537,279663fb-c05e-4f76-934e-36da39af24a9,"MATHER, Barry",23609,0.3696,New Democratic Party,"Columnist, journalist",,0,2,,,,,,,,,,,,,1,2,1,2,9,2,9,2,1,2,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,1,2,2,1,2,9,1,2,1,1,1,1,2,2,1,2,9,2,1,9,9,9,2,1,1,9,9,2,1,1,9,1,9,2,9,1,1,9,9,9,2,1,9,9,2,2,1,1,2,2,2,1,2,1,2,9,2,9,1,1,1,1,1,9,9,9,2,2,1,1,1,1,1,1,1,9,1,1,1,9,9,1,1,1,1
401,LONDON,Ontario,1867 - 1966,26,1963.04.08,544,27fe5009-e9bf-41f4-8aa4-8dda936defed,"IRVINE, Jack A.",15700,0.4632,Progressive Conservative Party,Merchant,,0,1,,,,,,,,,,,,,1,1,2,2,9,2,2,1,1,1,2,1,2,9,9,2,1,1,2,1,1,1,2,1,9,9,9,1,1,2,2,1,2,1,1,1,1,1,2,1,1,9,1,2,1,9,1,1,1,2,1,2,9,9,1,2,9,9,2,9,9,9,1,2,9,9,1,9,9,2,9,1,9,9,9,1,1,1,2,1,9,2,1,1,9,1,1,9,1,1,2,9,9,9,9,2,2,9,9,9,9,9,1,1,9,9,9,2,9,9,2,1,9,9,1,1,9,1,1,2,9,2,2,1
312,INVERNESS--RICHMOND,Nova Scotia,1933 - 1966,26,1963.04.08,560,29120c21-7fca-48fe-bd93-53ba86e83429,"MACEACHEN, Allan J.",8373,0.5442,Liberal Party of Canada,"Economist, professor",,0,4,,1,,,,,,,,,,,2,2,1,1,2,1,1,9,2,1,9,1,1,2,2,1,9,2,1,1,1,1,2,2,2,2,1,9,2,1,1,2,2,2,2,2,2,9,9,9,2,1,1,1,2,2,1,1,2,2,2,9,2,9,2,1,1,9,9,2,2,2,2,2,9,9,9,1,1,9,1,9,2,1,2,2,2,9,1,2,9,9,1,2,9,9,9,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,9,9,2,1,2,1,9,9,9,2,1,9,1,2,9,2,2,1,9,2,1,2
848,YORK WEST,Ontario,1914 - ,26,1963.04.08,563,295c792a-017a-4e22-b549-38209a21a590,"KELLY, Red",41480,0.5143,Liberal Party of Canada,Professional hockey player,,0,2,,,,,,,,,,,,,2,2,1,1,2,9,9,9,2,9,1,1,9,9,2,1,1,2,9,9,9,1,2,2,2,2,1,9,2,1,9,2,2,2,9,2,2,9,1,1,9,9,9,9,2,2,9,1,2,2,2,9,9,2,9,9,9,9,1,2,2,2,2,2,9,9,9,9,9,2,9,1,9,9,2,2,9,9,9,9,1,2,9,9,2,9,2,1,2,2,1,1,2,9,9,9,1,1,9,9,9,9,9,2,2,9,9,9,2,2,2,2,1,1,9,2,2,2,2,1,1,2,1,2
790,WATERLOO NORTH,Ontario,1867 - 1966,26,1963.04.08,573,2a0df4e3-b9b0-40c4-b757-13d17fac00ca,"WEICHEL, O.W. Mike",22007,0.4338,Progressive Conservative Party,"Journalist, postmaster",,0,3,,,,,,,,,,,,,1,1,9,2,9,2,2,1,1,1,2,1,2,9,9,2,1,1,2,1,1,1,2,1,9,9,9,9,1,2,2,1,2,1,1,1,1,9,2,1,1,9,1,2,1,1,1,1,1,2,1,9,9,9,9,9,9,9,2,2,1,9,1,2,9,9,1,1,2,2,1,9,9,9,1,1,9,9,9,9,9,9,1,9,9,9,9,9,1,1,2,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1262,SAINT-MAURICE--LAFLECHE,Quebec,1947 - 1966,26,1963.04.08,581,2aa8c3e9-f46e-4c78-b9ff-04bec0ed5050,"CHRETIEN, Jean",16358,0.4573,Liberal Party of Canada,Lawyer,,1,1,,,1,,,,,,,,,,2,2,9,9,2,1,1,9,9,1,1,1,1,9,9,1,1,2,9,1,1,9,2,2,9,2,1,9,9,1,9,2,2,2,2,2,2,9,1,1,2,9,1,1,2,9,9,1,2,2,2,2,2,2,9,9,9,2,1,9,9,2,2,2,1,9,9,1,9,9,1,9,9,9,2,9,2,2,1,2,1,9,1,2,2,9,2,1,2,2,1,1,2,2,1,9,1,9,2,2,1,1,2,2,2,9,2,1,2,2,2,2,1,1,9,2,2,2,2,1,9,2,1,2
1131,ST. LAWRENCE--ST. GEORGE,Quebec,1952 - 1966,26,1963.04.08,613,2d6cfb9d-1d91-419c-835b-2bc796126fab,"TURNER, John N.",8552,0.5833,Liberal Party of Canada,Lawyer,,0,2,,,1,,,,,,England,,,,2,2,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,9,1,1,1,1,2,2,2,2,1,2,2,1,9,9,2,2,9,2,2,9,1,1,9,1,9,1,9,2,1,1,2,2,2,2,2,2,2,9,1,2,1,2,2,2,2,9,1,1,2,1,9,2,1,1,2,9,2,2,2,2,9,2,9,2,1,2,2,2,2,1,2,2,1,1,2,2,1,9,1,1,2,2,1,1,9,2,2,9,9,1,9,2,9,9,1,1,9,9,9,9,9,9,9,2,1,2
266,HALTON,Ontario,1867 - 1987,26,1963.04.08,630,2f15dfc9-fa48-427a-a525-50f18f0f419d,"HARLEY, Harry C.",25482,0.5197,Liberal Party of Canada,Physician,,0,2,,,,,,,,,,,,,2,2,1,1,2,9,9,1,2,9,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,2,9,2,2,1,1,2,2,2,2,2,2,1,9,1,2,9,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,9,1,1,2,1,9,2,1,1,2,1,2,2,2,2,1,2,1,9,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,9,9,9,9,9,2,2,9,9,9,2,2,9,9,9,9,9,9,9,9,2,1,9,2,1,2
333,KINDERSLEY,Saskatchewan,1914 - 1966,26,1963.04.08,637,2f6ce681-59dc-4744-a106-79c62569b084,"CANTELON, Reg",9944,0.4583,Progressive Conservative Party,"School principal, teacher",,0,1,,,,,,,,,,,,,1,1,9,2,1,2,2,1,1,1,2,9,9,9,9,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,9,9,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,9,2,1,9,9,9,1,1,9,1,2,2,1,1,9,9,1,9,9,2,2,1,9,9,1,1,1,1,1,2,1,1,2,2,1,1,9,2,9,2,1,1,1,1,1,1,1,9,9,9,9,9,2,1,2,2,1,1,9,9,9,9,2,2,2,1
619,ROSEDALE,Ontario,1933 - 1996,26,1963.04.08,666,3182f9f8-dbee-4324-93f2-30c9df730339,"MACDONALD, Donald S.",12860,0.5487,Liberal Party of Canada,Lawyer,,0,2,,,1,,,,,,,,,,2,2,1,1,2,1,1,1,2,1,1,1,1,9,9,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,9,2,9,1,1,2,1,1,2,1,1,2,1,2,2,2,2,1,9,1,2,1,2,2,2,2,1,2,2,1,9,9,2,1,1,1,1,2,2,1,1,2,2,2,1,2,9,9,9,2,2,1,1,1,2,2,2,9,9,1,2,1,2
111,CAPE BRETON SOUTH,Nova Scotia,1924 - 1966,26,1963.04.08,675,31f9003f-61b2-46f3-8583-3537e0560943,"MACINNIS, Donald",14307,0.3886,Progressive Conservative Party,Miner,,0,3,,,,,,,,,,,,,1,1,9,9,1,2,2,1,1,1,9,9,9,9,9,2,1,1,9,9,9,2,2,1,1,1,2,1,1,2,9,1,2,1,1,1,1,9,9,9,9,9,1,2,1,1,1,1,1,2,1,2,2,9,1,2,1,1,2,9,9,1,1,2,9,9,1,1,9,9,1,1,2,9,9,9,9,2,9,1,2,9,1,1,9,9,9,2,1,1,2,2,1,2,1,2,2,9,1,1,1,9,1,9,1,1,9,2,2,1,2,1,2,2,9,1,2,1,9,9,9,2,9,1
279,HASTINGS SOUTH,Ontario,1924 - 1966,26,1963.04.08,677,320976d1-349f-4efa-b6f2-58235bbe104d,"TEMPLE, Robert",15505,0.4851,Liberal Party of Canada,"Farmer, lumberman",,0,1,,,,,,,,,,,,,2,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,2,9,9,2,2,1,1,2,2,2,2,2,2,9,9,9,9,1,1,1,2,2,1,1,2,2,2,2,2,2,2,9,1,2,1,2,2,2,2,2,1,1,2,1,1,2,1,9,9,1,2,2,9,9,1,2,9,9,9,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,2,2,2,9,2,1,2,2,2,2,1,1,1,2,2,2,9,9,1,2,1,2
235,GASPE,Quebec,1867 - 1996,26,1963.04.08,680,3224057b-3ca6-47fc-84bb-7bde43885234,"CYR, Alexandre",10738,0.4513,Liberal Party of Canada,"Accountant, businessman, executive, public servant, secretary, secretary-treasurer",,1,1,,,,,,,,,,,,,2,2,1,1,9,1,1,9,9,1,1,1,1,2,2,1,1,2,1,1,1,9,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,9,1,2,2,1,1,2,2,2,9,2,2,2,9,9,9,1,9,9,2,2,2,1,9,2,1,9,2,1,9,2,1,9,9,2,2,1,2,9,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,9,2,2,1,1,2,2,2,9,2,1,2,2,2,2,1,1,1,2,9,2,9,1,9,9,1,2
