Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S19S1V01,S19S1V02,S19S2V01,S19S2V02,S19S3V01,S19S4V01,S19S4V02,S19S4V03,S19S4V04,S19S5V01,S19S5V02,S19S5V03
Date,,,,,,,,07.24.1940,08.01.1940,06.04.1941,06.04.1941,07.29.1942,04.13.1943,04.21.1943,04.21.1943,07.07.1943,06.30.1944,07.26.1944,08.02.1944
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Senate do not insist upon the amendment to which the Commons has disagreed concerning the Bill (An Act to amend the Farmers' Creditors Arrangement Act, 1934)","Motion that the Bill (An Act to establish an Unemployment Insurance Commission, to provide for Insurance against Unemployment, to establish an Employment Service, and for other purposes related thereto) be not now read a third time, but that it be further amended",Motion that the second amendment proposed to the Bill (An Act to amend the Pension Act) by the Standing Committee on Banking and Commerce be not concurred with,Motion that the first amendment proposed to the Bill (An Act to amend the Pension Act) by the Standing Committee on Banking and Commerce be not concurred with,"Motion that the Bill (An Act to amend The National Resources Mobilization Act, 1840) be read a second time",Motion that the Bill (An Act to enable a married person in certain circumstances to apply to a court of competent jurisdiction for a declaration that the other party to the marriage be presumed dead and for the dissolution of marriage) be read a second time,Motion that the Bill (An Act to amend The Department of Munitions and Supply Act) be read a second time after Easter recess,"Motion that the Bill (An Act to amend The Department of Munitions and Supply Act) be not now read a third time, but be amended",Motion that the readjustment of representation on the basis of the census of 1941 not be made during the the continuance of the hostilities,"Motion that the Bill (An Act to provide regulations enabling Canadian War Service electors to exercise their franchise, and Canadian prisoners of war to vote by proxy, at any general election held during the present war) be read a third time",Motion that the Bill (An Act to amend the Aeronautics Act) be now read a second time,Motion that the Bill (An Act to amend the Aeronautics Act) be amended
"Little, Edgar Sydney",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1943.12.22 ,1928.01.10 , 1943.12.22 ,(Death),2,2,9,9,1,1,9,9,1,99,99,99
"MacArthur, Creelman",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1943.12.27 ,1925.09.05 , 1943.12.27 ,(Death),2,2,9,9,9,9,9,9,9,99,99,99
"Sauví©, Arthur",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.07.20 - 1944.02.06 ,1935.07.20 , 1944.02.06 ,(Death),9,2,9,9,2,2,1,1,2,99,99,99
"Pope, Rufus Henry",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1911.11.14 - 1944.05.16 ,1911.11.14 , 1944.05.16 ,(Death),9,9,9,9,9,9,9,9,9,99,99,99
"Smith, Benjamin Franklin",Conservative (1867-1942),New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1944.05.19 ,1935.08.14 , 1944.05.19 ,(Death),2,2,9,9,9,1,9,9,1,99,99,99
"Robinson, Clifford William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1924.05.05 - 1944.07.27 ,1924.05.05 , 1944.07.27 ,(Death),9,9,1,9,1,1,2,2,1,9,99,99
"Turgeon, Oní©siphore",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1922.10.27 - 1944.11.18 ,1922.10.27 , 1944.11.18 ,(Death),9,2,1,1,9,9,9,9,9,9,9,9
"Logan, Hance James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1929.02.05 - 1944.12.26 ,1929.02.05 , 1944.12.26 ,(Death),9,2,9,9,9,9,9,9,9,9,9,9
"Griesbach, William Antrobus",Conservative (1867-1942),Alberta,"Meighen, Arthur",1921.09.15 - 1945.01.21 ,1921.09.15 , 1945.01.21 ,(Death),9,9,9,9,9,9,9,9,9,2,2,1
"Cantley, Thomas",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1945.02.24 ,1935.07.20 , 1945.02.24 ,(Death),2,9,9,9,9,9,9,9,9,9,9,9
"Black, Frank Bunting",Conservative (1867-1942),New Brunswick,"Meighen, Arthur",1921.11.25 - 1945.02.28 ,1921.11.25 , 1945.02.28 ,(Death),2,1,9,9,1,9,9,9,9,9,2,1
"Macdonald, John Alexander",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1932.03.02 - 1945.06.11 ,1932.03.02 , 1945.06.11 ,(Death),2,9,2,9,1,2,9,9,1,9,2,9
"Barnard, George Henry",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1945.11.08 ,1917.10.23 , 1945.11.08 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9
"Smith, Ernest D'Israeli",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1946.01.10 ,1913.05.26 , 1946.01.10 ,(Resignation),2,1,9,9,9,9,9,9,9,9,2,9
"Tanner, Charles Elliott",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1917.01.20 - 1946.01.13 ,1917.01.20 , 1946.01.13 ,(Death),9,1,2,2,9,9,1,1,1,9,2,1
"Marshall, Duncan McLean",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1946.01.16 ,1938.01.20 , 1946.01.16 ,(Death),1,2,1,1,9,9,2,2,9,9,1,2
"McRae, Alexander Duncan",Conservative (1867-1942),British Columbia,"Bennett, Richard Bedford",1931.09.04 - 1946.06.26 ,1931.09.04 , 1946.06.26 ,(Death),9,9,9,9,1,9,1,1,1,9,9,9
"Chapais, Joseph Amable Thomas",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1919.12.31 - 1946.07.15 ,1919.12.31 , 1946.07.15 ,(Death),2,1,9,9,2,9,1,1,2,9,2,1
"Green, Robert Francis",Conservative (1867-1942),British Columbia,"Meighen, Arthur",1921.10.03 - 1946.10.05 ,1921.10.03 , 1946.10.05 ,(Death),2,9,9,9,9,9,9,9,9,9,9,9
"Michener, Edward",Conservative (1867-1942),Alberta,"Borden, Robert Laird",1918.02.05 - 1947.06.16 ,1918.02.05 , 1947.06.16 ,(Death),2,1,2,2,9,1,1,1,9,1,9,9
"McGeer, Gerald Grattan",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1945.06.09 - 1947.08.11 ,1945.06.09 , 1947.08.11 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99
"Harmer, William James",Liberal Party of Canada,Alberta,"Borden, Robert Laird",1918.02.05 - 1947.09.09 ,1918.02.05 , 1947.09.09 ,(Death),1,2,1,1,1,1,2,9,1,2,1,9
"Foster, Walter Edward",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1928.12.06 - 1947.11.14 ,1928.12.06 , 1947.11.14 ,(Death),1,2,1,1,1,1,2,2,9,9,1,2
