Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S37S1V01,S37S1V02,S37S1V03,S37S1V04,S37S1V05,S37S1V06,S37S1V07,S37S1V08,S37S1V09,S37S1V10,S37S1V11,S37S1V12,S37S1V13,S37S1V14,S37S1V15,S37S1V16,S37S1V17,S37S1V18,S37S1V19,S37S1V20,S37S1V21,S37S1V22,S37S1V23,S37S1V24,S37S1V25,S37S1V26,S37S1V27,S37S1V28,S37S1V29,S37S1V30,S37S1V31,S37S1V32,S37S1V33,S37S1V34,S37S1V35,S37S1V36,S37S1V37,S37S1V38,S37S1V39,S37S1V40,S37S1V41,S37S1V42,S37S1V43,S37S1V44,S37S1V45,S37S1V46,S37S1V47,S37S1V48,S37S2V01,S37S2V02,S37S2V03,S37S2V04,S37S2V05,S37S2V06,S37S2V07,S37S2V08,S37S2V09,S37S2V10,S37S2V11,S37S2V12,S37S2V13,S37S2V14,S37S2V15,S37S2V16,S37S2V17,S37S2V18,S37S2V19,S37S2V20,S37S2V21,S37S2V22,S37S2V23,S37S2V24,S37S2V25,S37S2V26,S37S2V27,S37S2V28,S37S3V01,S37S3V02,S37S3V03,S37S3V04,S37S3V05,S37S3V06,S37S3V07,S37S3V08,S37S3V09,S37S3V10,S37S3V11,S37S3V12,S37S3V13,S37S3V14,S37S3V15,S37S3V16,S37S3V17,S37S3V18,S37S3V19,S37S3V20,S37S3V21,S37S3V22,S37S3V23,S37S3V24
"Doody, C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph",1979.10.03 - 2005.12.27 ,1979.10.03 , 2005.12.27 ,(Death),2,2,1,1,1,1,2,9,9,9,9,1,1,9,9,9,9,1,1,1,1,9,9,1,8,1,1,1,2,1,2,2,1,1,1,2,9,1,1,1,1,9,9,9,9,9,9,1,9,9,9,1,1,1,1,9,9,9,9,1,1,9,2,9,9,1,1,1,9,2,9,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29 ,1981.07.02 , 2010.11.29 ,(Retirement),9,9,9,2,2,2,1,2,2,2,2,2,2,2,2,2,9,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,9,9,9,9,9,2,2,2,2,1,9,2,2,9,2,2,1,2,1,2,2,9,9,9,9,2,2,9,9,9,9,9,2,2,9,1,9,9,2,1,9,2,9,9,9,9,9,9,2,2,1,1,9,2,1,9,2,2,2,9
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott",1982.12.22 - 2010.06.01 ,1982.12.22 , 2010.06.01 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,1,1,8,2,1,1,1,1,1,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Kolber, Ernest Leo",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.12.23 - 2004.01.18 ,1983.12.23 , 2004.01.18 ,(Retirement),9,9,9,2,2,2,1,8,2,2,2,2,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,2,2,2,2,9,9,2,2,9,2,2,1,2,1,2,9,9,1,2,1,9,9,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Cools, Anne C.",Conservative Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,1,1,8,2,2,2,1,2,2,2,9,8,1,9,9,9,9,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,8,1,2,9,2,1,2,1,2,2,9,9,8,1,2,2,2,2,1,1,1,1,2,8,8,1,1,1,8,1,2,2,1,1,1,1,1,1,8,1,2,8,9,1,2,9,2,2,8,9
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02 ,1984.01.13 , 2010.01.02 ,(Retirement),1,1,8,2,9,2,1,8,2,2,2,1,1,9,9,9,9,9,9,2,2,1,9,9,1,9,1,1,8,2,1,1,2,2,1,1,9,9,9,9,2,9,2,2,2,1,2,2,9,9,9,1,9,2,9,9,9,8,8,2,2,2,9,9,9,2,2,2,9,1,2,9,2,2,2,1,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 2006.10.31 ,1984.01.13 , 2006.10.31 ,(Resignation),9,9,9,2,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,2,2,1,9,2,1,2,2,2,1,2,1,1,2,2,2,1,9,9,9,9,9,1,2,2,2,9,2,9,9,9,9,9,9,9,2,9,1,2,1,2,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,2,1,9,2,2,2,9
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,1,1,1,2,2,2,1,1,2,2,9,9,1,8,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,1,9,9,9,9,9,2,8,2,2,9,2,2,2,9,1,2,9,2,2,1,2,2,2,1,2,1,2,2,2,9,9,9,9,2,9,9,9,2,2,1,2,2,2,1,1,1,9,9,2,2,2,2,9,2,9,9,2,2,1,1,2,2,1,9,2,2,2,9
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,2,1,2,2,2,1,9,9,2,2,2,2,2,9,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,9,2,2,2,1,2,2,2,2,9,1,2,2,2,9,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2,2,9,1,9,2,2,9,2,2,9,1,2,9,2,2,2,2,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,2,1,2,2,2,1,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,9,1,9,2,2,9,2,2,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,9,9,1,2,2,2,2,2,2,2,2,9,2,1,1,2,2,1,2,9,9,9,2
