Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S37S1V01,S37S1V02,S37S1V03,S37S1V04,S37S1V05,S37S1V06,S37S1V07,S37S1V08,S37S1V09,S37S1V10,S37S1V11,S37S1V12,S37S1V13,S37S1V14,S37S1V15,S37S1V16,S37S1V17,S37S1V18,S37S1V19,S37S1V20,S37S1V21,S37S1V22,S37S1V23,S37S1V24,S37S1V25,S37S1V26,S37S1V27,S37S1V28,S37S1V29,S37S1V30,S37S1V31,S37S1V32,S37S1V33,S37S1V34,S37S1V35,S37S1V36,S37S1V37,S37S1V38,S37S1V39,S37S1V40,S37S1V41,S37S1V42,S37S1V43,S37S1V44,S37S1V45,S37S1V46,S37S1V47,S37S1V48,S37S2V01,S37S2V02,S37S2V03,S37S2V04,S37S2V05,S37S2V06,S37S2V07,S37S2V08,S37S2V09,S37S2V10,S37S2V11,S37S2V12,S37S2V13,S37S2V14,S37S2V15,S37S2V16,S37S2V17,S37S2V18,S37S2V19,S37S2V20,S37S2V21,S37S2V22,S37S2V23,S37S2V24,S37S2V25,S37S2V26,S37S2V27,S37S2V28,S37S3V01,S37S3V02,S37S3V03,S37S3V04,S37S3V05,S37S3V06,S37S3V07,S37S3V08,S37S3V09,S37S3V10,S37S3V11,S37S3V12,S37S3V13,S37S3V14,S37S3V15,S37S3V16,S37S3V17,S37S3V18,S37S3V19,S37S3V20,S37S3V21,S37S3V22,S37S3V23,S37S3V24
"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2007.06.30 ,1984.06.29 , 2007.06.30 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,9,9,2,2,2,1,2,2,9,2,2,9,9,9,9,9,9,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,9,9,9,2,2,1,2,2,2,9,9,2,2,1,9,9,9,2,9,9,1,2,1,2,9,9,1,2,1,2,9,2,9,1,1,9,2,2,2,1,9,9,2,1,2,2,9,9,9,2,9,9,9,9,9,9,9,2,1,2,9,9,9,9
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02 ,1984.07.09 , 2009.08.02 ,(Retirement),8,8,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,9,9,9,9,9,9,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,8,8,1,2,2,2,2,9,1,9,1,2,2,2,1,1,1,2,1,2,2,1,8,8,8,2,2,2,2,1,1,2,2,1,2,2,2,2,2
"Robertson, Brenda",Conservative Party of Canada,New Brunswick,"Mulroney, Martin Brian",1984.12.21 - 2004.05.23 ,1984.12.21 , 2004.05.23 ,(Retirement),9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,1,9,1,1,2,1,2,1,1,9,2,1,2,1,1,1,1,2,1,1,1,1,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Simard, Jean-Maurice",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1985.06.26 - 2001.06.16 ,1985.06.26 , 2001.06.16 ,(Death),2,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Atkins, Norman K.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1986.06.30 - 2009.06.27 ,1986.06.30 , 2009.06.27 ,(Retirement),9,9,9,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,9,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,9,1,1,2,9,9,9,9,9,1,1,2,1,2,8,8,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2
"Cochrane, Ethel M.",Conservative Party of Canada,Newfoundland and Labrador,"Mulroney, Martin Brian",1986.11.17 - ,1986.11.17 , ,,2,2,1,9,1,1,2,1,1,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,9,1,9,9,2,1,1,1,9,1,9,2,1,2,1,1,2,2,1,2,1,1,9,9,2,1,9,1,9,9,1,1,9,1,2,1,1,1,1,9,1,9,9,1,9,2,2,1,1,2,9,9,9,9,1
"Rossiter, Eileen",Conservative Party of Canada,Prince Edward Island,"Mulroney, Martin Brian",1986.11.17 - 2004.07.14 ,1986.11.17 , 2004.07.14 ,(Retirement),2,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Spivak, Mira",Independent,Manitoba,"Mulroney, Martin Brian",1986.11.17 - 2009.07.12 ,1986.11.17 , 2009.07.12 ,(Retirement),9,9,9,1,1,1,2,9,9,9,1,1,1,1,1,1,1,9,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,1,1,9,9,2,8,9,1,9,9,9,2,1,2,1,9,9,2,1,2,1,1,1,2,9,9,1,9,1,9,1,9,9,9,9,9,9,9,2,2,2,9,9,1,2,1,1,1,2,1,9,1,1,1,9
"Beaudoin, Gí©rald A.",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2004.04.15 ,1988.09.26 , 2004.04.15 ,(Retirement),2,2,1,1,9,1,2,1,1,9,1,1,1,1,1,9,9,1,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,1,1,1,9,1,2,1,1,1,9,1,1,1,8,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,9,2,1,1,1,9,9,1,1,9,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Bolduc, Roch",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2003.09.10 ,1988.09.26 , 2003.09.10 ,(Retirement),2,2,1,1,1,1,2,9,9,1,1,1,1,1,1,9,9,1,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,1,9,9,9,1,1,2,1,1,1,1,1,1,9,2,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Carney, Pat",Conservative Party of Canada,British Columbia,"Mulroney, Martin Brian",1990.08.30 - 2008.01.31 ,1990.08.30 , 2008.01.31 ,(Resignation),9,9,9,9,9,1,2,9,9,9,1,9,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,2,1,8,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Comeau, Gerald J.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,9,9,9,9,9,1,1,1,1,1,2,1,1,1,9,1,1,9,2,1,1,1,1,1,1,9,9,9,9,9,9,2,9,9,1,1,9,1,2,9,9,9,9,1,1,1,9,1,2,1,1,1,1,1,1,9,9,1,1,2,2,1,9,9,9,9,9,9,9
"Di Nino, Consiglio",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,9,9,9,1,1,1,2,1,9,1,1,1,1,1,1,1,1,1,9,9,9,9,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,9,9,9,1,1,1,9,2,1,9,9,9,1,1,2,1,2,1,1,9,9,9,9,9,1,1,9,2,9,9,9,9,9,1,9,2,1,2,9,1,1,1,9,1,1,9,1,1,2,2,1,9,9,9,9,9,9,1
"Oliver, Donald H.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.09.07 - ,1990.09.07 , ,,2,2,1,1,1,1,2,1,1,1,9,1,9,9,9,9,9,1,1,1,1,2,9,1,2,1,1,1,2,1,2,2,1,1,1,2,9,9,9,1,1,2,1,1,1,1,1,1,1,2,9,1,1,9,9,9,2,1,2,1,9,9,9,9,9,1,1,1,9,2,1,1,9,9,9,9,9,9,1,2,9,1,1,9,9,9,9,9,1,9,9,2,1,9,9,9,1,1,1,1
"Buchanan, John M.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.09.12 - 2006.04.22 ,1990.09.12 , 2006.04.22 ,(Retirement),9,9,9,1,1,9,9,9,9,1,1,9,1,1,1,1,1,1,9,9,1,2,9,9,9,1,1,1,2,1,2,2,9,9,9,9,9,1,1,9,9,2,1,1,1,9,9,1,9,2,1,1,1,9,9,9,9,1,2,1,9,9,9,9,9,1,9,9,1,2,9,9,9,9,9,9,1,2,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Kinsella, Noí‚l A.",Conservative Party of Canada,New Brunswick,"Mulroney, Martin Brian",1990.09.12 - ,1990.09.12 , ,,2,2,1,1,1,1,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,9,9,9,1,1,1,1,2,1,1,1,1,1,1,2,1,2,9,9,9,2,1,2,1,1,1,1,2,9,1,1,1,1,1,1,2,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1
"DeWare, Mabel M.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1990.09.23 - 2001.08.09 ,1990.09.23 , 2001.08.09 ,(Retirement),2,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Eyton, John Trevor",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2009.07.12 ,1990.09.23 , 2009.07.12 ,(Retirement),9,9,9,9,1,1,2,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,9,9,9,2,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,1,2,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,1,9,9,1,1,2,2,1,9,9,9,9,9,9,1
"Kelleher, James Francis",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2005.10.02 ,1990.09.23 , 2005.10.02 ,(Retirement),9,9,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,9,9,1,1,1,2,1,2,9,1,1,1,2,1,1,1,9,9,2,9,9,9,1,1,9,9,2,9,1,1,1,1,1,9,9,9,9,9,9,2,1,2,1,9,1,9,2,9,9,9,9,9,1,9,9,9,9,9,1,9,1,9,1,9,9,9,1,2,2,1,1,8,9,1,1,1,9
"Lynch-Staunton, John",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1990.09.23 - 2005.06.19 ,1990.09.23 , 2005.06.19 ,(Retirement),2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,9,9,1,1,1,1,1,1,1,1,1,1,2,2,1,1,8,1,1,1,1,1
"Berntson, Eric A.",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1990.09.27 - 2001.02.27 ,1990.09.27 , 2001.02.27 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Forrestall, J. Michael",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.09.27 - 2006.06.08 ,1990.09.27 , 2006.06.08 ,(Death),2,2,1,1,1,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,9,9,9,9,9,9,9,9,9,1,1,1,9,2,9,1,1,9,1,1,2,1,2,1,1,9,2,1,2,1,9,1,9,2,1,1,1,1,1,1,9,9,1,2,1,1,1,1,1,1,1,1,9,9,9,9,9,1,2,1,1,1,1,1
"Johnson, Janis G.",Conservative Party of Canada,Manitoba,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,9,9,9,1,9,1,2,9,9,9,1,9,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,1,1,1,9,1,2,1,1,1,9,9,9,9,9,9,9,9,9,1,9,2,1,2,1,9,9,2,9,9,1,1,1,2,2,9,1,1,1,9,1,1,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,8,1,9,1,1,1,9
"Keon, Wilbert Joseph",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.27 - 2010.05.17 ,1990.09.27 , 2010.05.17 ,(Retirement),2,2,1,9,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,2,9,1,8,1,1,1,2,1,2,9,1,1,1,2,1,1,1,9,1,9,1,1,1,9,1,1,1,2,1,1,1,1,1,1,9,9,9,9,9,9,2,9,9,1,1,1,9,2,9,1,1,1,9,1,1,2,9,9,9,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1
"Lavoie-Roux, Thí©ríÂse",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.09.27 - 2001.03.12 ,1990.09.27 , 2001.03.12 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Meighen, Michael A.",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,9,9,9,1,1,9,9,9,9,9,9,1,1,9,9,9,9,9,1,1,1,2,9,1,8,1,1,1,2,1,2,9,1,1,1,2,9,9,9,9,9,2,1,1,1,9,1,9,9,9,9,9,1,1,1,9,2,9,9,1,9,9,2,1,2,1,9,1,9,9,9,9,9,9,9,1,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,8,9,9,9,9,9
"Andreychuk, Raynell",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,1,8,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,9,2,1,9,1,1,9,9,2,1,2,1,1,2,2,1,2,1,1,1,2,2,9,1,1,9,9,1,9,2,9,9,1,1,1,9,9,9,9,9,1,9,9,9,1,8,1,1,9,1,1,9
"Rivest, Jean-Claude",Independent,Quebec,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,2,2,1,1,9,1,2,9,9,1,9,1,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1,1,2,1,2,2,1,1,1,2,9,1,1,1,9,2,1,1,1,9,9,1,9,2,1,1,1,9,9,9,9,1,2,9,9,9,9,9,9,1,9,1,9,2,9,1,1,1,1,1,9,9,9,9,9,9,1,1,9,1,9,9,9,9,9,9,9,8,1,9,9,9,9,9
"Stratton, Terry",Conservative Party of Canada,Manitoba,"Mulroney, Martin Brian",1993.03.25 - ,1993.03.25 , ,,9,9,9,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,1,8,1,1,1,2,1,2,2,1,1,1,2,9,9,9,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,9,9,1,2,1,1,2,2,1,2,1,9,1,1,2,1,1,1,1,1,1,1,2,9,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,9
"Gustafson, Leonard J.",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.05.26 - 2008.11.10 ,1993.05.26 , 2008.11.10 ,(Retirement),8,1,8,9,1,1,2,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,1,1,9,9,2,9,1,9,1,1,1,2,1,2,1,1,9,9,9,9,1,1,9,1,2,1,9,9,9,9,1,1,9,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Prud'homme, Marcel",Independent,Quebec,"Mulroney, Martin Brian",1993.05.26 - 2009.11.30 ,1993.05.26 , 2009.11.30 ,(Retirement),2,2,1,2,2,1,2,9,1,9,1,9,1,1,9,1,1,1,1,1,8,1,2,1,8,1,1,1,2,1,2,2,1,1,1,2,9,9,9,1,1,2,9,9,9,9,1,1,1,9,9,1,1,1,1,1,2,1,2,1,1,8,1,1,2,1,1,1,1,2,2,1,1,8,8,1,9,1,2,1,2,2,2,9,9,9,9,9,1,9,9,9,1,8,1,1,1,1,1,9
"Cohen, Erminie J.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1993.06.04 - 2001.07.23 ,1993.06.04 , 2001.07.23 ,(Retirement),9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Tkachuk, David",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.06.08 - ,1993.06.08 , ,,2,8,1,1,1,9,9,9,9,1,1,9,1,1,1,1,1,9,9,1,1,2,9,1,2,9,1,1,2,1,2,2,1,1,1,2,1,1,1,1,9,2,1,1,1,9,9,9,9,2,1,1,1,1,1,1,9,1,2,1,1,9,2,1,2,1,1,9,1,2,9,9,9,9,9,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,2,2,1,1,2,9,1,1,1,1
"Angus, W. David",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1993.06.10 - ,1993.06.10 , ,,2,2,1,1,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,1,9,2,9,9,9,9,1,1,1,1,9,9,9,9,9,9,9,1,2,9,1,1,1,9
"LeBreton, Marjory",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,2,2,1,1,1,1,2,9,9,9,1,1,1,1,9,9,9,1,1,1,1,2,9,1,2,1,1,1,2,1,2,2,1,1,1,2,9,9,9,9,1,9,1,1,1,9,1,9,1,2,1,9,1,1,1,1,2,1,2,1,1,9,2,1,2,1,1,1,9,2,9,9,9,9,1,1,1,2,9,2,1,1,1,9,9,9,9,9,1,9,9,9,1,8,1,1,1,1,1,9
"Nolin, Pierre Claude",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,2,2,1,1,1,1,2,9,9,9,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,9,9,9,1,1,2,1,1,1,2,9,1,9,2,9,2,9,1,1,1,2,1,2,1,1,9,2,1,2,1,9,1,1,2,2,1,1,9,9,9,2,2,1,2,9,1,1,9,9,9,9,9,1,9,9,9,1,8,1,1,1,1,1,1
"St. Germain, Gerry",Conservative Party of Canada,British Columbia,"Mulroney, Martin Brian",1993.06.23 - ,1993.06.23 , ,,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,2,1,1,9,1,1,1,2,9,9,9,9,9,2,9,2,1,9,9,9,2,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,9,1,1,1,9
"Bacon, Lise",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - 2009.08.25 ,1994.09.15 , 2009.08.25 ,(Retirement),2,2,1,2,9,2,1,9,2,8,9,9,9,2,2,2,2,2,9,2,2,1,1,9,1,9,9,9,9,2,1,1,2,2,2,1,9,2,9,2,2,1,2,2,2,9,9,9,2,1,2,2,2,2,2,2,8,8,8,2,2,9,1,1,2,2,2,2,9,1,2,1,2,2,2,1,2,1,2,1,9,9,2,2,2,2,9,9,2,2,1,1,2,2,1,9,2,2,2,2
"Carstairs, Sharon",Liberal Party of Canada,Manitoba,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - ,1994.09.15 , ,,2,2,1,2,9,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,2,2,9,2,1,2,2,2,2,2,2,2,9,2,1,2,2,2,9,9,9,9,9,2,2,1,1,2,2,1,2,2,2,2,2
"Pearson, Landon",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - 2005.11.16 ,1994.09.15 , 2005.11.16 ,(Retirement),2,2,1,2,9,2,1,9,9,1,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,9,2,2,1,2,1,2,2,1,1,9,9,2,2,2,2,1,2,1,2,9,2,2,2,9,2,1,2,9,2,9,9,9,9,9,2,2,1,1,2,2,1,9,2,2,2,2
"Bryden, John G.",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1994.11.23 - 2009.10.31 ,1994.11.23 , 2009.10.31 ,(Resignation),9,9,9,2,2,2,1,1,1,1,2,2,2,2,2,9,9,2,2,2,2,1,1,2,1,2,2,2,1,2,1,9,9,9,9,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,9,2,1,2,2,9,9,9,9,2,2,2,9,1,9,1,2,9,2,1,9,9,9,9,9,2,1,9,9,9,9,9,2,2,1,1,2,2,1,9,9,9,9,9
"Gauthier, Jean-Robert",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1994.11.23 - 2004.10.22 ,1994.11.23 , 2004.10.22 ,(Retirement),2,2,1,2,2,2,1,9,9,9,2,2,2,2,9,9,9,2,2,2,2,1,9,2,1,2,2,2,1,2,1,1,2,2,2,1,9,9,9,2,2,1,2,2,2,1,2,2,2,8,2,2,9,2,2,2,8,9,9,2,2,9,8,9,9,2,2,2,9,1,9,8,2,9,2,1,9,1,8,1,2,2,2,2,9,2,2,2,2,2,1,1,9,2,1,2,2,2,2,9
"Hervieux-Payette, Cí©line",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1995.03.21 - ,1995.03.21 , ,,2,2,1,2,2,2,1,9,9,2,2,1,1,2,2,2,9,2,9,9,2,1,1,8,1,8,9,9,9,9,9,1,2,2,2,1,9,9,9,2,2,1,2,2,2,2,2,9,2,1,2,2,9,9,2,8,9,2,1,2,2,9,9,9,9,2,2,2,9,1,9,1,9,9,9,9,9,1,9,9,2,2,9,9,9,2,9,9,2,2,1,1,2,2,1,9,8,8,8,2
"Losier-Cool, Rose-Marie",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1995.03.21 - ,1995.03.21 , ,,2,2,1,2,2,2,1,9,9,9,2,2,2,2,2,2,9,9,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,9,9,2,2,9,2,2,1,2,2,2,9,2,2,9,1,2,2,2,2,2,2,9,9,9,9,9,9,1,9,9,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,9,9,2,2,1,1,2,2,1,2,2,2,2,2
"Milne, Lorna",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - 2009.12.13 ,1995.09.21 , 2009.12.13 ,(Retirement),2,2,1,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,9,9,1,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2
"Poulin (Charette), Marie-P.",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - ,1995.09.21 , ,,2,2,1,2,2,2,1,1,2,8,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,9,2,2,9,2,9,2,2,2,9,1,2,1,2,2,1,1,2,1,2,9,2,2,1,9,9,2,9,2,1,9,9,9,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,9
