Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S30S1V01,S30S1V02,S30S1V03,S30S1V04,S30S1V05,S30S1V06,S30S1V07,S30S1V08,S30S1V09,S30S1V10,S30S1V11,S30S1V12,S30S2V01,S30S2V02,S30S2V03,S30S2V04,S30S2V05,S30S2V06,S30S2V07,S30S3V01,S30S3V02,S30S3V03,S30S3V04,S30S3V05,S30S4V01,S30S4V02,S30S4V03,S30S4V04,S30S4V05,S30S4V06,S30S4V07
"Rowe, Frederick William",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1971.12.09 - 1987.09.28 ,1971.12.09 , 1987.09.28 ,(Retirement),9,2,2,9,9,9,9,1,1,9,9,9,1,2,1,9,2,2,9,2,1,2,9,9,1,9,9,9,9,9,2
"McGrand, Frederic Addison",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1988.01.22 ,1955.07.28 , 1988.01.22 ,(Resignation),2,2,2,9,2,2,2,9,1,2,1,1,1,2,1,9,1,2,2,2,9,9,9,9,9,9,9,9,9,2,9
"Barrow, Augustus Irvine",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1988.02.15 ,1974.05.08 , 1988.02.15 ,(Retirement),2,2,9,2,9,9,9,2,9,2,9,1,1,2,1,2,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2
"Rousseau, Yvette Boucher",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1988.03.17 ,1979.03.27 , 1988.03.17 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Lafond, Paul C.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1970.10.07 - 1988.05.27 ,1970.10.07 , 1988.05.27 ,(Death),9,2,2,1,2,2,2,2,1,2,1,1,1,1,9,2,9,9,2,2,1,2,2,2,1,2,2,1,1,2,2
"Langlois, J. G. Lí©opold",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1988.10.02 ,1966.07.08 , 1988.10.02 ,(Retirement),2,2,2,9,2,2,2,2,1,2,1,2,9,2,1,2,2,2,2,1,1,2,9,2,1,2,2,9,9,2,2
"Cottreau, Ernest G.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1989.01.28 ,1974.05.08 , 1989.01.28 ,(Retirement),2,2,2,2,2,2,2,2,1,2,9,1,1,2,1,2,2,2,2,2,1,2,2,2,1,9,9,9,9,2,2
"Walker, David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30 ,1963.02.04 , 1989.09.30 ,(Resignation),9,9,9,9,1,9,9,9,9,1,2,9,9,9,9,1,1,1,1,1,2,9,9,1,9,9,9,9,9,1,1
"Bell (Heath), Ann Elizabeth Haddon",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 1989.11.29 ,1970.10.07 , 1989.11.29 ,(Death),9,9,9,2,1,9,9,9,9,9,9,2,1,9,9,1,9,9,2,1,1,1,9,2,9,9,9,9,9,1,1
"Hicks, Henry Davies",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1990.03.05 ,1972.04.27 , 1990.03.05 ,(Retirement),2,2,9,9,2,9,9,9,9,1,9,9,9,9,9,9,1,2,9,2,1,9,2,9,9,9,9,9,9,9,9
"McElman, Charles Robert",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1966.02.24 - 1990.04.01 ,1966.02.24 , 1990.04.01 ,(Resignation),2,2,2,9,2,2,2,2,1,2,1,1,1,9,9,1,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2
"Asselin, Martial",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1990.08.07 ,1972.09.01 , 1990.08.07 ,(Resignation),1,1,9,1,2,1,1,9,9,1,9,2,2,1,1,9,1,1,1,1,9,9,1,1,9,9,9,9,9,9,9
"Anderson, Margaret Jean",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1978.03.23 - 1990.08.07 ,1978.03.23 , 1990.08.07 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,9,1,2,2,1,1,2,2
"Flynn, Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22 ,1962.11.09 , 1990.08.22 ,(Resignation),1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,9,9,9,9,1,1
"Guay, Joseph-Phillippe",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1990.10.04 ,1978.03.23 , 1990.10.04 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,2,9,1,2,2,9,9,2,2
"Steuart, David Gordon",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1976.12.09 - 1991.01.26 ,1976.12.09 , 1991.01.26 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,9,2,1,2,2,2,2,2,1,1,9,2,9,9,9,9,9,2,9
"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),2,9,9,9,2,2,2,9,1,2,1,9,1,2,1,2,2,2,9,2,1,9,9,2,9,9,9,9,9,2,2
"Denis, Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04 ,1964.02.03 , 1991.09.04 ,(Death),2,2,9,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,9,9,9
"Argue, Hazen Robert",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1966.02.24 - 1991.10.02 ,1966.02.24 , 1991.10.02 ,(Death),9,1,9,1,2,9,2,9,1,9,1,1,1,2,9,1,1,1,9,2,1,9,2,9,2,9,9,9,9,9,9
"Buckwold, Sidney Labe",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1971.11.04 - 1991.11.03 ,1971.11.04 , 1991.11.03 ,(Retirement),2,2,9,9,2,2,2,2,1,2,9,1,9,9,9,2,9,9,9,1,9,9,2,2,9,9,9,9,9,2,9
"Van Roggen, George Clifford",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.11.04 - 1992.06.08 ,1971.11.04 , 1992.06.08 ,(Death),9,9,9,9,9,2,2,9,1,9,9,1,1,9,9,9,1,2,2,2,1,9,9,9,1,9,9,9,9,9,9
"Roblin, Dufferin (Duff)",Progressive Conservative Party,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1992.06.17 ,1978.03.23 , 1992.06.17 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,1,2,1,1,1,2,1,1
"Leblanc, Fernand-E.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1992.07.01 ,1979.03.27 , 1992.07.01 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bí©lisle, Rhí©al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),1,1,9,1,1,1,9,1,9,1,9,2,9,1,9,9,1,1,9,1,2,1,1,9,2,9,9,9,9,1,1
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),9,9,9,9,2,1,2,2,9,9,1,2,1,1,1,9,1,1,9,1,2,1,9,2,9,9,9,9,9,9,9
"Everett, Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20 ,1966.11.08 , 1994.01.20 ,(Resignation),2,9,2,2,9,9,9,9,9,9,9,2,1,9,1,9,1,1,9,2,1,1,9,9,9,9,9,9,9,9,9
"Lang, Daniel Aiken",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),1,9,9,9,9,2,2,1,9,1,9,9,1,9,9,1,2,2,9,9,2,9,2,2,1,2,2,1,1,9,9
"Frith, Royce Herbert",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1994.08.29 ,1977.04.05 , 1994.08.29 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,9,2,2,2,9,9,9,9,2,9,2,2,1,1,2,2
"Muir, Robert",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1979.03.26 - 1994.11.10 ,1979.03.26 , 1994.11.10 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Marshall, Jack",Progressive Conservative Party,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1994.11.26 ,1978.03.23 , 1994.11.26 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,1,2,1,1,1,2,9,9
"Neiman, Joan Bissett",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1995.09.09 ,1972.09.01 , 1995.09.09 ,(Retirement),2,2,2,1,2,2,2,1,1,1,9,1,2,9,9,9,2,2,2,9,1,9,2,2,9,9,9,9,9,2,2
"Thí©riault, L. Norbert",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1979.03.26 - 1996.02.16 ,1979.03.26 , 1996.02.16 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Olson, Horace Andrew ",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1977.04.05 - 1996.03.07 ,1977.04.05 , 1996.03.07 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,2,2,2,2,1,9,9,9,9,9,9,9,9,2,2
"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05 ,1966.02.24 , 1996.05.05 ,(Death),9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,2
"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01 ,1966.02.24 , 1996.07.01 ,(Resignation),9,2,9,9,9,2,2,9,1,2,1,1,1,2,1,2,2,2,9,2,1,9,9,2,1,9,9,9,9,2,2
"Riel, Maurice",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1973.10.05 - 1997.04.03 ,1973.10.05 , 1997.04.03 ,(Retirement),9,9,9,9,9,9,9,9,1,9,1,9,1,9,9,2,2,2,9,2,9,1,9,2,9,9,9,9,9,9,9
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),1,1,1,9,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,9,1,9,9,9,9,9,1,1
"Rizzuto, Pietro",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.23 - 1997.08.03 ,1976.12.23 , 1997.08.03 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,2,2,2,2,2,1,2,2,2,1,9,9,9,9,2,9
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04 ,1971.11.04 , 1998.01.04 ,(Retirement),9,2,9,9,2,9,9,2,9,9,1,9,1,2,1,2,2,2,9,2,1,2,9,2,1,2,2,1,1,2,2
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),2,2,2,2,9,2,2,9,1,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2
"Haidasz, Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1998.03.04 ,1978.03.23 , 1998.03.04 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,2,2,2,9,9,9,9,9,2,2
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),9,9,9,9,9,9,9,9,9,9,1,9,9,2,9,1,9,9,9,9,9,9,9,9,1,2,2,1,1,2,2
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),9,2,9,9,9,9,9,2,9,9,1,1,9,2,2,9,9,9,9,2,9,9,2,2,9,9,9,9,9,2,2
"Bosa, Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10 ,1977.04.05 , 1998.12.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,1,2,2,2,2,1,2,2,2,9,2,2,1,1,9,9
"Wood, Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.26 - 1999.01.31 ,1979.03.26 , 1999.01.31 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),9,9,1,1,1,1,1,9,2,1,2,2,2,1,1,1,1,1,1,1,2,1,9,1,9,9,9,9,9,1,1
"Lucier, Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23 ,1975.10.23 , 1999.07.23 ,(Death),99,99,99,99,99,9,9,2,1,9,1,9,1,9,9,2,2,2,9,2,1,9,9,2,9,9,9,9,9,9,9
"Lewis, Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28 ,1978.03.23 , 1999.11.28 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,2,1,2,2,1,1,2,2
"Robichaud, Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 2000.10.21 ,1973.12.21 , 2000.10.21 ,(Retirement),2,2,2,2,9,2,2,9,1,9,1,2,9,2,1,9,2,2,2,9,9,9,9,9,1,2,2,1,9,2,2
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),2,2,2,2,2,2,2,2,9,2,1,1,1,2,1,9,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),9,9,9,9,2,2,2,9,1,9,1,9,9,2,1,2,1,1,2,2,1,2,9,2,1,2,2,1,1,2,2
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),2,2,2,2,2,9,9,9,1,2,9,1,1,2,1,2,2,2,9,9,9,9,2,2,1,2,9,9,1,9,9
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9,9,9,9,9,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),9,2,9,9,9,2,2,9,1,9,1,2,9,2,1,1,1,1,9,9,9,1,2,9,9,9,9,9,9,2,9
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),99,99,99,99,99,2,2,2,1,9,1,1,9,2,2,9,2,2,2,9,1,2,9,2,1,9,9,9,9,9,9
"Adams, Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,2,2,2,9,9,1,2,9,2,1,9,9,9,9,2,2
