Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S30S1V01,S30S1V02,S30S1V03,S30S1V04,S30S1V05,S30S1V06,S30S1V07,S30S1V08,S30S1V09,S30S1V10,S30S1V11,S30S1V12,S30S2V01,S30S2V02,S30S2V03,S30S2V04,S30S2V05,S30S2V06,S30S2V07,S30S3V01,S30S3V02,S30S3V03,S30S3V04,S30S3V05,S30S4V01,S30S4V02,S30S4V03,S30S4V04,S30S4V05,S30S4V06,S30S4V07
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"O'Leary, M. Grattan",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1976.04.07 ,1962.09.24 , 1976.04.07 ,(Death),1,9,1,1,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Boucher, William Albert",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23 ,1957.01.03 , 1976.06.23 ,(Death),2,2,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Prowse, James Harper",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1976.09.27 ,1966.02.24 , 1976.09.27 ,(Death),2,2,2,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Blois, Frederick Murray",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.01.14 - 1976.10.12 ,1960.01.14 , 1976.10.12 ,(Resignation),9,1,9,1,9,9,9,1,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Lefraní_ois, J.-EugíÂne",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05 ,1957.04.25 , 1976.11.05 ,(Resignation),2,2,9,9,9,2,2,2,1,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),2,2,9,2,9,2,2,2,9,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Carter, Chesley William",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1977.07.28 ,1966.07.08 , 1977.07.28 ,(Retirement),9,1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),9,9,2,9,2,9,9,9,9,9,9,9,2,1,1,9,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99
"Haig, James Campbell",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1962.06.15 - 1977.12.29 ,1962.06.15 , 1977.12.29 ,(Resignation),9,9,9,1,1,1,1,9,9,1,2,9,9,1,1,1,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"Duggan, James",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1966.07.08 - 1978.02.28 ,1966.07.08 , 1978.02.28 ,(Resignation),9,9,9,2,9,2,9,9,1,9,9,9,9,2,1,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"Ewasew, John",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.17 - 1978.03.26 ,1976.12.17 , 1978.03.26 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,1,1,9,1,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
