Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H02S1V001,H02S1V002,H02S1V003,H02S1V004,H02S1V005,H02S1V006,H02S1V007,H02S1V008,H02S1V009,H02S1V010,H02S1V011,H02S1V012,H02S1V013,H02S1V014,H02S1V015,H02S1V016,H02S1V017,H02S1V018,H02S1V019,H02S1V020,H02S1V021,H02S1V022,H02S1V023,H02S1V024,H02S1V025,H02S1V026,H02S1V027,H02S1V028,H02S1V029,H02S1V030,H02S1V031,H02S1V032,H02S1V033,H02S1V034,H02S1V035,H02S1V036,H02S1V037,H02S1V038,H02S1V039
65,BRANT NORTH,Ontario,1867 - 1892,2,1872.10.12,3376,f5d30e23-b256-446a-9fd2-3781d23bf77a,"FLEMING, Gavin",882,0.607,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,9,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2
66,BRANT SOUTH,Ontario,1867 - 1903,2,1872.10.12,1033,4c0343e7-af09-409c-8b15-82597243d468,"PATERSON, William",1378,0.5525,Liberal Party of Canada,Confectioner,Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,9,9,9,1,2,1,2,1,9,9,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,9,2,1,9,9
74,BROCKVILLE,Ontario,1867 - 1914,2,1872.10.12,882,3ffbd35a-fd46-4fb7-9bda-674a0645b48e,"BUELL, Jacob Dockstader",804,0.5034,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,9,1,2,1,2,1,2,9,1,1,2,1,1,1,9,9,9,9,9,2
75,BROME,Quebec,1867 - 1924,2,1872.10.12,2183,9c79d845-b0d3-4dc6-9e14-5495343317ef,"CARTER, Edward",1037,0.6327,Conservative (1867-1942),"Author, lawyer, professor of criminal law",Protestant,0,2,,,,,,,,,,,,,2,1,9,9,1,1,2,9,2,2,1,1,2,1,2,1,9,9,2,2,2,1,2,1,9,1,9,2,2,1,2,2,2,9,2,1,9,1,1
80,BRUCE NORTH,Ontario,1867 - 1933,2,1872.10.12,3417,f90a2d32-434e-4537-bbc6-38b7ff21271c,"GILLIES, John",974,0.506,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,1,2,9,2,2,2,1,1,2,1,2,9,1,2,9,9,9,9,1,9,1,2,1,2,9,2,1,1,1,2,1,1,1,2,1,2,1,2,2
81,BRUCE SOUTH,Ontario,1867 - 1882,2,1872.10.12,943,44706e27-27f3-4d7d-b8cd-491fd91cdb5a,"BLAKE, Hon. Edward",1878,0.9081,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,2,9,9,2,2,1,9,9,9,9,9,2,1,2,1,9,9,9,9,1,2,1,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9
107,CAPE BRETON,Nova Scotia,1867 - 1903,2,1872.10.12,936,44013450-2c4b-4911-8c72-8531c19f2bc4,"MCDONALD, William",1038,0.2537,Conservative (1867-1942),"Merchant, postmaster",Catholic,0,1,,,,,,,,,,,,,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,9,9,2,1,9
117,CARDWELL,Ontario,1867 - 1903,2,1872.10.12,2206,9e812587-a43a-4f72-a639-31ddc6dad2fc,"CAMERON, Hon. John Hillyard",1232,0.548,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,France,,,,2,1,9,9,9,9,2,9,2,2,1,1,2,1,2,1,2,1,2,1,9,9,2,1,9,1,9,2,2,1,2,9,9,9,9,9,9,9,9
118,CARIBOO,British Columbia,1872 - 1892,2,1872.10.12,3368,f5422b27-068a-4002-8020-2ae753525ce6,"THOMPSON, Joshua Spencer",accl.,,Liberal-Conservative,"Accountant, journalist",Protestant,0,2,,,,,,,,,Ireland,,,,2,1,2,1,1,1,2,2,2,2,1,9,2,1,2,1,2,1,2,9,2,1,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,1,1
123,CARLETON,Ontario,1867 - 1966,2,1872.10.12,1014,49a58660-ca8c-45a2-a695-9dedf7e70416,"ROCHESTER,",1024,0.5297,Conservative (1867-1942),Lumber merchant,Protestant,0,1,,,,,,,,,United States,,,,2,1,2,1,9,9,2,2,2,2,1,9,2,1,2,1,9,9,2,2,9,9,2,1,9,9,2,2,2,1,9,9,9,2,9,9,9,1,9
