Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H02S1V001,H02S1V002,H02S1V003,H02S1V004,H02S1V005,H02S1V006,H02S1V007,H02S1V008,H02S1V009,H02S1V010,H02S1V011,H02S1V012,H02S1V013,H02S1V014,H02S1V015,H02S1V016,H02S1V017,H02S1V018,H02S1V019,H02S1V020,H02S1V021,H02S1V022,H02S1V023,H02S1V024,H02S1V025,H02S1V026,H02S1V027,H02S1V028,H02S1V029,H02S1V030,H02S1V031,H02S1V032,H02S1V033,H02S1V034,H02S1V035,H02S1V036,H02S1V037,H02S1V038,H02S1V039
253,GREY SOUTH,Ontario,1867 - 1914,2,1872.10.12,1250,5b784d04-8c77-412a-b958-2c751b7bd2bf,"LANDERKIN, George",1150,0.5407,Liberal Party of Canada,Physician,Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,9,9,2,1,2,9,1,2,1,2,1,2,1,2,1,2,1,2,9,2,1,1,1,2,1,1,1,2,1,2,1,9,9
258,GUYSBOROUGH,Nova Scotia,1867 - 1914,2,1872.10.12,1407,67102274-0613-41d7-92fd-2b06f173a385,"CAMPBELL, Stewart",accl.,,Liberal-Conservative,Lawyer,Protestant,0,2,,,,,,,,,Jamaica,,,,2,1,2,1,2,2,2,2,2,2,1,9,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
259,HALDIMAND,Ontario,1867 - 1892,2,1872.10.12,461,21c1dc61-8e15-4770-a419-78fdc4a8c2e9,"THOMSON, David",accl.,,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,1,9,2,1,2,9,1,2,1,2,1,2,1,2,9,9,1,2,9,2,1,1,1,2,1,1,1,2,1,2,1,9,9
263,HALIFAX,Nova Scotia,1867 - ,2,1872.10.12,1740,7cd3f504-f409-4ac9-a1da-3a2d5586ff4c,"ALMON, William Johnston",2528,0.2555,Liberal-Conservative,Physician,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9
263,HALIFAX,Nova Scotia,1867 - ,2,1872.10.12,3326,f0e46a94-83b7-4b81-9326-a0b7fd3939e6,"TOBIN, Stephen",2486,0.2512,Liberal Party of Canada,"Insurance agent, merchant",Catholic,0,1,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,9,9,9,9,9,1,2,1,2,1,2,1,2,1,2,1,9,9,9,1,2,1,2,9,9
266,HALTON,Ontario,1867 - 1987,2,1872.10.12,1514,6dfe1f65-66d7-4c85-af7c-794cf1dd8ce4,"WHITE, John",1414,0.5253,Liberal Party of Canada,Lumber merchant,Protestant,0,2,,,,,,,,,Ireland,,,,1,2,9,2,2,2,1,1,2,1,2,9,2,1,2,1,2,1,1,2,1,2,1,2,9,2,1,1,1,2,1,1,1,9,1,2,1,2,9
268,HAMILTON,Ontario,1867 - 1903,2,1872.10.12,2190,9cb86da4-1414-4018-82a6-6f896df728fe,"CHISHOLM, Daniel B.",1443,0.2607,Liberal-Conservative,"Farmer, lawyer",Protestant,0,1,,,,,,,,,,,,,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,9
277,HASTINGS EAST,Ontario,1867 - 1924,2,1872.10.12,2948,d4542db0-3877-41ca-9e94-92a820724fea,"WHITE, John",818,0.4492,Conservative (1867-1942),"Foundryman, machinist",Protestant,0,2,,,,,,,,,Ireland,,,,2,1,9,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
278,HASTINGS NORTH,Ontario,1867 - 1903,2,1872.10.12,338,1871c43c-bda4-464a-949f-e8206ed0d673,"BOWELL, Mackenzie",766,0.5781,Conservative (1867-1942),"Editor, printer",Protestant,0,2,,,,,,,,,England,,,,2,1,2,9,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,9,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,9,1
280,HASTINGS WEST,Ontario,1867 - 1924,2,1872.10.12,333,180eff99-5fdf-43d8-8abb-3e3653611be2,"BROWN, James",1030,0.6417,Conservative (1867-1942),Businessman,Protestant,0,2,,,,,,,,,Scotland,,,,2,1,9,1,1,1,2,9,2,2,1,1,9,9,9,9,9,9,2,2,2,1,2,1,2,1,2,2,2,1,9,9,9,9,2,1,9,9,9
287,HOCHELAGA,Quebec,1867 - 1978,2,1872.10.12,3477,fec8379f-c8e1-447a-98a4-ccee4bf15d4c,"BEAUBIEN, Louis",1800,0.584,Conservative (1867-1942),"Businessman, farmer",Fr.Catholic,1,1,,,,,,,,,,,,,2,1,2,1,9,9,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,9,1,2,1,9,9,9,1,2,1,2,1,9
298,HUNTINGDON,Quebec,1867 - 1914,2,1872.10.12,34,036de5c8-7511-43b9-a55d-8a5c5ec1b773,"SCRIVER, Julius",accl.,,Liberal Party of Canada,"Miller, tanner",Protestant,0,2,,,,,,,,,,,,,9,9,9,2,2,2,2,1,9,9,9,9,9,9,2,1,2,1,9,9,2,1,9,9,2,2,1,2,2,1,2,9,9,2,9,1,2,9,9
300,HURON CENTRE,Ontario,1872 - 1882,2,1872.10.12,1486,6cc239f6-b672-4c65-bfa7-3f8390e87801,"HORTON, Horace",1354,0.6094,Liberal Party of Canada,Insurance agent,Protestant,0,1,,,,,,,,,England,,,,1,2,1,2,2,2,1,1,2,1,2,9,9,9,9,9,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,9,2,1,9,9
302,HURON NORTH,Ontario,1867 - 1882,2,1872.10.12,319,1774b6a7-5fc4-4176-b125-c59db0ad31f0,"FARROW, Thomas",1550,0.5328,Liberal-Conservative,School superintendent,Protestant,0,1,,,,,,,,,England,,,,2,1,2,1,1,1,2,1,2,2,1,1,1,2,9,9,2,1,2,1,2,1,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9
304,HURON SOUTH,Ontario,1867 - 1933,2,1872.10.12,473,22962b8e-2f39-4509-bd67-c98056fe5bf1,"CAMERON, Malcolm Collin",1393,0.5157,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,9,9,1,2,2,2,9,9,2,1,2,9,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9
309,IBERVILLE,Quebec,1867 - 1892,2,1872.10.12,590,2b8629c1-6e3d-45ef-84c5-f9bd80ecb59a,"BECHARD, Francois",accl.,,Liberal Party of Canada,Farmer,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,9,9,9,9,1,2,1,2,9,2,1,1,1,2,9,9,9,9,1,1,1,2,9
311,INVERNESS,Nova Scotia,1867 - 1933,2,1872.10.12,2248,a13855e8-bc22-450c-bfac-16416bb2de2a,"MCDONNELL, Samuel",1293,0.5121,Conservative (1867-1942),Lawyer,Catholic,0,1,,,,,,,,,,,,,9,9,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
313,JACQUES CARTIER,Quebec,1867 - 1952,2,1872.10.12,2825,ca44c219-d6ff-4af3-8fa8-1c4e83aa6de5,"LAFLAMME, Rodolphe",685,0.5189,Liberal Party of Canada,"Editor, lawyer, professor",Fr.Catholic,1,1,,,,,,,,,,,,,1,2,9,9,2,2,1,9,2,1,2,1,1,2,1,2,1,2,1,9,9,9,1,2,1,2,9,1,1,2,9,9,9,9,9,9,1,2,9
316,JOLIETTE,Quebec,1867 - 1933,2,1872.10.12,995,48141e6c-8fe0-473c-97dd-1102256bc345,"BABY, Louis Francois George",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,9,9,1,1,2,2,9,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,9,9,9,1,2,1,2,1,1
323,KAMOURASKA,Quebec,1867 - 1976,2,1872.10.12,2907,d11848d7-3e46-46f9-a732-8175a18354fd,"PELLETIER, Charles Pantaleon",1143,0.5224,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,9,9,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,9,9
326,KENT,Ontario,1867 - 1903,2,1872.10.12,1622,75a05f12-391a-4138-93bc-e40176b9f447,"STEPHENSON, Rufus",1874,0.52,Conservative (1867-1942),"Newspaper editor, newspaper owner",Protestant,0,2,,,,,,,,,United States,,,,2,1,2,1,9,9,2,2,2,2,1,9,9,9,9,9,9,9,2,9,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
327,KENT,New Brunswick,1867 - 1966,2,1872.10.12,2225,9f718355-f606-4190-99e0-992d15f8ba87,"CUTLER, Robert Barry",1381,0.5237,Liberal Party of Canada,Paymaster,Unknown,0,1,,,,,,,,,,,,,2,1,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,1,1,9,1,2,1,2,9,9,9,2,1,2,9,1
335,KING'S,New Brunswick,1867 - 1903,2,1872.10.12,868,3ef5184c-f4a0-43fc-8f0c-803b89c5e5ce,"DOMVILLE, James",1507,0.4698,Conservative (1867-1942),"Merchant, shipbuilder",Protestant,0,1,,,,,,,,,"Belize, British Honduras",,,,2,1,2,9,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,9,2,1,2,1,2,1,2,2,2,1,9,9,9,9,9,9,9,9,9
339,KINGS,Nova Scotia,1867 - 1924,2,1872.10.12,5,00de01c4-2b34-4d73-bde8-69eeb7c7774a,"CHIPMAN, Leverett de Veber",1317,0.6488,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,,,,,2,1,2,9,9,9,2,2,2,2,1,2,9,9,2,1,2,1,2,9,2,1,2,1,9,1,9,2,2,1,2,2,2,9,2,1,2,9,1
340,KINGSTON,Ontario,1867 - 1924,2,1872.10.12,1233,59dd9d42-12e0-4d91-af20-4a5de0ea5e12,"MACDONALD, Sir John A., K.B.C.,",735,0.5489,Liberal-Conservative,Lawyer,Protestant,0,2,,1,,,,,,,Scotland,,,,2,1,2,1,1,1,2,9,2,2,1,9,2,1,9,9,2,1,2,1,2,1,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,1,1
349,L'ASSOMPTION,Quebec,1867 - 1914,2,1872.10.12,2757,c5c7c92c-c766-4756-af72-ba9c581dc13a,"ARCHAMBAULT, Hon. Louis",905,0.5445,Liberal-Conservative,Notary,Fr.Catholic,1,2,,,,,,,,,,,,,9,9,9,9,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,9,1,2,2,2,1,9,9,9,1,9,9,9,9,9
351,L'ISLET,Quebec,1867 - 1933,2,1872.10.12,1997,8f66ba4f-a22c-4b35-a245-d606e34fd1f1,"CASGRAIN, Philippe Baby",646,0.5189,Liberal Party of Canada,"Author, lawyer",Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,1,9,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,9,2,1,1,1,2,1,9,9,2,1,1,1,2,9
362,LAMBTON,Ontario,1867 - 1882,2,1872.10.12,1471,6b844758-6f54-4c68-8373-f26140d22ff6,"MACKENZIE, Hon. Alexander",2190,0.5848,Liberal Party of Canada,"Contractor, editor",Protestant,0,2,,,,,,,,,Scotland,,,,1,2,1,2,2,9,1,1,2,1,2,1,9,9,9,9,9,9,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2
369,LANARK NORTH,Ontario,1867 - 1914,2,1872.10.12,3302,ef70df8d-94d1-49d0-be93-0bb66ab15633,"GALBRAITH, Daniel",559,0.4461,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,2,1,2,9,1,2,9,9,1,2,1,2,1,2,1,2,9,2,1,1,9,9,9,9,9,2,1,2,1,2,2
370,LANARK SOUTH,Ontario,1867 - 1914,2,1872.10.12,11,0161da2d-c63a-468c-a51e-070c1f9ee40f,"HAGGART, John Graham",1318,0.7011,Conservative (1867-1942),Mill owner,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,9,2,1,2,1,9,9,2,1,2,1,2,1,9,1,9,9,9,9,9,9,9,9,2,1,2,9,9
374,LAPRAIRIE,Quebec,1867 - 1892,2,1872.10.12,2607,bacca013-a9c7-4b74-ada1-1d647676b5a8,"PINSONNEAULT, Alfred",632,0.5289,Conservative (1867-1942),"Farmer, judge",Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,2,1,1,2,9,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,9,9,9,2,2,9,2,9,9
389,LEEDS NORTH AND GRENVILLE NORTH,Ontario,1867 - 1903,2,1872.10.12,1767,7fb9b4b8-74d2-4e31-9b30-8fd847360641,"JONES, Francis",963,0.5554,Conservative (1867-1942),"Civil engineer, land surveyor",Protestant,0,2,,,,,,,,,Ireland,,,,9,9,2,1,1,1,2,2,9,9,9,9,9,9,2,1,2,1,2,1,2,1,9,9,9,1,2,9,2,1,9,9,9,9,2,1,2,1,1
390,LEEDS SOUTH,Ontario,1867 - 1903,2,1872.10.12,1606,74306bed-8848-4eaa-bfbe-52f41b63d3cb,"RICHARDS, Albert N.",1270,0.5024,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,1,2,1,2,9,9,1,1,9,9,9,1,9,9,2,1,2,1,9,9,1,2,1,2,9,2,9,9,1,2,9,9,9,2,9,9,9,9,9
392,LENNOX,Ontario,1867 - 1903,2,1872.10.12,466,221bfffd-b6d9-41fd-99ba-f08555304a71,"CARTWRIGHT, Richard John",1224,0.7047,Liberal Party of Canada,"Author, banker, businessman",Protestant,0,2,,,,,,,,,,,,,1,2,1,1,9,9,1,9,9,9,9,1,2,1,2,1,2,1,9,1,9,9,1,2,9,1,9,9,1,2,9,9,9,9,1,2,2,9,9
397,LINCOLN,Ontario,1867 - 1882,2,1872.10.12,1095,50dac959-2f13-48da-8627-80453c196295,"MERRITT, Thomas Rodman",1118,0.6683,Liberal Party of Canada,"Miller, shipper",Protestant,0,2,,,,,,,,,United States,,,,2,1,2,1,2,2,2,9,9,9,9,1,2,1,2,1,2,1,2,1,2,1,2,1,9,1,2,2,2,1,9,9,9,9,9,9,9,9,9
400,LISGAR,Manitoba,1871 - 1987,2,1872.10.12,726,35541ccf-8242-4f22-b82c-aebeef40d396,"SCHULTZ, John Christian",273,0.6808,Conservative (1867-1942),"Newspaper publisher, physician",Protestant,0,2,,,,,,,,,,,,,9,9,2,1,9,9,2,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
401,LONDON,Ontario,1867 - 1966,2,1872.10.12,2710,c24b8c34-80ba-4bd2-93fc-2ee2c64c11d7,"CARLING, Hon. John",1101,0.5801,Liberal-Conservative,Brewer,Protestant,0,2,,,,,,,,,,,,,2,1,2,1,1,1,2,9,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,9,2,1,2,9,9
407,LOTBINIERE,Quebec,1867 - 2000,2,1872.10.12,946,4488dfa3-db5c-44b7-9416-73a88c1dbacc,"JOLY, Henry Gustave",accl.,,Liberal Party of Canada,Lawyer,Protestant,1,2,,,,,,,,,France,,,,1,2,1,2,2,2,1,9,2,1,2,1,1,2,1,2,9,9,9,2,1,2,1,2,9,2,9,1,9,9,9,9,9,9,9,9,9,9,9
409,LUNENBURG,Nova Scotia,1867 - 1924,2,1872.10.12,234,11a69192-8a8a-4561-974c-0db44e0f5160,"CHURCH, Charles Edward",1338,0.5262,Liberal Party of Canada,"Merchant, teacher",Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,9,1,2,9,1,2,1,2,1,2,1,1,9,1,2,1,2,9,9,1,9,1,2,9,9,9,1,2,1,9,2,2
396,LEVIS,Quebec,1867 - 1998,2,1872.10.12,2724,c3bc9eeb-4b21-44c8-816a-787dddd8f7f5,"BLANCHET, Hon. Joseph Goderich",1564,0.5146,Liberal-Conservative,Physician,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,1,1,1,9,9,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,9,1,2,1,2,1,2,2,2,9,2,1,2,1,1
424,MARQUETTE,Manitoba,1871 - 1976,2,1872.10.12,242,123ba65e-0a77-4dce-8178-073e2ec7c5d6,"CUNNINGHAM, Robert",393,0.6729,Liberal Party of Canada,"Author, correspondent, newspaper editor, newspaper owner",Protestant,0,1,,,,,,,,,Scotland,,,,2,1,2,2,9,9,2,2,1,1,2,1,1,2,2,1,9,9,2,9,9,9,2,1,2,1,2,1,2,1,2,9,9,1,2,1,2,9,1
425,MASKINONGE,Quebec,1867 - 1924,2,1872.10.12,877,3f8522cd-f5e4-4f07-9fb4-55cd28e28069,"BOYER, Louis-Alphonse",910,0.572,Liberal Party of Canada,"Businessman, lumber merchant",Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,9,9,9,1,9,2,1,2,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
440,MIDDLESEX EAST,Ontario,1867 - 1966,2,1872.10.12,20,022691c3-023f-45d9-89df-ba8489df2b1c,"GLASS, David",1890,0.5071,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,2,1,2,2,2,2,2,2,1,9,1,2,9,9,9,9,2,2,2,1,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,1,1
441,MIDDLESEX NORTH,Ontario,1867 - 1914,2,1872.10.12,551,289a117f-68c9-47a3-b222-259845a24f84,"SCATCHERD, Thomas",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,2,9,9,9,9,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2
443,MIDDLESEX WEST,Ontario,1867 - 1966,2,1872.10.12,2640,bda45acb-7fc9-4feb-b69b-92f788b4200b,"ROSS, George William",1322,0.5094,Liberal Party of Canada,"Journalist, school administrator, teacher",Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,9,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,9
446,MISSISQUOI,Quebec,1867 - 1924,2,1872.10.12,3002,d78f647b-0503-4169-9986-45219ca76e83,"BAKER, George B.",1357,0.5897,Liberal-Conservative,Lawyer,Protestant,0,2,,,,,,,,,,,,,2,1,9,1,1,1,2,9,2,2,1,9,9,9,1,2,1,2,2,2,2,1,2,1,2,1,9,2,2,1,2,2,2,1,2,1,2,9,9
452,MONCK,Ontario,1867 - 1892,2,1872.10.12,2443,af336842-eee5-4285-bfb9-7917bf245ea6,"EDGAR, James David",1334,0.5078,Liberal Party of Canada,"Barrister, lawyer",Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,9,2,9,1,1,2,1,1,1,2,1,1,1,2,9
455,MONTCALM,Quebec,1867 - 1914,2,1872.10.12,171,0d62b3d2-5d6f-498c-bc54-a4aace15e525,"DUGAS, Firmin",accl.,,Conservative (1867-1942),Miller,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,9,9,9,2,2,2,2,1,9,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,9,9,9,1,2,1,2,9,9
456,MONTMAGNY,Quebec,1867 - 1933,2,1872.10.12,2910,d1565749-24f8-445c-a681-d8414f0aaeff,"TASCHEREAU, Henri-Thomas",675,0.5319,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,9,9,1,1,2,1,1,1,2,1,1,1,2,2
458,MONTMORENCY,Quebec,1867 - 1914,2,1872.10.12,2328,a67c41bd-4f6e-441e-9224-2f014f4c3f53,"LANGLOIS, Jean",769,0.7016,Conservative (1867-1942),"Lawyer, professor of criminal law",Fr.Catholic,1,2,,,,,,,,,,,,,1,2,9,1,2,2,2,9,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,9,1,2,1,2,1,2,9,9,1,2,1,2,9,9
461,MONTREAL CENTRE,Quebec,1867 - 1892,2,1872.10.12,2951,d46c9cee-121e-4373-a411-eca202c72477,"RYAN, Michael Patrick",accl.,,Liberal-Conservative,Merchant,Catholic,0,2,,,,,,,,,Ireland,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,9
462,MONTREAL EAST,Quebec,1867 - 1892,2,1872.10.12,2610,baf1737b-4f15-4f91-aadd-294c483abd9b,"JETTE, Louis-Amable",3264,0.6192,Liberal Party of Canada,"Editor, lawyer",Fr.Catholic,1,1,,,,,,,,,,,,,1,2,9,9,2,2,1,9,9,9,9,1,1,2,1,2,1,2,1,9,9,9,1,2,9,2,1,1,9,9,9,9,9,2,1,1,1,2,9
463,MONTREAL WEST,Quebec,1867 - 1892,2,1872.10.12,981,4722826a-deaf-4a1b-9a31-c5c2ddb9205f,"YOUNG, Hon. John",2138,0.6179,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,9,2,2,1,1,2,1,2,1,2,1,2,1,2,1,1,9,1,2,1,2,9,2,1,1,1,2,1,1,1,2,1,1,9,9,9
432,MEGANTIC,Quebec,1867 - 1933,2,1872.10.12,2090,95fa1342-b1b8-4523-af6e-56450f6b4d7b,"RICHARD, Edouard-Emery",975,0.5322,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,1,9,2,1,2,9,1,2,1,2,1,2,1,9,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,9,2,2
468,MUSKOKA,Ontario,1872 - 1882,2,1872.10.12,1485,6cbded79-c3e9-41a8-a233-93e38d4afffd,"COCKBURN, Alexander P.",651,0.5512,Liberal Party of Canada,"Author, lumberman, merchant",Protestant,0,1,,,,,,,,,,,,,9,9,1,2,9,9,9,1,9,9,9,9,2,1,2,1,2,1,1,1,9,9,1,2,1,2,1,1,1,2,9,9,9,2,1,1,1,2,2
475,NAPIERVILLE,Quebec,1867 - 1892,2,1872.10.12,905,41d61c0c-644b-407a-8a4a-d9239f724c0a,"DORION, Hon. Antoine Aime",631,0.5245,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,2,9,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,9,9,1,1,1,2,9,9,9,9,1,1,1,9,9
479,NEW WESTMINSTER,British Columbia,1872 - 1976,2,1872.10.12,3473,fe50f92c-a9c5-41b1-94c1-69d10b2bdb6a,"NELSON, Hugh",accl.,,Liberal-Conservative,Lumber merchant,Protestant,0,2,,,,,,,,,Ireland,,,,2,1,2,1,1,1,2,2,2,2,1,9,2,1,2,1,9,9,2,9,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,9
482,NIAGARA,Ontario,1867 - 1882,2,1872.10.12,3434,faf1f3d6-8b6d-46ee-b020-93bc12049793,"MORRISON, Angus",300,0.5017,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,Scotland,,,,2,1,9,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,1,9
485,NICOLET,Quebec,1867 - 1933,2,1872.10.12,966,4594d5a2-10b8-4bf5-a0bd-855c7ab4b25d,"GAUDET, Joseph",1423,0.9222,Conservative (1867-1942),Farmer,Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,9,9,9
490,NORFOLK NORTH,Ontario,1867 - 1903,2,1872.10.12,31,03119541-a274-44e2-ab4a-6d6f6b3c6d5a,"CHARLTON, John",1324,0.5096,Liberal Party of Canada,"Businessman, lumber merchant",Protestant,0,1,,,,,,,,,United States,,,,1,2,1,2,2,2,1,9,2,1,2,1,1,2,9,9,9,9,1,1,1,2,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9
491,NORFOLK SOUTH,Ontario,1867 - 1903,2,1872.10.12,1001,48ed4c38-c032-4835-b936-8d7a77fe83c1,"WALLACE, William",1208,0.5239,Conservative (1867-1942),"Editor, journalist",Protestant,0,1,,,,,,,,,Scotland,,,,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
497,NORTHUMBERLAND,New Brunswick,1867 - 1955,2,1872.10.12,1994,8f4704b1-7236-477d-a745-bd0d960ba2ce,"MITCHELL, Hon. Peter",accl.,,Independent,"Businessman, lawyer, shipbuilder",Protestant,0,1,,1,,,,,,,,,,,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,9,9,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
500,NORTHUMBERLAND EAST,Ontario,1867 - 1914,2,1872.10.12,1084,4fbe3694-8d89-41e3-8fdc-3f22c3ee7d70,"KEELER, Joseph",1497,0.5114,Liberal-Conservative,"Grain merchant, landlord, lumber merchant, postmaster, shipowner",Protestant,0,2,,,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,9,1,2,2,2,1,2,2,2,1,9,1,2,1,1
501,NORTHUMBERLAND WEST,Ontario,1867 - 1914,2,1872.10.12,1191,5728a223-f474-49ea-a817-58b31ab1e486,"COCKBURN, Hon. James",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,England,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
513,ONTARIO NORTH,Ontario,1867 - 1924,2,1872.10.12,2070,94aea2dc-2e24-4f89-9e7c-f8324809b20f,"GIBBS, William Henry",1835,0.5311,Conservative (1867-1942),"Manufacturer, produce dealer",Protestant,0,1,,,,,,,,,,,,,2,1,2,9,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,9,9,9,1,2,1,2,9,9
518,OTTAWA (CITY OF),Ontario,,2,1872.10.12,2560,b7fa7f39-5779-4040-b3d5-3e472fa5b0e9,"CURRIER, Joseph Merrill",accl.,,Liberal-Conservative,"Businessman, lumberman",Protestant,0,2,,,,,,,,,United States,,,,2,1,2,9,9,9,2,2,2,2,1,2,1,2,9,9,9,9,2,2,2,1,2,1,9,1,9,1,2,1,9,9,9,1,2,1,2,1,1
