Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H10S1V001,H10S1V002,H10S1V003,H10S1V004,H10S1V005,H10S1V006,H10S1V007,H10S1V008,H10S1V009,H10S1V010,H10S1V011,H10S1V012,H10S1V013,H10S1V014,H10S1V015,H10S1V016,H10S1V017,H10S1V018,H10S1V019,H10S1V020,H10S2V001,H10S2V002,H10S2V003,H10S2V004,H10S2V005,H10S2V006,H10S2V007,H10S2V008,H10S2V009,H10S2V010,H10S2V011,H10S2V012,H10S2V013,H10S2V014,H10S2V015,H10S2V016,H10S2V017,H10S2V018,H10S2V019,H10S2V020,H10S2V021,H10S2V022,H10S2V023,H10S2V024,H10S2V025,H10S3V001,H10S3V002,H10S3V003,H10S3V004,H10S3V005,H10S3V006,H10S3V007,H10S3V008,H10S3V009,H10S3V010,H10S3V011,H10S3V012,H10S3V013,H10S3V014,H10S3V015,H10S3V016,H10S3V017,H10S3V018,H10S3V019,H10S3V020,H10S3V021,H10S3V022,H10S3V023,H10S3V024,H10S3V025,H10S3V026,H10S3V027,H10S3V028,H10S3V029,H10S3V030,H10S3V031,H10S3V032,H10S4V001,H10S4V002,H10S4V003,H10S4V004,H10S4V005,H10S4V006,H10S4V007,H10S4V008,H10S4V009,H10S4V010,H10S4V011,H10S4V012,H10S4V013,H10S4V014,H10S4V015,H10S4V016,H10S4V017,H10S4V018,H10S4V019,H10S4V020,H10S4V021,H10S4V022,H10S4V023,H10S4V024,H10S4V025,H10S4V026,H10S4V027,H10S4V028,H10S4V029,H10S4V030,H10S4V031,H10S4V032,H10S4V033,H10S4V034,H10S4V035,H10S4V036,H10S4V037,H10S4V038
691,SOURIS,Manitoba,1903 - 1952,10,1904.11.03,452,20b6507f-4331-4342-ad1d-68bb1492c315,"SCHAFFNER, F.L.",3123,0.5454,Conservative (1867-1942),Physician,Protestant,0,1,,,,,,,,,,,,,2,1,1,1,9,1,1,2,1,2,2,2,1,1,2,1,1,1,1,9,1,1,1,1,2,2,1,1,1,2,1,9,2,1,1,9,1,9,9,9,9,9,9,9,9,2,9,2,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,2,1,1,1,2,1,9,1,9,9,1,9,1,1,1,1,1,1,1,1,1,1,2,9,1,9,1,1,1,2,1,2,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,9
587,QUEEN'S,Prince Edward Island,1903 - 1966,10,1904.11.03,456,21324d81-a312-41ae-9931-b126c2303e92,"MARTIN, Alexander",4367,0.2529,Conservative (1867-1942),"Farmer, merchant",Protestant,0,2,,,,,,,,,,,,,2,1,1,1,1,1,1,9,9,9,9,9,9,9,9,1,9,9,1,9,1,1,9,1,9,2,9,1,1,2,9,1,2,9,9,2,9,9,9,9,2,9,9,9,9,9,9,2,1,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,1,9,9,2,9,9,1,9,1,9,2,1,1,1,1,1,1,9,1,9,1,2,2,9,9,9,9,9,2,9,9,9,1,1,1,1,9,1,9,1,1,1,1,1,1,1,2,1,1,9
134,CHARLEVOIX,Quebec,1867 - 1914,10,1904.11.03,458,21707cca-53c0-45ee-bc24-f51541501b91,"FORGET, Rodolphe",1684,0.5126,Conservative (1867-1942),"Businessman, financier, stockbroker",Fr.Catholic,1,1,,,,,,,,,,,,,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
26,ASSINIBOIA WEST,Northwest Territories,1886 - 1905,10,1904.11.03-1905.08.29,462,21e66c9f-80d0-4275-bfd5-c4c5d918080a,"SCOTT, W.",3647,0.56,Liberal Party of Canada,"Journalist, printer",Protestant,0,2,,,,,,,,,,Resignation. Enters provincial politics in Saskatchewan. Becomes leader of the Liberal Party and Premier of Saskatchewan: 1905.08.29,,,1,2,2,2,2,2,2,9,2,2,2,2,2,1,2,2,2,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
351,L'ISLET,Quebec,1867 - 1933,10,1904.11.03,475,22bac231-c23b-4794-8dfb-46bf52cd7616,"PAQUET, Eugene",1195,0.5352,Conservative (1867-1942),Physician,Fr.Catholic,1,1,,,,,,,,,,,,,2,1,9,2,9,2,2,1,2,1,1,1,1,2,9,2,2,1,9,9,1,1,1,1,9,2,1,1,1,2,1,9,9,1,1,9,1,1,2,2,1,1,1,1,9,9,1,1,1,1,9,9,9,1,9,9,9,9,9,1,1,2,2,9,2,2,1,1,2,1,9,9,1,9,1,2,9,1,2,1,1,1,9,9,1,2,2,2,9,1,1,1,9,2,1,9,9,1,9,9,9,9,1,9,9,9,1,1,1,9,9,1,1,1,9
417,MAISONNEUVE,Quebec,1892 - 1933,10,1906.02.23,508,2555053a-03ba-40ed-a2fb-de4f35b5fca4,"VERVILLE, A.",4887,0.5606,Labour,Plumber,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,1,1,9,2,9,9,9,2,2,9,9,9,2,9,9,9,2,2,9,1,1,9,1,9,2,1,2,2,1,1,2,2,9,9,9,9,9,9,2,2,2,2,1,2,9,2,1,2,9,9,2,2,2,1,2,2,2,2,2,9,2,9,2,9,1,1,9,9,1,2,2,9,2,1,1,1,9,9,9,2,2,2,2,9,9,2,2,2,2,1,9,9,2
11,ALGOMA WEST,Ontario,1903 - 1966,10,1904.11.03,523,26ad1170-885a-462b-b4fe-d5b28a33f671,"BOYCE, A.C.",1675,0.5146,Conservative (1867-1942),"Barrister, lawyer",Protestant,0,1,,,,,,,,,Ireland,,,,9,1,1,1,2,9,1,2,1,2,2,2,1,2,9,1,1,1,1,9,1,9,9,1,2,2,9,1,9,9,9,9,2,1,9,2,9,1,2,2,9,2,2,1,2,9,9,9,9,1,9,9,1,1,9,9,9,9,9,9,9,2,9,9,9,9,1,9,9,1,1,1,1,1,1,2,1,1,9,9,1,9,9,1,1,1,2,9,1,9,1,1,1,2,1,2,2,9,1,9,9,9,1,1,1,9,1,1,1,1,9,9,1,1,1
535,PARRY SOUND,Ontario,1903 - 1947,10,1904.11.03,532,2731f866-e657-42aa-8262-d062209b72e0,"WATSON, Robert James",2410,0.5422,Liberal Party of Canada,"Businessman, farmer",Protestant,0,1,,,,,,,,,,,,,1,2,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,1,2,2,2,1,1,2,9,1,2,2,2,2,9,9,9,1,9,9,9,9,1,2,9,9,2,1,1,2,2,9,9,9,9,9,2,2,9,9,9,1,2,2,2,1,2,9,2,2,2,2,1,2,2,2,2,2,2,9,9,2,2,1,9,1,1,9,2,9,2,2,1,1,2,2,2,2,2,9,2,2,2,9,2,2,9,2,1,2,2,2
549,PETERBOROUGH WEST,Ontario,1867 - 1952,10,1904.11.03,540,27c7f355-b2b5-4f93-9d1b-671d2f8fcfce,"HALL, R.R.",2467,0.5197,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,9,2,2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2,9,2,1,2,2,9,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,2,1,1,2,2,9,9,9,9,9,2,2,2,2,2,1,9,2,9,1,2,9,9,2,9,2,9,9,2,9,9,9,2,9,2,9,9,9,9,9,9,9,2,2,9,9,9,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9
74,BROCKVILLE,Ontario,1867 - 1914,10,1904.11.03-1907.08.30,552,28a7db91-6c0d-4d8e-97ad-929b67116724,"DERBYSHIRE, D.",2217,0.5241,Liberal Party of Canada,"Dairy proprietor, produce dealer, teacher",Protestant,0,1,,,,,,,,,,Resignation.  Called to the Senate: 1907.08.30,,,1,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,9,9,2,2,2,2,9,9,9,9,1,1,9,1,2,2,1,1,2,2,9,9,9,9,9,9,2,2,2,2,1,2,2,2,1,2,9,2,2,2,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
352,LABELLE,Quebec,1892 - 1987,10,1904.11.03-1907.10.26,579,2a8c7330-53c3-44dc-9f77-c16aa6af7898,"BOURASSA, Henri",2640,0.6307,Liberal Party of Canada,"Newspaper editor, publicist",Fr.Catholic,1,3,,,,,,,,,,Resignation. Enters provincial politics in Quebec: 1907.10.26,,,1,9,9,2,9,2,2,1,2,1,1,1,2,2,1,2,2,2,9,9,2,2,1,1,1,2,2,9,9,2,2,9,9,9,9,2,9,2,9,9,2,1,1,1,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,1,9,2,1,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
739,TORONTO NORTH,Ontario,1903 - 1924,10,1904.11.03,604,2cf93f16-ac02-4963-ae74-f74b1cb23251,"FOSTER, George E.",4422,0.5064,Conservative (1867-1942),"Professor, teacher",Protestant,0,5,,,,,,,,,,,,,2,9,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,9,9,9,1,1,9,1,1,2,1,1,2,1,1,2,1,2,2,2,1,2,9,9,2,1,1,9,9,9,1,9,2,2,1,1,9,9,9,9,9,9,1,9,1,2,1,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9,2,9,1,1,1,1,9,9,1,2,2,9,9,9,1,1,1,9,1,1,1,1,9,9,1,2,1,1,1
690,SOULANGES,Quebec,1867 - 1914,10,1904.11.03,619,2e1cbfba-317f-481b-b47d-a5393e8c4da2,"BOURBONNAIS, Augustin",1063,0.5589,Liberal Party of Canada,Physician,Fr.Catholic,1,3,,,,,,,,,,,,,9,9,9,2,9,9,9,9,9,9,2,2,2,2,2,9,9,2,2,9,9,2,2,9,9,9,9,9,9,1,2,9,9,2,2,2,9,2,2,2,9,9,9,9,1,1,9,1,9,9,9,9,2,2,9,9,9,9,9,9,2,2,2,2,9,2,2,2,1,2,9,9,9,2,2,1,2,9,9,2,2,2,2,2,9,2,1,9,9,9,9,2,9,1,2,1,1,9,2,9,9,2,2,2,2,2,9,9,2,2,2,1,9,9,2
513,ONTARIO NORTH,Ontario,1867 - 1924,10,1904.11.03,625,2e8d5309-8946-424f-8679-b5b1c8d259d2,"GRANT, George D.",2161,0.5165,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,9,2,9,2,9,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,9,2,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,2,9,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2,9,2,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9
364,LAMBTON WEST,Ontario,1882 - 1966,10,1905.11.22,635,2f5657db-e63e-47b8-8ff0-51286ffbc3e6,"PARDEE, F.F.",2848,0.5226,Liberal Party of Canada,Barrister,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,2,2,1,2,2,2,1,9,2,2,1,2,9,2,2,9,2,2,1,2,2,2,9,9,2,1,9,9,9,9,2,9,9,9,1,2,2,9,2,2,2,2,1,2,2,9,1,2,9,9,2,2,2,1,2,2,9,9,9,2,9,2,2,2,1,1,1,9,1,2,2,2,2,1,1,2,9,2,2,9,2,9,9,9,2,2,2,2,2,1,2,2,2
485,NICOLET,Quebec,1867 - 1933,10,1907.12.30,644,2fb1da53-0195-4ca8-8d54-605ad9c8f91b,"TURCOTTE, G.A.",2761,0.5413,Liberal Party of Canada,Physician,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,2,2,2,1,1,1,9,9,2,2,1,2,1,1,2,2,2,9,2,2,2,2,2,2,2,9,9,2,1,2,2,2
544,PERTH NORTH,Ontario,1867 - 1933,10,1904.11.03,657,30e8cab4-4159-4a08-8544-4f01c0c7b331,"MACLAREN, Alexander Ferguson",3618,0.5231,Conservative (1867-1942),Industrialist,Protestant,0,3,,,,,,,,,,,,,9,9,1,1,9,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,9,9,9,1,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,1,1,1,1,9,9,9,9,2,1,9,9,9,1,1,9,9,1,1,1,9,9,9,1,1,9,9,9,9,1,9,1,1,9,9,9,9,9,1,9,9,9,9,1,1,1,9,9,1,1,1,2,1,1,1
639,ST. JAMES,Quebec,1892 - 1947,10,1904.11.03,721,34b13ceb-bb77-4ad5-b74c-974b9a4a905d,"GERVAIS, H.",3648,0.6142,Liberal Party of Canada,"Author, lawyer, professor",Fr.Catholic,1,2,,,,,,,,,,,,,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,2,1,2,2,9,9,9,2,9,9,9,2,2,2,9,9,9,1,2,2,2,1,9,9,9,9,9,1,1,2,2,9,9,9,9,9,2,9,9,9,9,9,9,2,2,1,9,9,9,2,2,2,1,9,9,2,9,9,9,2,2,2,9,9,1,9,9,9,9,2,1,2,1,1,2,9,2,9,9,2,9,9,9,9,9,9,9,9,9,2,2,2
337,KING'S AND ALBERT,New Brunswick,1903 - 1914,10,1904.11.03,739,35dd3809-2583-4766-adfc-e973b7482fc7,"FOWLER, George W.",3653,0.5258,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,1,1,1,2,2,9,9,1,1,9,9,1,1,9,9,9,9,9,9,1,9,9,9,2,1,9,1,9,9,1,1,9,9,1,2,9,9,9,1,9,9,9,9,1,1,9,9,9,9,9,9,1,2,1,2,2,1,1,9,1,1,1,9,1,9,1,9,9,9,9,9,1,1,1
529,OXFORD NORTH,Ontario,1867 - 1933,10,1905.06.13,777,38e6079c-f30b-41ca-8317-f4a9b0b3d14d,"SMITH, George",2845,0.5316,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,Scotland,,,,99,99,99,99,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,9,2,1,1,2,2,1,2,2,2,2,2,2,2,9,2,2,2,1,1,2,1,2,9,1,1,9,2,9,9,9,9,9,9,2,2,2,2,1,2,2,9,1,2,9,2,2,2,9,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,9,2,2,9,2,1,1,2,2,9,9,9,2,2,2,2,2,2,2,9,2,1,2,2,2
37,BEAUHARNOIS,Quebec,1867 - 1933,10,1904.11.03,782,3910a438-5fde-4091-939f-2fcdb64be7ff,"BERGERON, J.G.H.",2075,0.5316,Conservative (1867-1942),Lawyer,Fr.Catholic,1,6,,,,,,,,,,,,,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,1,1,9,1,1,9,1,2,2,1,9,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,9,2,1,1,1,2,1,1,1,2,2,1,1,9,1,1,1,1,2,1,9,9,9,1,1,1,1,9,1,2,1,1,9,1,1,1,1,1,1,1,2,9,1,9,1,1,1,9,9,9,9,1,9,1,9,1,1,9,9,9,9,1,1,1,1,2,1,1,1
45,BERTHIER,Quebec,1867 - 1924,10,1904.11.03,797,3a1bd486-12e9-4193-90d7-feb11ddc3a50,"ARCHAMBAULT, J.E.",1707,0.5326,Liberal Party of Canada,Notary,Fr.Catholic,1,3,,,,,,,,,,,,,1,9,2,2,9,9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9,2,2,2,1,1,2,9,9,2,2,2,2,9,2,2,1,2,2,2,1,1,9,1,2,2,9,9,9,2,9,9,9,9,9,9,2,2,2,2,1,2,2,9,9,9,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,9,2,1,9,9,9,2,2,9,9,9,2,2,2,9,9,9,9,9,2,1,9,2,2
253,GREY SOUTH,Ontario,1867 - 1914,10,1904.11.03,798,3a1cbab4-d7ac-4eb9-a34f-08d9d7e898c8,"MILLER, Henry Morton",2227,0.5382,Liberal Party of Canada,Real estate agent,Protestant,0,1,,,,,,,,,,,,,1,9,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,9,2,2,2,1,1,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,2,1,2,2,1,1,9,2,9,9,9,9,9,9,2,2,2,2,1,2,2,9,1,2,2,2,9,9,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,9,2,2,2,2,2,2,2,2,2,1,2,2,2
662,SASKATCHEWAN,Saskatchewan,1905 - 1907,10,1906.02.06,822,3c4baf55-14fb-4a25-b312-608392b9c3a3,"MCCRANEY, George Ewan",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,1,2,2,2,1,1,2,9,1,9,2,2,2,9,2,2,9,9,9,9,9,1,9,9,9,2,9,9,2,2,9,9,9,9,2,2,2,9,9,9,1,2,2,2,1,2,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,9,1,9,9,9,2,2,9,2,1,1,2,2,2,9,2,9,9,2,2,2,9,2,2,2,1,9,9,9
574,PROVENCHER,Manitoba,1871 - ,10,1904.11.03,842,3da55e7c-6b92-4ee1-adcd-ecb85934a4c6,"CYR, Joseph-Ernest",1896,0.5013,Liberal Party of Canada,"Journalist, notary, teacher",Catholic,1,1,,,,,,,,,,,,,1,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,1,2,2,2,1,1,2,2,9,2,2,2,2,2,9,9,9,9,9,9,9,9,2,9,2,9,9,9,2,9,9,9,9,9,9,9,2,9,9,9,1,9,2,9,9,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,9,9,9,1,9,9,9,9,9,9,9,2,2,2,2,2,9,9,9,9,2,2,9,2,1,2,9,2
601,RENFREW SOUTH,Ontario,1867 - 1966,10,1904.11.03,843,3dc72ca1-827d-4842-b5ce-6afdc9c04182,"WRIGHT, A.A.",2168,0.5227,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,,,,,1,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,9,1,2,2,2,1,1,2,2,1,9,9,9,2,2,2,2,9,9,9,9,9,1,2,1,2,2,1,1,2,9,9,9,9,9,9,9,2,2,2,2,1,2,2,2,1,2,9,9,2,2,2,1,2,9,2,2,2,9,2,2,9,2,1,1,9,9,9,2,2,2,2,1,1,2,2,9,9,9,2,2,2,2,9,2,2,9,2,1,9,2,2
152,COLCHESTER,Nova Scotia,1867 - 1933,10,1907.11.28,862,3e9eaadb-7fa5-4651-94a6-03dcbe5d7fb5,"STANFIELD, John",2586,0.5225,Conservative (1867-1942),Industrialist,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,1,1,1,1,1,1,2,9,9,9,9,9,1,2,9,9,9,9,1,9,9,9,1,9,1,1,1,1,1,1,9,9,1,1,9
846,YORK NORTH,Ontario,1867 - 2003,10,1904.11.03-1905.10.15,879,3fbbf99b-cf52-4821-bdc6-2ec9565a294a,"MULOCK, Sir William",2650,0.6109,Liberal Party of Canada,Lawyer,Protestant,0,6,,1,,,,,,,,"Resignation. Appointed Chief Justice, Exchequer Division, High Court of Ontario: 1905.10.15",,,9,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
7,ALBERTA (PROVISIONAL DISTRICT),Northwest Territories,,10,1904.11.03,888,4080fe01-bb47-413a-8f32-e4f7c4c4c3de,"HERRON, John",1755,0.5114,Liberal-Conservative,Rancher,Protestant,0,1,,,,,,,,,,,,,2,1,1,1,9,1,1,2,1,2,2,2,1,1,9,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,9,1,1,1,1,2,2,2,1,2,2,1,2,1,1,9,2,1,1,9,9,9,9,9,1,1,1,1,1,2,1,1,1,2,1,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,9,9,9,2,1,1,2,1,2,2,9,1,1,1,1,1,1,1,1,1,9,1,1,1,2,1,9,1
339,KINGS,Nova Scotia,1867 - 1924,10,1904.11.03,894,40fc41ed-f3f0-41b5-bb07-da9a6af9d52f,"BORDEN, Sir F.W.",2594,0.6451,Liberal Party of Canada,Physician,Protestant,0,7,,1,,,,,,,,,,,1,2,9,2,1,9,2,9,9,2,2,2,2,2,2,2,9,2,9,9,2,2,2,2,1,2,9,2,1,9,9,2,1,2,2,9,2,2,2,2,1,2,2,2,1,1,2,1,2,2,9,9,2,2,9,9,9,9,9,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9,9,9,2,9,9,2,9,9,2,2,2,9,1,9,1,1,9,2,9,9,9,9,9,2,2,2,9,2,9,2,2,9,2,2,9,2,1,2,9,2
16,ANTIGONISH,Nova Scotia,1867 - 1914,10,1905.11.22,909,4220103a-c5df-4b1f-989a-17b7709f2c5c,"CHISHOLM, William",1325,0.5487,Liberal Party of Canada,"Lawyer, teacher",Catholic,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,2,1,2,2,9,9,1,2,2,1,2,2,9,2,2,9,9,1,2,2,2,1,9,2,9,9,2,1,1,2,2,2,1,9,9,2,2,9,9,2,2,1,2,2,9,9,2,9,2,2,2,9,1,2,9,2,2,2,2,2,9,9,9,1,1,9,1,1,2,2,1,9,9,9,9,2,2,2,2,2,2,2,2,9,9,2,9,9,9,2,2,2
82,BRUCE SOUTH,Ontario,1903 - 1933,10,1904.11.03,915,42ae62e3-57f5-4f27-95b1-a6615e27f72b,"MCKENZIE, Peter H.",3082,0.512,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,,,,,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,9,9,9,9,9,9,9,1,1,2,1,2,2,1,1,2,2,9,9,9,9,9,9,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,9,2,1,2,2,2
123,CARLETON,Ontario,1867 - 1966,10,1904.11.03-1905.01.19,916,42bcdaad-d952-4e38-9d69-03abfc233511,"KIDD, Edward",2055,0.6356,Conservative (1867-1942),"Cheese maker, farmer",Protestant,0,2,,,,,,,,,,Resignation. To allow R.L. Borden to run for office: 1905.01.19,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
835,YALE--CARIBOO,British Columbia,1892 - 1914,10,1904.11.03,922,431712e0-f7dd-47cc-bf04-4466b492f817,"ROSS, Duncan",2019,0.4635,Liberal Party of Canada,"Publisher, railway contractor",Protestant,0,1,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,9,1,2,9,2,1,1,2,9,1,9,2,9,2,2,2,2,9,9,9,9,9,9999,9,9,9,2,1,1,9,2,9,9,9,9,9,9,2,2,2,2,9,2,2,2,1,9,2,2,9,2,2,1,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,2,2,9,9,9,9,2,2,2,2,2,9,9,2,2,9,2,9,9,9,9,2,2,2
69,BRANTFORD,Ontario,1903 - 1924,10,1904.11.03,927,4377f02c-8021-4cd3-9d64-deaad7b31431,"COCKSHUTT, William F.",2383,0.5016,Conservative (1867-1942),"Businessman, manufacturer",Protestant,0,1,,,,,,,,,,,,,9,1,1,1,9,9,1,2,1,2,2,2,1,2,2,1,1,1,9,9,1,9,1,1,2,2,1,1,1,2,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,1,2,9,1,2,2,1,1,9,9,9,9,9,9,1,1,1,1,9,9,1,9,9,9,9,9,9,1,9,9,1,9,1,1,1,9,1,9,1,1,2,2,9,1,1,1,1,9,1,2,2,1,1,1,1,9,1,9,9,9,9,1,1,1,1,9,9,9,9
18,ARGENTEUIL,Quebec,1867 - 1947,10,1904.11.03,938,4430053b-1f47-481d-9354-7a7535f63be9,"PERLEY, George H.",1516,0.5308,Conservative (1867-1942),Lumber merchant,Protestant,0,1,,,,,,,,,United States,,,,2,9,9,2,9,9,2,2,2,2,2,2,1,2,2,2,2,1,9,1,9,9,1,1,2,2,1,1,1,2,1,1,2,1,1,9,1,9,9,9,1,1,9,9,2,2,9,9,1,1,9,9,1,1,9,9,9,9,9,9,1,1,9,9,2,1,1,9,2,1,1,1,1,9,9,9,9,1,1,1,1,9,1,1,1,1,9,9,9,1,9,1,1,9,9,9,9,1,1,9,1,1,9,9,9,1,9,1,1,9,1,2,1,1,1
