Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H29S1V001,H29S1V002,H29S1V003,H29S1V004,H29S1V005,H29S1V006,H29S1V007,H29S1V008,H29S1V009,H29S1V010,H29S1V011,H29S1V012,H29S1V013,H29S1V014,H29S1V015,H29S1V016,H29S1V017,H29S1V018,H29S1V019,H29S1V020,H29S1V021,H29S1V022,H29S1V023,H29S1V024,H29S1V025,H29S1V026,H29S1V027,H29S1V028,H29S1V029,H29S1V030,H29S1V031,H29S1V032,H29S1V033,H29S1V034,H29S1V035,H29S1V036,H29S1V037,H29S1V038,H29S1V039,H29S1V040,H29S1V041,H29S1V042,H29S1V043,H29S1V044,H29S1V045,H29S1V046,H29S1V047,H29S1V048,H29S1V049,H29S1V050,H29S1V051,H29S1V052,H29S1V053,H29S1V054,H29S1V055,H29S1V056,H29S1V057,H29S1V058,H29S1V059,H29S1V060,H29S1V061,H29S1V062,H29S1V063,H29S1V064,H29S1V065,H29S1V066,H29S1V067,H29S1V068,H29S1V069,H29S1V070,H29S1V071,H29S1V072,H29S1V073,H29S2V001,H29S2V002,H29S2V003,H29S2V004,H29S2V005,H29S2V006,H29S2V007,H29S2V008
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,01.09.1973,01.11.1973,01.15.1973,01.18.1973,01.23.1973,01.23.1973,01.23.1973,01.25.1973,02.06.1973,02.13.1973,02.22.1973,02.26.1973,02.28.1973,03.06.1973,03.16.1973,03.26.1973,03.26.1973,03.26.1973,03.26.1973,03.28.1973,03.28.1973,04.17.1973,05.29.1973,06.06.1973,06.06.1973,06.06.1973,06.12.1973,06.12.1973,06.12.1973,06.14.1973,06.14.1973,06.20.1973,06.21.1973,06.26.1973,07.04.1973,07.26.1973,08.30.1973,08.31.1973,09.10.1973,09.19.1973,10.18.1973,10.18.1973,10.24.1973,11.20.1973,11.20.1973,11.20.1973,11.20.1973,11.20.1973,11.20.1973,11.20.1973,11.20.1973,12.04.1973,12.04.1973,12.04.1973,12.04.1973,12.04.1973,12.04.1973,12.04.1973,12.04.1973,12.04.1973,12.10.1973,12.19.1973,01.03.1974,01.03.1974,01.03.1974,01.03.1974,01.03.1974,01.03.1974,01.03.1974,01.03.1974,01.10.1974,01.11.1974,01.11.1974,03.01.1974,03.05.1974,03.12.1974,03.26.1974,04.04.1974,04.16.1974,04.23.1974,05.08.1974
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,TEMISCAMINGUE,Quebec,1966 - 1996,29,1972.10.30,212,100b1ca5-ed42-4c99-9d57-5ad648bd8c96,"CAOUETTE, Real",15660,0.6322,Social Credit,"Automobile dealer, businessman, garage owner / operator, insurance agent, manager",,1,6,,,,,,,,,,,,,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,1,1,1,9,9,1,9,2,1,2,1,9,2,9,1,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2
823,WINNIPEG NORTH CENTRE,Manitoba,1924 - 1996,29,1972.10.30,215,103e48f0-b6bb-43eb-9c06-7ceffaf3ea78,"KNOWLES, Stanley H.",13263,0.4727,New Democratic Party,"Clergyperson, minister, printer",,0,10,,,,,,,,,United States,,,,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1
91,BURNABY--RICHMOND--DELTA,British Columbia,1970 - 1976,29,1972.10.30,222,10ed8e96-0925-4e31-8bbb-c3da002050cf,"REYNOLDS, John",19798,0.3567,Progressive Conservative Party,"Businessman, manager, sales and marketing consultant",,0,1,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,9,2,1,2,1,9,9,9,9,9,9,9,2,2,1,2,1,1,2,1,2,1,1,1,2,9,9,1,1,1,9,1,1,2,9,9,9,9,9,9,9,9,2,2,2,1,1,1,1,2,2,1,2,9,9,9,9,9,9,9,9,1,1,1,1,1,1,9,2,9,9,1
72,BROADVIEW,Ontario,1933 - 1976,29,1972.10.30,245,125cc749-f923-4c88-9d4c-e2f17faa5a5f,"GILBERT, John",11063,0.4158,New Democratic Party,"Barrister, lawyer",,0,3,,,,,,,,,,,,,9,2,2,1,1,1,2,1,1,1,2,2,1,2,9,2,1,2,1,2,1,9,1,2,2,1,1,1,1,2,2,2,2,1,2,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,9,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,9,1,1,1
348,KOOTENAY WEST,British Columbia,1914 - 1987,29,1972.10.30,256,131eb8c4-6114-4183-b95c-a880e7df7c20,"HARDING, Randolph",15633,0.5357,New Democratic Party,Teacher,,0,2,,,,,,,,,,,,,2,2,2,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,1,9,1,2,2,2,9,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1
675,SELKIRK,Manitoba,1871 - 1976,29,1972.10.30,278,14b8528d-56b3-4272-9ac2-de49e097a546,"ROWLAND, Doug",17872,0.3986,New Democratic Party,Lecturer,,0,2,,,,,,,,,,,,,2,2,2,9,1,1,2,1,1,1,2,2,1,2,9,2,1,2,1,2,1,1,1,9,9,9,1,1,1,2,2,2,9,9,9,1,2,2,9,9,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,9,9,1,1,1,1,1,1,1,9,9,9,2,2,2,2,9,9,9,1
229,FRONTENAC,Quebec,1966 - 1996,29,1972.10.30,288,156d50ac-f2b6-4e00-9486-25a021073f58,"CORRIVEAU, Leopold",12014,0.4059,Liberal Party of Canada,Electrician,,1,2,,,1,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,9,2,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,1,9,9,1,1,2,9,2,9,9,9,9,9,9,9,9,9,9,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,9,2,2,2,2,2,2,9,9,1,2
145,CHURCHILL,Manitoba,1933 - ,29,1972.10.30,290,15abe081-1a11-44d3-9cf4-8f3ff74f9799,"TAYLOR, Keith",9462,0.3455,Progressive Conservative Party,"Barrister and solicitor, lawyer",,0,1,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,1,2,1,2,1,9,9,9,9,9,9,9,2,2,1,2,2,1,2,1,9,9,1,1,2,1,9,1,1,1,9,9,9,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,1
359,LAFONTAINE,Quebec,1947 - 1975,29,1972.10.30,300,1661530f-99fc-4f18-b268-71c6e2d0459c,"LACHANCE, Georges.-C.",13508,0.4773,Liberal Party of Canada,Lawyer,,1,5,,,,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,9,9,9,9,9,1,2,1,9,2,9,1,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,1,2
852,YORK--SIMCOE,Ontario,1966 - 1976,29,1972.10.30,306,16a83649-a500-44eb-8adb-2cc0fac9b495,"STEVENS, Sinclair",22957,0.4575,Progressive Conservative Party,"Barrister and solicitor, businessman, financier, journalist, lawyer",,0,1,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,2,2,2,1
629,SAINT JOHN--LANCASTER,New Brunswick,1966 - 1976,29,1972.10.30,317,175a30ca-697f-4e88-925e-3ffebf19ea5f,"BELL, Tom",16350,0.5393,Progressive Conservative Party,"Barrister, lawyer",,0,8,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1
1125,SAINT-DENIS,Quebec,1952 - 1996,29,1972.10.30,375,1b89a5d2-5388-4d19-922f-3ddad9230807,"PRUD'HOMME, Marcel",16991,0.642,Liberal Party of Canada,"Lawyer, political scientist",,1,4,,,1,,,,,,,,,,2,2,2,2,1,1,2,1,9,1,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,9,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,2,1,2,9,2
712,SUDBURY,Ontario,1947 - ,29,1972.10.30,385,1c84ed8e-0b0a-441b-a324-bedff3f898fc,"JEROME, Jim",24091,0.5506,Liberal Party of Canada,Lawyer,,0,2,,,,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,9,2,1,1,1,2,1,1,1,2,2,1,9,9,9,2,2,1,2,1,9,2,1,1,2,1,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,9,2,2,2,9,2,2,1,9,1,2
236,GATINEAU,Quebec,1947 - 1987,29,1972.10.30,403,1dcbb902-9889-492c-aa19-461daa304147,"CLERMONT, Gaston",15894,0.5034,Liberal Party of Canada,"Businessman, executive, manager",,1,5,,,,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,1,9,9,9,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2
406,LONGUEUIL,Quebec,1952 - 2004,29,1972.10.30,418,1e8059eb-f311-4c36-9bda-9a35e6d005da,"OLIVIER, Jacques",22129,0.4462,Liberal Party of Canada,"Automobile dealer, businessman, labour relations officer",,1,1,,,,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,9,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,9,1,9,9,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,9,2,2,2,2,2,2,2,1,2,9,9,9,2,2,2,9,2,1,2
533,PARKDALE,Ontario,1914 - 1976,29,1972.10.30,428,1f6ad92a-d937-48f3-9640-2bd76aa82544,"HAIDASZ, Stanley",12214,0.438,Liberal Party of Canada,Physician,,0,6,,1,,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,9,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,9,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,9,1,2
201,EDMONTON WEST,Alberta,1914 - 1987,29,1972.10.30,446,2094cd47-759f-4f54-8d75-9da36dd888a2,"LAMBERT, Marcel",29876,0.5055,Progressive Conservative Party,Lawyer,,1,7,,,,,,,,,,,,,1,1,1,9,9,9,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,9,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,2,2,1
150,COCHRANE,Ontario,1933 - 1976,29,1972.10.30,448,20a77e7a-c701-44f6-853b-e47770dc7fff,"STEWART, Ralph W.",10405,0.4705,Liberal Party of Canada,"Advisor on bilingualism in the public service, consultant in management and in government affairs, orchestra conductor, public servant",,0,2,,,,,,,,,,,,,2,2,2,9,1,1,2,1,1,1,2,2,1,9,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,9,9,2,2,9,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,9,2,2,2,2,2,2,2,1,9,9,9,2,2,2,2,1,2,9,2
845,YORK EAST,Ontario,1933 - 1987,29,1972.10.30,460,21912317-05ad-4785-a313-59edc349709d,"ARROL, Ian",18729,0.3913,Progressive Conservative Party,Teacher,,0,1,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,1,2,1,2,1,9,1,2,2,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,2,1,9,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1
1141,ATHABASCA,Alberta,1966 - 2004,29,1972.10.30,479,22fc9587-155c-4a94-bbbf-5938153a44db,"YEWCHUK, Paul",12936,0.6024,Progressive Conservative Party,"Physician, surgeon",,0,2,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,2,2,1,2,1,9,1,2,2,2,2,1,2,2,9,9,9,1,2,1,2,1,9,1,2,1,2,1,9,1,9,1,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,2,2,2,1
13,ANNAPOLIS VALLEY,Nova Scotia,1966 - 1976,29,1972.10.30,481,233615e5-2efe-4c21-add7-fe0441115d79,"NOWLAN, Pat",20962,0.5847,Progressive Conservative Party,"Barrister, lawyer",,0,3,,,,,,,,,,,,,1,1,1,1,2,2,1,2,9,1,9,1,2,1,9,1,2,2,2,2,9,9,2,1,2,1,1,2,1,2,1,1,1,9,9,9,9,1,1,9,9,9,2,1,1,1,9,9,9,9,9,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,9,9,9,9,1,1,9,9,9,9,1
218,ESSEX--WINDSOR,Ontario,1972 - 1996,29,1972.10.30,492,23fe2e19-4f64-4dd6-9bdb-7f6984a01ded,"WHELAN, Eugene",19793,0.4801,Liberal Party of Canada,"Farmer, politician",,0,5,,1,,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,9,2,1,1,1,9,9,1,1,2,2,1,2,2,1,2,2,1,2,1,1,9,1,1,2,9,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,9,9,9,9,9,9,9,9,2,2,2,9,2,9,2,1,2,1,2
521,OTTAWA EAST,Ontario,1933 - 1973,29,1972.10.30,516,26223e14-510e-4dcb-8a95-e4483fb87b9e,"GAUTHIER, Jean-Robert",20446,0.6275,Liberal Party of Canada,Chiropractor,,1,1,,,,,,,,,,,,,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2
