Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S24S2V01,S24S3V01,S24S4V01,S24S4V02,S24S4V03,S24S4V04,S24S4V05,S24S4V06,S24S4V07
Date,,,,,,,,04.28.1959,05.31.1960,05.10.1961,05.23.1961,06.14.1961,07.07.1961,07.10.1961,07.12.1961,07.13.1961
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion of the Honourable Senator Wall: That the Standing Committee on Finance be instructed to study the threat of inflation in Canada and that it be empowered to summon persons to produce documents and to report from time to time.,"Motion to amend Article 6 of Bill S-24, intituled ""An Act respecting the Wabush Lake Railway Company Limited and the Company railway Arnaud.""","That the Bill S-16, intituled ""An Act to incorporate the National Mortgage Corporation of Canada,"" be not now read a third time but be referred back to the Standing Committee on Banking and Commerce.","Second reading of Bill S-4, intituledd ""An Act to provide disclosure of finance charges.""","Adoption of the report of the Standing Committee on Banking and Commerce on Bill C-72, intituled ""An Act to amend the Customs Tariff.""","The message on Bill C-72, intituled ""An Act to amend the Customs Tariff"" from the House of Commons to be considered at the next sitting of the Senate.
",Adjournment of this House.,"That the Senate do not insist on the amendment the Senate  made äó†äó†to Bill C-72, intituled  ""Act modifian the Customs Tariff"", which the House of Commons did not agree.","Adoption of the report of the Standing Committee on Banking and Commerce which was referred Bill C-114, intituled ""An Act respecting the Bank of Canada."""
"Higgins, John Gilbert",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1959.01.15 - 1963.07.01 ,1959.01.15 , 1963.07.01 ,(Death),2,2,2,2,2,2,2,1,2
"Emerson, Clarence Vernon",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1957.10.12 - 1963.09.25 ,1957.10.12 , 1963.09.25 ,(Death),2,9,2,9,2,2,2,1,2
"Drouin, Mark Robert",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.04 - 1963.10.12 ,1957.10.04 , 1963.10.12 ,(Death),9,9,9,9,9,9,9,9,9
"Pratt, Calvert Coates",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1963.11.13 ,1951.01.24 , 1963.11.13 ,(Death),1,2,9,9,9,1,1,2,1
"Campbell, Gordon Peter",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1943.02.19 - 1964.01.16 ,1943.02.19 , 1964.01.16 ,(Death),9,9,2,2,9,9,1,9,9
"Turgeon, James Gray",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1964.02.14 ,1947.01.27 , 1964.02.14 ,(Death),9,9,2,2,1,1,1,2,1
"Howard, Charles Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1964.03.25 ,1940.02.09 , 1964.03.25 ,(Death),9,9,1,9,9,9,9,9,9
"Blais, Aristide",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1940.01.29 - 1964.11.10 ,1940.01.29 , 1964.11.10 ,(Death),9,9,9,2,1,1,9,2,1
"Horner, Ralph Byron",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1964.12.14 ,1933.12.30 , 1964.12.14 ,(Death),2,9,2,1,2,2,2,9,9
"Taylor, Austin Claude ",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1957.01.03 - 1965.01.17 ,1957.01.03 , 1965.01.17 ,(Death),1,9,1,1,1,1,1,2,1
"Stambaugh, Wesley",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.09.07 - 1965.06.08 ,1949.09.07 , 1965.06.08 ,(Resignation),1,2,1,1,1,1,1,2,1
"Hodges, Nancy",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1953.11.05 - 1965.06.12 ,1953.11.05 , 1965.06.12 ,(Resignation),1,9,2,1,1,9,9,9,9
"Grant, Thomas Vincent",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.06.25 - 1965.08.19 ,1949.06.25 , 1965.08.19 ,(Resignation),1,9,1,1,9,9,9,2,1
"Tremblay, Lí©onard-David Sweezey",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1965.09.02 ,1953.06.12 , 1965.09.02 ,(Resignation),9,9,1,9,9,9,9,9,9
"Buchanan, John Alexander",Progressive Conservative Party,Alberta,"Diefenbaker, John George",1959.01.15 - 1965.10.02 ,1959.01.15 , 1965.10.02 ,(Resignation),2,2,2,2,2,2,9,1,2
"Lambert, Norman Platt",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1965.11.04 ,1938.01.20 , 1965.11.04 ,(Death),1,9,1,2,1,1,1,2,1
"Wood, Thomas Harold",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1949.01.25 - 1965.11.26 ,1949.01.25 , 1965.11.26 ,(Death),9,9,9,9,9,9,9,9,9
"Robertson, Wishart McLea",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1943.02.19 - 1965.12.24 ,1943.02.19 , 1965.12.24 ,(Resignation),1,1,1,9,9,1,9,9,9
"Comeau, Joseph Willie",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10 ,1948.12.01 , 1966.01.10 ,(Resignation),9,9,9,1,1,9,9,9,9
"Bouffard, Paul Henri",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1946.12.27 - 1966.02.16 ,1946.12.27 , 1966.02.16 ,(Death),9,2,2,2,9,9,1,9,9
"Woodrow, Allan Lee",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.05.19 - 1966.03.15 ,1953.05.19 , 1966.03.15 ,(Resignation),1,9,2,2,1,1,1,2,1
"Bradley, Frederick Gordon",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1953.06.12 - 1966.03.30 ,1953.06.12 , 1966.03.30 ,(Death),9,9,9,9,9,9,9,9,9
"Crerar, Thomas Alexander",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1966.05.31 ,1945.04.18 , 1966.05.31 ,(Resignation),1,9,9,9,9,9,1,2,1
"Taylor, William Horace",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),9,2,2,2,1,1,1,2,1
"Veniot, Clarence Joseph",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),1,9,9,2,9,1,9,2,1
"Jodoin, Marianna Beauchamp",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.05.19 - 1966.06.01 ,1953.05.19 , 1966.06.01 ,(Resignation),1,9,1,9,1,1,1,2,9
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23 ,1945.04.18 , 1966.09.23 ,(Resignation),9,9,1,9,1,1,9,2,1
"McKeen, Stanley Stewart",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1966.12.01 ,1947.01.27 , 1966.12.01 ,(Death),9,9,9,2,9,1,1,2,1
"Hugessen, Adrian Norton Knatchbull",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1937.01.12 - 1967.01.01 ,1937.01.12 , 1967.01.01 ,(Resignation),1,2,1,1,1,1,1,2,1
