Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H31S1V001,H31S1V002,H31S1V003,H31S1V004,H31S1V005,H31S1V006,H31S1V007,H31S1V008
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.09.1979,10.11.1979,10.15.1979,10.25.1979,11.06.1979,12.04.1979,12.10.1979,12.13.1979
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,
1125,SAINT-DENIS,Quebec,1952 - 1996,31,1979.05.22,375,1b89a5d2-5388-4d19-922f-3ddad9230807,"PRUD'HOMME, Marcel",30552,0.741,Liberal Party of Canada,"Lawyer, political scientist",,1,6,,,,,,,,,,,,,2,2,1,1,1,9,9,1
611,RICHMOND--SOUTH DELTA,British Columbia,1976 - 1987,31,1979.05.22,378,1babc9d3-8d8a-489e-99f2-d360a5ab621b,"SIDDON, Tom",30262,0.5404,Progressive Conservative Party,"Author, lecturer, professional engineer, professor of engineering",,0,2,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
712,SUDBURY,Ontario,1947 - ,31,1979.05.22,385,1c84ed8e-0b0a-441b-a324-bedff3f898fc,"JEROME, Jim",20634,0.4953,Liberal Party of Canada,Lawyer,,0,4,,,,,,,,,,,,,9,9,9,9,9,9,9,9
481,NEW WESTMINSTER--COQUITLAM,British Columbia,1976 - 1987,31,1979.05.22,404,1dd291e1-3595-417c-ab03-48b8369cd9a8,"JEWETT, Pauline",19301,0.4443,New Democratic Party,"Administrator, political scientist, professor",,0,2,,,,,,,,,,,,,2,1,1,9,1,2,9,1
735,TIMMINS--CHAPLEAU,Ontario,1976 - 1996,31,1979.05.22,415,1e61c4e4-a9ca-48ff-a5ea-102046cd79e5,"CHENIER, Ray",13577,0.4303,Liberal Party of Canada,Superintendent of education,,1,1,,,,,,,,,,,,,2,9,1,9,1,2,2,1
406,LONGUEUIL,Quebec,1952 - 2004,31,1979.05.22,418,1e8059eb-f311-4c36-9bda-9a35e6d005da,"OLIVIER, Jacques",34207,0.6128,Liberal Party of Canada,"Automobile dealer, businessman, labour relations officer",,1,3,,,,,,,,,,,,,2,2,1,1,1,9,9,1
404,LONDON--MIDDLESEX,Ontario,1977 - 1996,31,1979.05.22,419,1e9cbe32-5f86-49ab-8a16-43eb4a5e5b74,"ELLIOTT, Nelson",14339,0.386,Progressive Conservative Party,Farmer,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
334,KINDERSLEY--LLOYDMINSTER,Saskatchewan,1976 - 1996,31,1979.05.22,431,1f8133d1-a23c-4b93-a989-57272f08006c,"MCKNIGHT, Bill",16614,0.4933,Progressive Conservative Party,"Businessman, farmer",,0,1,,,,,,,,,,,,,2,2,9,2,2,1,1,2
672,SCARBOROUGH CENTRE,Ontario,1976 - ,31,1979.05.22,444,208b5a01-dc06-4eff-b012-c716c771c48b,"STRATAS, Diane",18688,0.4343,Progressive Conservative Party,Businesswoman,,0,1,,,1,,,,,,,,,,2,2,2,9,2,1,1,2
201,EDMONTON WEST,Alberta,1914 - 1987,31,1979.05.22,446,2094cd47-759f-4f54-8d75-9da36dd888a2,"LAMBERT, Marcel",21423,0.5567,Progressive Conservative Party,Lawyer,,1,9,,,,,,,,,,,,,2,2,2,2,2,1,1,2
145,CHURCHILL,Manitoba,1933 - ,31,1979.06.22,454,2121e1fb-a867-4036-80a6-104483c3925a,"MURPHY, Rod",12544,0.5166,New Democratic Party,Teacher,,0,1,,,,,,,,,,,,,2,1,1,9,1,2,2,1
1141,ATHABASCA,Alberta,1966 - 2004,31,1979.05.22,479,22fc9587-155c-4a94-bbbf-5938153a44db,"YEWCHUK, Paul",15978,0.5867,Progressive Conservative Party,"Physician, surgeon",,0,4,,,,,,,,,,,,,9,9,9,9,9,1,1,2
14,ANNAPOLIS VALLEY--HANTS,Nova Scotia,1976 - 1996,31,1979.05.22,481,233615e5-2efe-4c21-add7-fe0441115d79,"NOWLAN, Pat",20103,0.5012,Progressive Conservative Party,"Barrister, lawyer",,0,5,,,,,,,,,,,,,2,2,2,2,2,1,9,2
