Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H31S1V001,H31S1V002,H31S1V003,H31S1V004,H31S1V005,H31S1V006,H31S1V007,H31S1V008
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.09.1979,10.11.1979,10.15.1979,10.25.1979,11.06.1979,12.04.1979,12.10.1979,12.13.1979
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,
541,PEMBINA,Alberta,1966 - 1987,31,1979.05.22,1162,555b6145-2e08-4d94-a71d-e3f07091c170,"ELZINGA, Peter",33722,0.6671,Progressive Conservative Party,"Farmer, rancher",,0,2,,,,,,,,,,,,,2,2,2,9,2,1,1,2
508,OKANAGAN NORTH,British Columbia,1976 - 1987,31,1979.05.22,1181,5656fdd7-95ab-4039-8bc2-c9cd42de2814,"WHITTAKER, George",26560,0.5147,Progressive Conservative Party,"Farmer, orchardist",,0,3,,,,,,,,,,,,,2,2,2,2,2,1,1,2
366,LAMBTON--MIDDLESEX,Ontario,1976 - 1996,31,1979.05.22,1187,56cfd382-5482-4011-8f49-fd46b5bd88d6,"FRALEIGH, Sid",18770,0.4851,Progressive Conservative Party,Farmer,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
534,PARKDALE--HIGH PARK,Ontario,1976 - ,31,1979.05.22,1193,573c0758-57bf-4bcb-8ccf-b10290b5e0c9,"FLIS, Jesse",15281,0.3768,Liberal Party of Canada,"Educator, school principal",,0,1,,,,,,,,,,,,,2,2,1,1,1,2,9,1
1247,QUEBEC-EST,Quebec,1966 - 1996,31,1979.05.22,1196,5763cb6f-2e75-4497-8be1-74a10756914a,"DUQUET, Gerard",28365,0.6582,Liberal Party of Canada,"Business agent, businessman, manager",,1,5,,,,,,,,,,,,,2,9,1,9,1,2,2,1
344,KITCHENER,Ontario,1966 - 1996,31,1979.05.22,1213,58ec03bb-4e6a-4eb0-b14a-3d29508c4ac9,"REIMER, John",23230,0.448,Progressive Conservative Party,Educator,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
403,LONDON WEST,Ontario,1966 - ,31,1979.05.22,1252,5b94ccd9-15ae-4138-9cd1-327d8d6e30cb,"BUCHANAN, Judd",25258,0.4237,Liberal Party of Canada,"Businessman, life insurance agent",,0,4,,,,,,,,,,,,,9,9,1,1,1,9,2,1
728,THUNDER BAY--ATIKOKAN,Ontario,1976 - 2003,31,1979.05.22,1267,5d169cac-f116-46fd-9ff6-73cffa8348d5,"MCRAE, Paul",11921,0.3487,Liberal Party of Canada,School principal,,0,3,,,,,,,,,,,,,2,2,1,1,1,2,2,1
512,ONTARIO,Ontario,1924 - 1996,31,1979.05.22,1298,5f1b1598-eccb-4311-824c-051698d34046,"FENNELL, Scott",22583,0.4512,Progressive Conservative Party,"Businessman, insurance executive",,0,1,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
1249,REGINA EAST,Saskatchewan,1976 - 1987,31,1979.05.22,1311,5fd68b94-0c72-4ac3-a336-e9302792c3c8,"DE JONG, Simon",15022,0.3655,New Democratic Party,"Painter, restaurant owner",,0,1,,,,,,,,,Indonesia,,,,2,1,1,1,1,2,2,1
597,REGINA WEST,Saskatchewan,1976 - 1987,31,1979.05.22,1312,5fe02b34-43c8-48d3-a5a8-013554a3ef13,"BENJAMIN, Les",19340,0.4241,New Democratic Party,"Manager, railway station agent, secretary, telegrapher",,0,4,,,,,,,,,,,,,2,1,1,1,1,9,9,1
846,YORK NORTH,Ontario,1867 - 2003,31,1979.05.22,1318,602fcebd-5edd-4347-a75e-d58763e79b0e,"GAMBLE, John",29011,0.4889,Progressive Conservative Party,Tax lawyer,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
748,TRINITY,Ontario,1933 - 1987,31,1979.05.22,1323,608d24d3-2228-4a1c-9f28-30630d28a48f,"NICHOLSON, Aideen",10206,0.4793,Liberal Party of Canada,"Executive director, social worker, teacher",,0,2,,,,,,,,,Ireland,,,,2,2,1,1,1,2,2,1
822,WINNIPEG NORTH,Manitoba,1914 - 1997,31,1979.05.22,1329,6116d4fa-3305-4f4b-881b-249e81d2a572,"ORLIKOW, David",22417,0.5268,New Democratic Party,"Labour educator, pharmacist",,0,7,,,,,,,,,,,,,9,1,1,1,1,2,2,1
263,HALIFAX,Nova Scotia,1867 - ,31,1979.05.22,1332,612093e7-6284-4407-b990-dafc7c35485e,"COOPER, George",16570,0.4045,Progressive Conservative Party,Lawyer,,0,1,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
505,NOTRE-DAME-DE-GRACE,Quebec,1947 - 1980,31,1979.05.22,1353,62c8fd64-eb59-4bf9-b138-bd43854deedf,"ALLMAND, Warren",33011,0.7242,Liberal Party of Canada,"Barrister and solicitor, lawyer",,0,5,,,,,,,,,,,,,9,2,1,9,1,2,9,1
450,MISSISSAUGA NORTH,Ontario,1976 - 1987,31,1979.05.22,1356,62f0c830-7f96-466d-b21a-6f840dbd7646,"JUPP, Alex",30531,0.4441,Progressive Conservative Party,"Businessman, teacher",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
520,OTTAWA CENTRE,Ontario,1966 - ,31,1979.05.22,1360,63505ea1-432e-4474-afbc-943bcd5ac951,"EVANS, John",19758,0.4003,Liberal Party of Canada,"Economist, professor",,0,1,,,,,,,,,United States,,,,2,2,1,1,1,2,2,1
407,LOTBINIERE,Quebec,1867 - 2000,31,1979.09.23,1369,63f3f982-68c0-4d58-91a8-75fa11691181,"JANELLE, Richard",20083,0.4777,Progressive Conservative Party,,,1,2,,,1,,,,,,,,,,9,2,2,2,2,1,1,2
182,DRUMMOND,Quebec,1966 - ,31,1979.05.22,1374,6448f5e7-32cc-442f-ac16-39e5b1aa483a,"PINARD, Yvon",22989,0.5719,Liberal Party of Canada,Lawyer,,1,2,,,,,,,,,,,,,2,2,1,1,1,2,9,1
604,RESTIGOUCHE,New Brunswick,1966 - 1989,31,1979.05.22,1396,66096f07-d64e-4c5e-9e23-fef964dae93c,"HARQUAIL, Maurice",14840,0.5586,Liberal Party of Canada,Claim adjuster,,0,2,,,,,,,,,,,,,2,9,1,1,1,2,2,1
86,BURIN--ST. GEORGE'S,Newfoundland and Labrador,1976 - 1996,31,1979.05.22-1979.06.18,1403,66de74f9-20dd-4ce5-9677-c4d17b6baa34,"JAMIESON, Don",14960,0.7034,Liberal Party of Canada,"Broadcaster, radio & t.v. studio equipment operator",,0,5,,,,,,,,,,Resignation. Enters provincial politics in Newfoundland. Appointed leader of the Liberal Party of Newfoundland: 1979.06.18,,,99,99,99,99,99,99,99,99
35,BEACHES,Ontario,1976 - 1987,31,1979.05.22,1414,67b4d446-60b9-402d-9378-0d962c1b2149,"RICHARDSON, Robin",12840,0.3453,Progressive Conservative Party,Economist,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
256,GREY--SIMCOE,Ontario,1966 - 1987,31,1979.05.22,1415,67b4f925-6633-435c-a34b-55dabc7de32d,"MITGES, Gus",20825,0.5474,Progressive Conservative Party,"Veterinarian, veterinary surgeon",,0,3,,,,,,,,,Greece,,,,9,2,2,2,2,1,1,2
573,PRINCE GEORGE--PEACE RIVER,British Columbia,1978 - ,31,1979.05.22,1421,67f94ff8-9189-41ff-b492-144787d47708,"OBERLE, Frank",16288,0.6095,Progressive Conservative Party,Businessman,,0,3,,,,,,,,,Germany,,,,2,2,2,2,2,1,1,2
523,OTTAWA--CARLETON,Ontario,1966 - 1987,31,1979.05.22,1432,688eb408-a603-41ac-9929-547763ba95e1,"PEPIN, Jean-Luc",33972,0.4911,Liberal Party of Canada,"Political commentator, professor",,1,4,,,,,,,,,,,,,2,2,1,1,1,2,2,1
295,HUMBOLDT--LAKE CENTRE,Saskatchewan,1976 - 1987,31,1979.05.22,1438,68dfb8cb-7497-4ec0-9954-99193ae9c6f9,"RICHARDSON, George",13066,0.3914,Progressive Conservative Party,Farmer,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
242,GLENGARRY--PRESCOTT--RUSSELL,Ontario,1970 - ,31,1979.05.22,1444,6958d11c-f0f8-46e1-8a03-7574d2103ce3,"ETHIER, Denis",27106,0.6533,Liberal Party of Canada,"Businessman, merchant",,1,3,,,,,,,,,,,,,9,9,9,1,1,2,2,1
163,CROWFOOT,Alberta,1966 - ,31,1979.05.22,1500,6d78f953-87f8-46bd-9445-bb565899ee70,"MALONE, Arnold J.",25202,0.7712,Progressive Conservative Party,"Agrologist, farmer, public servant, rancher",,0,2,,,,,,,,,,,,,2,2,2,2,2,1,1,2
683,SHERBROOKE,Quebec,1924 - ,31,1979.05.22,1506,6d91abe4-80ed-46b3-9287-67ab83eaf04e,"PELLETIER, Irenee",25110,0.6015,Liberal Party of Canada,"Author, professor",,1,3,,,,,,,,,,,,,2,9,1,1,1,2,2,1
617,ROBERVAL,Quebec,1947 - 2004,31,1979.05.22,1528,6ef85d82-0243-4e17-a3bd-41a064680fd1,"GAUTHIER, Charles-Arthur",15582,0.4591,Social Credit,"Furniture and appliances retailer, merchant, undertaker",,1,7,,,,,,,,,,,,,1,9,2,2,2,1,1,9
289,HULL,Quebec,1914 - 1984,31,1979.05.22,1530,6eff5e4a-62b7-4984-9fab-0f77c6d4740d,"ISABELLE, Gaston",30413,0.7018,Liberal Party of Canada,Physician,,1,5,,,,,,,,,,,,,2,2,1,1,1,2,9,1
200,EDMONTON SOUTH,Alberta,1976 - 1987,31,1979.05.22,1536,6f77b9ca-d1c8-4314-bbe4-e66ec286cc88,"ROCHE, Doug",27713,0.5981,Progressive Conservative Party,"Author, diplomat, editor, journalist, lecturer",,0,3,,,1,,,,,,,,,,2,2,9,2,2,9,9,2
1260,ST. JOHN'S WEST,Newfoundland and Labrador,1952 - 1987,31,1979.05.22,1552,71374525-4461-45ab-bad9-4faea6943d4e,"CROSBIE, John C.",17236,0.4749,Progressive Conservative Party,Lawyer,,0,2,,1,,,,,,,,,,,2,2,2,2,2,1,1,2
607,RICHELIEU,Quebec,1966 - 1998,31,1979.05.22,1557,715ef7c2-6ff6-4099-9e76-79c3b8961c73,"LEDUC, Jean-Louis",25264,0.5586,Liberal Party of Canada,"Businessman, professor",,1,1,,,,,,,,,,,,,2,2,1,1,1,2,2,1
306,HURON--BRUCE,Ontario,1977 - ,31,1979.05.22,1558,715fb714-5a4c-4ade-9a09-2a1e3b0bbb56,"MCKINLEY, Robert E.",21122,0.5922,Progressive Conservative Party,"Businessman, farmer, insurance broker, investment broker",,0,5,,,,,,,,,,,,,2,2,2,2,2,9,1,2
60,BRAMPTON--GEORGETOWN,Ontario,1976 - 1987,31,1979.05.22,1562,71c118d7-3cce-4efc-865f-821d79ecc257,"MCDERMID, John",31042,0.4757,Progressive Conservative Party,"Marketing manager, public relations officer, radio announcer, television announcer",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
273,HAMILTON--WENTWORTH,Ontario,1966 - 1996,31,1979.05.22,1567,7210c04b-6e1d-4223-b647-04facd2ad870,"SCOTT, Geoff",22369,0.5284,Progressive Conservative Party,"Broadcaster, journalist",,0,2,,,,,,,,,,,,,2,2,2,2,2,1,1,2
133,CHARLESBOURG,Quebec,1976 - 2000,31,1979.05.22,1580,72948d0d-b067-4c29-9fc3-c2bef9199c5c,"BUSSIERES, Pierre",40796,0.6596,Liberal Party of Canada,Executive assistant,,1,2,,,,,,,,,,,,,2,9,1,9,1,2,2,1
478,NEPEAN--CARLETON,Ontario,1976 - 1987,31,1979.05.22,1581,729e307d-8f1b-47d7-822a-abf963943fb2,"BAKER, Walter",36717,0.5957,Progressive Conservative Party,"Lawyer, solicitor",,0,3,,1,,,,,,,,,,,2,2,2,2,2,1,1,2
526,OUTREMONT,Quebec,1966 - ,31,1979.05.22,1582,729f0dd2-a100-4731-8437-ddbdf67f4884,"LALONDE, Marc",28710,0.7215,Liberal Party of Canada,"Author, lawyer",,1,3,,,,,,,,,,,,,2,2,1,9,1,2,2,1
610,RICHMOND,Quebec,1966 - 1980,31,1979.05.22,1602,73b84ae6-7953-4bc2-90b7-ff2074f4e1a0,"TARDIF, Alain",15135,0.4532,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,9,1,1,1,2,9,1
20,ARGENTEUIL,Quebec,1976 - 1980,31,1979.05.22,1621,75971bc3-9b18-42a0-a5f6-524b6f4032d6,"GOURD, Robert",22043,0.6427,Liberal Party of Canada,"Administrator, manufacturer",,1,1,,,,,,,,,,,,,2,2,1,1,1,2,2,1
686,SIMCOE NORTH,Ontario,1867 - ,31,1979.05.22,1626,761a9263-10e4-4b7c-848d-e7ba3a1f500e,"LEWIS, Doug",19388,0.4641,Progressive Conservative Party,"Chartered accountant, lawyer",,0,1,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
416,MADAWASKA--VICTORIA,New Brunswick,1966 - 1996,31,1979.05.22,1630,76584d20-3291-4a3d-a2e8-f4870bd072e1,"CORBIN, Eymard G.",15851,0.6182,Liberal Party of Canada,"Journalist, teacher",,0,4,,,,,,,,,,,,,2,2,1,9,1,2,2,1
553,PONTIAC--GATINEAU--LABELLE,Quebec,1978 - 2003,31,1979.05.22,1668,785bb447-d52b-4af0-ab24-129278dcde16,"LEFEBVRE, Thomas",20253,0.6376,Liberal Party of Canada,Garage owner / operator,,0,5,,,,,,,,,,,,,2,2,1,1,1,2,2,1
282,HASTINGS--FRONTENAC,Ontario,1976 - 1981,31,1979.05.22,1669,7872292a-9832-460a-9ce5-08369d7a25c0,"VANKOUGHNET, Bill",17537,0.5036,Progressive Conservative Party,Municipal administrator,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
653,SAINT-MICHEL,Quebec,1966 - 1983,31,1979.05.22,1677,78fcd6e1-d6b6-4200-84d9-8da95971d3d6,"KILLENS, Therese",29046,0.7124,Liberal Party of Canada,Administrator,,1,1,,,,,,,,,,,,,2,2,1,1,1,2,9,1
429,MATAPEDIA--MATANE,Quebec,1976 - 2004,31,1979.05.22,1699,7a7a07c4-5344-4e5c-aa2c-2e8198adf5ec,"DE BANE, Pierre",19728,0.7241,Liberal Party of Canada,Lawyer,,1,4,,,,,,,,,Palestine,,,,2,2,1,1,1,9,9,1
402,LONDON EAST,Ontario,1966 - 1996,31,1979.05.22,1707,7b05cff5-c307-4e05-ad7d-0efc4d065bee,"TURNER, Charlie",16331,0.4255,Liberal Party of Canada,Locomotive engineer,,0,4,,,,,,,,,,,,,2,2,1,1,1,2,2,1
628,SAINT JOHN,New Brunswick,1976 - 1987,31,1979.05.22,1713,7b87c62f-2478-4bce-9f97-6c75907955a8,"FERGUSON, Eric",13989,0.4156,Progressive Conservative Party,"Consultant, police officer",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
88,BURNABY,British Columbia,1976 - 1987,31,1979.05.22,1715,7bac4375-0412-480f-923c-1b938132ecb5,"ROBINSON, Svend J.",20604,0.3976,New Democratic Party,"Barrister and solicitor, lawyer",,0,1,,,,,,,,,United States,,,,2,1,1,1,1,2,2,1
199,EDMONTON NORTH,Alberta,1976 - 2003,31,1979.05.22,1721,7bd87e49-bca8-45fa-a451-7c1635f2748c,"PAPROSKI, Steven E.",24618,0.6053,Progressive Conservative Party,"Businessman, manager",,0,4,,1,,,,,,,Poland,,,,2,2,2,2,2,1,1,2
708,STORMONT--DUNDAS,Ontario,1966 - 1999,31,1979.05.22,1722,7beeed73-0eef-4875-ac4f-eae4a5b16956,"LUMLEY, Ed",20581,0.4707,Liberal Party of Canada,Businessman,,0,2,,,,,,,,,,,,,2,9,1,1,1,2,2,1
453,MONCTON,New Brunswick,1966 - 1998,31,1979.05.22,1730,7c655095-e5b3-4a07-894e-f7ab2be71ff5,"MCCAULEY, Gary F.",20940,0.4333,Liberal Party of Canada,"Broadcaster, clergyperson",,0,1,,,,,,,,,,,,,2,2,9,1,1,2,9,1
780,VICTORIA,British Columbia,1924 - ,31,1979.05.22,1745,7d64d4bd-0f99-4e1f-81da-826f567f48d2,"MCKINNON, Allan",28058,0.5474,Progressive Conservative Party,Teacher,,0,3,,1,,,,,,,,,,,2,2,2,2,2,1,9,2
179,DON VALLEY EAST,Ontario,1976 - ,31,1979.05.22,1747,7d757415-3a87-42e4-af41-eb1cade8f47e,"WAKIM, Sam",25352,0.4718,Progressive Conservative Party,Lawyer,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
614,RIMOUSKI,Quebec,1867 - 1980,31,1979.05.22,1777,807db12b-220f-4f7f-936f-6c7eba43595e,"ALLARD, Eudore",16821,0.4532,Social Credit,"Hotelier, sales representative",,1,3,,,,,,,,,,,,,1,2,2,2,2,9,1,9
372,LANGELIER,Quebec,1966 - 1990,31,1979.05.22,1786,80e1adc0-c063-41db-898d-f2ebcac27c3b,"LAMONTAGNE, J. Gilles",25931,0.6657,Liberal Party of Canada,Merchant,,1,2,,,,,,,,,,,,,9,2,1,1,1,2,2,1
23,ASSINIBOIA,Saskatchewan,1907 - 1987,31,1979.05.22,1791,80fb46d2-7ead-422d-a70f-585c8ff50372,"GUSTAFSON, Len",12365,0.3659,Progressive Conservative Party,"Businessman, contractor, farmer",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
565,PRINCE ALBERT,Saskatchewan,1907 - 1987,31,1979.11.19,1809,822d0d84-1a91-4125-91d7-56cc29e844a3,"HOVDEBO, Stan",10941,0.3798,New Democratic Party,Educator,,0,1,,,,,,,,,,,,,99,99,99,99,99,2,2,1
262,HALDIMAND--NORFOLK,Ontario,1976 - 1996,31,1979.05.22,1820,82a7280e-c033-4d44-9582-d2d19a1d1af9,"BRADLEY, Bud",22655,0.4956,Progressive Conservative Party,Dentist,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,9,2
771,VERCHERES,Quebec,1976 - 1998,31,1979.05.22,1842,8449932e-c517-4ada-93a4-e6153d5e085f,"LOISELLE, Bernard",36542,0.6282,Liberal Party of Canada,Lawyer,,1,2,,,,,,,,,,,,,2,2,1,1,1,2,2,1
105,CAMBRIDGE,Ontario,1976 - ,31,1979.05.22,1844,84844442-9039-4d12-840b-d5b1b45f743e,"SPEYER, Chris",16337,0.435,Progressive Conservative Party,Criminal lawyer,,0,1,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
565,PRINCE ALBERT,Saskatchewan,1907 - 1987,31,1979.05.22-1979.08.16,1846,84909dc1-9a60-44b3-a939-2393ab563089,"DIEFENBAKER, John George",16438,0.4896,Progressive Conservative Party,"Barrister, lawyer",,0,13,,,,,,,,,,Died in office: 1979.08.16,,,99,99,99,99,99,99,99,99
140,CHÎTEAUGUAY,Quebec,1976 - 2003,31,1979.05.22,1855,84ece46f-6d8e-43b4-b2c6-b90c023c35e4,"WATSON, Ian",27485,0.6776,Liberal Party of Canada,Lawyer,,0,6,,,,,,,,,,,,,9,2,9,9,1,2,2,1
180,DON VALLEY WEST,Ontario,1976 - ,31,1979.05.22,1865,85e6ed23-576e-4cab-8ce0-3d8704262e0f,"BOSLEY, John",28427,0.5409,Progressive Conservative Party,Businessman,,0,1,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
537,PEACE RIVER,Alberta,1924 - ,31,1979.05.22,1904,88de9baa-8839-401f-9aa2-55522b62d47f,"BALDWIN, Ged",20748,0.6314,Progressive Conservative Party,"Barrister, lawyer",,0,8,,,,,,,,,New Zealand,,,,9,9,9,9,2,1,1,2
798,WELLINGTON--DUFFERIN--SIMCOE,Ontario,1977 - 1987,31,1979.05.22,1906,88f42d94-442c-4018-ae00-686140d8b377,"BEATTY, Perrin",25807,0.6181,Progressive Conservative Party,"Businessman, public servant",,0,3,,1,,,,,,,,,,,2,2,2,9,2,1,1,2
135,CHARLEVOIX,Quebec,1947 - 2003,31,1979.05.22,1922,8a0aa104-e5d1-4c87-816f-112ae63f3b31,"LAPOINTE, Charles",18031,0.5742,Liberal Party of Canada,"Professor, public servant",,1,2,,,,,,,,,,,,,2,2,1,9,1,2,2,1
151,COCHRANE,Ontario,1977 - 1980,31,1979.05.22,1925,8a483205-9d78-4b58-abc3-f74ae4f73326,"PENNER, Keith",12889,0.4449,Liberal Party of Canada,Teacher,,0,4,,,,,,,,,,,,,2,2,1,1,1,2,9,1
357,LACHINE,Quebec,1976 - 1987,31,1979.05.22,1939,8b173462-ff95-47f1-a93e-a813c66ddd7b,"BLAKER, Rod",29846,0.633,Liberal Party of Canada,"Announcer, journalist, lawyer",,0,3,,,,,,,,,,,,,2,9,1,1,1,2,9,1
842,YORK CENTRE,Ontario,1952 - ,31,1979.05.22,1952,8c4715f2-2a10-48a2-bbeb-b3f407c4df4b,"KAPLAN, Bob",20859,0.5131,Liberal Party of Canada,"Barrister and solicitor, lawyer",,0,3,,,,,,,,,,,,,2,2,1,1,1,2,2,1
859,YUKON,Yukon,1952 - ,31,1979.05.22,1956,8c857bdf-3db5-43c3-8ee0-d33d66a80817,"NIELSEN, Erik",4538,0.4059,Progressive Conservative Party,"Barrister, lawyer",,0,9,,1,,,,,,,,,,,2,2,2,2,2,1,9,2
50,BLAINVILLE--DEUX-MONTAGNES,Quebec,1977 - 1996,31,1979.05.22,1957,8c88b631-34e1-4a75-a603-833894d455c1,"FOX, Francis",34885,0.681,Liberal Party of Canada,"Executive, lawyer",,0,3,,,,,,,,,,,,,2,2,1,9,1,2,9,1
325,KENORA--RAINY RIVER,Ontario,1924 - 2003,31,1979.05.22,1961,8cd6c785-293e-4f33-8d82-a119256eca2d,"REID, John M.",11793,0.3516,Liberal Party of Canada,"Lecturer, professor, teacher",,0,5,,,,,,,,,,,,,9,2,1,9,1,2,2,1
696,SPADINA,Ontario,1933 - 1987,31,1979.05.22,1969,8d4733c4-bab3-4e88-bf3e-cc9a885899bd,"STOLLERY, Peter",12542,0.4317,Liberal Party of Canada,"Author, businessman, journalist",,0,3,,,,,,,,,,,,,2,2,1,1,1,2,2,1
532,PAPINEAU,Quebec,1947 - 1987,31,1979.05.22,1989,8eed4f27-aee9-4796-b78e-b81a57c98ee8,"OUELLET, Andre",23619,0.6848,Liberal Party of Canada,Lawyer,,1,5,,,,,,,,,,,,,2,9,1,1,1,9,2,1
829,WINNIPEG--ST. JAMES,Manitoba,1976 - 1996,31,1979.05.22,2002,8fb9ee48-25d4-4d95-979a-a1538b580b48,"LANE, Bob",12640,0.3931,Progressive Conservative Party,Insurance executive,,0,1,,,,,,,,,,,,,2,2,2,9,2,1,1,2
789,WATERLOO,Ontario,1976 - 1996,31,1979.05.22,2041,925bb99f-3fdf-4e80-975f-6712f64599ed,"MCLEAN, Walter",23837,0.4606,Progressive Conservative Party,"Clergyperson, international affairs consultant, military - chaplain, minister",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
220,ETOBICOKE CENTRE,Ontario,1976 - ,31,1979.05.22,2049,93108f92-7ed6-4601-8610-a5aa10516fb9,"WILSON, Michael",31498,0.5134,Progressive Conservative Party,"Businessman, investment dealer",,0,1,,1,,,,,,,,,,,2,2,2,2,2,1,1,2
620,ROSEMONT,Quebec,1976 - 2000,31,1979.05.22,2071,94b2cada-c697-45a9-81a7-c2dfe36ba41a,"LACHANCE, Claude-Andre",28116,0.7101,Liberal Party of Canada,"Articling student, lawyer",,1,2,,,,,,,,,,,,,2,1,1,1,1,2,2,1
448,MISSISQUOI,Quebec,1976 - 1983,31,1979.05.22,2087,95d80bc3-ef90-4b95-aa06-66756301e54b,"GRAFFTEY, Heward",18198,0.4804,Progressive Conservative Party,"Author, businessman, lawyer, lumber merchant, merchant",,0,7,,1,,,,,,,,,,,2,2,2,2,2,1,1,2
398,LINCOLN,Ontario,1903 - 1996,31,1979.05.22,2099,968c0ea6-91de-40f9-add3-b92593e54218,"HIGSON, Ken",19612,0.407,Progressive Conservative Party,"Barrister and solicitor, lawyer",,0,2,,,,,,,,,England,,,,2,2,2,2,2,1,1,2
102,CALGARY SOUTH,Alberta,1952 - 1987,31,1979.05.22,2106,96e06a60-b9cb-4460-a999-a836b22b33cf,"THOMSON, John",37900,0.6654,Progressive Conservative Party,Businessman,,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
400,LISGAR,Manitoba,1871 - 1987,31,1979.05.22,2107,970fa2d3-667f-4389-879d-78a2f8146489,"MURTA, Jack",21366,0.7008,Progressive Conservative Party,Farmer,,0,4,,,1,,,,,,,,,,2,2,2,2,2,1,1,2
422,MANICOUAGAN,Quebec,1966 - ,31,1979.05.22,2118,980efb87-aecc-4a77-bb40-a7fcf84a9ec0,"MALTAIS, Andre",18528,0.5898,Liberal Party of Canada,School administrator,,1,1,,,,,,,,,,,,,2,2,1,9,1,9,2,1
619,ROSEDALE,Ontario,1933 - 1996,31,1979.05.22,2120,9822cf68-94be-4d0c-9a5c-ba57f408fe81,"CROMBIE, David",18594,0.4726,Progressive Conservative Party,Teacher,,0,2,,1,,,,,,,,,,,2,2,2,2,2,1,9,2
73,BROADVIEW--GREENWOOD,Ontario,1976 - 2000,31,1979.05.22,2126,98af71e6-be2b-40e8-9501-4e5c27ebbbf5,"RAE, Bob",13187,0.3972,New Democratic Party,Lawyer,,0,2,,,,,,,,,,,,,2,1,1,1,1,2,2,1
290,HUMBER--PORT AU PORT--ST. BARBE,Newfoundland and Labrador,1978 - 1987,31,1979.05.22,2133,99383735-7d0d-4107-8b2b-09cbb70f3f23,"FAOUR, Fonse",15872,0.5188,New Democratic Party,Lawyer,,0,2,,,,,,,,,,,,,2,1,1,9,1,2,2,1
445,MISSION--PORT MOODY,British Columbia,1976 - 1987,31,1979.05.22,2134,99588785-2883-4677-aa8a-76e8bbf45189,"ROSE, Mark",20847,0.4383,New Democratic Party,Professor,,0,3,,,,,,,,,,,,,2,1,1,1,1,9,2,1
649,SAINT-LEONARD--ANJOU,Quebec,1977 - 1987,31,1979.05.22,2145,99ef4591-5278-4c89-832d-2b5d3e59b294,"BEGIN, Monique",45582,0.7715,Liberal Party of Canada,"Administrator, sociologist",,1,3,,,,,,,,,Italy,,,,2,2,1,9,1,2,9,1
101,CALGARY NORTH,Alberta,1952 - 1996,31,1979.05.22,2150,9a216666-6b6a-4761-9a98-afc11747bf5f,"WOOLLIAMS, Eldon",27994,0.6426,Progressive Conservative Party,"Barrister and solicitor, teacher, trial lawyer",,0,8,,,,,,,,,,,,,2,2,2,2,2,1,1,2
767,VAUDREUIL,Quebec,1966 - 1997,31,1979.05.22,2154,9aa320e1-0bfb-425f-8b78-fa2be23f7799,"HERBERT, Hal",41508,0.7002,Liberal Party of Canada,Construction executive,,0,3,,,,,,,,,England,,,,2,2,1,1,1,2,2,1
128,CHAMBLY,Quebec,1966 - 2003,31,1979.05.22,2159,9af1fb09-1559-4bc5-84d2-d9357ce5b4a5,"DUPONT, Raymond",32952,0.6375,Liberal Party of Canada,"Businessman, labour relations consultant, technical adviser",,1,3,,,,,,,,,,,,,2,2,1,9,1,2,9,1
126,CENTRAL NOVA,Nova Scotia,1966 - 1996,31,1979.05.22,2173,9bc870a5-bc5d-4b05-ac22-779f048d206c,"MACKAY, Elmer M.",18907,0.5658,Progressive Conservative Party,"Barrister and solicitor, lawyer",,0,4,,1,,,,,,,,,,,2,2,2,2,2,1,1,2
