Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S35S1V01,S35S1V02,S35S1V03,S35S1V04,S35S1V05,S35S1V06,S35S1V07,S35S1V08,S35S1V09,S35S1V10,S35S1V11,S35S1V12,S35S1V13,S35S1V14,S35S1V15,S35S1V16,S35S2V001,S35S2V002,S35S2V003,S35S2V004,S35S2V005,S35S2V006,S35S2V007,S35S2V008,S35S2V009,S35S2V010,S35S2V011,S35S2V012,S35S2V013,S35S2V014,S35S2V015,S35S2V016,S35S2V017,S35S2V018,S35S2V019,S35S2V020,S35S2V021,S35S2V022,S35S2V023,S35S2V024,S35S2V025,S35S2V026,S35S2V027,S35S2V028,S35S2V029,S35S2V030,S35S2V031,S35S2V032,S35S2V033,S35S2V034,S35S2V035,S35S2V036,S35S2V037,S35S2V038
"MacDonald, Finlay",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian", 1984.12.21 - 1998.01.04 , 1984.12.21 , 1998.01.04 ,(Retirement),9,9,9,1,1,2,2,1,2,1,1,1,2,2,9,9,2,9,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,1,1,1,8,8,1,9
"Ottenheimer, Gerald R.",Progressive Conservative Party,Newfoundland and Labrador,"Mulroney, Martin Brian", 1987.12.30 - 1998.01.18 , 1987.12.30 , 1998.01.18 ,(Death),9,9,9,1,1,2,2,1,2,1,1,1,2,2,2,9,9,9,9,9,9,1,2,1,8,2,1,2,2,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles", 1968.04.08 - 1998.01.28 , 1968.04.08 , 1998.01.28 ,(Retirement),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,9,9,9,9,2
"Marchand, Len",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott", 1984.06.29 - 1998.03.01 , 1984.06.29 , 1998.03.01 ,(Resignation),1,2,2,9,9,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,9,1,2,2,2,2,9,2,2,2,1,9
"Haidasz, Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1978.03.23 - 1998.03.04 , 1978.03.23 , 1998.03.04 ,(Retirement),9,9,9,9,9,1,1,2,1,2,2,1,1,1,2,2,1,1,9,9,1,2,1,2,9,1,2,1,1,2,2,1,9,9,9,1,2,2,1,2,2,2,2,1,2,2,2,2,2,9,9,9,9,9
"Doyle, Richard J.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1985.03.19 - 1998.03.10 , 1985.03.19 , 1998.03.10 ,(Retirement),2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,9,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,9,8,8,8,1,1,1,1,2,1,1,1,1,1,9,2,2,1,1
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles", 1967.04.06 - 1998.03.23 , 1967.04.06 , 1998.03.23 ,(Resignation),9,9,9,9,9,9,9,9,1,2,2,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles", 1968.02.13 - 1998.05.02 , 1968.02.13 , 1998.05.02 ,(Retirement),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,9,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,9,9,9,9,2,9,9,9,9,2
"Jessiman, Duncan James",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian", 1993.05.26 - 1998.06.05 , 1993.05.26 , 1998.06.05 ,(Retirement),9,9,9,1,9,2,2,1,2,8,1,8,2,2,9,9,2,9,9,9,2,1,2,1,2,2,1,2,2,1,9,9,1,1,1,9,1,1,1,1,1,1,1,9,9,9,9,9,1,8,1,1,1,9
"Hí©bert, Jacques",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1983.04.20 - 1998.06.21 , 1983.04.20 , 1998.06.21 ,(Retirement),1,2,2,9,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"GigantíÂs, Philippe D.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1984.01.13 - 1998.08.16 , 1984.01.13 , 1998.08.16 ,(Retirement),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Forest, Jean B.",Liberal Party of Canada,Alberta,"Chrí©tien, Joseph Jacques Jean", 1996.05.16 - 1998.08.28 , 1996.05.16 , 1998.08.28 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,9,1,2,2,2,2,2,2,2,2,1,2
"Bosa, Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1977.04.05 - 1998.12.10 , 1977.04.05 , 1998.12.10 ,(Death),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,9,9,9,9,9,2
"Wood, Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1979.03.26 - 1999.01.31 , 1979.03.26 , 1999.01.31 ,(Resignation),9,9,9,9,9,9,9,9,1,2,2,1,1,1,9,2,1,1,9,9,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,9,9,9,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George", 1963.02.05 - 1999.03.24 , 1963.02.05 , 1999.03.24 ,(Resignation),2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2,9,9,9,9,1,1,2,1,1,1,1,9,9,9,9,9,9,1,1,1,1,1
"Whelan, Eugene",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean", 1996.08.09 - 1999.07.11 , 1996.08.09 , 1999.07.11 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9
"Lucier, Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott", 1975.10.23 - 1999.07.23 , 1975.10.23 , 1999.07.23 ,(Death),9,9,9,9,9,9,9,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,9,2,2,2,1,2
"Stewart, John B.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott", 1984.01.13 - 1999.11.19 , 1984.01.13 , 1999.11.19 ,(Retirement),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Lewis, Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott", 1978.03.23 - 1999.11.28 , 1978.03.23 , 1999.11.28 ,(Retirement),1,2,2,9,2,1,1,2,1,2,2,1,1,1,2,2,1,9,9,9,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,9,1,2,2,2,2,2,2,2,2,1,2
"Balfour, James",Progressive Conservative Party,Saskatchewan,"Clark, Charles Joseph", 1979.09.13 - 1999.12.12 , 1979.09.13 , 1999.12.12 ,(Death),2,1,1,9,1,2,2,1,2,1,1,2,2,2,9,9,2,2,1,9,9,9,9,9,9,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9
"Ghitter, Ronald D.",Progressive Conservative Party,Alberta,"Mulroney, Martin Brian", 1993.03.25 - 2000.03.31 , 1993.03.25 , 2000.03.31 ,(Resignation),9,9,9,9,1,9,9,9,2,1,1,2,2,2,1,1,2,9,9,9,2,1,2,9,2,9,1,2,2,1,1,2,1,1,1,9,1,1,1,9,9,9,9,9,1,1,1,1,9,1,8,1,1,9
"Grimard, Normand",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1990.09.27 - 2000.06.16 , 1990.09.27 , 2000.06.16 ,(Retirement),2,1,1,1,9,2,2,1,2,1,1,1,2,2,1,9,2,9,9,9,9,9,9,1,2,2,1,2,2,1,1,2,1,1,1,9,9,9,9,9,9,9,1,2,1,1,1,1,1,1,1,1,1,9
"Roberge, Fernand",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1993.05.26 - 2000.07.19 , 1993.05.26 , 2000.07.19 ,(Resignation),2,1,1,9,1,2,2,1,2,1,1,2,2,2,1,1,2,9,9,9,2,1,2,9,2,2,1,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,2,1,1,1,1,1,8,1,1,1,9
"Kelly, William M.",Progressive Conservative Party,Ontario,"Trudeau, Pierre Elliott", 1982.12.23 - 2000.07.21 , 1982.12.23 , 2000.07.21 ,(Retirement),2,1,1,9,1,2,2,1,2,1,1,1,2,2,2,1,9,2,9,9,9,1,2,1,2,9,9,9,9,9,9,9,1,1,1,9,1,1,1,1,1,1,9,9,9,9,9,9,1,9,9,9,9,9
"Cogger, Michel",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1986.05.02 - 2000.09.01 , 1986.05.02 , 2000.09.01 ,(Resignation),2,1,1,9,9,9,9,9,2,9,9,9,2,2,9,9,2,2,1,1,2,1,2,1,2,2,1,2,2,1,9,9,1,1,1,9,1,1,1,1,1,1,9,2,1,1,1,1,1,8,1,1,1,1
"Robichaud, Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott", 1973.12.21 - 2000.10.21 , 1973.12.21 , 2000.10.21 ,(Retirement),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,9,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,2,9,2,2,2,1,2
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott", 1973.10.05 - 2001.02.06 , 1973.10.05 , 2001.02.06 ,(Retirement),1,2,2,2,9,1,1,2,1,2,2,1,1,1,2,2,1,9,9,9,1,2,1,2,9,9,9,9,9,9,9,9,2,2,2,9,2,2,1,2,2,2,9,1,9,9,9,9,2,2,2,2,1,9
"Berntson, Eric A.",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian", 1990.09.27 - 2001.02.27 , 1990.09.27 , 2001.02.27 ,(Resignation),2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,9,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,8,1,1,1,1
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott", 1970.10.07 - 2001.02.28 , 1970.10.07 , 2001.02.28 ,(Death),1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,2,1,1,2,2,1,9,9,9,9,9,9,9,2,9,9,9,1,2,9,2,9,9,9,9,9,9,9
"Lavoie-Roux, Thí©ríÂse",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1990.09.27 - 2001.03.12 , 1990.09.27 , 2001.03.12 ,(Resignation),2,1,1,1,1,9,9,9,2,2,2,1,2,2,2,1,2,2,9,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,9,2,1,1,1,1,1,8,2,2,1,9
"Simard, Jean-Maurice",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian", 1985.06.26 - 2001.06.16 , 1985.06.26 , 2001.06.16 ,(Death),2,1,1,9,1,2,2,1,2,1,1,2,2,2,1,9,2,2,9,1,2,1,2,1,2,9,1,2,2,1,1,2,1,1,1,9,9,9,9,9,9,9,1,9,1,1,1,1,1,1,1,1,1,9
"Cohen, Erminie J.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian", 1993.06.04 - 2001.07.23 , 1993.06.04 , 2001.07.23 ,(Retirement),2,1,1,1,1,2,2,1,2,2,2,1,2,2,9,1,2,2,9,9,2,1,2,9,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,9,9,9,9,9,9,1,9,9,9,9,9
"DeWare, Mabel M.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian", 1990.09.23 - 2001.08.09 , 1990.09.23 , 2001.08.09 ,(Retirement),2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2,2,9,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,1,1,1
"Mercier, Lí©once",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean", 1996.08.09 - 2001.08.11 , 1996.08.09 , 2001.08.11 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,9
"Taylor, Nicholas W.",Liberal Party of Canada,Alberta,"Chrí©tien, Joseph Jacques Jean", 1996.03.07 - 2002.11.17 , 1996.03.07 , 2002.11.17 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,2,1,1,2,1,9,1,1,2,1,1,2,2,1,9,9,9,1,2,2,1,2,2,2,9,1,2,2,2,2,2,2,2,2,1,2
"Bolduc, Roch",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1988.09.26 - 2003.09.10 , 1988.09.26 , 2003.09.10 ,(Retirement),2,1,1,1,9,2,2,1,2,2,2,1,2,2,1,9,2,9,1,9,9,9,9,1,2,2,1,2,2,1,1,2,1,1,1,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9
"Kolber, Ernest Leo",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1983.12.23 - 2004.01.18 , 1983.12.23 , 2004.01.18 ,(Retirement),9,9,9,9,9,1,9,9,1,2,2,1,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,9,9,9,1,2,2,1,2,2,2,9,1,9,9,9,9,9,2,2,2,1,9
"Beaudoin, Gí©rald A.",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1988.09.26 - 2004.04.15 , 1988.09.26 , 2004.04.15 ,(Retirement),2,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,8,8,8,1,1,1,9,9,1,1,1,1,1,8,8,8,1,1
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott", 1972.04.27 - 2004.05.21 , 1972.04.27 , 2004.05.21 ,(Retirement),9,9,9,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,9,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Robertson, Brenda",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian", 1984.12.21 - 2004.05.23 , 1984.12.21 , 2004.05.23 ,(Retirement),9,9,9,1,1,2,2,1,2,1,1,2,2,2,2,1,2,9,9,9,2,1,2,9,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,1,9,9,9,9,9,1
"Rossiter, Eileen",Progressive Conservative Party,Prince Edward Island,"Mulroney, Martin Brian", 1986.11.17 - 2004.07.14 , 1986.11.17 , 2004.07.14 ,(Retirement),9,9,9,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,9,2,1,1,1,1,1,8,1,1,1,1
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott", 1970.10.07 - 2004.09.24 , 1970.10.07 , 2004.09.24 ,(Retirement),1,2,2,9,2,9,9,9,1,1,1,2,9,9,9,2,1,1,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,2,9,9,2,2,2,2,9,2,2,2,1,9
"Gauthier, Jean-Robert",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean", 1994.11.23 - 2004.10.22 , 1994.11.23 , 2004.10.22 ,(Retirement),99,99,99,99,2,9,9,9,1,2,2,1,1,1,2,2,1,1,2,1,1,9,9,9,1,1,2,1,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles", 1968.02.09 - 2005.01.04 , 1968.02.09 , 2005.01.04 ,(Retirement),9,9,9,9,9,9,9,9,9,1,1,2,9,1,2,9,9,1,9,9,1,9,9,9,9,1,1,2,2,2,2,1,1,1,1,9,2,2,1,2,2,2,9,1,1,8,1,8,9,2,2,2,1,9
"Lynch-Staunton, John",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian", 1990.09.23 - 2005.06.19 , 1990.09.23 , 2005.06.19 ,(Retirement),2,1,1,1,1,2,2,1,2,1,1,8,2,2,1,1,2,2,1,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,1,1,1
"Kelleher, James Francis",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1990.09.23 - 2005.10.02 , 1990.09.23 , 2005.10.02 ,(Retirement),2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,9,9,2,1,2,9,2,2,1,2,2,1,1,2,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9,9,1,8,1,1,1,9
"Pearson, Landon",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean", 1994.09.15 - 2005.11.16 , 1994.09.15 , 2005.11.16 ,(Retirement),99,99,99,99,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Doody, C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph", 1979.10.03 - 2005.12.27 , 1979.10.03 , 2005.12.27 ,(Death),2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,1,9,9,9,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,9,1,1,2,1,1,1,9,2,1,1,1,1,1,1,1,1,1,9
"Maheu, Shirley",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean", 1996.02.01 - 2006.02.01 , 1996.02.01 , 2006.02.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,9,9,9,9,9,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Buchanan, John M.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian", 1990.09.12 - 2006.04.22 , 1990.09.12 , 2006.04.22 ,(Retirement),2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,9,2,9,9,9,9,1,2,9,2,9,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,9,9,1,1,1,1,1,2,1,1,1,9
"Forrestall, J. Michael",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian", 1990.09.27 - 2006.06.08 , 1990.09.27 , 2006.06.08 ,(Death),9,9,9,9,1,2,2,1,2,1,1,2,9,9,9,1,2,2,1,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,8,1,1,1,9
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott", 1984.01.13 - 2006.10.31 , 1984.01.13 , 2006.10.31 ,(Resignation),1,2,2,9,9,9,9,9,1,2,2,1,1,1,9,2,1,1,9,9,1,2,1,9,1,1,2,1,1,2,2,1,1,1,1,9,2,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,2
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott", 1975.08.19 - 2007.03.02 , 1975.08.19 , 2007.03.02 ,(Retirement),1,2,2,2,2,9,9,9,1,2,2,1,1,1,2,2,1,1,9,9,1,2,1,2,1,1,2,1,1,2,2,1,9,9,9,9,2,2,1,2,2,2,2,9,9,9,9,9,2,2,2,2,1,9
"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott", 1984.06.29 - 2007.06.30 , 1984.06.29 , 2007.06.30 ,(Resignation),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,9,9,9,9,1,1,2,1,1,2,2,1,9,9,9,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Carney, Pat",Progressive Conservative Party,British Columbia,"Mulroney, Martin Brian", 1990.08.30 - 2008.01.31 , 1990.08.30 , 2008.01.31 ,(Resignation),2,1,1,9,9,9,9,9,2,2,1,2,2,2,8,1,2,9,9,9,9,1,2,9,9,2,1,2,2,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9
"Gustafson, Leonard J.",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian", 1993.05.26 - 2008.11.10 , 1993.05.26 , 2008.11.10 ,(Retirement),2,1,1,1,9,2,2,1,2,1,1,2,2,2,1,1,2,9,9,9,9,9,9,1,2,9,1,2,2,1,1,2,1,1,1,1,9,9,9,9,9,9,9,2,1,1,1,1,9,9,9,9,9,9
"Adams, Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott", 1977.04.05 - 2009.06.22 , 1977.04.05 , 2009.06.22 ,(Retirement),9,9,9,9,2,1,1,2,1,1,1,8,1,1,2,1,1,1,2,9,1,2,1,9,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2
"Atkins, Norman K.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1986.06.30 - 2009.06.27 , 1986.06.30 , 2009.06.27 ,(Retirement),2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,9,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
"Spivak, Mira",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian", 1986.11.17 - 2009.07.12 , 1986.11.17 , 2009.07.12 ,(Retirement),2,1,1,8,1,9,9,9,2,2,2,1,2,2,2,1,2,2,1,1,2,1,2,9,2,2,1,2,2,1,9,9,1,1,1,9,1,8,1,1,1,1,9,9,1,1,1,1,2,1,2,2,1,1
"Eyton, John Trevor",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1990.09.23 - 2009.07.12 , 1990.09.23 , 2009.07.12 ,(Retirement),2,1,1,1,9,2,9,9,2,1,1,8,2,2,9,1,2,9,9,9,9,9,9,9,9,9,1,2,2,9,9,9,1,1,1,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier", 1984.07.09 - 2009.08.02 , 1984.07.09 , 2009.08.02 ,(Retirement),1,2,2,2,2,1,1,2,1,2,2,1,9,9,9,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,9,9,9,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Bacon, Lise",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean", 1994.09.15 - 2009.08.25 , 1994.09.15 , 2009.08.25 ,(Retirement),99,99,99,99,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,9,9,9,1,2,2,1,2,2,2,2,1,2,2,2,2,9,2,2,2,1,2
"Bryden, John G.",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean", 1994.11.23 - 2009.10.31 , 1994.11.23 , 2009.10.31 ,(Resignation),99,99,99,99,2,1,1,2,1,2,2,1,1,1,9,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Prud'homme, Marcel",Independent,Quebec,"Mulroney, Martin Brian", 1993.05.26 - 2009.11.30 , 1993.05.26 , 2009.11.30 ,(Retirement),1,1,1,2,1,2,2,1,2,2,2,1,2,1,9,2,9,9,9,1,1,2,1,1,9,1,2,1,1,9,1,8,1,1,1,2,8,8,8,1,2,2,1,1,2,2,2,2,9,9,9,9,9,9
"Milne, Lorna",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean", 1995.09.21 - 2009.12.13 , 1995.09.21 , 2009.12.13 ,(Retirement),99,99,99,99,99,99,99,99,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1984.01.13 - 2010.01.02 , 1984.01.13 , 2010.01.02 ,(Retirement),1,2,2,9,2,1,1,2,1,2,2,1,1,1,2,2,1,9,2,1,9,9,9,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,2,9,2,2,2,1,9
"Keon, Wilbert Joseph",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian", 1990.09.27 - 2010.05.17 , 1990.09.27 , 2010.05.17 ,(Retirement),2,1,1,9,1,2,2,1,2,1,1,1,2,2,1,1,2,2,9,9,9,1,2,9,2,2,1,2,2,1,1,2,1,1,1,9,1,1,1,1,1,1,9,2,1,1,1,1,9,2,2,2,1,9
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott", 1982.12.22 - 2010.06.01 , 1982.12.22 , 2010.06.01 ,(Resignation),9,9,9,8,2,9,9,9,1,2,2,1,1,1,9,2,1,1,9,9,1,2,1,9,1,1,2,1,1,2,2,1,1,1,1,9,9,9,9,2,2,2,9,9,2,2,2,2,1,9,9,9,9,9
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott", 1981.07.02 - 2010.11.29 , 1981.07.02 , 2010.11.29 ,(Retirement),1,2,2,2,9,1,1,2,1,2,2,1,1,1,9,2,9,9,9,9,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,9,1,2,2,2,2,2,2,2,2,1,2
