Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S22S2V01,S22S2V02,S22S2V03,S22S3V01,S22S3V02,S22S3V03
Date,,,,,,,,03.02.1955,03.23.1955,05.25.1955,03.26.1956,05.30.1956,06.07.1956
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act to amend the Act respecting the Library of Parliament) be now read a third time,Motion that the Bill (An Act respecting Divorce and Matrimonial Matters) be now read a second time,"Motion that the Bill (An Act to amend the BNAA, 1867 to 1952) be now read a second time",Motion that the debate to amend the Rules of the Senate be adjourned,Motion that the Bill (An Act to amend the Act respecting the Court of the Exchequer) be now read a second time,Motion that the Bill (An Act to incorporate the Northern Ontario Pipeline) be now read third time
"MacLennan, Donald",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1940.01.29 - 1953.10.19 ,1940.01.29 , 1953.10.19 ,(Death),99,99,99,99,99,99
"Davis, John Caswell",Liberal Party of Canada,Manitoba,"St-Laurent, Louis Stephen",1949.01.25 - 1953.10.25 ,1949.01.25 , 1953.10.25 ,(Death),99,99,99,99,99,99
"Burke, Vincent P.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1950.01.25 - 1953.12.19 ,1950.01.25 , 1953.12.19 ,(Death),99,99,99,99,99,99
"Dennis, William Henry",Progressive Conservative Party,Nova Scotia,"Bennett, Richard Bedford",1932.02.03 - 1954.01.18 ,1932.02.03 , 1954.01.18 ,(Death),99,99,99,99,99,99
"Hushion, William James",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.15 - 1954.01.29 ,1940.02.15 , 1954.01.29 ,(Death),99,99,99,99,99,99
"Jones, John Walter",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1953.05.19 - 1954.03.31 ,1953.05.19 , 1954.03.31 ,(Death),99,99,99,99,99,99
"Emmerson, Henry Read",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1949.06.25 - 1954.06.21 ,1949.06.25 , 1954.06.21 ,(Death),99,99,99,99,99,99
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11 ,1925.09.05 , 1954.07.11 ,(Death),99,99,99,99,99,99
"Beauregard, Elie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1954.08.27 ,1940.02.09 , 1954.08.27 ,(Death),99,99,99,99,99,99
"Hurtubise, Joseph Raoul",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.06.09 - 1955.01.31 ,1945.06.09 , 1955.01.31 ,(Death),99,99,99,99,99,99
"Fafard, Joseph-Fernand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.01.29 - 1955.05.14 ,1940.01.29 , 1955.05.14 ,(Death),9,2,99,99,99,99
"King, James Horace",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1930.06.07 - 1955.07.14 ,1930.06.07 , 1955.07.14 ,(Death),1,1,2,99,99,99
"Du Tremblay, Pamphile Rí©al Blaise Nugent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.11.19 - 1955.10.06 ,1942.11.19 , 1955.10.06 ,(Death),9,9,9,99,99,99
"Fallis, Iva Campbell",Progressive Conservative Party,Ontario,"Bennett, Richard Bedford",1935.07.20 - 1956.03.07 ,1935.07.20 , 1956.03.07 ,(Death),9,9,1,99,99,99
"Calder, James Alexander",Progressive Conservative Party,Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20 ,1921.09.22 , 1956.07.20 ,(Death),9,9,9,9,9,9
"Hackett, John Thomas",Progressive Conservative Party,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1956.09.15 ,1955.07.28 , 1956.09.15 ,(Death),99,99,99,1,2,2
"Godbout, Joseph Adí©lard",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1949.06.25 - 1956.09.18 ,1949.06.25 , 1956.09.18 ,(Death),1,2,2,1,2,1
"Stevenson, John James",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1940.01.29 - 1956.09.21 ,1940.01.29 , 1956.09.21 ,(Death),9,2,9,9,9,9
"Ross, George Henry",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1948.12.01 - 1956.09.26 ,1948.12.01 , 1956.09.26 ,(Death),1,9,2,9,2,1
"Pirie, Frederick William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1956.10.03 ,1945.04.19 , 1956.10.03 ,(Death),9,9,2,2,9,9
"Duffus, Joseph James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.15 - 1957.02.07 ,1940.02.15 , 1957.02.07 ,(Death),1,2,2,9,9,9
"Daigle, Armand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1957.03.08 ,1944.03.03 , 1957.03.08 ,(Death),9,9,2,9,9,1
"McIntyre, James Peter",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1943.02.19 - 1957.04.08 ,1943.02.19 , 1957.04.08 ,(Death),1,9,9,9,2,1
"McGuire, William Henry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1957.10.31 ,1926.12.20 , 1957.10.31 ,(Death),1,9,9,9,9,9
"MacKinnon, James Angus",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.05.09 - 1958.04.18 ,1949.05.09 , 1958.04.18 ,(Death),9,1,9,2,1,1
"Hawkins, Charles G.",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1958.08.14 ,1950.05.02 , 1958.08.14 ,(Death),9,2,2,2,2,1
"Marcotte, Arthur",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1931.07.06 - 1958.08.18 ,1931.07.06 , 1958.08.18 ,(Death),2,2,2,9,2,2
"Nicol, Jacob",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.07.14 - 1958.09.23 ,1944.07.14 , 1958.09.23 ,(Death),9,9,9,9,9,9
"Howden, John Power",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1959.11.04 ,1945.04.18 , 1959.11.04 ,(Death),1,1,1,1,2,9
"Petten, Ray",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1961.02.16 ,1949.08.17 , 1961.02.16 ,(Death),9,1,9,9,9,9
"Quinn, Felix Patrick",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1961.03.28 ,1935.07.20 , 1961.03.28 ,(Death),2,2,9,9,2,2
"Euler, William Daum",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.05.11 - 1961.07.15 ,1940.05.11 , 1961.07.15 ,(Death),1,1,1,9,1,1
