Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H09S1V001,H09S1V002,H09S1V003,H09S1V004,H09S1V005,H09S1V006,H09S1V007,H09S1V008,H09S1V009,H09S1V010,H09S1V011,H09S1V012,H09S1V013,H09S1V014,H09S1V015,H09S1V016,H09S1V017,H09S1V018,H09S2V001,H09S2V002,H09S2V003,H09S2V004,H09S2V005,H09S2V006,H09S2V007,H09S2V008,H09S2V009,H09S2V010,H09S2V011,H09S2V012,H09S2V013,H09S2V014,H09S2V015,H09S2V016,H09S3V001,H09S3V002,H09S3V003,H09S3V004,H09S3V005,H09S3V006,H09S3V007,H09S3V008,H09S3V009,H09S3V010,H09S3V011,H09S3V012,H09S3V013,H09S3V014,H09S3V015,H09S3V016,H09S3V017,H09S3V018,H09S3V019,H09S3V020,H09S3V021,H09S3V022,H09S3V023,H09S3V024,H09S3V025,H09S3V026,H09S3V027,H09S3V028,H09S3V029,H09S3V030,H09S3V031,H09S3V032,H09S3V033,H09S3V034,H09S3V035,H09S3V036,H09S4V001,H09S4V002,H09S4V003,H09S4V004,H09S4V005,H09S4V006,H09S4V007,H09S4V008,H09S4V009,H09S4V010,H09S4V011,H09S4V012,H09S4V013,H09S4V014,H09S4V015,H09S4V016,H09S4V017,H09S4V018,H09S4V019,H09S4V020,H09S4V021,H09S4V022
351,L'ISLET,Quebec,1867 - 1933,9,1900.11.07-1901.05.12,384,1c5870ba-3b56-4666-8700-80feb6e3d1e7,"DECHENE, Arthur Miville",1111,0.5236,Liberal Party of Canada,Lumber merchant,Fr.Catholic,1,2,,,,,,,,,,Resignation.  Called to the Senate: 1901.05.12,,,9,9,9,9,9,9,2,1,9,2,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
3,ADDINGTON,Ontario,1867 - 1903,9,1900.11.07-1901.07.05,386,1c89bc6d-e6bf-4760-a92e-77a8638970ee,"BELL, John W.",2442,0.5607,Conservative (1867-1942),"Farmer, teacher",Protestant,0,4,,,,,,,,,,Died in office: 1901.07.05,,,2,9,9,9,9,2,1,2,2,2,1,1,2,1,2,9,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
26,ASSINIBOIA WEST,Northwest Territories,1886 - 1905,9,1900.11.07,462,21e66c9f-80d0-4275-bfd5-c4c5d918080a,"SCOTT, Walter",2093,0.5293,Liberal Party of Canada,"Journalist, printer",Protestant,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,9,2,9,9,9,9,2,2,2,2,2,9,1,1,2,2,2,2,2,1,2,1,1,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,9,9,9,9,9,9,1,2,2,2,2,2,2,2,2,2,2,2,9,1,2,2,2,2,2,2,9,2,2,2,2,2,2,1,2,1,9,2,2
530,OXFORD SOUTH,Ontario,1867 - 1933,9,1900.11.07,466,221bfffd-b6d9-41fd-99ba-f08555304a71,"CARTWRIGHT, Sir Richard John",2042,0.6248,Liberal Party of Canada,"Author, banker, businessman",Protestant,0,9,,1,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
261,HALDIMAND AND MONCK,Ontario,1892 - 1903,9,1900.11.07,488,23a92d07-f7f0-45e8-95aa-af33f2d4b1c7,"THOMPSON, A.T.",2239,0.5158,Liberal Party of Canada,"Editor, lawyer",Protestant,0,1,,,,,,,,,,,,,1,1,1,9,1,2,2,1,1,2,2,9,9,2,2,9,2,2,1,2,2,2,2,2,1,2,2,9,9,2,2,2,9,9,1,9,9,1,9,9,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2,2,1,1,2,9,9,9,9,9,9,9,9,2,2,9,1,9,9,9,2,2,1,9,9,9,9,9,9,2,2,2,2,9,9,2
147,CITY OF ST. JOHN,New Brunswick,1867 - 1914,9,1900.11.07-1903.12.27,520,26662264-1d8d-4546-8cd0-5b0cea432119,"BLAIR, Hon. Andrew George",4520,0.562,Liberal Party of Canada,"Lawyer, lecturer",Protestant,0,2,,1,,,,,,,,Resignation.  Appointed Chief Commissioner of the Board of Railway Commissioners for Canada: 1903.12.27,,,1,1,1,1,9,9,2,1,1,9,9,2,9,2,2,9,2,2,9,2,2,2,2,2,1,2,2,9,9,2,2,9,2,2,1,2,9,9,9,9,2,9,2,2,2,2,9,9,9,9,9,9,9,9,9,2,2,1,2,9,2,9,9,9,9,9,2,9,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
18,ARGENTEUIL,Quebec,1867 - 1947,9,1902.12.03,576,2a4cb06f-a1e4-4c41-8cb1-91d5d4ff5736,"CHRISTIE, Thos. Jr.",1261,0.541,Liberal Party of Canada,Pharmacist,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,1,2,2,2,2,2,2,2,2,2,2,2,1,1,9,2,1,1,2,2,2,1,1,2,9,9,9,9,9,2,2,2,2,2,9,1,2,2,2,2,2,9,1,2,9,2,2,2,2,2,2,2,2,2,2
352,LABELLE,Quebec,1892 - 1987,9,1900.11.07,579,2a8c7330-53c3-44dc-9f77-c16aa6af7898,"BOURASSA, Henri",1973,0.5691,Liberal Party of Canada,"Newspaper editor, publicist",Fr.Catholic,1,2,,,,,,,,,,,,,9,1,1,1,1,1,2,1,9,9,9,2,1,2,1,9,1,2,9,9,2,2,2,2,2,2,9,9,1,2,2,1,1,2,1,2,1,9,2,2,2,2,2,2,9,2,9,2,2,2,9,9,9,9,9,2,2,2,1,9,2,2,2,2,2,2,9,2,9,9,2,9,1,2,2,2,2,9,9,9,2,2,2,2,9,9,9,9,9,2,9,2
305,HURON WEST,Ontario,1882 - 1914,9,1900.11.07,607,2d1468fe-801d-4724-b58d-23b884b52cb8,"HOLMES, Robert",2163,0.5023,Liberal Party of Canada,"Printer, publisher",Protestant,0,2,,,,,,,,,,,,,1,1,1,1,1,2,2,1,1,2,2,9,9,9,2,9,9,2,1,2,2,2,2,9,1,2,2,9,9,2,9,9,9,9,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,1,2,2,2,1,9,2,2,2,2,2,2,2,2,9,9,2,9,1,2,2,2,2,2,9,1,2,2,9,2,9,2,2,2,2,9,9,2
690,SOULANGES,Quebec,1867 - 1914,9,1900.11.07,619,2e1cbfba-317f-481b-b47d-a5393e8c4da2,"BOURBONNAIS, Augustin",1105,0.5621,Liberal Party of Canada,Physician,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,1,1,2,9,9,9,9,9,2,9,2,9,9,9,2,9,9,9,2,2,2,1,2,9,9,1,2,2,1,1,2,1,9,1,9,9,2,9,2,9,9,2,2,2,2,2,9,9,9,9,9,1,2,2,2,1,9,2,9,9,9,9,9,9,9,2,2,2,2,1,9,9,2,2,2,9,9,2,9,2,9,9,2,2,2,2,9,2,2
513,ONTARIO NORTH,Ontario,1867 - 1924,9,1903.03.10,625,2e8d5309-8946-424f-8679-b5b1c8d259d2,"GRANT, Geo. D.",2465,0.5211,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,9,2,2,9,2,9,2,9,9,9,2,9,9,9,2,9,9,2,2,2,1,9,2,9,9,9,9,9,2,2,9,9,2,9,1,2,2,9,9,2,1,9,2,2,9,2,9,2,2,9,9,2,9,2
442,MIDDLESEX SOUTH,Ontario,1882 - 1903,9,1900.11.07,627,2ea18eff-5d75-40d1-93a1-17a221e36571,"MCGUGAN, Malcolm",2020,0.6151,Liberal Party of Canada,Farmer,Protestant,0,2,,,,,,,,,,,,,1,9,9,9,1,2,2,1,1,9,9,2,2,2,2,2,2,2,1,2,2,2,9,2,9,2,2,1,1,2,2,2,2,2,1,2,1,1,9,2,2,2,2,9,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,9,2,2,2,2,2,2,2,2,9,9,2,9,1,2,2,2,2,2,9,1,2,2,2,2,9,2,2,2,2,2,2,2
807,WEST QUEEN'S,Prince Edward Island,1892 - 1903,9,1902.01.15-1903.06.26,645,2fbc7054-034a-4b8a-8ba2-a4ac8254a4d2,"FARQUHARSON, Donald",2108,0.5635,Liberal Party of Canada,Businessman,Protestant,0,1,,,,,,,,,,Died in office: 1903.06.26,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
544,PERTH NORTH,Ontario,1867 - 1933,9,1900.11.07,657,30e8cab4-4159-4a08-8544-4f01c0c7b331,"MACLAREN, A.F.",3118,0.5235,Conservative (1867-1942),Industrialist,Protestant,0,2,,,,,,,,,,,,,9,1,1,9,1,2,1,2,9,9,9,1,9,1,9,9,2,9,9,9,9,1,9,1,9,9,9,9,9,1,1,2,2,1,2,9,2,1,9,1,1,1,9,1,1,1,9,1,1,1,9,9,9,9,2,1,1,1,2,9,9,9,9,9,9,9,1,1,9,1,1,1,2,1,1,9,1,1,9,9,9,1,9,1,1,9,9,9,9,9,9,1
351,L'ISLET,Quebec,1867 - 1933,9,1902.01.15,663,3161f1e3-2403-47f9-8a9d-51e32fa32db0,"CARBONNEAU, O.",953,0.5056,Liberal Party of Canada,Merchant,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,2,2,2,1,2,9,9,1,2,2,9,9,9,1,9,1,2,9,2,9,9,9,2,2,2,2,2,9,2,9,9,2,9,9,2,2,2,1,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,2,2,2,9,9,9,2,9,2,2,9,2,9,2,2,2,2,2
5,ALBERT,New Brunswick,1867 - 1903,9,1900.11.07,667,31865a14-5cc1-41d6-adf5-79b2c21118c0,"LEWIS, William J.",1276,0.5238,Liberal Party of Canada,"Coroner, physician",Protestant,0,2,,,,,,,,,,,,,1,9,9,1,1,2,2,1,1,9,9,2,9,2,9,9,2,2,1,2,2,2,9,2,2,2,2,9,9,2,2,9,2,2,1,2,9,1,9,2,9,9,9,9,9,9,2,9,9,2,9,9,2,2,9,2,2,2,1,9,2,9,9,9,9,9,9,9,2,9,9,9,1,2,9,9,2,9,9,9,2,9,2,9,9,2,9,9,9,2,2,9
639,ST. JAMES,Quebec,1892 - 1947,9,1902.01.15,671,31c4060e-625e-4bb6-81f8-385fca68d4d3,"BRUNET, Joseph",2899,0.5628,Liberal Party of Canada,Businessman,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,2,2,2,2,1,2,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
12,ANNAPOLIS,Nova Scotia,1867 - 1914,9,1900.11.07-1904.08.20,673,31d3af3f-38b1-47cc-8763-92df545c639f,"WADE, Fletcher B.",1883,0.5207,Liberal Party of Canada,Barrister,Protestant,0,1,,,,,,,,,,Resignation.  Appointed Chairman of the National Transcontinental Railway Commission: 1904.08.20,,,1,1,1,1,9,2,2,1,1,2,9,9,9,9,2,9,2,9,1,2,9,2,2,2,1,2,2,9,9,2,2,2,9,9,9,9,9,9,9,9,2,2,2,2,9,2,2,2,2,2,1,9,2,2,9,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,2,9,1,2,2,9,9,9,2,9,9,9,9,2,2,2,2,2,2,9,9,9
497,NORTHUMBERLAND,New Brunswick,1867 - 1955,9,1900.11.07,698,333ac298-d1d0-4a8d-a221-ccb67bc9ecf7,"ROBINSON, James",2404,0.5579,Conservative (1867-1942),"Lumberman, merchant",Protestant,0,3,,,,,,,,,,,,,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
777,VICTORIA,British Columbia,1872 - 1903,9,1900.11.07,701,33521008-6e57-4192-9463-187873f6fb54,"EARLE, Thomas",1775,0.2556,Conservative (1867-1942),"Businessman, store manager",Protestant,0,4,,,,,,,,,,,,,2,9,9,9,9,9,1,2,2,2,1,1,9,9,9,9,9,9,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,1,1,2,1,1,1,2,2,1,9,9,9,9,9,9,9,9,9,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1
432,MEGANTIC,Quebec,1867 - 1933,9,1900.11.07,705,338a9ad4-ea8b-4a5e-aee4-4ffce52bb79b,"TURCOT, Georges",2204,0.5511,Liberal Party of Canada,Merchant,Fr.Catholic,1,3,,,,,,,,,,,,,9,9,1,1,1,9,2,1,9,2,2,9,9,2,9,9,2,9,9,2,2,2,2,2,9,9,9,9,9,2,9,9,1,2,1,9,1,1,2,9,2,9,9,9,9,2,2,2,2,9,9,9,2,9,9,2,2,2,1,1,9,9,9,9,9,9,9,2,9,2,2,9,9,2,2,2,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2
639,ST. JAMES,Quebec,1892 - 1947,9,1904.02.16,721,34b13ceb-bb77-4ad5-b74c-974b9a4a905d,"GERVAIS, Honore",3269,0.5578,Liberal Party of Canada,"Author, lawyer, professor",Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,1,2,2,2,2,2,9,9,2,2,2,9,9,2,2,2,2,2,2,2
80,BRUCE NORTH,Ontario,1867 - 1933,9,1900.11.07,737,35aae345-273d-4108-88af-902e87ffd3fe,"MCNEILL, Alex",2065,0.5001,Liberal-Conservative,Lawyer,Protestant,0,5,,,,,,,,,Ireland,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
335,KING'S,New Brunswick,1867 - 1903,9,1900.11.07,739,35dd3809-2583-4766-adfc-e973b7482fc7,"FOWLER, George W.",2566,0.5185,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,1,1,1,9,9,1,2,2,2,1,1,2,1,2,1,9,1,9,1,1,9,1,1,9,9,9,2,2,1,9,9,2,9,9,9,2,1,9,1,1,9,1,9,9,1,1,9,1,1,2,9,1,9,9,1,1,1,2,9,9,1,1,1,1,1,1,9,1,1,1,9,9,9,9,9,9,9,9,1,9,1,9,1,9,1,9,9,9,1,1,9
479,NEW WESTMINSTER,British Columbia,1872 - 1976,9,1900.11.07,765,38240b33-fad1-4bf0-9ffe-40ef0c1ead2e,"MORRISON, Aulay",1772,0.5213,Liberal Party of Canada,Lawyer,Protestant,0,2,,,,,,,,,,,,,1,9,9,9,1,2,9,9,9,9,9,2,9,2,2,9,2,2,1,2,2,2,9,2,1,2,9,9,9,2,2,9,2,9,9,2,1,1,2,9,9,9,9,2,2,2,2,2,2,2,9,9,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,9,1,2,2,9,2,2,9,9,2,2,9,9,9,9,2,2,2,2,2,9
784,VICTORIA SOUTH,Ontario,1867 - 1903,9,1900.11.07,766,3831502d-1eb7-49b9-8281-7b749f6ca6f5,"VROOMAN, Adam Edward",2337,0.5242,Conservative (1867-1942),Physician,Protestant,0,1,,,,,,,,,,,,,2,1,1,9,9,2,1,2,2,9,1,1,9,1,9,9,2,1,2,1,9,1,1,1,9,1,1,2,2,1,9,9,9,1,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,9,1,1,9,1,1,1,2,9,9,9,9,9,9,9,9,9,1,1,1,1,2,1,1,1,1,1,9,9,1,9,1,1,1,1,9,9,9,1,1,1
45,BERTHIER,Quebec,1867 - 1924,9,1900.11.07,797,3a1bd486-12e9-4193-90d7-feb11ddc3a50,"ARCHAMBAULT, J.E.",1529,0.5532,Liberal Party of Canada,Notary,Fr.Catholic,1,2,,,,,,,,,,,,,9,9,9,9,1,2,2,1,1,2,9,9,9,9,9,9,9,2,9,2,2,2,9,2,1,9,9,9,9,9,9,9,1,2,9,9,1,2,9,2,9,2,9,9,2,9,2,2,2,9,9,9,2,9,9,2,2,2,1,1,9,2,2,2,2,2,9,9,2,9,2,9,1,2,2,2,2,9,9,9,2,9,2,2,9,2,9,9,9,2,9,2
777,VICTORIA,British Columbia,1872 - 1903,9,1900.11.07,815,3b8f0b3f-f800-4809-a535-8af37ce3a2c2,"PRIOR, Hon. Edward Gawlor",1872,0.2696,Conservative (1867-1942),"Land surveyor, merchant, mining engineer",Protestant,0,4,,,,,,,,,England,,,,9,1,1,1,1,2,1,2,2,2,1,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
599,RENFREW NORTH,Ontario,1867 - 1972,9,1900.11.07,828,3c9cc980-fe85-4b22-bdb6-f534fbe51bea,"MACKIE, Thomas",2299,0.5148,Liberal Party of Canada,Lumber merchant,Protestant,0,2,,,,,,,,,,,,,1,1,1,9,9,2,2,1,1,2,2,2,2,2,2,2,9,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,9,1,9,2,2,2,9,2,2,2,2,2,2,2,2,1,2,2,9,9,2,2,2,1,9,9,2,2,2,2,2,2,2,9,2,2,2,1,9,9,2,2,2,2,1,2,2,2,2,9,2,9,9,9,2,2,2
601,RENFREW SOUTH,Ontario,1867 - 1966,9,1900.11.07,843,3dc72ca1-827d-4842-b5ce-6afdc9c04182,"WRIGHT, A.A.",2149,0.5447,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,,,,,1,1,1,9,1,2,2,1,1,2,2,9,2,9,2,2,2,2,1,2,2,2,2,2,1,2,2,1,9,1,2,9,2,2,1,2,1,1,2,9,9,9,2,2,9,2,2,9,9,2,1,9,2,9,9,2,2,2,1,9,9,9,9,9,9,9,2,2,9,2,9,9,9,2,2,2,2,2,2,1,2,2,9,2,9,9,2,2,2,2,2,2
425,MASKINONGE,Quebec,1867 - 1924,9,1900.11.07-1903.01.31,850,3e13a544-1868-4c34-92ad-866f990a5c21,"LEGRIS, J.H.",1400,0.6019,Liberal Party of Canada,Farmer,Fr.Catholic,1,3,,,,,,,,,,Resignation.  Called to the Senate: 1903.01.31,,,9,9,9,9,1,2,2,1,9,2,2,2,9,9,9,2,9,2,2,2,2,9,2,2,2,2,9,9,1,2,2,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
563,PRESCOTT,Ontario,1867 - 1952,9,1900.11.07-1904.07.28,860,3e8f3909-fb97-4564-be8b-96b131b869e2,"PROULX, Isidore",1596,0.4176,Liberal Party of Canada,"Farmer, merchant",Fr.Catholic,1,3,,,,,,,,,,Died in office: 1904.07.28,,,1,9,9,1,9,2,2,1,1,2,2,2,9,2,2,2,9,2,1,2,2,9,2,2,9,9,9,1,9,9,2,9,2,2,1,9,1,1,2,2,2,9,9,2,2,2,2,2,9,2,9,9,2,9,9,2,2,2,1,1,2,2,2,2,2,2,2,2,2,9,2,9,9,2,2,9,9,9,9,9,2,9,2,9,2,9,9,9,9,99,99,99
152,COLCHESTER,Nova Scotia,1867 - 1933,9,1900.11.07,873,3f3a6135-5d1d-4167-ab81-0e1dbb2cd149,"GOURLEY, Seymour E.",2449,0.5302,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,,,,,2,9,9,1,1,2,1,2,2,2,9,9,9,9,9,9,9,9,9,9,1,1,1,9,2,1,9,2,9,1,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,2,9,1,2,1,9,1,2,2,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,9
846,YORK NORTH,Ontario,1867 - 2003,9,1900.11.07,879,3fbbf99b-cf52-4821-bdc6-2ec9565a294a,"MULOCK, Hon. William",2007,0.54,Liberal Party of Canada,Lawyer,Protestant,0,5,,1,,,,,,,,,,,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,2,2,2,2,9,9,9,9,9,2,2,2,2,2,1,2,1,1,2,2,2,2,2,9,2,2,2,2,2,2,1,2,2,9,1,2,2,2,1,9,2,2,2,2,9,9,2,9,2,9,9,9,1,2,2,2,2,9,1,9,2,2,2,2,2,2,9,9,9,2,9,2
609,RICHMOND,Nova Scotia,1867 - 1914,9,1900.11.07,883,40230376-e51e-4ce7-9559-e3a1666bd97f,"MATHESON, Joseph",1092,0.5652,Liberal Party of Canada,"Merchant, postmaster",Protestant,0,1,,,,,,,,,,,,,1,1,1,1,1,2,2,1,1,9,9,2,2,2,9,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,9,2,2,1,2,9,1,2,2,2,9,9,2,2,2,2,2,2,2,1,2,2,2,9,2,2,2,1,1,2,9,9,9,9,9,2,2,9,9,2,2,1,2,2,9,9,9,9,1,2,2,2,2,2,2,2,2,2,2,2,9
626,RUSSELL,Ontario,1867 - 1966,9,1903.04.20,885,40392c66-6e8c-4bda-9b39-0a7e7deda573,"WALLACE, David Wardrope",accl.,,Liberal Party of Canada,Physician,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,2,2,2,2,2,9,9,2,2,1,9,9,9,9,2,2,2,1,9,9,9,9,9,9,9,2,2,2,9,2,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,2,9
339,KINGS,Nova Scotia,1867 - 1924,9,1900.11.07,894,40fc41ed-f3f0-41b5-bb07-da9a6af9d52f,"BORDEN, Hon. Frederick W.",2233,0.5416,Liberal Party of Canada,Physician,Protestant,0,6,,1,,,,,,,,,,,1,1,1,1,9,2,2,1,9,2,2,2,2,2,9,9,2,9,9,9,2,2,2,2,9,2,2,9,1,9,2,9,9,2,1,2,1,2,9,2,2,2,9,2,2,2,9,2,9,2,1,2,9,2,9,2,2,2,1,1,9,2,2,9,9,9,9,9,2,2,2,2,1,9,9,9,2,2,2,9,2,9,2,2,2,9,2,2,2,2,2,2
123,CARLETON,Ontario,1867 - 1966,9,1900.11.07,916,42bcdaad-d952-4e38-9d69-03abfc233511,"KIDD, Edward",1611,0.6457,Conservative (1867-1942),"Cheese maker, farmer",Protestant,0,1,,,,,,,,,,,,,2,1,1,2,9,2,1,2,2,9,1,1,2,1,2,1,9,1,2,9,1,1,1,1,1,1,1,2,2,1,1,9,2,9,2,1,2,1,9,1,9,9,9,1,1,1,1,1,1,1,2,2,1,1,9,1,1,1,2,9,9,9,9,9,9,9,1,9,9,9,1,9,2,1,1,1,1,1,1,1,1,9,1,1,9,1,9,1,1,1,9,1
686,SIMCOE NORTH,Ontario,1867 - ,9,1900.11.07,941,445fafe5-f605-4932-84a1-bae1a19dd968,"MCCARTHY, Leighton G.",2524,0.5659,Independent,Lawyer,Protestant,0,2,,,,,,,,,,,,,9,1,1,9,1,9,9,9,1,2,9,2,9,9,9,2,2,2,1,2,9,9,2,9,1,2,9,9,9,2,2,9,9,9,2,9,9,9,2,2,2,9,2,9,2,2,2,2,9,9,9,9,2,2,1,9,9,9,9,9,9,2,2,2,2,2,9,9,9,9,2,9,9,2,2,2,2,2,9,9,2,9,9,9,9,9,2,2,2,9,9,9
417,MAISONNEUVE,Quebec,1892 - 1933,9,1900.11.07-1902.11.10 and 1902.12.09,951,44d0a22c-b8bf-4240-9943-1aa2f95274ee,"PREFONTAINE, Hon. J.R.F.",4844,0.6121,Liberal Party of Canada,Lawyer,Fr.Catholic,1,5,,1,,,,,,,,"Resignation.  Appointed Minister of Marine and Fisheries. Re-elected in December , 102 by-election for Maisonneuve.104.11.03",,,9,1,1,1,9,2,2,1,9,9,9,2,9,2,2,9,2,2,9,9,9,9,9,2,1,2,9,1,9,2,2,1,2,2,9,9,1,2,2,2,2,2,2,2,2,2,2,2,9,2,1,2,2,2,1,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,9
487,NIPISSING,Ontario,1892 - 2003,9,1900.11.07,954,44ee859e-e441-4670-8f64-f1379f720f16,"MCCOOL, Charles Arthur",accl.,,Liberal Party of Canada,Lumber merchant,Catholic,0,1,,,,,,,,,,,,,9,1,1,1,1,2,2,1,1,2,2,9,9,9,2,2,9,2,1,9,2,2,9,9,1,2,2,1,9,9,9,9,9,2,9,2,1,2,9,2,2,9,9,2,9,2,2,2,9,9,1,9,9,2,9,2,2,2,1,9,2,2,2,2,2,2,2,2,2,2,2,9,9,2,2,9,2,9,9,2,2,9,2,2,2,9,2,2,2,9,2,9
