Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H09S1V001,H09S1V002,H09S1V003,H09S1V004,H09S1V005,H09S1V006,H09S1V007,H09S1V008,H09S1V009,H09S1V010,H09S1V011,H09S1V012,H09S1V013,H09S1V014,H09S1V015,H09S1V016,H09S1V017,H09S1V018,H09S2V001,H09S2V002,H09S2V003,H09S2V004,H09S2V005,H09S2V006,H09S2V007,H09S2V008,H09S2V009,H09S2V010,H09S2V011,H09S2V012,H09S2V013,H09S2V014,H09S2V015,H09S2V016,H09S3V001,H09S3V002,H09S3V003,H09S3V004,H09S3V005,H09S3V006,H09S3V007,H09S3V008,H09S3V009,H09S3V010,H09S3V011,H09S3V012,H09S3V013,H09S3V014,H09S3V015,H09S3V016,H09S3V017,H09S3V018,H09S3V019,H09S3V020,H09S3V021,H09S3V022,H09S3V023,H09S3V024,H09S3V025,H09S3V026,H09S3V027,H09S3V028,H09S3V029,H09S3V030,H09S3V031,H09S3V032,H09S3V033,H09S3V034,H09S3V035,H09S3V036,H09S4V001,H09S4V002,H09S4V003,H09S4V004,H09S4V005,H09S4V006,H09S4V007,H09S4V008,H09S4V009,H09S4V010,H09S4V011,H09S4V012,H09S4V013,H09S4V014,H09S4V015,H09S4V016,H09S4V017,H09S4V018,H09S4V019,H09S4V020,H09S4V021,H09S4V022
843,YORK EAST,Ontario,1867 - 1903,9,1900.11.07,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MCLEAN, Wim. F.",4131,0.5421,Independent Conservative,"Farmer, gentleman, journalist",Protestant,0,3,,,,,,,,,,,,,9,9,9,1,2,2,1,2,2,1,1,9,9,9,9,9,1,1,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,1,1,9,9,1,1,1,9,9,9
80,BRUCE NORTH,Ontario,1867 - 1933,9,1901.03.20,86,074ed307-74fa-4046-8de0-08e4c9a16c95,"HALLIDAY, James",2289,0.5012,Conservative (1867-1942),"Cattle dealer, merchant",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,9,9,9,9,1,9,2,1,9,9,2,1,2,1,1,1,1,1,9,9,9,2,9,1,9,9,9,9,2,9,9,9,1,1,9,1,1,1,9,9,9,9,1,9,9,9,1,1,2,1,1,1,2,2,1,1,1,1,9,9,1,9,9,9,1,9,9,1,1,1,1,9,1,9,1,9,1,1,9,9,1,1,1,1,9,9
796,WELLINGTON NORTH,Ontario,1867 - 1952,9,1900.11.07,101,08d1c8df-f4c7-4835-987d-c02612bdd2ba,"TOLTON, Edwin",2463,0.5033,Conservative (1867-1942),"Farmer, grain merchant",Protestant,0,1,,,,,,,,,,,,,2,1,1,2,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,1,9,1,1,2,1,1,2,2,1,1,2,2,1,2,9,9,1,9,1,1,1,1,1,1,9,1,1,1,1,2,9,1,1,9,1,1,1,2,2,9,1,1,1,1,1,1,9,9,9,1,1,2,1,1,1,1,1,1,1,1,9,1,9,9,1,1,2,1,9,9,1
278,HASTINGS NORTH,Ontario,1867 - 1903,9,1900.11.07,112,09b5fa03-e37e-4560-ad97-6ba5639de2b9,"CARSCALLEN, Alexander Williamson",2426,0.578,Conservative (1867-1942),Banker,Protestant,0,3,,,,,,,,,,,,,2,1,1,2,9,2,1,2,9,9,9,1,2,1,2,9,9,9,2,1,1,1,1,1,9,9,9,9,9,1,1,9,9,1,2,9,9,9,1,1,1,9,9,1,1,1,1,1,1,9,9,2,9,9,9,1,1,1,2,9,9,9,9,9,9,9,1,1,9,1,1,1,2,1,1,1,1,9,9,1,1,9,1,1,9,1,9,9,9,9,9,1
441,MIDDLESEX NORTH,Ontario,1867 - 1914,9,1900.11.07,119,0a04ed0e-1641-4e97-83da-0eca55fb9aea,"SHERRITT, John",2221,0.5252,Conservative (1867-1942),Farmer,Protestant,0,1,,,,,,,,,,,,,2,1,1,2,2,2,1,2,2,9,9,1,9,1,2,1,9,1,2,9,1,1,9,1,2,1,9,9,9,1,9,9,9,1,2,9,2,1,1,1,9,1,1,9,9,1,1,1,1,9,9,9,9,1,9,1,1,1,2,9,1,1,1,9,9,9,1,9,9,9,9,1,2,9,1,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,9,1
208,ELGIN WEST,Ontario,1867 - 1933,9,1900.11.07,137,0b047697-48e1-471d-8442-d7795241ec88,"ROBINSON, Jabel",1805,0.38,Independent,"Farmer, lumber merchant",Protestant,0,1,,,,,,,,,England,,,,2,1,1,2,2,2,9,9,2,9,1,1,1,1,9,1,1,1,2,1,1,1,1,9,2,2,9,9,9,1,1,9,1,1,2,1,2,1,9,2,1,1,1,2,1,9,9,9,1,1,9,9,2,1,9,1,1,1,2,2,1,1,9,9,9,9,1,9,9,1,1,1,2,9,1,1,1,9,9,9,9,9,9,1,9,1,1,1,1,1,1,1
580,QUEBEC-CENTRE,Quebec,1867 - 1914,9,1900.11.07,140,0b1b55a6-2e4a-42aa-8439-bbc60857db89,"MALOUIN, Albert",1670,0.5912,Liberal Party of Canada,Lawyer,Fr.Catholic,1,2,,,,,,,,,,,,,1,1,1,1,1,9,2,1,9,2,9,2,9,2,9,9,9,2,1,2,2,2,2,9,9,9,9,9,1,2,2,1,1,9,1,9,1,2,9,2,9,2,9,2,2,2,2,2,2,2,9,2,2,9,9,2,2,2,1,1,9,9,9,9,9,9,9,9,2,9,9,2,1,2,2,2,2,2,9,9,2,9,2,9,9,2,9,9,9,9,9,2
807,WEST QUEEN'S,Prince Edward Island,1892 - 1903,9,1904.02.16,142,0b241905-b63f-4b50-8146-bed3b7a084b0,"NASZARD, Horace",2190,0.5382,Liberal Party of Canada,Grocery wholesaler,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,9,9,9,2,2,9,9,2,9,2,2,9,9,9,9,9,9,9,2
248,GRENVILLE SOUTH,Ontario,1867 - 1903,9,1900.11.07,183,0e4f9dca-5c4f-43d7-af07-16546fe9215d,"REID, John Dowsley",1475,0.5219,Conservative (1867-1942),Physician,Protestant,0,3,,,,,,,,,,,,,2,9,9,2,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,2,9,2,1,1,1,1,9,9,9,9,1,1,1,1,9,9,9,9,9,9,1,1,1,2,9,9,1,1,1,1,1,9,9,9,9,1,9,2,9,9,1,9,9,9,9,1,9,9,9,9,9,1,2,1,9,9,9
791,WATERLOO SOUTH,Ontario,1867 - 1966,9,1900.11.07,203,0fb4a9ee-ace2-43d5-9360-713037a9e146,"CLARE, George A.",2708,0.521,Conservative (1867-1942),"Businessman, manufacturer",Protestant,0,1,,,,,,,,,,,,,2,1,1,9,1,2,1,2,9,9,1,1,9,1,9,1,2,9,2,1,1,1,1,1,2,1,9,9,9,9,1,9,9,9,2,9,9,1,9,1,9,9,1,1,1,9,9,9,1,1,9,9,1,1,2,1,1,1,2,9,9,9,9,9,9,9,1,1,1,9,1,1,2,1,1,1,1,1,9,9,1,1,1,1,9,1,9,9,9,9,9,1
