Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S27S1V01,S27S1V02,S27S2V01,S27S2V02,S27S2V03
Date,,,,,,,,07.14.1966,03.22.1967,12.14.1967,02.20.1968,02.21.1968
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Bill (An Act to amend the Act on Tax and Revenue) be not now read a third time, but amended","Motion that the Bill C-222 (An Act respecting Banks and Banking Operations) be not now read a third time, but be amended",Motion that the Bill C-168 (An Act to amend the Criminal Code) be now read a second time,Motion that the Senate do now adjourn,Motion that the Senate do now adjourn
"Wood, Thomas Harold",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1949.01.25 - 1965.11.26 ,1949.01.25 , 1965.11.26 ,(Death),99,99,99,99,99
"Robertson, Wishart McLea",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1943.02.19 - 1965.12.24 ,1943.02.19 , 1965.12.24 ,(Resignation),99,99,99,99,99
"Comeau, Joseph Willie",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10 ,1948.12.01 , 1966.01.10 ,(Resignation),99,99,99,99,99
"Bouffard, Paul Henri",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1946.12.27 - 1966.02.16 ,1946.12.27 , 1966.02.16 ,(Death),99,99,99,99,99
"Woodrow, Allan Lee",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.05.19 - 1966.03.15 ,1953.05.19 , 1966.03.15 ,(Resignation),99,99,99,99,99
"Bradley, Frederick Gordon",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1953.06.12 - 1966.03.30 ,1953.06.12 , 1966.03.30 ,(Death),99,99,99,99,99
"Crerar, Thomas Alexander",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1966.05.31 ,1945.04.18 , 1966.05.31 ,(Resignation),99,99,99,99,99
"Taylor, William Horace",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),99,99,99,99,99
"Veniot, Clarence Joseph",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),99,99,99,99,99
"Jodoin, Marianna Beauchamp",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.05.19 - 1966.06.01 ,1953.05.19 , 1966.06.01 ,(Resignation),99,99,99,99,99
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23 ,1945.04.18 , 1966.09.23 ,(Resignation),9,99,99,99,99
"McKeen, Stanley Stewart",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1966.12.01 ,1947.01.27 , 1966.12.01 ,(Death),9,99,99,99,99
"Hugessen, Adrian Norton Knatchbull",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1937.01.12 - 1967.01.01 ,1937.01.12 , 1967.01.01 ,(Resignation),2,99,99,99,99
"Davies, William Rupert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1967.03.11 ,1942.11.19 , 1967.03.11 ,(Death),9,99,99,99,99
"McLean, Alexander Neil",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1967.03.12 ,1945.04.18 , 1967.03.12 ,(Death),2,99,99,99,99
"Hnatyshyn, John",Progressive Conservative Party,Saskatchewan,"Diefenbaker, John George",1959.01.15 - 1967.05.02 ,1959.01.15 , 1967.05.02 ,(Death),9,9,99,99,99
"Dupuis, Vincent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1967.05.11 ,1945.04.18 , 1967.05.11 ,(Death),2,9,99,99,99
"Reid, Thomas",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1949.09.07 - 1967.10.14 ,1949.09.07 , 1967.10.14 ,(Resignation),9,9,99,99,99
"Brooks, Alfred Johnson",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1960.09.12 - 1967.11.07 ,1960.09.12 , 1967.11.07 ,(Resignation),1,9,99,99,99
"Baird, Alexander Boyd",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1967.11.23 ,1949.08.17 , 1967.11.23 ,(Death),2,9,99,99,99
"Macdonald, William Ross",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1967.12.22 ,1953.06.12 , 1967.12.22 ,(Resignation),2,9,1,99,99
"Gershaw, Frederick William",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1945.04.18 - 1968.03.26 ,1945.04.18 , 1968.03.26 ,(Resignation),9,9,9,9,9
"Vien, Thomas",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.10.05 - 1968.04.01 ,1942.10.05 , 1968.04.01 ,(Resignation),9,2,9,9,9
"McCutcheon, Malcolm Wallace",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.08.09 - 1968.05.13 ,1962.08.09 , 1968.05.13 ,(Resignation),1,1,1,1,9
"Power, Charles Gavan",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.05.30 ,1955.07.28 , 1968.05.30 ,(Death),9,2,1,2,2
"Pouliot, Jean-Franí_ois",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.06.28 ,1955.07.28 , 1968.06.28 ,(Resignation),9,9,2,2,2
"Thí©riault, Edward Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1968.04.20 - 1968.12.20 ,1968.04.20 , 1968.12.20 ,(Death),99,99,99,99,99
"Smith, Sydney John",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1957.01.03 - 1968.12.31 ,1957.01.03 , 1968.12.31 ,(Resignation),9,9,9,9,9
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03 ,1944.03.03 , 1969.01.03 ,(Resignation),2,2,2,9,9
"MacKenzie, Norman Archibald MacRae",Independent Liberal,British Columbia,"Pearson, Lester Bowles",1966.02.24 - 1969.01.05 ,1966.02.24 , 1969.01.05 ,(Retirement),2,2,1,9,2
