Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S20S1V01,S20S2V01,S20S2V02,S20S2V03,S20S2V04,S20S2V05,S20S3V01,S20S3V02,S20S3V03,S20S4V01,S20S4V02
Date,,,,,,,,12.15.1945,05.20.1946,07.05.1946,08.07.1946,08.07.1946,08.22.1946,03.27.1947,05.01.1947,07.11.1947,03.24.1948,05.05.1948
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Third reading of the Bill (243), intituled: An Act to amend the Senate and House of Commons Act (p.388/477).","Second reading of the Bill (G), intituled: An Act to amend the Dairy Industry Act (p.149/675).",Motion of the Honourable Senator Robertson as follow: - (p.363/675).,"That the said amendments be not now concurred in but that the Bill (8), intituled: An Act respecting Canada Day be referred back to the Standing Committee on Banking and Commerce for further consideration (p.420/675).","That the said amendments made by the Standing Committee on Banking and Commerce to the Bill (193) , intituled: An Act to amend the Combines Investigation Act be not now concurred in but that they be amended by striking out the amendments numbered four and five (p.422/675).","That the Bill (195), intituled: An Act respecting the Control of the Acquisition and Disposition of Foreign Currency
and the Control of Transactions involving Foreign Currency or Non-Residents be not now read a second time, but that it be deferred for consideration to the next Session of Parliament, and that pending such consideration (p.548/675).","That the Bill (B), intituled: An Act to amend the Dairy Industry Act be not now read a second time, but that the subject-matter thereof be referred to the Standing Committee on Banking and Commerce for consideration and report (p.175/667).","Third reading of the Bill (D-2), intituled: An Act respecting certain patents owned by Toronto Type Foundry Company Limited (p.223/667).",That the Rules of the Senate be amended by adding thereto as Rule I8A. the following: -(p.450/667).,"That the said amendment be now concurred in on the Bill (135), intituled: An Act to amend The Canadian Wheat Board Act, 1935 (p.241/653).","Second reading of the Bill (B), intituled: An Act to amend the Dairy Industry Act (p.326/653)."
"Barnard, George Henry",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1945.11.08 ,1917.10.23 , 1945.11.08 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99
"Smith, Ernest D'Israeli",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1946.01.10 ,1913.05.26 , 1946.01.10 ,(Resignation),9,99,99,99,99,99,99,99,99,99,99
"Tanner, Charles Elliott",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1917.01.20 - 1946.01.13 ,1917.01.20 , 1946.01.13 ,(Death),9,99,99,99,99,99,99,99,99,99,99
"Marshall, Duncan McLean",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1946.01.16 ,1938.01.20 , 1946.01.16 ,(Death),9,99,99,99,99,99,99,99,99,99,99
"McRae, Alexander Duncan",Conservative (1867-1942),British Columbia,"Bennett, Richard Bedford",1931.09.04 - 1946.06.26 ,1931.09.04 , 1946.06.26 ,(Death),9,2,99,99,99,99,99,99,99,99,99
"Chapais, Joseph Amable Thomas",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1919.12.31 - 1946.07.15 ,1919.12.31 , 1946.07.15 ,(Death),9,2,9,9,99,99,99,99,99,99,99
"Green, Robert Francis",Conservative (1867-1942),British Columbia,"Meighen, Arthur",1921.10.03 - 1946.10.05 ,1921.10.03 , 1946.10.05 ,(Death),9,2,9,9,9,9,99,99,99,99,99
"Michener, Edward",Conservative (1867-1942),Alberta,"Borden, Robert Laird",1918.02.05 - 1947.06.16 ,1918.02.05 , 1947.06.16 ,(Death),1,1,9,9,9,9,9,9,99,99,99
