Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H23S1V001,H23S1V002,H23S1V003,H23S1V004,H23S1V005,H23S1V006,H23S1V007,H23S1V008,H23S1V009,H23S1V010,H23S1V011,H23S1V012,H23S1V013,H23S1V014,H23S1V015,H23S1V016,H23S1V017,H23S1V018
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.17.1957,10.29.1957,11.11.1957,11.14.1957,11.15.1957,11.15.1957,11.19.1957,12.02.1957,12.10.1957,12.12.1957,12.13.1957,01.07.1958,01.21.1958,01.21.1958,01.23.1958,01.24.1958,01.29.1958,01.31.1958
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,
466,MOOSE JAW--LAKE CENTRE,Saskatchewan,1952 - 1966,23,1957.06.10,238,11ffdfdc-2b81-48d6-a81d-64c0a65e63de,"LEWRY, Louis Harrington",9834,0.3402,Co-operative Commonwealth Federation,News reporter/announcer,,0,1,,,,,,,,,,,,,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,9,1
547,PETERBOROUGH,Ontario,1952 - ,23,1957.06.10,240,122985bb-8354-4928-95e2-c74d0fbd4fa4,"FRASER, Gordon Knapman",16598,0.6071,Progressive Conservative Party,"Financial agent / adviser / consultant, gentleman",,0,5,,,,,,,,,,,,,1,1,2,2,9,9,2,2,2,1,9,2,2,2,2,1,9,9
323,KAMOURASKA,Quebec,1867 - 1976,23,1957.06.10,267,137f724d-9710-49c8-a125-00383ac17fce,"CHABOT, Benoit",6489,0.5201,Independent,"Newspaper dealer, sales agent",,1,1,,,,,,,,,,,,,1,1,2,2,1,1,2,2,2,1,9,2,2,2,2,1,2,1
202,EDMONTON--STRATHCONA,Alberta,1952 - ,23,1957.06.10,268,13959e68-eacd-49c5-b29b-ad3394f05065,"THOMPSON, Sydney Herbert Stewart",13124,0.3565,Social Credit,Merchant,,0,1,,,,,,,,,,,,,1,1,1,2,9,9,1,1,2,9,1,2,2,2,1,2,2,1
1125,SAINT-DENIS,Quebec,1952 - 1996,23,1957.06.10,298,1647b84c-1764-48b8-a6af-5e29cbded7d7,"DENIS, Azellus",17027,0.6827,Liberal Party of Canada,Lawyer,,1,6,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,2,1,1,9,9,1
198,EDMONTON EAST,Alberta,1914 - 2000,23,1957.06.10,302,16817f22-c8c0-41fb-bcaa-d6d6e798b486,"HOLOWACH, Ambrose",10967,0.4006,Social Credit,"Business manager, businessman",,0,2,,,,,,,,,,,,,9,9,1,2,2,2,1,1,2,1,1,9,2,2,1,9,1,1
585,QUEBEC SOUTH,Quebec,1914 - 1966,23,1957.06.10,311,1716d23f-3139-4cd2-a994-23a381d439c5,"POWER, Frank G.",17709,0.6188,Liberal Party of Canada,Lawyer,,0,2,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,1
702,ST. JOHN--ALBERT,New Brunswick,1914 - 1966,23,1957.06.10,317,175a30ca-697f-4e88-925e-3ffebf19ea5f,"BELL, Thomas M.",21983,0.5358,Progressive Conservative Party,"Barrister, lawyer",,0,2,,,1,,,,,,,,,,1,9,9,2,2,2,2,2,9,9,9,2,2,2,9,9,9,1
407,LOTBINIERE,Quebec,1867 - 2000,23,1957.06.10,347,18f9b1eb-9254-43db-92ae-e5fa89e00ded,"O'HURLEY, Raymond",8372,0.5169,Progressive Conservative Party,"Grader, scaler",,0,1,,,1,,,,,,,,,,1,1,2,2,2,2,2,2,9,1,9,2,2,2,2,1,2,1
70,BRANTFORD,Ontario,1947 - 1966,23,1957.06.10,362,1adf1627-9045-4f42-a1b4-cd84998fefe1,"WRATTEN, Jack Winifred",9902,0.4139,Progressive Conservative Party,Contractor,,0,1,,,,,,,,,England,,,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
