Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H18S1V001,H18S1V002,H18S1V003,H18S1V004,H18S1V005,H18S1V006,H18S1V007,H18S1V008,H18S1V009,H18S1V010,H18S1V011,H18S2V001,H18S2V002,H18S2V003,H18S2V004,H18S2V005,H18S2V006,H18S3V001,H18S3V002,H18S3V003,H18S3V004,H18S3V005,H18S3V006,H18S3V007,H18S3V008,H18S3V009,H18S3V010,H18S3V011,H18S4V001,H18S4V002,H18S4V003,H18S4V004,H18S4V005,H18S4V006,H18S4V007,H18S4V008,H18S4V009,H18S4V010,H18S4V011,H18S4V012,H18S4V013,H18S4V014,H18S5V001
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.13.1936,02.20.1936,02.27.1936,03.10.1936,05.12.1936,05.12.1936,06.01.1936,06.16.1936,06.16.1936,06.17.1936,06.18.1936,02.02.1937,02.19.1937,03.09.1937,03.12.1937,03.18.1937,03.19.1937,02.11.1938,02.16.1938,03.31.1938,03.31.1938,05.24.1938,05.31.1938,06.13.1938,06.14.1938,06.23.1938,06.23.1938,06.23.1938,02.02.1939,02.02.1939,02.07.1939,02.13.1939,02.13.1939,03.13.1939,03.16.1939,03.29.1939,04.11.1939,04.26.1939,05.03.1939,05.11.1939,05.23.1939,06.03.1939,09.12.1939
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,FORT WILLIAM,Ontario,1924 - 1976,18,1935.10.14,533,273960a5-f067-4902-953e-30912d31347f,"MCIVOR, Daniel",5481,0.3975,Liberal Party of Canada,Clergyperson,,0,1,,,,,,,,,Ireland,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,2,2,2,1,2,2,2,2,9,9,1,1,2,2,1,2,2,1,9,9,1,2,1,9,9,2,1,9,1,2
750,THREE RIVERS,Quebec,1933 - 1947,18,1935.10.14,542,27f02688-aab1-4f8b-952a-9eb6eadfdcfb,"GARIEPY, Wilfrid",6114,0.3008,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,9,1,2,1,9,9,9,2,2,1,9,2,2,2,1,9,9,2,2,2,2,9,9,9,9,2,2,1,9,9,9,2,1,9,9,9,9,2,9,1,9,9,2
343,KINGSTON CITY,Ontario,1924 - 1952,18,1935.10.14,556,28eb2ff4-b1a9-437b-87d1-34c64f68f258,"ROGERS, Norman McLeod",6897,0.5206,Liberal Party of Canada,"Professor, teacher",,0,1,,1,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,2,9,2,1,2,9,2,9,2,2,9,2,1,9,2,2,1,2,2,1,2,1,9,9,1,1,2,2,1,9,1,2
106,CAMROSE,Alberta,1924 - 1952,18,1935.10.14,572,2a0d2eff-7aa1-42d1-a50f-61e0b3b29560,"MARSHALL, James Alexander",8776,0.6616,Social Credit,"Secretary, teacher",,0,1,,,,,,,,,Ireland,,,,2,2,1,9,1,2,2,1,1,9,9,1,1,1,2,1,2,9,1,2,1,9,9,2,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1
284,HIGH PARK,Ontario,1933 - 1972,18,1935.10.14,575,2a491fe5-0fd9-41c0-9a96-951b3efa94eb,"ANDERSON, Alexander James",10949,0.4014,Conservative (1867-1942),"Barrister, lawyer",,0,4,,,,,,,,,,,,,2,1,2,2,2,2,1,9,9,9,9,1,9,1,9,1,1,1,1,9,9,9,1,2,2,2,1,2,2,1,2,1,1,9,9,2,9,2,1,2,2,9,2
143,CHICOUTIMI,Quebec,1924 - 2000,18,1935.10.14,602,2cb62e8c-ec6c-4ba0-9a05-d3ea855236b5,"DUBUC, Julien-Edouard-Alfred",9685,0.4732,Liberal Party of Canada,"Bank manager, director, manufacturer",,1,4,,,,,,,,,,,,,9,1,9,9,2,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,2,1,2,1,9,2,1,9,9,2,9,2,9,9
394,LETHBRIDGE,Alberta,1914 - 1977,18,1935.10.14,615,2db22441-d3ea-4e76-8d18-f4753949bd74,"BLACKMORE, John Horne",6516,0.51,Social Credit,"School principal, teacher",,0,1,,,,,,,,,United States,,,,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,9,1,1,2,1,1,9,2,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,9
18,ARGENTEUIL,Quebec,1867 - 1947,18,1938.02.28,621,2e477da1-1cf7-4b06-980c-a17167534926,"HEON, Georges-Henri",4939,0.5726,Independent Conservative,"Crown attorney, lawyer",,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,9,9,9,1,2,1,9,2,1,9,9,9,9,9,9,9,9,1,9,9,9,2
637,ST. HYACINTHE--BAGOT,Quebec,1933 - 1947,18,1935.10.14,624,2e8b1383-3102-4dea-9d77-0470f783fa29,"FONTAINE, Joseph-Theophile-Adelard",11547,0.7238,Liberal Party of Canada,Lawyer,,1,2,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,9,2,2,2,1,9,9,9,9,2,2,9,9,9,1,2,2,1,2,2,1,2,1,9,2,9,9,2,2,1,2,9,2
848,YORK WEST,Ontario,1914 - ,18,1935.10.14,631,2f275dc9-a8cf-4dac-996b-5b42f215a914,"STREIGHT, J.E.L.",8198,0.3189,Liberal Party of Canada,Lumber merchant,,0,1,,,,,,,,,,,,,2,1,2,9,2,2,9,2,2,1,1,1,2,2,9,9,9,9,2,2,2,9,9,9,1,2,2,1,9,9,9,9,9,9,9,9,9,2,2,9,9,9,2
63,BRANT,Ontario,1903 - 1947,18,1935.10.14,632,2f336527-ede0-4ea0-a0ee-4d8899102de1,"WOOD, George Ernest",4294,0.4449,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,9,9,1,1,2,2,2,9,2,1,2,2,2,2,9,2,9,1,9,9,9,2,2,1,9,1,1,2,1,9,9,2,1,9,9,2
333,KINDERSLEY,Saskatchewan,1914 - 1966,18,1935.10.14-1939.10.25,633,2f3e9044-41d5-46cb-944c-bdbd226fe6ca,"ELLIOTT, Otto Buchanan",6856,0.496,Social Credit,Railway station agent,,0,1,,,,,,,,,,Resignation: 1939.10.25,,,2,2,1,1,1,2,2,2,2,9,1,1,1,1,9,1,2,1,2,2,1,1,1,2,9,1,1,2,1,1,2,2,1,9,9,1,9,9,1,2,1,9,9
153,COLCHESTER--HANTS,Nova Scotia,1933 - 1966,18,1935.10.14,659,313739bb-467e-44f3-bcac-89d48216c316,"PURDY, Gordon T.",9608,0.459,Liberal Party of Canada,Lumber merchant,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,2,1,2,2,2,2,2,9,1,1,2,2,1,2,2,1,2,1,1,2,1,9,2,2,1,2,1,2
697,SPRINGFIELD,Manitoba,1914 - 1966,18,1935.10.14,662,31608082-5136-45b5-b730-a85042a3698c,"TURNER, John Mouat",3564,0.2466,Liberal Party of Canada,Manager,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,9,9,1,1,9,2,2,9,9,9,2,2,2,2,9,9,1,9,2,2,1,2,2,1,2,1,1,2,1,9,9,2,9,9,9,9
559,PORTAGE LA PRAIRIE,Manitoba,1903 - 1947,18,1935.10.14,672,31caaca0-4621-41f8-bfe9-f6857896dea1,"LEADER, Harry",5516,0.5045,Liberal Party of Canada,"Exporter, farmer, rancher",,0,2,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,9,2,2,2,1,2,2,2,2,2,9,1,1,1,1,9,2,2,2,1,2,1,1,1,1,9,9,1,2,2,9,2
187,DURHAM,Ontario,1903 - 1966,18,1935.10.14,676,3202db33-abd7-4895-b675-274feb51e734,"RICKARD, W. Frank",6649,0.48,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,2,9,2,1,9,9,2,2,9,2,1,1,2,2,1,2,2,9,2,1,1,2,9,9,9,2,1,9,9,2
535,PARRY SOUND,Ontario,1903 - 1947,18,1935.10.14,707,339ad30d-349a-4fcc-a96a-36339cc6ec63,"SLAGHT, Arthur G.",6230,0.5446,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,1,2,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,2,9,9,9,9,1,9,2,2,1,2,2,1,9,9,9,2,9,9,9,2,9,9,9,2
239,GLENGARRY,Ontario,1924 - 1952,18,1935.10.14,710,33b855ab-ccfa-4f53-ae3a-e9ad89673f3b,"MCRAE, John David",4548,0.5167,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,9,2,2,9,2,9,2,2,2,2,2,9,9,1,2,2,1,2,2,1,9,9,1,2,9,1,9,2,9,9,9,2
1254,ST. HENRY,Quebec,1933 - 1947,18,1938.01.17,714,3413bfe1-a1b8-4c3d-97e3-5ad40c4ab2c7,"BONNIER, Joseph Arsene",16594,0.5748,Liberal Party of Canada,"Contractor, person of independent means, undertaker",,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,9,2,2,9,1,9,9,9,2,2,1,9,1,9,2,1,9,2,2,1,2,9,2
119,CARIBOO,British Columbia,1914 - 1966,18,1935.10.14,717,3436186b-16b9-44e2-be31-5d210d0a1477,"TURGEON, James Gray",4222,0.4089,Liberal Party of Canada,Broker,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,2,9,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,9,2,1,1,9,2,1,2,9,2
570,PRINCE EDWARD--LENNOX,Ontario,1924 - 1966,18,1935.10.14,735,35a08a2f-bec0-48f3-853b-44b9da55ed1e,"TUSTIN, George James",7411,0.4937,Conservative (1867-1942),"Merchant, theatre owner",,0,1,,,,,,,,,,,,,2,1,2,2,2,2,1,2,1,1,2,1,2,1,9,1,9,9,1,1,1,1,1,9,2,2,1,2,2,1,9,1,1,9,1,2,1,1,1,2,2,9,2
605,RESTIGOUCHE--MADAWASKA,New Brunswick,1914 - 1966,18,1935.10.14,754,3732c068-0f11-4bf0-8e5a-e3c170a5934a,"MICHAUD, Joseph Enoil",13562,0.7703,Liberal Party of Canada,"Barrister, notary",,1,2,,1,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,9,1,1,9,9,9,2,2,1,2,1,1,9,1,1,9,2,1,2,9,2
791,WATERLOO SOUTH,Ontario,1867 - 1966,18,1935.10.14-1938.06.03,761,37ffe576-bd7c-473c-af0b-328099234a8c,"EDWARDS, Alexander McKay",6731,0.4015,Conservative (1867-1942),"Manufacturer, pharmacist",,0,4,,,,,,,,,,Died in office: 1938.06.03,,,9,1,2,2,2,2,1,2,1,1,2,9,2,1,9,1,9,9,9,1,9,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
272,HAMILTON WEST,Ontario,1903 - 2003,18,1937.03.22,779,38f265d1-4173-4355-88eb-e115e7ba1f82,"MARSH, John Allmond",8102,0.4279,Conservative (1867-1942),Business executive,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,1,1,9,9,2,2,2,1,2,2,1,2,9,9,2,1,2,1,9,1,9,2,9,2
174,DIGBY--ANNAPOLIS--KINGS,Nova Scotia,1933 - 1947,18,1935.10.14,789,396d7d47-d79c-4aea-bf33-18c3e7b199e3,"ILSLEY, James Lorimer",13894,0.6059,Liberal Party of Canada,Barrister,,0,3,,1,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,2,2,2,1,2,9,2,2,2,2,2,2,9,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2
423,MAPLE CREEK,Saskatchewan,1914 - 1952,18,1935.10.14,814,3b69492b-495d-43bc-900b-fecf0024ad01,"EVANS, Charles Robert",4558,0.305,Liberal Party of Canada,"Farmer, lumber merchant",,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,9,9,1,1,2,2,1,2,2,1,2,1,1,2,1,9,2,2,1,2,1,2
542,PERTH,Ontario,1933 - 1970,18,1935.10.14,871,3f352a5f-24ea-483a-8a69-c81fe4b99ab9,"SANDERSON, Frederick George",12766,0.5422,Liberal Party of Canada,"Agent, farmer, manufacturer",,0,4,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,9,2,2,9,9,9,9,9,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,9,2,9,1,2,1,2
243,GLOUCESTER,New Brunswick,1867 - 1990,18,1936.08.17,872,3f39cca9-c19b-4a62-8921-76a2f7ccb9a7,"VENIOT, Clarence J.",accl.,,Liberal Party of Canada,"Physician, surgeon",,1,1,,,,,,,,,,Elected at a by-election following the death of his father.,,,99,99,99,99,99,99,99,99,99,99,99,9,2,2,9,2,1,2,2,9,2,9,9,1,1,2,2,1,2,2,1,2,1,9,2,1,1,9,2,1,9,9,2
599,RENFREW NORTH,Ontario,1867 - 1972,18,1935.10.14-1937.02.14,875,3f765e24-3ca0-4a65-88f0-db14bbcab004,"MCKAY, Matthew",6052,0.4987,Liberal Party of Canada,"Dental surgeon, dentist, teacher",,0,2,,,,,,,,,,Died in office: 1937.02.14,,,2,1,2,1,2,2,1,2,2,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
551,PONTIAC,Quebec,1867 - 1947,18,1935.10.14,886,40465bb5-88ee-403b-890e-ea364271fff5,"MCDONALD, Wallace Reginald",5708,0.3126,Liberal Party of Canada,Merchant,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,9,2,2,2,9,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2
537,PEACE RIVER,Alberta,1924 - ,18,1935.10.14,900,41716d36-84f9-415f-8724-80dc86bfc398,"PELLETIER, Rene Antoine",5513,0.4752,Social Credit,Station agent,,1,1,,,,,,,,,,,,,2,2,1,1,1,2,2,2,2,2,1,1,1,9,9,1,2,1,1,2,1,1,1,2,9,1,1,2,1,1,2,2,1,2,1,1,2,1,1,9,1,1,1
550,PICTOU,Nova Scotia,1867 - 1966,18,1935.10.14,920,4312a6c5-011e-4198-9408-038d3fc3eb0a,"MCCULLOCH, Henry Byron",8416,0.4399,Liberal Party of Canada,Merchant,,0,1,,,,,,,,,,,,,2,1,9,1,2,2,1,2,2,1,1,2,2,2,9,2,1,2,9,2,2,2,2,1,9,2,2,1,2,2,1,2,1,1,2,1,9,2,2,1,2,9,2
17,ANTIGONISH--GUYSBOROUGH,Nova Scotia,1914 - 1966,18,1935.10.14-1936.02.27,937,441e220e-1526-47d2-9b2f-ab5619ae3aac,"DUFF, William",7779,0.6728,Liberal Party of Canada,"Fish merchant, merchant, shipowner",,0,6,,,,,,,,,,Resignation. Called to the Senate: 1936.02.27,,,9,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
18,ARGENTEUIL,Quebec,1867 - 1947,18,1935.10.14-1938.01.04,938,4430053b-1f47-481d-9354-7a7535f63be9,"PERLEY, Rt. Sir George Halsey",4467,0.4983,Conservative (1867-1942),Lumber merchant,,0,7,,,,,,,,,United States,Died in office: 1938.01.04,,,9,9,2,2,9,9,1,9,9,1,2,1,9,1,9,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
584,QUEBEC WEST AND SOUTH,Quebec,1933 - 1947,18,1935.10.14,948,449e1e87-7c70-4086-bf84-ce748397efe9,"PARENT, Charles",10466,0.5455,Liberal Party of Canada,Lawyer,,1,1,,,,,,,,,,,,,2,9,2,1,2,2,9,9,9,9,9,9,2,2,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,2,1,2,9,2
785,VICTORIA--CARLETON,New Brunswick,1914 - 1966,18,1935.10.14,961,4526934e-01bc-43d6-ad02-009cfa3f0ea2,"PATTERSON, J.E. Jack",7500,0.4778,Liberal Party of Canada,"Civil engineer, farmer, land surveyor",,0,1,,,,,,,,,,,,,2,1,2,9,2,2,1,2,2,1,1,2,2,2,9,2,9,9,2,2,2,9,9,1,1,2,2,1,2,2,9,2,1,1,2,1,9,2,2,1,2,1,2
325,KENORA--RAINY RIVER,Ontario,1924 - 2003,18,1935.10.14,983,47369e53-d026-42ef-b8bb-97010087a47b,"MCKINNON, Hugh Bathgate",8271,0.5664,Liberal Party of Canada,Locomotive engineer,,0,2,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,9,2,2,9,2,9,2,2,9,9,2,9,9,9,2,2,1,2,2,1,2,1,9,2,1,1,9,9,1,2,9,2
443,MIDDLESEX WEST,Ontario,1867 - 1966,18,1935.10.14,985,477fcb57-55d6-4cb8-a32d-6872b0a608bd,"ELLIOTT, Hon. John Campbell",6369,0.5457,Liberal Party of Canada,"Lawyer, solicitor",,0,4,,1,,,,,,,,,,,2,1,2,1,2,2,1,9,9,1,1,9,2,2,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9
830,WOOD MOUNTAIN,Saskatchewan,1933 - 1947,18,1935.10.14,986,47969277-16b5-4c4d-8952-7027b8806eb1,"DONNELLY, Thomas F.",6092,0.4065,Liberal Party of Canada,"Physician, principal, teacher",,0,4,,,,,,,,,,,,,9,1,2,1,9,9,9,9,9,1,1,9,2,2,1,9,9,2,2,2,2,9,9,1,2,2,2,1,2,2,1,2,1,1,2,1,9,9,2,1,9,1,2
579,QUEBEC--MONTMORENCY,Quebec,1924 - 1966,18,1935.10.14,987,47a6a353-0ea9-42e7-b5de-7445d28f3586,"LACROIX, Wilfrid",9084,0.5297,Liberal Party of Canada,Architect,,1,1,,,,,,,,,,,,,2,9,9,1,2,2,9,2,2,1,1,2,2,9,1,2,9,2,2,2,2,9,9,1,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,1,2,9,9
814,WETASKIWIN,Alberta,1924 - ,18,1935.10.14,998,48d49149-6bb2-49b5-8887-10fb59f903b5,"JAQUES, Norman",7601,0.577,Social Credit,Farmer,,0,1,,,,,,,,,England,,,,2,9,2,9,1,2,2,9,2,9,9,1,1,1,9,1,2,1,1,2,1,9,9,2,2,1,1,9,1,1,2,2,1,2,1,1,2,1,1,2,1,1,9
201,EDMONTON WEST,Alberta,1914 - 1987,18,1935.10.14,1013,499ad66a-6186-4cf9-a2a7-25f82fb620de,"MACKINNON, James A.",6471,0.3608,Liberal Party of Canada,"Manager, teacher",,0,1,,1,,,,,,,,,,,2,1,2,1,2,2,1,2,2,9,1,2,2,9,1,2,1,9,9,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,9,9,2
303,HURON NORTH,Ontario,1914 - 1952,18,1935.10.14,1023,4a930e0c-79b3-40f8-9ba1-8e37ad4cbaf2,"DEACHMAN, Robert John",6508,0.4647,Liberal Party of Canada,Journalist,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,9,1,2,2,1,2,9,2,2,9,9,9,2,1,9,2,2,1,2,2,1,2,1,1,2,1,1,9,2,1,9,1,2
833,YALE,British Columbia,1914 - 1952,18,1935.10.14,1025,4aa810f9-1c2b-42a6-95c4-d4e382d264a1,"STIRLING, Hon. Grote",6791,0.4127,Conservative (1867-1942),"Civil engineer, fruit grower",,0,5,,,,,,,,,England,,,,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,9,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,9,1,1,1,2,1,2,9,2,2,1,2
853,YORK SOUTH,Ontario,1903 - 1976,18,1935.10.14,1028,4b5bfbee-1eba-427e-9bad-ddade84ad69e,"LAWSON, Hon. James Earl",11596,0.3739,Conservative (1867-1942),Barrister,,0,3,,,,,,,,,,,,,2,9,2,2,2,2,1,2,1,1,2,9,2,9,9,9,9,9,1,1,1,1,1,9,2,9,9,9,2,1,2,9,9,9,1,2,9,2,1,2,2,9,2
793,WELLAND,Ontario,1867 - 1987,18,1935.10.14,1035,4c3322bf-566c-403d-b850-327cefe91c27,"DAMUDE, Arthur B.",17324,0.5064,Liberal Party of Canada,Insurance agent,,0,1,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,9,2,2,1,2,1,9,2,2,2,9,2,1,9,2,2,1,9,9,1,2,1,9,9,9,1,2,2,9,2,1,2
312,INVERNESS--RICHMOND,Nova Scotia,1933 - 1966,18,1935.10.14,1049,4d3cba0c-1c67-4806-b1e4-bf231bb9da40,"MACLENNAN, Donald",9488,0.5645,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,9,2,9,2,1,2,2,2,2,2,2,9,9,2,2,1,2,2,1,2,1,9,9,9,1,2,2,1,9,9,2
581,QUEBEC EAST,Quebec,1867 - 1966,18,1935.10.14,1050,4d5012f1-c091-43d5-b8fc-f6f7ac8afb9c,"LAPOINTE, Hon. Ernest",15557,0.6181,Liberal Party of Canada,Lawyer,,1,10,,1,,,,,,,,,,,2,9,2,9,2,2,9,2,2,1,1,2,2,2,9,2,1,2,2,9,9,2,2,1,1,2,2,1,2,2,1,2,1,9,2,1,9,2,2,9,2,1,2
623,ROSTHERN,Saskatchewan,1933 - 1966,18,1935.10.14,1053,4d785391-75cd-4998-a9da-636344a54e3d,"TUCKER, Walter Adam",7515,0.5688,Liberal Party of Canada,"Barrister, lawyer",,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,2,9,2,9,2,2,2,2,9,9,1,1,2,2,1,2,2,1,9,9,1,2,1,9,2,2,1,9,9,2
230,FRONTENAC--ADDINGTON,Ontario,1924 - 1952,18,1935.10.14-1937.08.11,1061,4e2f1834-ccd5-4535-9860-7849309463d0,"CAMPBELL, Colin Alexander",7250,0.5026,Liberal Party of Canada,Mining engineer,,0,2,,,,,,,,,,Resignation.Enters provincial politics in Ontario: 1937.08.11,,,2,1,2,1,2,2,9,2,2,9,9,2,2,2,9,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
287,HOCHELAGA,Quebec,1867 - 1978,18,1935.10.14,1068,4e8ef5b5-5275-4b7f-bb45-5328e39557a0,"SAINT-PERE, Edouard-Charles",19506,0.646,Liberal Party of Canada,Journalist,,1,5,,,,,,,,,,,,,2,1,2,1,2,2,9,9,9,9,9,2,2,2,1,2,1,9,2,2,2,9,9,1,1,2,2,1,2,2,1,2,1,9,9,9,9,9,9,9,9,9,2
170,DAVENPORT,Ontario,1933 - ,18,1935.10.14,1070,4ec07e21-5e6c-41f8-9fa6-c6cbf37549e8,"MACNICOL, John Ritchie",10919,0.396,Conservative (1867-1942),"Gentleman, manufacturer, teacher",,0,2,,,,,,,,,,,,,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,9,1,1,1,1,1,9,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2
790,WATERLOO NORTH,Ontario,1867 - 1966,18,1935.10.14,1073,4f101a06-5792-4d8a-9130-5ba8fab659eb,"EULER, Hon. William Daum",12832,0.6343,Liberal Party of Canada,Businessman,,0,6,,1,,,,,,,,,,,2,1,2,9,2,2,1,2,2,9,9,9,9,9,9,9,9,9,2,2,2,9,2,1,9,2,2,1,2,2,1,2,1,1,2,9,1,9,2,1,2,9,2
401,LONDON,Ontario,1867 - 1966,18,1938.11.14,1074,4f144b8d-0f62-4502-b6eb-6bf2aa0faaad,"MANION, Hon. Robert James",11364,0.5819,Conservative (1867-1942),Physician,,0,6,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,1,1,1,1,2,9,9,1,9,9,9,2
272,HAMILTON WEST,Ontario,1903 - 2003,18,1935.10.14-1937.02.01,1105,51a4fa4c-03d1-40a9-b3f6-6ae0c4926d8a,"WILTON, Herbert Earl",7857,0.3361,Conservative (1867-1942),Journalist,,0,1,,,,,,,,,,Died in office: 1937.02.01,,,2,1,9,2,2,2,9,2,1,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
203,EGLINTON,Ontario,1933 - 1976,18,1935.10.14,1115,52af64cd-5d2d-482a-afff-f94833c2439c,"BAKER, Richard Langton",13786,0.4349,Conservative (1867-1942),Manufacturer,,0,3,,,,,,,,,,,,,2,9,2,2,2,2,9,2,1,1,2,9,2,1,9,1,1,1,1,1,1,9,1,9,2,2,1,2,9,9,9,1,1,1,1,2,9,9,9,2,2,1,2
724,THE BATTLEFORDS,Saskatchewan,1933 - 1966,18,1935.10.14,1143,5452e2d5-69c1-4a4e-b493-ace6ecb82361,"NEEDHAM, Joseph",6314,0.3447,Social Credit,"Agent, secretary",,0,1,,,,,,,,,England,,,,2,2,2,1,1,2,2,1,1,9,9,1,9,1,2,1,2,1,1,2,1,9,9,2,2,1,1,2,1,1,2,2,1,2,9,1,9,1,1,2,1,9,9
562,PORTNEUF,Quebec,1867 - 2004,18,1936.01.27,1157,54fab234-c4ce-4c68-9f8a-710b182cb06f,"GAUTHIER, Pierre",accl.,,Liberal Party of Canada,Physician,,1,1,,,,,,,,,,,,,2,9,2,1,2,2,9,2,2,1,1,2,2,2,9,9,9,2,2,2,2,9,9,9,9,2,2,1,2,2,9,9,1,9,2,1,9,9,2,1,2,9,2
1245,NORTH BATTLEFORD,Saskatchewan,1924 - 1947,18,1935.10.14,1211,58b4a1bb-c89d-408e-bc5c-59fbe257f973,"MCINTOSH, Cameron Ross",7039,0.4507,Liberal Party of Canada,"Journalist, printer, publisher, teacher",,0,4,,,,,,,,,,,,,2,1,2,1,2,1,1,2,2,1,1,9,2,2,9,2,9,2,2,2,2,9,9,9,1,2,2,1,2,2,1,2,1,1,2,1,9,9,2,1,2,1,2
111,CAPE BRETON SOUTH,Nova Scotia,1924 - 1966,18,1935.10.14,1217,594a0d27-2173-447c-bc75-9282b0723ea6,"HARTIGAN, David James",10409,0.3699,Liberal Party of Canada,Physician,,0,1,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,9,9,9,2,2,1,2,2,2,9,2,2,9,9,1,1,2,2,1,2,2,1,2,1,1,2,1,9,9,2,9,2,1,2
44,BELLECHASSE,Quebec,1867 - 1996,18,1935.10.14,1223,59710768-f49c-450f-9e2c-2223cea98267,"BOULANGER, Oscar L.",7470,0.8128,Liberal Party of Canada,Lawyer,,1,3,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,2,9,9,9,2,2,2,2,9,2,9,1,2,2,1,2,2,1,2,1,1,2,1,9,9,2,1,2,9,9
