Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H18S1V001,H18S1V002,H18S1V003,H18S1V004,H18S1V005,H18S1V006,H18S1V007,H18S1V008,H18S1V009,H18S1V010,H18S1V011,H18S2V001,H18S2V002,H18S2V003,H18S2V004,H18S2V005,H18S2V006,H18S3V001,H18S3V002,H18S3V003,H18S3V004,H18S3V005,H18S3V006,H18S3V007,H18S3V008,H18S3V009,H18S3V010,H18S3V011,H18S4V001,H18S4V002,H18S4V003,H18S4V004,H18S4V005,H18S4V006,H18S4V007,H18S4V008,H18S4V009,H18S4V010,H18S4V011,H18S4V012,H18S4V013,H18S4V014,H18S5V001
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.13.1936,02.20.1936,02.27.1936,03.10.1936,05.12.1936,05.12.1936,06.01.1936,06.16.1936,06.16.1936,06.17.1936,06.18.1936,02.02.1937,02.19.1937,03.09.1937,03.12.1937,03.18.1937,03.19.1937,02.11.1938,02.16.1938,03.31.1938,03.31.1938,05.24.1938,05.31.1938,06.13.1938,06.14.1938,06.23.1938,06.23.1938,06.23.1938,02.02.1939,02.02.1939,02.07.1939,02.13.1939,02.13.1939,03.13.1939,03.16.1939,03.29.1939,04.11.1939,04.26.1939,05.03.1939,05.11.1939,05.23.1939,06.03.1939,09.12.1939
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BEAUCE,Quebec,1867 - ,18,1935.10.14,108,0935db8e-e304-41df-8612-5d1292addc8f,"LACROIX, Edouard",15263,0.8895,Liberal Party of Canada,"Industrialist, lumber merchant",,1,4,,,,,,,,,,,,,2,1,2,9,2,2,9,9,9,9,9,9,2,9,9,9,9,9,2,2,2,9,9,9,9,2,2,9,9,9,1,9,9,9,9,9,9,9,2,9,9,9,2
486,NICOLET--YAMASKA,Quebec,1933 - 1966,18,1935.10.14,125,0a6e27b6-9218-4ce6-8954-f49dbf99829f,"DUBOIS, Lucien",9542,0.5811,Liberal Party of Canada,Farmer,,1,2,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,9,2,2,9,2,9,9,2,2,2,2,2,9,1,9,9,9,9,9,1,9,1,1,2,1,9,9,9,1,2,9,2
675,SELKIRK,Manitoba,1871 - 1976,18,1935.10.14,148,0bd1c7bb-8591-4517-b5ff-c82c3ab12753,"THORSON, Joseph T.",9230,0.4743,Liberal Progressive,"Barrister, dean, professor of law",,0,2,,,,,,,,,,,,,2,9,2,1,2,2,1,2,2,1,1,9,2,2,2,2,2,2,9,2,2,2,2,1,2,2,2,1,2,2,1,2,1,9,9,1,1,2,2,1,2,1,2
413,MACKENZIE,Saskatchewan,1905 - 1996,18,1935.10.14,154,0c459afa-f391-4c74-bfdb-94adc4d1791a,"MACMILLAN, John Angus",6595,0.4299,Liberal Party of Canada,Barrister,,0,2,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,9,9,9,2,2,2,9,9,2,9,2,2,9,9,9,9,9,9,9,2,2,1,2,1,9,9,9,9,1,2,2,2,9,2
263,HALIFAX,Nova Scotia,1867 - ,18,1935.10.14,163,0cd180b9-3a82-4810-b0ce-83bc28f5b7c5,"ISNOR, Gordon B.",24158,0.2818,Liberal Party of Canada,Merchant,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,2,9,2,9,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,2,1,9,2,2,1,2,1,2
169,DAUPHIN,Manitoba,1903 - 1983,18,1935.10.14,181,0e1575e1-8782-4de1-8bdb-742a2019685e,"WARD, William John",7091,0.4657,Liberal Party of Canada,"Farmer, insurance agent, real estate agent",,0,4,,,,,,,,,,,,,2,1,9,1,2,2,1,2,2,9,1,9,2,2,9,2,1,2,2,2,2,1,1,1,2,2,2,1,2,2,1,2,1,1,2,1,9,2,9,2,2,1,2
141,CHATEAUGUAY--HUNTINGDON,Quebec,1914 - 1947,18,1935.10.14,211,100769e9-710c-4d67-8e3a-77ef5e47b396,"BLACK, Donald Elmer",6101,0.5522,Liberal Party of Canada,"Farmer, merchant",,0,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,2,2,2,9,2,9,9,2,2,2,2,9,1,9,2,2,1,2,2,1,2,1,1,2,9,9,2,2,1,9,9,2
164,CUMBERLAND,Nova Scotia,1867 - 1966,18,1935.10.14,216,106d56d4-54ce-44f6-8d99-75cb3117aba2,"COCHRANE, Kenneth Judson",7473,0.437,Liberal Party of Canada,"Contractor, lumberman, shipbuilder",,0,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,9,2,2,2,9,9,1,2,2,2,2,9,9,1,9,2,2,1,2,2,1,2,1,9,9,1,9,2,9,1,2,9,2
167,DANFORTH,Ontario,1933 - 1966,18,1935.10.14,232,11a54902-a69c-44f3-b960-cbb6e4ebbddc,"HARRIS, Joseph Henry",9231,0.4391,Conservative (1867-1942),"Businessman, director, manager, manufacturer",,0,5,,,,,,,,,,,,,2,9,2,2,9,9,9,2,1,1,2,9,9,9,9,1,1,9,9,9,9,9,1,9,2,9,9,9,2,1,2,1,1,9,1,2,9,9,1,2,2,9,9
125,CARTIER,Quebec,1924 - 1966,18,1935.10.14-1938.08.21,247,1267c565-8771-4162-a16e-56bf229c71fa,"JACOBS, Samuel William",13574,0.6527,Liberal Party of Canada,Lawyer,,1,6,,,,,,,,,,Died in office: 1938.08.21,,,9,9,9,1,2,2,9,2,2,1,1,2,9,9,2,2,9,9,9,9,9,9,2,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
