Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S29S1V01,S29S1V02,S29S1V03,S29S1V04,S29S1V05,S29S1V06,S29S1V07
"CíÇtí©, Joseph Julien Jean-Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1978.04.20 ,1972.09.01 , 1978.04.20 ,(Resignation),9,1,9,9,1,2,1
"Michaud, Herví© J.",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1968.03.15 - 1978.06.05 ,1968.03.15 , 1978.06.05 ,(Death),1,1,2,2,1,2,1
"Macnaughton, Alan Aylesworth",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1978.07.30 ,1966.07.08 , 1978.07.30 ,(Retirement),1,9,9,9,1,2,1
"Greene, John James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1978.10.23 ,1972.09.01 , 1978.10.23 ,(Death),1,9,9,9,9,9,9
"Bourget, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.04.27 - 1979.03.29 ,1963.04.27 , 1979.03.29 ,(Death),9,1,2,9,1,1,2
"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14 ,1955.07.28 , 1979.05.14 ,(Resignation),9,9,9,9,9,9,9
"Forsey, Eugene Alfred",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1970.10.07 - 1979.05.29 ,1970.10.07 , 1979.05.29 ,(Retirement),1,2,2,2,1,2,1
"McNamara, William Craig",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 1979.08.08 ,1970.10.07 , 1979.08.08 ,(Retirement),1,1,2,2,9,2,1
"McDonald, Alexander Hamilton",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1965.08.13 - 1980.03.31 ,1965.08.13 , 1980.03.31 ,(Death),9,9,9,9,9,9,1
"Quart, Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),2,2,1,1,9,9,9
"Desruisseaux, Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1980.05.01 ,1966.07.08 , 1980.05.01 ,(Retirement),9,1,9,9,9,9,9
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),1,1,2,2,9,9,9
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),2,1,2,2,9,2,1
"Fournier, Joseph Michel",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1971.12.09 - 1980.09.29 ,1971.12.09 , 1980.09.29 ,(Retirement),1,1,2,2,1,2,1
"Norrie, Margaret Rosamond Fawcett",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1980.10.16 ,1972.04.27 , 1980.10.16 ,(Retirement),1,1,2,9,1,2,1
"Eudes, Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25 ,1968.04.08 , 1980.10.25 ,(Death),9,1,9,2,9,2,9
"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),2,2,1,1,2,1,2
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),2,9,9,9,9,9,9
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),9,9,2,2,9,9,9
"Grosart, Allister, H.G.",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13 ,1962.09.24 , 1981.12.13 ,(Resignation),2,1,9,9,9,9,9
"Laird, John Keith McBroom",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1982.01.12 ,1967.04.06 , 1982.01.12 ,(Retirement),1,1,2,2,1,2,1
"Hays, Harry William",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1982.05.04 ,1966.02.24 , 1982.05.04 ,(Death),9,1,2,9,9,9,9
"Williams, Guy R.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.12.09 - 1982.10.07 ,1971.12.09 , 1982.10.07 ,(Retirement),9,9,2,9,1,2,1
"Goldenberg, Carl H.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.04 - 1982.10.20 ,1971.11.04 , 1982.10.20 ,(Retirement),9,9,2,2,1,2,1
"Fournier, Edgar E.",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1962.09.24 - 1983.02.11 ,1962.09.24 , 1983.02.11 ,(Resignation),2,9,1,1,2,1,2
"Lamontagne, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1967.04.06 - 1983.06.12 ,1967.04.06 , 1983.06.12 ,(Death),9,1,9,9,9,2,1
"McIlraith, George James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.04.27 - 1983.07.29 ,1972.04.27 , 1983.07.29 ,(Retirement),1,1,2,2,1,2,1
"Manning, Ernest Charles",Social Credit Party,Alberta,"Trudeau, Pierre Elliott",1970.10.07 - 1983.09.20 ,1970.10.07 , 1983.09.20 ,(Retirement),2,1,2,9,9,9,9
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9,1,2,2,9,9,9
"Cook, Eric",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1964.02.14 - 1984.07.26 ,1964.02.14 , 1984.07.26 ,(Resignation),2,1,1,1,9,9,9
"Riley, Daniel Aloysius",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 1984.09.13 ,1973.12.21 , 1984.09.13 ,(Death),99,99,99,99,1,2,9
"Benidickson, William Moore",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1965.07.07 - 1985.01.04 ,1965.07.07 , 1985.01.04 ,(Death),9,9,9,9,9,9,9
"Sullivan, Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18 ,1957.10.12 , 1985.02.18 ,(Resignation),9,9,9,9,9,9,9
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),2,2,1,1,9,9,9
"Deschatelets, Jean-Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.02.24 - 1986.01.10 ,1966.02.24 , 1986.01.10 ,(Resignation),1,1,9,9,1,2,1
"Inman, Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),1,1,2,2,1,1,1
"Yuzyk, Paul",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1963.02.04 - 1986.07.09 ,1963.02.04 , 1986.07.09 ,(Death),2,2,9,9,9,9,9
"GiguíÂre, Louis de Gonzague",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1968.09.10 - 1986.12.18 ,1968.09.10 , 1986.12.18 ,(Retirement),1,1,2,2,9,9,9
"Lapointe, Louise Marguerite Renaude",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.10 - 1987.01.03 ,1971.11.10 , 1987.01.03 ,(Retirement),1,1,2,2,1,2,1
"Godfrey, John Morrow",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1973.10.05 - 1987.06.28 ,1973.10.05 , 1987.06.28 ,(Retirement),1,1,2,2,1,9,9
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),1,9,9,9,9,9,9
"Rowe, Frederick William",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1971.12.09 - 1987.09.28 ,1971.12.09 , 1987.09.28 ,(Retirement),9,1,9,9,1,9,9
"McGrand, Frederic Addison",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1988.01.22 ,1955.07.28 , 1988.01.22 ,(Resignation),1,1,9,9,1,2,1
"Barrow, Augustus Irvine",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1988.02.15 ,1974.05.08 , 1988.02.15 ,(Retirement),99,99,99,99,99,99,99
"Lafond, Paul C.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1970.10.07 - 1988.05.27 ,1970.10.07 , 1988.05.27 ,(Death),1,1,2,2,9,2,1
"Langlois, J. G. Lí©opold",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1988.10.02 ,1966.07.08 , 1988.10.02 ,(Retirement),2,1,2,2,1,1,2
"Cottreau, Ernest G.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1974.05.08 - 1989.01.28 ,1974.05.08 , 1989.01.28 ,(Retirement),99,99,99,99,99,99,99
"Walker, David James",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1989.09.30 ,1963.02.04 , 1989.09.30 ,(Resignation),2,9,9,9,9,9,9
"Bell (Heath), Ann Elizabeth Haddon",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 1989.11.29 ,1970.10.07 , 1989.11.29 ,(Death),9,1,9,9,1,9,9
"Hicks, Henry Davies",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1990.03.05 ,1972.04.27 , 1990.03.05 ,(Retirement),9,9,9,9,1,2,1
"McElman, Charles Robert",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1966.02.24 - 1990.04.01 ,1966.02.24 , 1990.04.01 ,(Resignation),9,9,2,2,1,2,1
"Asselin, Martial",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1990.08.07 ,1972.09.01 , 1990.08.07 ,(Resignation),9,9,9,9,2,1,2
"Flynn, Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22 ,1962.11.09 , 1990.08.22 ,(Resignation),2,2,1,1,9,9,9
"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),1,1,2,2,9,9,9
"Denis, Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04 ,1964.02.03 , 1991.09.04 ,(Death),2,1,2,2,1,2,1
"Argue, Hazen Robert",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1966.02.24 - 1991.10.02 ,1966.02.24 , 1991.10.02 ,(Death),1,2,2,2,9,9,9
"Buckwold, Sidney Labe",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1971.11.04 - 1991.11.03 ,1971.11.04 , 1991.11.03 ,(Retirement),1,1,9,9,1,2,1
"Van Roggen, George Clifford",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.11.04 - 1992.06.08 ,1971.11.04 , 1992.06.08 ,(Death),1,1,2,2,1,2,1
"Bí©lisle, Rhí©al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),9,9,1,1,9,9,9
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),2,1,2,9,2,1,2
"Everett, Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20 ,1966.11.08 , 1994.01.20 ,(Resignation),1,9,2,9,9,1,2
"Lang, Daniel Aiken",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),1,9,9,9,1,1,2
"Neiman, Joan Bissett",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1995.09.09 ,1972.09.01 , 1995.09.09 ,(Retirement),1,1,2,2,1,2,1
"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05 ,1966.02.24 , 1996.05.05 ,(Death),1,1,9,2,1,2,1
"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01 ,1966.02.24 , 1996.07.01 ,(Resignation),9,1,2,2,1,9,9
"Riel, Maurice",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1973.10.05 - 1997.04.03 ,1973.10.05 , 1997.04.03 ,(Retirement),1,1,9,9,1,2,9
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),2,2,1,1,2,1,2
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04 ,1971.11.04 , 1998.01.04 ,(Retirement),9,1,2,2,9,9,9
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),1,1,2,2,1,2,1
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),2,1,2,9,9,9,9
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),1,1,2,2,9,9,9
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),2,2,1,1,2,1,2
"Robichaud, Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 2000.10.21 ,1973.12.21 , 2000.10.21 ,(Retirement),99,99,99,99,1,2,1
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),1,1,2,2,1,2,1
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),9,9,2,2,1,9,9
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),1,1,9,9,1,2,1
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9,9,9,9,9,9,9
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),2,1,2,2,1,9,9
