Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H16S1V001,H16S1V002,H16S1V003,H16S1V004,H16S1V005,H16S1V006,H16S1V007,H16S1V008,H16S1V009,H16S1V010,H16S1V011,H16S1V012,H16S1V013,H16S1V014,H16S1V015,H16S1V016,H16S1V017,H16S2V001,H16S2V002,H16S2V003,H16S2V004,H16S2V005,H16S2V006,H16S2V007,H16S2V008,H16S2V009,H16S2V010,H16S2V011,H16S2V012,H16S2V013,H16S2V014,H16S2V015,H16S2V016,H16S2V017,H16S2V018,H16S2V019,H16S2V020,H16S2V021,H16S2V022,H16S2V023,H16S2V024,H16S3V001,H16S3V002,H16S3V003,H16S3V004,H16S3V005,H16S3V006,H16S3V007,H16S3V008,H16S3V009,H16S3V010,H16S3V011,H16S3V012,H16S3V013,H16S3V014,H16S3V015,H16S3V016,H16S3V017,H16S3V018,H16S3V019,H16S3V020,H16S3V021,H16S3V022,H16S3V023,H16S3V024,H16S3V025,H16S3V026,H16S3V027,H16S3V028,H16S4V001,H16S4V002,H16S4V003,H16S4V004,H16S4V005,H16S4V006,H16S4V007,H16S4V008,H16S4V009,H16S4V010,H16S4V011,H16S4V012,H16S4V013,H16S4V014,H16S4V015,H16S4V016,H16S4V017,H16S4V018,H16S4V019,H16S4V020,H16S4V021,H16S4V022,H16S4V023,H16S4V024,H16S4V025
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.14.1927,03.02.1927,03.02.1927,03.07.1927,03.15.1927,03.17.1927,03.17.1927,03.23.1927,03.28.1927,03.28.1927,04.05.1927,04.11.1927,04.13.1927,04.13.1927,04.13.1927,04.13.1927,04.14.1927,03.13.1928,03.13.1928,03.14.1928,03.14.1928,03.20.1928,03.27.1928,03.29.1928,04.26.1928,04.26.1928,04.27.1928,05.02.1928,05.09.1928,05.09.1928,05.09.1928,05.11.1928,05.15.1928,05.16.1928,05.16.1928,05.18.1928,05.21.1928,05.22.1928,05.23.1928,05.26.1928,06.09.1928,02.14.1929,02.19.1929,02.21.1929,02.21.1929,02.26.1929,02.28.1929,03.06.1929,04.11.1929,04.11.1929,04.11.1929,04.15.1929,04.15.1929,04.15.1929,04.16.1929,04.16.1929,04.23.1929,05.01.1929,05.14.1929,05.14.1929,05.16.1929,05.22.1929,05.23.1929,05.31.1929,06.10.1929,06.11.1929,06.11.1929,06.14.1929,06.14.1929,03.03.1930,03.04.1930,03.10.1930,03.11.1930,03.13.1930,03.18.1930,03.18.1930,03.25.1930,03.25.1930,03.27.1930,03.27.1930,04.01.1930,04.01.1930,04.08.1930,04.28.1930,04.28.1930,05.06.1930,05.06.1930,05.06.1930,05.06.1930,05.13.1930,05.15.1930,05.15.1930,05.15.1930,05.28.1930
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,ATHABASKA,Alberta,1924 - 1966,16,1926.09.14,114,09c34bd2-1c08-42ef-a7b9-fb734d45da05,"KELLNER, Donald Ferdinand",4870,0.6374,United Farmers of Alberta,Farmer,,0,2,,,,,,,,,,,,,1,1,2,9,2,1,1,2,1,2,1,2,9,1,9,9,9,1,2,9,9,1,1,9,1,1,2,1,1,9,9,1,2,1,9,1,9,9,2,1,9,2,1,1,1,1,2,1,9,9,9,9,9,9,9,9,1,1,2,2,1,9,1,1,2,1,9,1,2,2,1,1,9,2,1,9,1,2,2,1,2,1,9,9,9,2,2,1,1,1,1,2,2,1
825,WINNIPEG SOUTH CENTRE,Manitoba,1924 - 1976,16,1926.09.14,148,0bd1c7bb-8591-4517-b5ff-c82c3ab12753,"THORSON, Joseph Thorarinn",12315,0.512,Liberal Party of Canada,"Barrister, dean, professor of law",,0,1,,,,,,,,,,,,,2,2,1,9,1,2,2,2,2,1,2,2,1,9,2,2,9,2,2,1,1,9,2,9,2,2,9,1,2,9,9,2,9,9,9,9,2,9,2,9,2,2,9,2,2,9,1,9,2,2,1,1,2,9,9,2,2,2,2,9,9,9,9,1,1,9,9,1,1,2,1,2,1,2,1,9,1,2,9,9,2,1,2,1,9,2,2,1,1,1,2,2,1,9
605,RESTIGOUCHE--MADAWASKA,New Brunswick,1914 - 1966,16,1926.09.14,179,0e01ebcb-4538-4f07-a6c9-25a9997f82f3,"BLANCHARD, Stanislas",9033,0.5687,Liberal Party of Canada,Gentleman,,1,1,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,1,9,1,2,2,2,2,2,1,1,1,2,9,2,2,9,2,2,2,1,2,1,2,2,2,2,9,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,9,2,2,2,2,1,1,2,2,2,9,1,9,9,9,9,1,2,2,9,9,2,1,9,9,2,2,9,9,2,9,9,1,1,9,2,9,2,2,1,2
169,DAUPHIN,Manitoba,1903 - 1983,16,1926.09.14,181,0e1575e1-8782-4de1-8bdb-742a2019685e,"WARD, William John",7260,0.5689,Liberal Progressive,"Farmer, insurance agent, real estate agent",,0,3,,,,,,,,,,,,,1,2,1,2,2,2,2,2,2,1,2,2,2,1,9,1,2,9,2,1,1,1,9,9,2,2,9,1,2,2,1,9,2,9,9,9,2,1,9,1,2,2,9,2,2,1,2,2,2,2,1,1,2,2,9,2,2,9,2,9,2,2,9,1,9,1,9,1,9,2,2,2,9,2,1,1,1,2,9,9,2,1,9,9,9,2,2,1,1,1,2,2,1,1
279,HASTINGS SOUTH,Ontario,1924 - 1966,16,1926.09.14,187,0e8eefdf-f526-4817-bcf3-87059e3cae42,"TUMMON, William Ernest",9704,0.6214,Conservative (1867-1942),"Contractor, farmer",,0,2,,,,,,,,,,,,,9,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,2,9,9,1,9,1,9,1,1,9,9,9,2,9,9,9,9,9,9,9,1,9,9,1,1,2,2,1,9,1,2,9,9,9,1,1,9,9,2,2,1,1,9,9,1,2,9,9,9,1,1,9,9,2,1,2,1,9,1,2,2,1,1,9,9,9,9,9,9,9,2,1,2,9
815,WEYBURN,Saskatchewan,1914 - 1947,16,1926.09.14,199,0f69931c-5158-425e-825a-70935470915d,"YOUNG, Edward James",6068,0.6347,Liberal Party of Canada,Farmer,,0,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,9,2,1,9,2,1,2,2,2,9,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,9,9,1,9,2,9,9,1,2,2,1,9,2,1,1,2,2,2,2,1,2,9,9,1,2,1,1,9,2,2,1,2
747,TORONTO--SCARBOROUGH,Ontario,1924 - 1933,16,1926.09.14,232,11a54902-a69c-44f3-b960-cbb6e4ebbddc,"HARRIS, Joseph Henry",14938,0.8077,Conservative (1867-1942),"Businessman, director, manager, manufacturer",,0,3,,,,,,,,,,,,,9,2,2,9,9,9,9,1,1,2,9,9,1,2,1,1,1,2,1,2,2,2,2,9,1,1,9,9,1,9,1,9,9,9,9,9,9,9,1,9,9,2,9,1,1,2,2,9,2,1,2,9,9,9,1,1,1,9,9,9,9,1,9,9,9,2,2,9,9,9,1,9,9,9,1,2,2,2,9,9,2,1,1,9,9,2,2,1,1,1,2,1,2,9
263,HALIFAX,Nova Scotia,1867 - ,16,1926.09.14,235,11b8208d-6fb2-42a6-b579-9d51a881cd80,"BLACK, Hon. William Anderson",17911,0.2833,Conservative (1867-1942),"Businessman, shipper",,0,3,,,,,,,,,,,,,9,2,2,9,1,1,2,9,9,9,1,1,1,2,1,1,1,2,1,2,2,2,1,9,1,9,1,9,1,9,9,1,9,1,1,9,1,9,1,9,9,1,9,9,9,9,9,1,2,1,2,1,1,9,9,1,1,1,9,9,1,1,9,9,9,9,9,9,9,1,1,9,1,9,9,2,1,2,1,2,9,9,9,2,2,2,2,1,1,9,2,1,2,9
704,STANSTEAD,Quebec,1867 - 1966,16,1926.09.14,236,11c1de4a-fa81-4eed-a5ee-c2cb0f060d6c,"BALDWIN, Willis Keith",5135,0.5786,Liberal Party of Canada,"Lumber merchant, merchant",,0,4,,,,,,,,,,,,,9,2,1,9,1,9,9,9,2,1,2,9,9,9,9,9,9,2,2,9,9,1,2,9,9,9,2,2,2,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,2,9,2,9,9,1,2,9,2,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,1,2,1,1,1,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9
125,CARTIER,Quebec,1924 - 1966,16,1926.09.14,247,1267c565-8771-4162-a16e-56bf229c71fa,"JACOBS, Samuel William",5048,0.501,Liberal Party of Canada,Lawyer,,1,4,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,2,9,1,2,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,2,1,9,1,2,2,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2,1,9,9,9,9,2,2,2,9,9,2,2,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2
