Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H16S1V001,H16S1V002,H16S1V003,H16S1V004,H16S1V005,H16S1V006,H16S1V007,H16S1V008,H16S1V009,H16S1V010,H16S1V011,H16S1V012,H16S1V013,H16S1V014,H16S1V015,H16S1V016,H16S1V017,H16S2V001,H16S2V002,H16S2V003,H16S2V004,H16S2V005,H16S2V006,H16S2V007,H16S2V008,H16S2V009,H16S2V010,H16S2V011,H16S2V012,H16S2V013,H16S2V014,H16S2V015,H16S2V016,H16S2V017,H16S2V018,H16S2V019,H16S2V020,H16S2V021,H16S2V022,H16S2V023,H16S2V024,H16S3V001,H16S3V002,H16S3V003,H16S3V004,H16S3V005,H16S3V006,H16S3V007,H16S3V008,H16S3V009,H16S3V010,H16S3V011,H16S3V012,H16S3V013,H16S3V014,H16S3V015,H16S3V016,H16S3V017,H16S3V018,H16S3V019,H16S3V020,H16S3V021,H16S3V022,H16S3V023,H16S3V024,H16S3V025,H16S3V026,H16S3V027,H16S3V028,H16S4V001,H16S4V002,H16S4V003,H16S4V004,H16S4V005,H16S4V006,H16S4V007,H16S4V008,H16S4V009,H16S4V010,H16S4V011,H16S4V012,H16S4V013,H16S4V014,H16S4V015,H16S4V016,H16S4V017,H16S4V018,H16S4V019,H16S4V020,H16S4V021,H16S4V022,H16S4V023,H16S4V024,H16S4V025
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.14.1927,03.02.1927,03.02.1927,03.07.1927,03.15.1927,03.17.1927,03.17.1927,03.23.1927,03.28.1927,03.28.1927,04.05.1927,04.11.1927,04.13.1927,04.13.1927,04.13.1927,04.13.1927,04.14.1927,03.13.1928,03.13.1928,03.14.1928,03.14.1928,03.20.1928,03.27.1928,03.29.1928,04.26.1928,04.26.1928,04.27.1928,05.02.1928,05.09.1928,05.09.1928,05.09.1928,05.11.1928,05.15.1928,05.16.1928,05.16.1928,05.18.1928,05.21.1928,05.22.1928,05.23.1928,05.26.1928,06.09.1928,02.14.1929,02.19.1929,02.21.1929,02.21.1929,02.26.1929,02.28.1929,03.06.1929,04.11.1929,04.11.1929,04.11.1929,04.15.1929,04.15.1929,04.15.1929,04.16.1929,04.16.1929,04.23.1929,05.01.1929,05.14.1929,05.14.1929,05.16.1929,05.22.1929,05.23.1929,05.31.1929,06.10.1929,06.11.1929,06.11.1929,06.14.1929,06.14.1929,03.03.1930,03.04.1930,03.10.1930,03.11.1930,03.13.1930,03.18.1930,03.18.1930,03.25.1930,03.25.1930,03.27.1930,03.27.1930,04.01.1930,04.01.1930,04.08.1930,04.28.1930,04.28.1930,05.06.1930,05.06.1930,05.06.1930,05.06.1930,05.13.1930,05.15.1930,05.15.1930,05.15.1930,05.28.1930
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,LAURIER--OUTREMONT,Quebec,1914 - 1933,16,1926.09.14,368,1b1e9995-c96d-482b-a5ce-b58a0df081f3,"MERCIER, Joseph-Alexandre",12724,0.604,Liberal Party of Canada,Lawyer,,1,2,,,,,,,,,,,,,9,2,1,2,9,9,9,9,9,9,2,9,1,9,2,2,9,2,2,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,2,2,9,9,2,2,1,2,2,9,2,2,2,9,1,9,9,2,9,9,9,9,9,9,9,9,1,9,9,9,2,1,9,9,2,2,1,2,2,9,9,9,9,2,2,2,2,2,1,2
538,PEEL,Ontario,1867 - 1966,16,1926.09.14,372,1b64bce7-d840-42c6-9af1-8dc647e68c79,"CHARTERS, Samuel",7002,0.5266,Conservative (1867-1942),"Newspaper editor, newspaper owner, publisher",,0,4,,,,,,,,,,,,,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,9,2,1,2,2,2,1,9,1,1,9,1,1,2,2,9,1,1,1,9,1,2,1,9,1,2,1,1,1,2,2,1,2,1,2,9,9,1,1,1,1,1,9,2,1,1,2,9,9,9,9,9,9,1,1,1,2,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1
254,GREY SOUTHEAST,Ontario,1914 - 1933,16,1926.09.14,399,1d6a8f18-7d15-4909-b0f5-88f9b514f20a,"MACPHAIL, Agnes Campbell",7939,0.5611,Progressive,"Farmer, teacher",,0,3,,,,,,,,,,,,,1,1,2,1,2,1,1,9,1,2,9,2,9,1,1,1,9,1,2,1,2,1,9,2,1,1,9,9,1,9,9,1,2,1,2,1,2,1,2,9,9,2,1,1,1,9,2,9,1,2,2,2,2,2,9,1,1,9,2,2,1,9,9,1,2,1,1,9,9,2,9,9,9,2,1,9,1,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1
765,VANCOUVER--BURRARD,British Columbia,1924 - 1966,16,1926.09.14,400,1d94c4b4-8378-4f3c-9aa1-bdfa6e79bfab,"CLARK, John Arthur",11227,0.5364,Conservative (1867-1942),Barrister and solicitor,,0,3,,,,,,,,,,,,,2,2,2,1,1,1,2,9,1,2,1,1,9,9,9,9,9,9,9,2,2,2,1,9,9,9,9,9,1,9,9,9,1,1,1,2,1,2,9,9,9,1,9,1,1,9,2,1,2,1,2,1,1,1,9,1,1,1,2,2,1,9,2,1,9,9,9,9,9,9,1,9,1,2,1,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
664,SASKATOON,Saskatchewan,1907 - 1933,16,1926.09.14,401,1dae37f1-a2e5-4fa6-aa14-5877460dc660,"YOUNG, Alexander MacGillivray",8058,0.5854,Liberal Party of Canada,Physician,,0,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,9,2,2,1,1,1,2,9,2,2,9,1,9,2,1,2,1,2,2,9,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,9,2,2,2,2,2,2,2,9,1,2,2,1,1,9,2,9,1,2,1,1,9,2,2,2,2,1,9,9,9,2,2,1,1,1,2,2,1,2
680,SHELBURNE--YARMOUTH,Nova Scotia,1924 - 1933,16,1926.11.02,412,1e31f4aa-36bd-40a6-a784-7d94f0e97979,"RALSTON, Hon. James Layton",accl.,,Liberal Party of Canada,Barrister,,0,1,,1,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,9,9,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,2,2,1,2,2,1,2
123,CARLETON,Ontario,1867 - 1966,16,1926.09.14,414,1e502396-052a-4afd-8d90-249bea49b95c,"GARLAND, William Foster",7415,0.5635,Conservative (1867-1942),"Breeder, pharmacist",,0,4,,,,,,,,,,,,,9,2,2,1,1,1,2,9,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,9,1,1,2,1,1,9,1,2,1,2,9,2,9,9,9,2,2,1,9,9,9,9,1,1,1,9,9,9,9,9,9,9,2,1,1,2,2,9,9,9,1,9,2,2,2,2,9,1,1,2,1,2,1,2,2,2,1,2,2,9,2,1,2,1
590,QUEENS--LUNENBURG,Nova Scotia,1924 - 1947,16,1926.09.14,427,1f568e90-7d07-4ec9-820d-d4b5c0323e38,"ERNST, William G.",9925,0.5207,Conservative (1867-1942),Barrister,,0,1,,,,,,,,,,,,,2,2,2,9,2,1,2,9,1,2,1,1,9,9,1,1,9,2,1,2,2,2,9,9,1,1,9,1,1,9,9,9,9,1,1,9,1,2,9,9,9,1,9,1,1,1,9,1,9,1,2,1,9,9,9,1,1,1,2,2,1,9,9,9,9,9,9,9,9,9,1,9,9,9,1,9,1,2,1,9,2,1,9,9,9,9,9,9,9,9,2,1,2,9
533,PARKDALE,Ontario,1914 - 1976,16,1926.09.14,436,1fd6461a-ee02-4d2c-880e-860b930c4499,"SPENCE, David",11897,0.7422,Conservative (1867-1942),Merchant,,0,3,,,,,,,,,Ireland,,,,9,2,2,1,1,1,2,1,1,2,1,9,1,2,9,1,1,2,1,2,2,2,2,1,9,9,9,9,1,1,1,1,1,1,1,2,9,2,1,2,1,1,1,1,1,1,2,1,2,1,2,9,9,1,1,1,9,1,2,2,1,1,2,1,1,2,2,9,9,1,1,1,1,2,1,2,9,2,1,2,2,1,1,9,2,2,2,1,1,1,2,1,2,9
836,YAMASKA,Quebec,1867 - 1933,16,1926.09.14,455,212572eb-4fe5-4eef-8f4b-e193f8ac082a,"BOUCHER, Aime",3500,0.5318,Liberal Party of Canada,Notary,,1,4,,,,,,,,,,,,,2,2,1,9,1,9,2,2,2,1,2,1,9,1,2,2,2,2,2,1,1,1,9,1,2,2,9,2,2,2,1,9,1,2,2,2,2,1,2,9,9,2,2,2,2,9,9,2,2,2,1,2,2,2,2,2,2,9,1,1,2,2,2,2,9,9,9,9,9,9,1,2,2,1,2,1,1,1,2,1,1,2,9,9,9,1,1,2,2,2,2,2,1,2
683,SHERBROOKE,Quebec,1924 - ,16,1926.09.14,486,2383d6a2-7bc8-4d50-94b0-288e425fa899,"HOWARD, Charles B.",7582,0.6204,Liberal Party of Canada,"Businessman, industrialist, lumber merchant",,0,2,,,,,,,,,,,,,9,2,1,2,9,9,9,2,9,9,2,9,9,2,2,9,9,2,2,1,1,1,9,9,9,9,9,2,2,9,9,9,9,2,2,9,9,9,2,9,9,9,9,9,9,2,9,2,9,9,9,9,9,9,2,2,2,2,1,1,9,2,9,9,9,9,9,9,9,9,9,2,9,9,2,1,1,1,9,9,1,2,2,9,9,1,1,2,2,9,9,9,9,9
325,KENORA--RAINY RIVER,Ontario,1924 - 2003,16,1926.09.14-1926.10.10 and 1926.11.02,509,255d2664-d4b3-46aa-9933-79b13d340d2e,"HEENAN, Hon. Peter",5626,0.5287,Liberal Party of Canada,Locomotive engineer,,0,2,,1,,,,,,,Ireland,Resignation. Acceptance of an office of emolument under the Crown: 1926.10.10,,,2,2,1,2,1,2,2,2,2,1,2,9,1,9,2,2,2,2,2,1,1,1,2,9,2,2,2,9,2,2,1,9,1,2,2,9,9,9,9,9,9,2,2,2,2,2,1,2,9,9,9,9,9,9,9,9,2,2,9,9,2,2,2,9,9,1,9,9,9,1,1,2,9,9,2,9,1,1,2,2,1,2,2,9,9,9,9,9,9,9,2,2,1,9
198,EDMONTON EAST,Alberta,1914 - 2000,16,1926.09.14,512,2588ded4-dfcf-46fb-866f-093a9c11c847,"BLATCHFORD, Kenneth Alexander",5090,0.4443,Liberal Party of Canada,Insurance broker,,0,1,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,9,9,9,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,2,1,2,1,9,9,9,9,2,9,2,9,2,9,2,2,1,9,2,2,2,1,1,2,9,1,2,2,9,9,9,2,9,2,9,9,9,9,9,9,2,2,2,1,9,1,9,1,2,2,2,2,1,9,9,9,2,2,2,1,9,2,2,1,9
10,ALGOMA EAST,Ontario,1903 - 1966,16,1926.09.14,553,28ba6355-2989-493b-abe0-6aae6a4ccb2b,"BOWMAN, Beniah",6909,0.5293,United Farmers of Ontario,Farmer,,0,1,,,,,,,,,,,,,2,9,9,9,1,2,2,9,9,9,9,9,1,9,2,2,9,2,2,1,1,1,2,9,9,9,9,2,2,9,1,9,1,9,9,9,9,9,2,9,9,2,2,2,2,2,1,2,9,9,9,9,9,9,1,9,9,9,1,1,9,9,9,9,9,1,2,1,1,9,2,9,2,2,2,9,9,1,9,9,1,2,9,9,9,1,1,1,2,9,9,9,9,9
394,LETHBRIDGE,Alberta,1914 - 1977,16,1926.09.14,566,29612186-3b57-4a50-befd-ae4084917f56,"JELLIFF, Lincoln Henry",5138,0.5993,United Farmers of Alberta,"Farmer, insurance advisor, lawyer",,0,3,,,,,,,,,United States,,,,1,1,1,1,1,2,2,9,1,2,2,9,2,1,1,1,2,1,2,1,1,1,9,2,2,9,2,1,2,9,9,9,9,1,2,1,2,1,2,9,2,9,1,1,1,1,9,2,1,2,1,9,9,9,1,2,2,2,9,9,9,2,9,1,9,1,1,2,2,2,1,9,1,2,1,9,1,2,2,1,2,1,1,9,9,2,2,1,1,1,1,2,1,1
138,CHARLOTTE,New Brunswick,1867 - 1966,16,1926.09.14,574,2a17a0bf-d088-4fe1-b6a8-333ec303eb19,"GRIMMER, Robert Watson",4967,0.5746,Conservative (1867-1942),Merchant,,0,3,,,,,,,,,,,,,9,2,2,9,1,1,2,9,1,2,1,1,1,2,1,1,1,2,1,2,2,2,9,9,1,1,9,1,1,9,9,1,2,1,1,2,1,2,1,9,1,1,1,1,1,9,2,1,2,1,2,9,9,9,9,9,1,1,2,2,1,9,9,9,1,9,9,9,9,1,1,1,1,2,1,2,1,9,1,2,2,1,1,2,2,2,2,1,1,9,2,1,2,1
745,TORONTO--HIGH PARK,Ontario,1924 - 1933,16,1926.09.14,575,2a491fe5-0fd9-41c0-9a96-951b3efa94eb,"ANDERSON, Alexander James",12366,0.748,Conservative (1867-1942),"Barrister, lawyer",,0,2,,,,,,,,,,,,,9,2,2,1,1,1,2,1,1,2,1,9,1,2,1,1,1,2,1,2,2,2,2,1,9,9,9,1,9,2,1,1,2,9,9,1,9,2,9,2,1,1,1,9,9,1,2,1,9,9,9,1,1,1,1,9,9,9,2,2,1,1,2,1,1,2,2,9,9,9,1,9,1,2,1,2,1,9,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,1
352,LABELLE,Quebec,1892 - 1987,16,1926.09.14,579,2a8c7330-53c3-44dc-9f77-c16aa6af7898,"BOURASSA, Henri",7569,0.8586,Independent,"Newspaper editor, publicist",,1,5,,,,,,,,,,,,,1,2,2,9,2,2,2,2,9,9,9,2,9,9,9,9,9,1,2,1,1,1,9,1,9,9,9,1,9,9,9,9,2,9,2,9,2,1,2,9,2,2,2,2,2,2,9,9,2,2,1,2,2,2,2,2,2,2,1,1,9,2,1,9,9,1,1,2,2,2,9,2,2,1,2,1,2,1,2,2,1,2,9,1,1,1,1,2,2,2,2,2,9,9
106,CAMROSE,Alberta,1924 - 1952,16,1926.09.14,597,2c4fde50-eb86-4288-a3d6-0ecb43786cf0,"LUCAS, William Thomas",5100,0.5937,United Farmers of Alberta,Farmer,,0,3,,,,,,,,,,,,,1,1,2,1,2,1,1,2,1,2,1,9,9,1,1,1,1,1,2,1,2,1,1,2,1,1,9,1,1,1,2,1,2,1,9,1,2,9,2,9,9,2,1,1,1,1,2,1,1,2,2,9,9,1,1,9,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,9,1,2,2,1,2,1,1,1,9,2,2,1,1,1,1,2,2,1
143,CHICOUTIMI,Quebec,1924 - 2000,16,1926.09.14,602,2cb62e8c-ec6c-4ba0-9a05-d3ea855236b5,"DUBUC, Julien Edouard Alfred",8658,0.8017,Independent Liberal,"Bank manager, director, manufacturer",,1,2,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,1,2,2,2,9,2,2,2,2,2,2,2,1,1,2,2,2,2,9,9,9,9,9,1,9,2,2,1,2,1,1,1,9,9,1,2,2,9,9,1,1,2,2,2,9,9,1,2
208,ELGIN WEST,Ontario,1867 - 1933,16,1926.09.14,618,2e1a0504-6db9-413c-a847-54e5b76f53b4,"HEPBURN, Mitchell Frederick",7920,0.5057,Liberal Party of Canada,Farmer,,0,1,,,,,,,,,,,,,1,2,1,9,2,9,9,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,9,2,9,2,1,2,1,2,2,1,9,1,2,9,9,2,2,2,2,9,1,2,2,2,1,9,9,9,1,2,9,2,9,2,2,2,2,9,1,2,2,1,1,9,9,2,2,9,2,1,1,1,9,9,1,2,2,9,9,1,1,2,2,1,9,9,9,9
599,RENFREW NORTH,Ontario,1867 - 1972,16,1926.09.14,628,2eb2f904-eec2-402a-86ad-818a3c0118f4,"COTNAM, Ira Delbert",4947,0.4319,Conservative (1867-1942),Physician,,0,2,,,,,,,,,,,,,2,2,2,9,1,1,2,1,1,9,9,9,9,9,9,9,1,2,1,2,2,2,2,1,9,9,9,9,1,9,9,9,9,9,1,9,9,9,1,9,9,2,1,1,1,2,2,9,9,9,2,9,9,9,9,9,9,9,2,2,9,1,9,9,9,9,9,9,9,9,9,1,2,2,9,9,9,2,9,2,1,2,1,2,2,9,1,2,2,9,2,1,2,1
217,ESSEX WEST,Ontario,1924 - 1966,16,1926.09.14,643,2fa8e34f-4647-4535-baf7-231e1bb218b4,"ROBINSON, Sidney Cecil",11555,0.5102,Conservative (1867-1942),"Business executive, gentleman, industrialist, manager",,0,2,,,,,,,,,,,,,2,9,9,1,1,1,2,1,9,9,1,1,1,2,1,1,1,2,1,2,2,2,2,9,1,1,9,1,1,2,1,9,2,1,1,1,9,2,9,2,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,1,9,9,9,1,9,2,2,9,9,2,1,1,9,2,2,2,1,9,9,9,9,9,9
350,L'ASSOMPTION--MONTCALM,Quebec,1914 - 1933,16,1926.09.14,647,2ff96afc-2249-42e1-9fc3-90e92c1d91e0,"SEGUIN, Paul-Arthur",6044,0.7607,Liberal Party of Canada,Notary,,1,6,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,9,1,1,2,2,9,2,2,1,1,1,2,1,2,2,2,9,2,9,9,2,1,9,9,2,9,2,2,9,2,2,2,2,2,2,9,2,2,2,1,9,2,2,2,2,2,2,1,1,2,2,2,2,9,1,1,9,9,9,2,2,2,1,2,1,1,1,2,2,1,2,2,9,9,1,1,2,2,2,2,2,1,2
587,QUEEN'S,Prince Edward Island,1903 - 1966,16,1926.09.14,715,34308596-a425-4112-b653-9ed571725dc0,"SINCLAIR, John Ewen",8625,0.2546,Liberal Party of Canada,Farmer,,0,3,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,9,2,2,2,1,1,9,2,1,2,2,2,9,9,9,9,9,1,2,2,2,2,2,9,2,9,1,2,2,2,1,1,2,2,2,1,1,1,1,9,2,2,9,2,9,2,9,9,1,1,1,2,9,9,1,9,9,2,2,2,1,9,9,2,2,1,2,2,9,2,1,1,9,2,9,9,9,9,9
266,HALTON,Ontario,1867 - 1987,16,1926.09.14,744,3624878e-997f-42b3-9c67-995f7259584c,"ANDERSON, Robert King",6222,0.5909,Conservative (1867-1942),"Physician, teacher",,0,4,,,,,,,,,,,,,2,2,2,1,1,1,2,1,1,2,1,9,9,9,9,9,9,2,1,2,2,2,2,9,1,1,1,2,9,9,2,1,2,1,1,9,9,2,1,2,1,1,1,1,1,2,2,1,9,9,9,1,1,9,1,9,1,9,2,9,9,9,9,1,9,9,9,9,9,1,1,9,9,2,1,9,1,2,9,9,2,1,9,2,2,2,2,1,1,9,9,9,9,9
283,HASTINGS--PETERBOROUGH,Ontario,1924 - 1952,16,1926.09.14,747,368ca079-0e87-47f0-bcbe-47c0c5c90dce,"EMBURY, Alexander Thomas",6797,0.7172,Conservative (1867-1942),Physician,,0,2,,,,,,,,,,,,,9,2,2,1,1,1,2,1,1,2,1,1,9,2,1,1,1,2,1,2,2,2,9,9,1,1,9,9,9,9,9,9,9,9,9,2,1,9,9,9,1,9,1,9,9,2,2,1,2,1,2,9,1,9,1,1,1,1,2,9,1,1,9,9,9,9,9,9,9,9,1,1,2,9,9,9,9,9,1,2,1,2,1,9,9,9,9,9,9,9,2,1,2,9
858,YUKON,Yukon,1902 - 1947,16,1926.09.14,755,3738c10d-d188-441d-ad40-3689553b373a,"BLACK, George",823,0.5595,Conservative (1867-1942),"Barrister, lawyer",,0,3,,,,,,,,,,,,,2,2,2,9,1,1,2,1,1,2,1,9,9,9,9,9,9,2,1,2,2,2,2,9,1,9,1,9,1,2,2,1,9,1,1,9,9,9,9,9,9,2,9,1,1,9,2,1,9,9,9,9,9,9,9,9,1,1,9,9,1,1,2,1,9,9,9,9,9,1,1,1,9,9,1,9,1,2,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,9
791,WATERLOO SOUTH,Ontario,1867 - 1966,16,1926.09.14,761,37ffe576-bd7c-473c-af0b-328099234a8c,"EDWARDS, Alexander McKay",7220,0.594,Conservative (1867-1942),"Manufacturer, pharmacist",,0,2,,,,,,,,,,,,,2,2,2,9,1,1,2,9,1,2,1,1,9,2,1,1,1,2,1,2,2,2,9,1,1,1,1,1,1,9,9,9,1,1,1,1,9,2,1,9,1,1,1,1,1,9,2,1,2,1,2,9,9,9,9,1,9,1,2,2,1,1,9,1,1,2,9,9,9,9,1,9,1,2,1,2,1,2,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9
630,ST. ANTOINE,Quebec,1892 - 1933,16,1926.09.14,768,3850751d-297f-4e2c-9a59-3e144a3e1783,"BELL, Leslie Gordon",6605,0.5175,Conservative (1867-1942),Lawyer,,0,2,,,,,,,,,,,,,2,2,2,9,1,9,9,9,1,2,1,9,1,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,2,9,1,1,9,1,1,9,2,1,2,9,9,1,2,9,9,1,9,9,9,9,9,9,9,2,1,2,9
304,HURON SOUTH,Ontario,1867 - 1933,16,1926.09.14,774,38cceb1c-80d8-43a5-8f9d-6d8b97e0989e,"MCMILLAN, Thomas",6370,0.5498,Liberal Party of Canada,Farmer,,0,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,9,2,1,9,2,2,2,2,2,1,1,1,2,1,2,2,2,2,9,2,1,2,1,2,2,1,2,9,2,1,9,2,2,2,2,2,1,2,2,2,1,2,1,9,9,2,2,2,1,1,2,2,9,2,1,1,9,9,9,1,2,2,2,1,2,1,1,1,2,2,1,2,2,9,9,1,1,2,2,2,2,2,1,9
275,HANTS--KINGS,Nova Scotia,1924 - 1933,16,1926.09.14,789,396d7d47-d79c-4aea-bf33-18c3e7b199e3,"ILSLEY, James Lorimer",10261,0.502,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,2,1,2,1,2,2,9,2,1,2,1,9,1,2,2,2,2,2,1,1,9,2,9,9,9,9,1,2,9,9,2,1,2,2,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,2,2,2,9,9,9,9,9,9,9,1,9,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2
141,CHATEAUGUAY--HUNTINGDON,Quebec,1914 - 1947,16,1926.09.14-1926.10.04 and 1926.11.02-1929.11.11,824,3c716a03-43b1-401d-820f-7921b10e5565,"ROBB, Hon. James Alexander",5691,0.5338,Liberal Party of Canada,"Merchant, miller",,0,6,,1,,,,,,,,Resignation. Acceptance of an office of emolument under the Crown: 1926.10.04  & Died in office: 1929.11.11,,,2,2,1,9,1,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,9,9,2,1,2,2,2,2,1,2,2,2,1,2,2,2,9,1,9,2,2,1,1,1,1,1,2,2,2,9,2,2,2,2,9,1,9,9,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
593,RED DEER,Alberta,1907 - ,16,1926.09.14,834,3cd49ad9-d55c-4fbe-b68e-e250641d1448,"SPEAKMAN, Alfred",5603,0.7226,United Farmers of Alberta,Farmer,,0,3,,,,,,,,,Scotland,,,,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,1,1,2,1,1,9,1,1,9,9,1,2,1,2,1,2,1,2,9,2,2,1,1,1,1,2,1,1,2,2,1,9,1,1,1,1,1,2,2,9,2,1,1,2,1,1,2,2,2,1,1,1,2,1,9,1,2,2,1,2,1,1,1,9,2,2,1,1,1,1,2,2,1
367,LANARK,Ontario,1914 - 1966,16,1926.09.14-1929.02.08,835,3d62cecf-ea76-4b2c-983f-8819c7b24859,"PRESTON, Richard Franklin",8122,0.6233,Conservative (1867-1942),Physician,,0,3,,,,,,,,,,Died in office: 1929.02.08,,,2,2,2,1,1,1,2,9,1,2,1,1,1,2,1,1,1,9,9,2,9,9,9,9,9,9,9,1,9,9,9,9,1,9,9,9,9,9,9,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
80,BRUCE NORTH,Ontario,1867 - 1933,16,1926.09.14-1926.10.21 and 1926.11.09,852,3e478f06-ec31-4aa2-afb1-2c41dbd6f925,"MALCOLM, Hon. James",5447,0.5208,Liberal Party of Canada,Industrialist,,0,3,,1,,,,,,,,Resignation. Acceptance of an office of emolument under the Crown: 1926.10.21,,,2,2,1,2,1,2,2,2,9,9,2,9,1,1,2,2,9,2,2,9,1,1,9,9,2,9,9,9,2,2,9,2,9,2,2,9,2,9,9,9,9,9,2,2,2,9,1,2,2,2,1,9,9,1,9,2,2,2,9,9,9,2,2,9,9,9,9,1,1,1,1,2,2,9,2,1,1,1,9,9,1,2,9,9,9,9,9,9,2,9,2,2,1,9
545,PERTH SOUTH,Ontario,1867 - 1933,16,1926.09.14,871,3f352a5f-24ea-483a-8a69-c81fe4b99ab9,"SANDERSON, Fred George",4966,0.5273,Liberal Party of Canada,"Agent, farmer, manufacturer",,0,2,,,,,,,,,,,,,2,2,1,2,1,2,2,9,9,9,2,1,1,1,9,9,9,2,2,1,1,1,2,9,2,2,9,2,2,9,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,9,9,2,1,2,2,1,1,1,2,2,2,1,9,9,1,1,2,2,1,2,2,9,9,1,1,2,2,9,2,2,1,2
417,MAISONNEUVE,Quebec,1892 - 1933,16,1926.09.14,929,439c98b7-9195-4068-acf3-b8d0e206f912,"ROBITAILLE, Clement",16045,0.7564,Liberal Party of Canada,Lawyer,,1,3,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,1,2,1,1,9,9,2,2,2,2,1,1,1,1,1,2,2,9,2,2,2,1,9,1,2,2,9,2,2,2,9,9,9,2,2,2,2,1,2,2,2,1,9,9,9,2,2,2,2,9,9,2,2,9,2,9,9,9,9,9,9,1,9,2,1,2,1,1,1,2,2,1,2,2,9,9,1,1,2,2,9,2,2,1,9
