Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S25S1V01,S25S1V02
Date,,,,,,,,xxx,xxx
Bill,,,,,,,"yay=1,nay=2,paired=3,yes+no=4,yes+paired=5,no+paired=6,yes+no+paired=7,notvote=ENPTY,Abstention=8,Problem=9999",xxx,xxx
"Aseltine, Walter Morley",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),9999,9999
"Baird, Alexander Boyd",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1967.11.23 ,1949.08.17 , 1967.11.23 ,(Death),9999,9999
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),9999,9999
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),9999,9999
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),9999,9999
"B_lisle, Rh_al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),9999,9999
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23 ,1945.04.18 , 1966.09.23 ,(Resignation),9999,9999
"Blais, Aristide",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1940.01.29 - 1964.11.10 ,1940.01.29 , 1964.11.10 ,(Death),9999,9999
"Blois, Frederick Murray",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.01.14 - 1976.10.12 ,1960.01.14 , 1976.10.12 ,(Resignation),9999,9999
"Bois, Henri Charles",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.01.03 - 1962.07.18 ,1957.01.03 , 1962.07.18 ,(Death),9999,9999
