Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S32S1V01,S32S1V02,S32S1V03,S32S1V04,S32S1V05,S32S1V06,S32S1V07,S32S1V08,S32S1V09,S32S1V10,S32S1V11,S32S1V12,S32S1V13,S32S1V14,S32S1V15,S32S1V16,S32S1V17,S32S1V18,S32S1V19,S32S1V20,S32S1V21,S32S1V22,S32S1V23,S32S1V24,S32S1V25,S32S1V26,S32S1V27,S32S1V28,S32S1V29,S32S1V30,S32S1V31,S32S1V32,S32S1V33,S32S1V34,S32S1V35,S32S1V36,S32S1V37,S32S1V38,S32S1V39,S32S1V40,S32S1V41,S32S1V42,S32S2V01,S32S2V02,S32S2V03,S32S2V04,S32S2V05
Date,,,,,,,,05.05.1980,06.19.1980,10.30.1980,10.30.1980,10.30.1980,10.30.1980,11.03.1980,11.05.1980,02.18.1981,04.24.1981,04.24.1981,04.24.1981,07.07.1981,12.03.1981,12.08.1981,12.08.1981,12.08.1981,12.08.1981,12.08.1981,12.08.1981,12.08.1981,06.02.1982,07.07.1982,08.04.1982,10.25.1982,10.25.1982,12.20.1982,12.21.1982,12.21.1982,12.21.1982,12.21.1982,01.26.1983,01.31.1983,02.09.1983,02.16.1983,03.29.1983,03.29.1983,03.29.1983,03.29.1983,03.30.1983,06.22.1983,11.17.1983,04.11.1984,04.17.1984,05.29.1984,06.06.1984,06.27.1984
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,That the Senate do now adjourn.,That the Standing Senate Committee on Legal and Constitutional Affairs be authorized to consider and report upon constitutional provisions regarding individual and collective rights and upon the future role and composition of the Canadian Senate and alternative constitutional arrangements compatible with true federalism : -.,The question being put on wether rhe Honourable the Speaker's ruling shall be sustained.,The question being put on wether rhe Honourable the Speaker's ruling shall be sustained.,Adjournment of the debate.,Adjournment of the debate.,That the Senate do unite with the House of Commons in the appointment of a special Joint Committee to consider and report upon the document entitled proposed Resolution for a Jiont Address to Her Majesty the Queen respecting the Constitution of Canada : - .,Motion of the Honourable Senator Frith : Taht the Rule 66 (1) be suspended in relation to the nomination of Senators to serve on the Special Joint Committee to consider a proposed Address to Her Majesty Queen concerning the Constitution of Canada;  as amended. ,"That the Senate do not consider approval of the report of the Special Joint Committee on the Constitution, or the resolution based on that report before the House of Commons has disposed of them.",The question being put on wether rhe Honourable the Speaker's ruling shall be sustained.,"Motion in amendment of the Honourable Senator Flynn  : that the proposed Consitution Act, 1981, be amended, as follow: - ",The question being put on the motion in amendment of the Honourable Senator Flynn.,"That the Bill C-57, intituled : An Act to amend the Excise Tax Act and the Excise Act and to provide for a revenue tax in respect of petroleum and gas be not read a second time as this House is opposed to the principle of a bill that follow : - ",Address to the Queen  to cause to be laid before the Parliament of the United Kingdom a mesure containing the recitals and clauses hereinafter set forth : Constitutional Act 1981.,That the proposed Constitution Act 1981 be amended by striking out Section 40 and substition the following thereof : (p.1754),That Section 7 of the proposed Constitution Act 1981 be amended to read as follows : (p.1755).,That Section 59 of the proposed Constitution Act 1981 be amended to read as follows : (p.1756).,That the proposed Constitution Act 1981 be amended by striking out paragraphs (e) and (f) of subsection 42(1).,That the proposed Constitution Act 1981 be amended as follows : (p.1757).,That the proposed Constitution Act 1981 be amended as follows : (p.1758).,Address to the Queen  to cause to be laid before the Parliament of the United Kingdom a mesure containing the recitals and clauses hereinafter set forth : Constitutional Act 1981.,"That the Senate deplores the decision of the government of Canada to refer to the Supreme Court of Canada the question of jurisdiction over the seabed resources off Newfoundland, called Hibernia, while at the same time the Appeal Court of Newfoudland is seized with the matter that includes this very question (p.2174).","That the Bill C-108, intituled: An Act to amend the National Energy Board Act (no. 3) be not now read a third time but htat it be amended as follows :- ","That the Bill C-124, intituled: An Act respecting compensation in the public sector of Canada be not now read a seoncd time but that it be amended by deleting sub-clause 3.(3) of Part 1.","Second reading of the Bill C-201, intituled: An Act to amend the Holidays Act.","That the Bill C-201, intituled: An Act to amed the Holidays Act be amened as follws: (p.2499).",Adjournment of the debate.,"That the Bill S-30, intituled: An Act to amend certain Acts in relation to Canada Day be referred to the Standing Senate Committee on Legal and Constitutional Affairs.","That debate on Bill S-31, intituled: An Act to limit shareholding in certain corporations be adjourned until the next sitting of the Senate.","That debate on Bill S-31, intituled: An Act to limit shareholding in certain corporations be adjourned until January 25, 1983 or until such date as the Minister of Consumer and Corporate Affairs reports on the meetings wich he has undertaken to have with those provinces wich haves expressd objections to the Bill.","Second reading of the Bill S-31, intituled: An Act to limit shareholding in certain corporations.","Second reading of the Bill C-133, intituled: An Act to amend the Supplementary Retirement Benefits Act (No. 2).","That the Bill C-133, intituled: An Act to amend the Supplementary Retirement Benefits Act (No. 2) be not now read a third time but that it be read a third time this day six months hence.","Second reading of the Bill C-131, intituled: An Act to amend the Old Age Security Act (No. 2).","Second reading of the Bill C-132, intituled: An Act to amend the Family Allowances Act, 1973.","That the Bill C-139, intituled: An Act to amendthe statue law relating to income tax (No. 2) be not now read a third time but that it be amended by striking out subclause 86 (6) and by renumbering the ensuing subclauses accordingly.","That the Bill C-139, intituled: An Act to amendthe statue law relating to income tax (No. 2) be not now read a third time but that it be amended by striking out Clause 109 and by renumbering the ensuing clauses accordingly.","That the Bill C-139, intituled: An Act to amendthe statue law relating to income tax (No. 2) be not now read a third time but that it be amended as follows : (p.2851).","Third reading of the Bill C-139, intituled: An Act to amendthe statue law relating to income tax (No. 2).","That the Bill C-143, intituled: An Act to provide supplementary borrowing authority be now read a the third time.","That the Bill C-85, intituled: An Act to establish a corporation called Canagrex to promote, facilitate and engage in the export of agricultural and food product from Canada be not now read a third time but it be amended as follows: ","That the Bill C-155, intituled: An Act to facilitate the transportation, shipping and handling of western grain and to amend certain Acts in consequence thereof be not now read a third time but that it be amended in Clause 41 as follows :","That further consideration of the BillC-3, intituled: An Act relating to cash contributions by Canada in respect of insured health services provided under provincial health care insurance plans and amounts payable by Canada in respect of extend health care services and to amend and repeal certain Acts in consequence thereof be delayed until June 1, 1984, (p.332).","That the BillC-3, intituled: An Act relating to cash contributions by Canada in respect of insured health services provided under provincial health care insurance plans and amounts payable by Canada in respect of extend health care services and to amend and repeal certain Acts in consequence thereof be not now read a third time but that it be amended as follows: -","That the Bill C-12, intituled : An Act to amend the Federal-Provincial Fiscal Arrangements and Established Programs Financing Act, 1977 be not now read the second time but that it be read the second time this days six months' hence.","That the Bill C-12, intituled: An Act to amend the Federal-Provincial Fiscal Arrangements and Established Programs Financing Act, 1977 be not now read a third time, byt that it be amended as follows :- (p.501).","That the Bill C-9, intituled: An Act to establish the Canadian Security Intelligence Service, to enact An Act respecting enforcement in relation to acertain security and related offences and to amend certain Acts in consequence thereof or in relation thereto"
"Murray, Lowell",Progressive Conservative Party,Ontario,"Clark, Charles Joseph",1979.09.13 - ,1979.09.13 , ,,9,1,2,2,1,1,2,1,1,2,8,1,1,1,1,2,1,1,1,1,2,1,9,1,2,1,9,1,9,9,9,9,1,2,2,9,9,9,9,2,1,9,9,9,1,1,9
"Cools, Anne C.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - ,1984.01.13 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,2,9
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,2,9,2
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"McDonald, Alexander Hamilton",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1965.08.13 - 1980.03.31 ,1965.08.13 , 1980.03.31 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Quart, Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
