Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S28S1V01,S28S1V02,S28S1V03,S28S1V04,S28S1V05,S28S1V06,S28S1V07,S28S1V08,S28S2V01,S28S2V02,S28S3V01,S28S3V02,S28S3V03,S28S3V04,S28S3V05,S28S3V06,S28S3V07,S28S3V08
Date,,,,,,,,10.16.1968,11.19.1968,04.22.1969,06.03.1969,06.03.1969,06.10.1969,06.17.1969,06.26.1969,05.12.1970,05.13.1970,12.03.1970,12.03.1970,06.02.1971,06.29.1971,12.16.1971,12.16.1971,12.21.1971,12.31.1971
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Report concerning Bill S-8 (An Act to amend the Act respecting the Supreme Court of Canada) be referred back to the Standing Committee on Banking and Commerce,"Motion that the Bill S-15 (An Act to amend the Act on Food and Drugs, and the Act on Narcotics, and by way of consequence, The Criminal Code) be not now read a third time, but amended",Motion that the Bill C-165 (An Act to amend the Act on Revenue Taxation and the Act on Inheritance Taxation) be now read a second time,Motion that the debate be adjourned,"Motion that the substitution of Senators on the Standing Committee on Judicial and Constitutional Affairs, be not immediate, but that it be made after the presentation of the Report of the Committee on Bill S-21 (An Act to amend the Criminal Code)","Motion that the Bill C-150 (An Act to amend the Criminal Code, etc.) be now read a second time",Motion that the Bill S-21 (An Act to amend the Criminal Code) be now read a third time,"Motion that the Bill S-24 (An Act to amend the Electoral Act (Age of Voters)) be not now read a third time, but be referred to Committee","Motion that the Bill C-3 (An Act to amend the Criminal Code) be not now read a second time, but be referred to the Supreme Court",Motion that the Bill C-3 (An Act to amend the Criminal Code) be now read a second time,"Motion that the Bill C-181 (An Act to provide for Special Powers for Keeping Public Order in Canada), be not now read a third time, but be amended","Motion that the Bill C-181 (An Act to provide for Special Powers for Keeping Public Order in Canada), be not now read a third time, but be referred back to Committee","Motion that the Senate opposes the Transalaskian Crude Oil Pipeline and the Transport of Crude by Ships, on reasons of safety and efficiency, and that the matters be referred to Committee",Motion that the debate be adjourned,Motion that the Rules of Senate 44. 45 & 78 be suspended for the remaining of the sitting for Bills of public interest,Motion that the Senate adjourn today to the 10th of January 1972,Motion that the Bill C-259 (An Act to amend the Act on Revenue Taxation) be now read a third time,Motion that the debate be adjourned to January the 11th 1972
"Pearson, Arthur Maurice",Progressive Conservative Party,Saskatchewan,"Diefenbaker, John George",1957.10.12 - 1971.03.31 ,1957.10.12 , 1971.03.31 ,(Resignation),2,9,2,1,1,2,9,2,1,2,1,1,99,99,99,99,99,99
"Gladstone, James",Independent Conservative,Alberta,"Diefenbaker, John George",1958.01.31 - 1971.03.31 ,1958.01.31 , 1971.03.31 ,(Resignation),9,1,2,1,1,9,9,9,9,9,1,9,99,99,99,99,99,99
"Hollett, Malcolm Mercer",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1961.10.06 - 1971.03.31 ,1961.10.06 , 1971.03.31 ,(Resignation),1,1,9,1,1,2,2,9,1,2,1,9,99,99,99,99,99,99
"MacDonald, John Joseph",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1958.01.27 - 1971.04.20 ,1958.01.27 , 1971.04.20 ,(Resignation),1,1,2,1,1,9,2,2,1,2,9,9,99,99,99,99,99,99
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12 ,1945.04.18 , 1971.06.12 ,(Resignation),1,9,1,9,9,1,1,1,2,1,2,2,9,99,99,99,99,99
"Casgrain, Thí©ríÂse Forget",Independent,Quebec,"Trudeau, Pierre Elliott",1970.10.07 - 1971.07.10 ,1970.10.07 , 1971.07.10 ,(Retirement),99,99,99,99,99,99,99,99,99,99,2,2,1,1,99,99,99,99
"Urquhart, Earl Wallace",Liberal Party of Canada,Nova Scotia,"Pearson, Lester Bowles",1966.02.24 - 1971.08.17 ,1966.02.24 , 1971.08.17 ,(Death),2,9,1,2,2,1,1,9,2,1,2,2,9,9,99,99,99,99
"Robichaud, Hí©dard-J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1968.06.28 - 1971.10.08 ,1968.06.28 , 1971.10.08 ,(Resignation),2,9,1,2,2,1,1,1,2,1,2,2,1,2,99,99,99,99
"Roebuck, Arthur Wentworth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1971.11.17 ,1945.04.18 , 1971.11.17 ,(Death),1,2,1,2,2,1,1,1,9,9,9,9,9,9,99,99,99,99
"Willis, Harry Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.06.15 - 1972.03.23 ,1962.06.15 , 1972.03.23 ,(Death),9,9,2,9,9,9,2,9,1,2,2,1,9,9,9,9,9,9
"Mí©thot, Lí©on",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.12 - 1972.08.06 ,1957.10.12 , 1972.08.06 ,(Death),1,1,2,1,1,2,2,1,1,2,2,9,2,9,9,9,9,9
"White, George Stanley",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.09.20 - 1972.11.17 ,1957.09.20 , 1972.11.17 ,(Resignation),2,9,2,1,1,2,2,1,1,2,9,9,2,1,9,9,9,9
"Isnor, Gordon Benjamin",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1973.03.17 ,1950.05.02 , 1973.03.17 ,(Death),1,2,1,2,2,1,9,1,2,1,2,2,1,9,1,2,1,9
"Kinnear, Mary Elizabeth",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1973.04.03 ,1967.04.06 , 1973.04.03 ,(Retirement),9,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,9
"Nichol, John Lang",Liberal Party of Canada,British Columbia,"Pearson, Lester Bowles",1966.02.24 - 1973.04.19 ,1966.02.24 , 1973.04.19 ,(Resignation),9,9,9,2,2,1,9,9,9,9,9,9,9,2,1,2,1,9
"Rattenbury, Nelson",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1964.02.14 - 1973.05.27 ,1964.02.14 , 1973.05.27 ,(Death),9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"McLean, Donald Allan",Liberal Party of Canada,New Brunswick,"Pearson, Lester Bowles",1968.03.15 - 1973.11.05 ,1968.03.15 , 1973.11.05 ,(Death),2,9,1,2,2,1,1,9,9,9,2,9,9,9,9,9,9,9
"Bourque, Romuald",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.07.06 - 1974.08.14 ,1963.07.06 , 1974.08.14 ,(Death),2,2,1,2,2,1,1,1,9,1,2,2,1,2,1,2,9,2
"Martin, Paul Joseph James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1968.04.20 - 1974.10.30 ,1968.04.20 , 1974.10.30 ,(Resignation),2,2,1,9,9,1,1,1,9,9,2,2,1,9,1,2,1,2
"Aird, John Black",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.11.10 - 1974.11.28 ,1964.11.10 , 1974.11.28 ,(Resignation),9,9,1,9,9,1,9,9,2,1,9,9,9,2,1,2,9,2
"Kickham, Thomas Joseph",Liberal Party of Canada,Prince Edward Island,"Pearson, Lester Bowles",1966.07.08 - 1974.12.01 ,1966.07.08 , 1974.12.01 ,(Death),9,2,1,9,9,1,9,2,9,9,2,9,9,2,1,9,1,9
"Laing, Arthur",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1972.09.01 - 1975.02.13 ,1972.09.01 , 1975.02.13 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,9,1
"Welch, Frank Corbett",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1962.09.25 - 1975.07.14 ,1962.09.25 , 1975.07.14 ,(Resignation),9,1,2,9,9,2,2,9,1,2,1,1,9,9,2,1,9,9
"Gí©linas, Louis-Philippe",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1963.06.11 - 1975.12.10 ,1963.06.11 , 1975.12.10 ,(Resignation),9,9,9,9,9,1,1,9,9,9,9,9,9,9,1,2,1,9
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),9,9,1,9,9,9,1,1,2,1,2,2,9,9,9,9,9,9
"O'Leary, M. Grattan",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1976.04.07 ,1962.09.24 , 1976.04.07 ,(Death),1,9,9,9,9,9,9,1,1,2,2,1,2,1,2,1,2,9
"Boucher, William Albert",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23 ,1957.01.03 , 1976.06.23 ,(Death),2,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,9
"Prowse, James Harper",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1976.09.27 ,1966.02.24 , 1976.09.27 ,(Death),1,2,9,2,2,1,1,2,2,1,2,2,9,2,1,2,1,9
"Blois, Frederick Murray",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.01.14 - 1976.10.12 ,1960.01.14 , 1976.10.12 ,(Resignation),1,1,2,9,9,2,9,2,1,2,1,1,2,9,2,1,9,9
"Lefraní_ois, J.-EugíÂne",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05 ,1957.04.25 , 1976.11.05 ,(Resignation),2,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,2
