Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S40S1V01,S40S1V02,S40S2V01,S40S2V02,S40S2V03,S40S2V04,S40S2V05,S40S2V06,S40S2V07,S40S2V08,S40S2V09,S40S2V10,S40S2V11,S40S2V12,S40S2V13,S40S2V14,S40S2V15,S40S2V16,S40S2V17,S40S2V18,S40S2V19,S40S2V20,S40S2V21,S40S2V22,S40S2V23,S40S2V24,S40S3V01,S40S3V02,S40S3V03,S40S3V04,S40S3V05,S40S3V06,S40S3V07,S40S3V08,S40S3V09,S40S3V10,S40S3V11,S40S3V12,S40S3V13,S40S3V14,S40S3V15,S40S3V16,S40S3V17,S40S3V18,S40S3V19,S40S3V20,S40S3V21
"Champagne, Andrí©e",Conservative Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.02 - ,2005.08.02 , ,,2,1,1,1,9,9,1,2,1,2,2,2,9,9,2,2,2,1,9,2,2,1,1,1,2,2,2,2,2,1,2,9,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Dawson, Dennis",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.02 - ,2005.08.02 , ,,1,2,2,2,9,9,9,1,1,1,1,1,1,2,9,1,1,2,2,9,1,2,2,2,1,1,1,1,1,2,9,9,2,1,1,9,1,2,1,1,2,2,2,2,9,9,9
"Segal, Hugh",Conservative Party of Canada,Ontario,"Martin, Paul Edgar Philippe",2005.08.02 - ,2005.08.02 , ,,9,9,1,1,2,1,1,2,9,2,9,2,2,1,2,2,2,9,1,9,2,1,1,1,2,9,9,2,2,9,9,1,9,9,2,1,2,1,2,2,1,1,9,9,1,9,2
"Zimmer, Rod A. A.",Liberal Party of Canada,Manitoba,"Martin, Paul Edgar Philippe",2005.08.02 - ,2005.08.02 , ,,9,2,2,2,8,1,9,1,1,9,1,1,9,2,1,9,1,2,2,9,9,2,9,9,1,1,1,1,1,2,1,2,2,1,1,2,9,2,1,1,2,2,2,2,9,9,9
"Fox, Francis",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.29 - ,2005.08.29 , ,,1,2,9,2,9,9,9,9,9,1,1,1,9,2,9,9,9,2,2,9,1,2,9,9,1,1,9,1,1,9,9,9,9,9,1,2,1,2,1,1,2,2,2,2,9,9,9
"Lovelace Nicholas, Sandra M.",Liberal Party of Canada,New Brunswick,"Martin, Paul Edgar Philippe",2005.09.21 - ,2005.09.21 , ,,9,9,9,9,8,1,9,1,9,9,9,1,9,2,1,1,1,9,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,9,9,1,2,9,1,2,2,2,2,2,2,1
"Brown, Bert",Conservative Party of Canada,Alberta,"Harper, Stephen",2007.07.10 - ,2007.07.10 , ,,2,1,9,1,2,1,1,2,1,2,9,2,2,1,2,2,2,1,1,2,2,9,9,9,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Dickson, Fred",Conservative Party of Canada,Nova Scotia,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,1,2,2,2,9,1,2,2,2,1,9,9,9,9,9,9,9,9,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,9,9,9,9,9
"Duffy, Michael",Conservative Party of Canada,Prince Edward Island,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,1,9,2,9,2,1,2,2,2,1,9,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Eaton, Nicole",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,9,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Gerstein, Irving",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,9,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,9,9,9,9,9,9,9,1,1,1,1,2
"Greene, Stephen",Conservative Party of Canada,Nova Scotia,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,9,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,9,9,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Lang, Daniel",Conservative Party of Canada,Yukon,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,9,2,2,2,9,1,2,2,2,1,1,2,2,1,1,1,2,2,9,2,2,1,2,1,1,2,2,1,9,1,2,2,1,1,1,1,1,1,2
"MacDonald, Michael L.",Conservative Party of Canada,Nova Scotia,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,9,1,2,1,2,2,1,1,1,1,1,1,9
"Martin, Yonah",Conservative Party of Canada,British Columbia,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,9,2,9,2,2,2,9,9,2,2,2,1,9,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Mockler, Percy",Conservative Party of Canada,New Brunswick,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,1,2,9,2,9,1,2,2,2,9,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,9,1,2,1,2,2,1,1,1,1,1,1,2
"Neufeld, Richard",Conservative Party of Canada,British Columbia,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,9,2,9,2,9,1,2,2,9,1,1,9,9,9,9,9,9,9,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Raine, Nancy Greene",Conservative Party of Canada,British Columbia,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,1,2,1,2,2,9,9,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,9,9,2,1,2,2,1,1,1,1,1,1,2
"Rivard, Michel",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,9,9,9,2,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,9,9,9,9,1,2,1,2,2,1,1,1,1,1,1,2
"Wallace, John D.",Conservative Party of Canada,New Brunswick,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,2,1,9,2,9,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Wallin, Pamela",Conservative Party of Canada,Saskatchewan,"Harper, Stephen",2009.01.02 - ,2009.01.02 , ,,99,99,1,1,9,9,1,2,1,2,2,9,2,1,2,2,9,9,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,9,9,2,2,1,1,1,1,1,1,2
"Brazeau, Patrick",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.01.08 - ,2009.01.08 , ,,99,99,1,1,2,1,1,9,1,2,2,2,2,9,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Housakos, Leo",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.01.08 - ,2009.01.08 , ,,99,99,1,1,2,1,1,2,1,2,2,2,2,1,2,2,9,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Fortin-Duplessis, Suzanne",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.01.14 - ,2009.01.14 , ,,99,99,1,1,2,1,1,2,9,2,2,2,9,9,2,2,2,1,1,2,2,1,1,1,2,2,9,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,9,9
"Carignan, Claude",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,9,1,2,2,1,1,1,2,2,2,2,2,1,2,1,9,9,2,1,2,1,2,2,1,1,1,1,1,1,2
"Demers, Jacques",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,2,2,9,9,2,2,1,1,1,2,2,9,2,2,9,9,9,9,9,9,1,2,1,2,2,1,1,1,1,1,1,2
"Finley, Doug",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,9,2,2,9,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,9,9,9,1,2,2,1,1,1,1,1,1,2
"Frum, Linda",Conservative Party of Canada,Ontario,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,9,9,9,9,9
"Ogilvie, Kelvin Kenneth",Conservative Party of Canada,Nova Scotia,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,9,9
"Patterson, Dennis Glen",Conservative Party of Canada,Nunavut,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,1,1,2,2,1,1,1,2,2,9,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Plett, Donald Neil",Conservative Party of Canada,Manitoba,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,9,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,9,1,2,2,1,1,1,1,1,1,2
"Seidman, Judith",Conservative Party of Canada,Quebec,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Stewart Olsen, Carolyn",Conservative Party of Canada,New Brunswick,"Harper, Stephen",2009.08.27 - ,2009.08.27 , ,,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,9,2,1,2,2,1,1,1,1,1,1,2
"Boisvenu, Pierre-Hugues",Conservative Party of Canada,Quebec,"Harper, Stephen",2010.01.29 - ,2010.01.29 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Kochhar, Vim",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.01.29 - ,2010.01.29 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,9,9,9
"Marshall, Elizabeth",Conservative Party of Canada,Newfoundland and Labrador,"Harper, Stephen",2010.01.29 - ,2010.01.29 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Runciman, Bob",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.01.29 - ,2010.01.29 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Poirier, Rose-May",Conservative Party of Canada,New Brunswick,"Harper, Stephen",2010.02.28 - ,2010.02.28 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,1,2,1,1,2,2,9,2,1,2,2,1,1,9,9,9,9,9
"Braley, David",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.05.20 - ,2010.05.20 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Ataullahjan, Salma",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.07.09 - ,2010.07.09 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,1,2,1,2,2,1,1,1,1,1,1,2
"Meredith, Don",Conservative Party of Canada,Ontario,"Harper, Stephen",2010.12.18 - ,2010.12.18 , ,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,1,1,2
"Trenholme Counsell, Marilyn",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",2003.09.09 - 2008.10.22 ,2003.09.09 , 2008.10.22 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Gustafson, Leonard J.",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.05.26 - 2008.11.10 ,1993.05.26 , 2008.11.10 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Biron, Michel",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",2001.10.04 - 2009.03.16 ,2001.10.04 , 2009.03.16 ,(Retirement),9,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Phalen, Gerard A.",Liberal Party of Canada,Nova Scotia,"Chrí©tien, Joseph Jacques Jean",2001.10.04 - 2009.03.28 ,2001.10.04 , 2009.03.28 ,(Retirement),1,2,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Goldstein, Yoine",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.29 - 2009.05.11 ,2005.08.29 , 2009.05.11 ,(Retirement),1,2,2,2,9,9,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Adams, Willie",Liberal Party of Canada,Nunavut,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),9,2,2,2,8,8,2,9,9,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Atkins, Norman K.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1986.06.30 - 2009.06.27 ,1986.06.30 , 2009.06.27 ,(Retirement),1,2,2,2,1,8,2,1,1,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Spivak, Mira",Independent,Manitoba,"Mulroney, Martin Brian",1986.11.17 - 2009.07.12 ,1986.11.17 , 2009.07.12 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Eyton, John Trevor",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2009.07.12 ,1990.09.23 , 2009.07.12 ,(Retirement),2,9,1,1,2,1,9,9,9,2,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02 ,1984.07.09 , 2009.08.02 ,(Retirement),1,2,2,2,8,1,2,1,9,1,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bacon, Lise",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - 2009.08.25 ,1994.09.15 , 2009.08.25 ,(Retirement),9,2,9,9,9,9,9,1,1,1,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Cook, Joan",Liberal Party of Canada,Newfoundland and Labrador,"Chrí©tien, Joseph Jacques Jean",1998.03.06 - 2009.10.06 ,1998.03.06 , 2009.10.06 ,(Retirement),1,2,2,2,8,2,2,1,1,1,9,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bryden, John G.",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1994.11.23 - 2009.10.31 ,1994.11.23 , 2009.10.31 ,(Resignation),1,2,2,2,9,9,9,1,9,1,9,9,1,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Prud'homme, Marcel",Independent,Quebec,"Mulroney, Martin Brian",1993.05.26 - 2009.11.30 ,1993.05.26 , 2009.11.30 ,(Retirement),9,9,1,1,8,8,1,2,1,9,2,9,1,1,9,9,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Milne, Lorna",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - 2009.12.13 ,1995.09.21 , 2009.12.13 ,(Retirement),1,2,2,2,9,9,2,1,1,1,9,1,9,2,1,1,1,2,2,1,1,2,2,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02 ,1984.01.13 , 2010.01.02 ,(Retirement),9,9,2,2,9,9,2,1,9,1,9,1,1,2,1,1,9,2,2,1,1,9,9,9,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Keon, Wilbert Joseph",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.27 - 2010.05.17 ,1990.09.27 , 2010.05.17 ,(Retirement),2,1,1,1,2,1,9,2,9,9,2,2,9,9,2,2,9,1,1,2,2,1,1,1,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott",1982.12.22 - 2010.06.01 ,1982.12.22 , 2010.06.01 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29 ,1981.07.02 , 2010.11.29 ,(Retirement),1,2,2,2,8,2,2,9,1,9,9,9,1,9,9,1,1,9,2,1,1,2,2,9,1,1,9,1,9,9,9,2,2,1,1,99,99,99,99,99,99,99,99,99,99,99,99
"Lapointe, Jean",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",2001.06.13 - 2010.12.06 ,2001.06.13 , 2010.12.06 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,2,1,2,2,2,1,1,9,9,1,8,9,9,2,1,9,9,99,99,99,99,99,99,99,99,99,99,99
"Lavigne, Raymond",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",2002.03.26 - 2011.03.21 ,2002.03.26 , 2011.03.21 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99
"Smith, Larry",Conservative Party of Canada,Quebec,"Harper, Stephen",2010.12.18 - 2011.03.25 ,2010.12.18 , 2011.03.25 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,99,99,99,99
"Manning, Fabian",Conservative Party of Canada,Newfoundland and Labrador,"Harper, Stephen",2009.01.02 - 2011.03.28 ,2009.01.02 , 2011.03.28 ,(Resignation),99,99,1,1,2,1,1,9,9,2,2,2,2,1,2,2,2,9,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,9,9,1,9,9
"Rompkey, Bill",Liberal Party of Canada,Newfoundland and Labrador,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - 2011.05.13 ,1995.09.21 , 2011.05.13 ,(Retirement),1,9,2,2,9,9,2,1,1,1,1,9,9,9,9,9,9,2,2,1,1,2,2,9,1,1,9,1,1,9,9,2,2,1,9,2,9,2,1,1,2,2,2,2,2,2,9
