Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S40S1V01,S40S1V02,S40S2V01,S40S2V02,S40S2V03,S40S2V04,S40S2V05,S40S2V06,S40S2V07,S40S2V08,S40S2V09,S40S2V10,S40S2V11,S40S2V12,S40S2V13,S40S2V14,S40S2V15,S40S2V16,S40S2V17,S40S2V18,S40S2V19,S40S2V20,S40S2V21,S40S2V22,S40S2V23,S40S2V24,S40S3V01,S40S3V02,S40S3V03,S40S3V04,S40S3V05,S40S3V06,S40S3V07,S40S3V08,S40S3V09,S40S3V10,S40S3V11,S40S3V12,S40S3V13,S40S3V14,S40S3V15,S40S3V16,S40S3V17,S40S3V18,S40S3V19,S40S3V20,S40S3V21
"Di Nino, Consiglio",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,2,1,1,1,2,1,9,2,1,2,2,2,9,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,9,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Oliver, Donald H.",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.09.07 - ,1990.09.07 , ,,2,1,1,1,2,1,9,2,1,2,2,2,9,1,9,9,9,1,1,2,2,1,1,1,2,2,9,2,2,1,2,1,1,2,2,9,2,1,2,2,1,1,9,9,1,1,2
"Kinsella, Noí‚l A.",Conservative Party of Canada,New Brunswick,"Mulroney, Martin Brian",1990.09.12 - ,1990.09.12 , ,,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,2,2,9,2,2,9,9,1,1,2,2,1,2,1,2,2,1,1,9,1,9,9,9
"Johnson, Janis G.",Conservative Party of Canada,Manitoba,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,2,1,1,1,2,1,1,2,9,2,2,2,2,1,2,2,2,9,9,2,2,9,9,9,2,2,9,2,2,1,2,1,1,2,2,9,2,1,2,2,1,1,1,1,9,9,9
"Meighen, Michael A.",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,9,1,1,1,2,1,9,2,9,2,2,2,2,1,2,2,2,1,9,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,9,2,9,2,2,1,1,1,1,9,9,9
"Andreychuk, Raynell",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,2,1,1,1,2,1,9,2,1,2,9,2,9,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,9,1,2,1,2,2,1,1,1,1,1,1,2
"Rivest, Jean-Claude",Independent,Quebec,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,8,1,8,8,8,2,2,2,9,2,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9
"Stratton, Terry",Conservative Party of Canada,Manitoba,"Mulroney, Martin Brian",1993.03.25 - ,1993.03.25 , ,,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,9,2,2,9,9,1,1,2,9,1,2,1,2,2,1,1,1,9,9,9,9
"Tkachuk, David",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.06.08 - ,1993.06.08 , ,,2,1,1,1,2,1,9,2,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,2
"Angus, W. David",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1993.06.10 - ,1993.06.10 , ,,2,1,1,1,9,9,9,2,9,9,9,9,9,1,2,2,2,1,1,2,2,9,9,9,9,9,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,9,9,9
"LeBreton, Marjory",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,9
"Nolin, Pierre Claude",Conservative Party of Canada,Quebec,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,2,1,1,1,2,1,1,2,1,2,2,9,9,1,2,2,2,1,1,2,9,1,1,1,2,2,9,2,2,1,2,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9
"St. Germain, Gerry",Conservative Party of Canada,British Columbia,"Mulroney, Martin Brian",1993.06.23 - ,1993.06.23 , ,,2,1,1,1,2,1,9,2,9,2,2,2,9,1,2,9,2,1,1,2,2,9,9,9,9,9,2,2,9,1,2,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9
"Carstairs, Sharon",Liberal Party of Canada,Manitoba,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - ,1994.09.15 , ,,9,2,2,9,8,1,9,9,9,9,1,1,1,9,9,9,1,2,2,1,1,2,2,9,1,1,1,1,1,2,1,9,9,9,9,2,1,2,1,1,2,2,9,9,9,9,9
"Hervieux-Payette, Cí©line",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1995.03.21 - ,1995.03.21 , ,,1,2,2,2,9,9,2,1,9,1,1,1,1,2,1,9,9,9,2,1,1,2,9,9,1,1,9,1,1,2,9,9,2,1,1,2,1,9,9,9,9,9,9,2,9,9,9
"Losier-Cool, Rose-Marie",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1995.03.21 - ,1995.03.21 , ,,1,2,9,2,9,9,9,1,9,9,1,1,1,2,9,9,1,2,2,1,1,2,2,9,1,1,9,1,1,2,1,9,2,1,1,2,9,2,9,9,9,2,2,2,2,9,9
"Poulin (Charette), Marie-P.",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - ,1995.09.21 , ,,9,2,9,9,9,9,9,9,1,9,9,1,1,2,1,9,1,2,2,1,1,2,2,9,1,1,9,1,1,9,9,9,2,1,1,2,1,2,1,1,2,2,2,9,2,2,1
"Moore, Wilfred P.",Liberal Party of Canada,Nova Scotia,"Chrí©tien, Joseph Jacques Jean",1996.09.26 - ,1996.09.26 , ,,1,2,2,2,9,9,2,1,1,1,1,1,1,2,1,1,1,2,9,1,1,2,2,2,1,1,1,1,9,2,1,2,2,1,1,2,1,2,9,9,9,2,2,2,2,9,9
"Pí©pin, Lucie",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1997.04.08 - ,1997.04.08 , ,,1,2,2,2,9,9,2,9,9,1,1,1,1,2,9,1,1,2,2,9,1,2,2,9,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1
"Callbeck, Catherine S.",Liberal Party of Canada,Prince Edward Island,"Chrí©tien, Joseph Jacques Jean",1997.09.22 - ,1997.09.22 , ,,1,2,9,9,9,9,2,1,1,1,1,1,1,2,9,1,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1
"Robichaud, Fernand",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1997.09.22 - ,1997.09.22 , ,,1,2,2,2,9,9,9,1,1,1,1,1,1,2,1,1,9,9,2,1,1,2,2,9,1,1,1,1,1,2,1,2,2,1,1,2,1,2,9,1,2,2,2,2,2,2,1
"Joyal, Serge",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1997.11.26 - ,1997.11.26 , ,,1,2,2,2,9,9,9,1,9,1,1,1,1,2,1,1,1,2,2,1,1,2,2,9,1,1,1,9,1,2,1,9,9,9,1,2,1,2,1,1,2,2,2,2,2,2,9
"Mahovlich, Frank W.",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1998.06.11 - ,1998.06.11 , ,,9,2,9,9,9,9,2,1,9,1,1,9,1,2,9,9,9,2,2,1,1,2,2,9,1,1,9,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,9,9,9,9,9
"Fraser, Joan",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1998.09.17 - ,1998.09.17 , ,,1,2,9,9,8,1,2,9,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,9,1,1,9,1,1,2,1,2,2,1,9,2,1,2,1,1,2,2,2,2,2,2,1
"Poy, Vivienne",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1998.09.17 - ,1998.09.17 , ,,9,2,2,9,9,9,2,1,9,9,9,1,9,9,1,9,1,9,2,1,1,9,9,9,1,1,1,9,1,2,1,9,2,1,9,2,1,2,1,1,2,2,9,9,9,9,9
"Furey, George",Liberal Party of Canada,Newfoundland and Labrador,"Chrí©tien, Joseph Jacques Jean",1999.08.11 - ,1999.08.11 , ,,1,2,2,2,9,9,9,1,9,1,1,1,1,2,9,9,1,9,2,1,1,2,2,9,1,1,1,1,1,9,9,2,2,1,1,2,1,2,1,1,2,2,2,9,9,9,9
"Sibbeston, Nick G.",Liberal Party of Canada,Northwest Territories,"Chrí©tien, Joseph Jacques Jean",1999.09.02 - ,1999.09.02 , ,,1,9,9,2,9,9,2,9,9,1,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,9,2,1,2,9,9,1,9,9,2,9,9,9,9,9,9,9,9,9
"Banks, Tommy",Liberal Party of Canada,Alberta,"Chrí©tien, Joseph Jacques Jean",2000.04.07 - ,2000.04.07 , ,,1,2,2,2,9,9,2,1,1,1,1,9,9,2,1,1,9,2,9,1,1,2,2,9,1,1,1,1,1,9,9,2,9,9,1,2,9,2,1,1,2,2,2,2,2,2,1
