Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S33S1V01,S33S1V02,S33S1V03,S33S1V04,S33S1V05,S33S2V01,S33S2V02,S33S2V03,S33S2V04,S33S2V05,S33S2V06,S33S2V07,S33S2V08,S33S2V09,S33S2V10,S33S2V11,S33S2V12,S33S2V13,S33S2V14,S33S2V15,S33S2V16,S33S2V17,S33S2V18,S33S2V19,S33S2V20,S33S2V21,S33S2V22,S33S2V23,S33S2V24,S33S2V25,S33S2V26,S33S2V27
Date,,,,,,,,12.11.1984,02.20.1985,02.21.1985,03.26.1986,05.28.1986,02.10.1987,02.11.1987,05.12.1987,06.11.1987,06.17.1987,08.13.1987,08.13.1987,09.03.1987,09.03.1987,09.15.1987,10.14.1987,10.16.1987,11.05.1987,11.19.1987,12.17.1987,04.21.1988,04.21.1988,05.03.1988,05.24.1988,05.25.1988,05.25.1988,05.25.1988,06.07.1988,06.07.1988,06.14.1988,09.15.1988,09.29.1988
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the debate be adjourned,Motion that the Ruling of the Speaker be sustained,Motion that the Standing Senate Committee on National Finance be instructed to report Bill C-11 later this day,Motion that the Senate constitute itself immediately in Committee of the Orders and Customs of the Senate and Privileges of Parliament to examine the actions taken by Hon. Sen. Hí©bert,"Motion that the Eight Report of the Standing Senat Committee on Social Affairs, Science and Technology by referred back ewith amendments",Question whether the Speaker's Ruling should be sustained,Motion that the Senate do resolve itself in the Committee of the Whole to consider the order of reference respecting the agreement on Fisheries and Boundaries between Canada-France,"Motion that the Fourteenth Report of the Standing Senat Committee on Internal Economy, Budgets, and Administration be not now adopted, but be amended",Motion that the Meech Lake Constitutional Accord and texts subsequently agreed to be referred to a Committee of the Whole for the purpose of hearing witnesses and making a report,Motion to provide for a Special Joint Committee to consider and report on the 1987 Constitutional Accord,"Motion that the Bill C-22 (An Act to amend the Patent Act and to provide for certain matters in relation thereto) be not now read third time, but be amended",Motion that the Bill C-22 (An Act to amend the Patent Act and to provide for certain matters in relation thereto) as amended be now read third time,"Motion that Bill C-22 (An Act to amend the Patent Act and to provide fro certain matters in relation thereto) and related Message be sent to Standing Senate Committee on Banking, Trade and Commerce for further consideration and report","Motion that Bill C-22 (An Act to amend the Patent Act and to provide fro certain matters in relation thereto) and related Message dated from August 31st be referred to the Standing Senate Committee on Banking, Trade and Commerce for consideration and report","Motion that the Standing Senat Committee on Banking, Trade and Commerce be instructed to report on Bill C-22 (An Act to amend the Patent Act, etc.) no later than September 23rd",Motion that pool television cameras be permitted in th Senate Chamber for purpose of recording the proceedings of a Committee of the Whole with respect to its hearings on the Meech Lake Constitutional Accord,"Motion that the Bill C-86 (An Act to provide for the resumption and continuation of postal service), be read a second time",Motion to adjourn the Senate,"Motion that the Senate concur in the amendments made by the Commons, and that it do not insist on its own amendments",Motion to amend the motion that a special committee of the Senate be established to examine Canada's health care system and report upon related matters,Motion that the 1867 Constitution be amended,Motion that the 1867 Constitution as amended be amended to provide for a message to the Commons,"Motion that the Twenty-Third Report of the Standing Senate Committee on Banking, Trade and Commerce be adopted","Motion that the motion not to insist on amendments to the Bill C-60 (An Act to amend the Copyright Act and to amend other Acts in consquence thereof) on which the Commons ahs disagreed and to send a Message to the Commons consequently, be referred to the Standing Senate Committee on Banking, Trade and Commerce",Motion that the debate be adjourned,Motion to amend the proposed amendments of the 1867 Constitution,Motion to amend the 1867 Constitution,Whether the Speaker's Ruling should be sustained,Motion that the Standing Senate Committee on National Finance be instructed to divide Bill C-103 into two Bills,Motion that the Standing Senate Committee be authorized to examine the subject-matter of Bill C-129 (An Act to provide for the continuance of Air Canada),Motion that the Bill C-130 (An Act to implement the Free Trade Agreement between Canada and the United States of America) be now read a second time,Motion that the Bill S-15 (An Act to amend the Patent Act) be now read a third time
"Poitras, Jean-Marie",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 1993.05.25 ,1988.09.26 , 1993.05.25 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),1,9,9,9,1,9,9,1,9,2,1,9,9,9,1,2,9,9,1,9,9,9,9,2,9,9,9,1,2,1,9,9
"Everett, Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20 ,1966.11.08 , 1994.01.20 ,(Resignation),1,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,1
"Chaput-Rolland, Solange",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 1994.05.14 ,1988.09.26 , 1994.05.14 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9
"Lang, Daniel Aiken",Independent,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),9,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,2,9,1,1,9,9,9,9,9,9,9,1,9,1
"Frith, Royce Herbert",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1994.08.29 ,1977.04.05 , 1994.08.29 ,(Resignation),2,9,9,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,8,1,1,1,8,1,2,2,1,2,1,2,2,1
"Macquarrie, Heath Nelson",Progressive Conservative Party,Prince Edward Island,"Clark, Charles Joseph",1979.10.03 - 1994.09.18 ,1979.10.03 , 1994.09.18 ,(Retirement),1,2,1,9,2,1,2,1,2,1,1,8,1,2,9,2,1,8,1,2,2,2,2,2,1,1,2,9,2,1,9,9
"Muir, Robert",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1979.03.26 - 1994.11.10 ,1979.03.26 , 1994.11.10 ,(Retirement),9,9,9,1,9,1,2,1,9,1,1,8,1,2,1,9,9,2,9,9,2,2,2,9,9,9,9,9,9,9,9,9
"LeBlanc, Romí©o",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1984.06.29 - 1994.11.21 ,1984.06.29 , 1994.11.21 ,(Resignation),2,1,2,2,9,2,1,2,1,9,2,1,9,9,9,9,2,1,8,1,1,1,1,1,9,9,9,2,1,9,2,1
"Marshall, Jack",Progressive Conservative Party,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1994.11.26 ,1978.03.23 , 1994.11.26 ,(Retirement),1,2,1,1,1,9,9,1,2,9,1,8,1,2,9,2,1,2,1,9,2,2,9,9,9,9,9,1,2,1,1,9
"David, Paul",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1985.04.16 - 1994.12.25 ,1985.04.16 , 1994.12.25 ,(Retirement),99,99,99,9,9,1,2,1,9,1,1,8,1,2,9,2,9,2,1,2,2,2,2,2,1,1,2,1,2,9,1,2
"Neiman, Joan Bissett",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1995.09.09 ,1972.09.01 , 1995.09.09 ,(Retirement),2,1,2,9,9,2,1,9,1,9,2,1,2,1,9,9,9,1,8,1,1,1,9,1,2,2,1,9,9,2,9,9
"Thí©riault, L. Norbert",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1979.03.26 - 1996.02.16 ,1979.03.26 , 1996.02.16 ,(Retirement),1,1,2,2,2,9,9,2,9,1,2,1,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,2,1,9,9,1
"Olson, Horace Andrew (Bud)",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1977.04.05 - 1996.03.07 ,1977.04.05 , 1996.03.07 ,(Resignation),2,9,9,2,1,2,1,2,9,2,2,9,9,9,9,1,1,1,9,1,1,1,1,1,2,2,1,2,9,9,9,1
"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05 ,1966.02.24 , 1996.05.05 ,(Death),2,9,9,2,9,2,1,2,1,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,2,9
"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01 ,1966.02.24 , 1996.07.01 ,(Resignation),2,1,2,2,9,2,9,2,1,2,9,9,9,9,9,9,9,1,8,9,1,1,9,1,2,2,1,9,9,2,9,9
"MacEachen, Allan Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.06.29 - 1996.07.06 ,1984.06.29 , 1996.07.06 ,(Retirement),2,1,2,2,2,2,1,9,1,1,2,1,2,1,2,1,9,1,8,1,1,1,1,1,9,9,9,2,1,2,9,1
"Riel, Maurice",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1973.10.05 - 1997.04.03 ,1973.10.05 , 1997.04.03 ,(Retirement),2,9,9,9,9,2,1,2,9,1,9,9,2,1,9,9,9,9,8,9,1,1,9,9,9,9,9,9,9,2,2,9
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),9,9,9,9,1,1,2,9,2,1,1,8,1,2,1,2,9,2,9,2,2,2,2,2,9,9,9,9,9,9,1,2
"Charbonneau, Guy",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1997.06.21 ,1979.09.27 , 1997.06.21 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Rizzuto, Pietro",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.23 - 1997.08.03 ,1976.12.23 , 1997.08.03 ,(Death),9,9,9,9,2,9,9,2,9,1,9,9,9,9,2,9,9,9,8,9,1,1,9,9,2,2,1,9,9,9,9,9
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04 ,1971.11.04 , 1998.01.04 ,(Retirement),9,9,9,9,2,9,9,2,9,1,2,1,9,9,9,9,9,1,8,1,9,9,9,1,9,9,9,2,1,2,2,9
"MacDonald, Finlay",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1984.12.21 - 1998.01.04 ,1984.12.21 , 1998.01.04 ,(Retirement),99,2,1,1,1,1,2,1,2,1,1,8,1,2,1,1,1,2,1,2,2,2,2,9,9,9,9,1,2,1,1,2
"Ottenheimer, Gerald R.",Progressive Conservative Party,Newfoundland and Labrador,"Mulroney, Martin Brian",1987.12.30 - 1998.01.18 ,1987.12.30 , 1998.01.18 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,9,9,9,9,9,1,2,1,9,2
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),2,9,9,2,1,9,9,2,1,1,2,1,2,1,2,1,9,1,8,1,1,1,1,9,9,9,9,2,9,9,9,9
"Marchand, Len",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1984.06.29 - 1998.03.01 ,1984.06.29 , 1998.03.01 ,(Resignation),9,9,9,2,2,2,1,2,9,1,2,1,2,1,9,9,9,1,9,1,1,1,1,1,9,9,9,2,1,2,9,1
"Haidasz, Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1998.03.04 ,1978.03.23 , 1998.03.04 ,(Retirement),2,1,2,2,2,9,9,9,9,9,2,1,2,1,2,1,9,9,2,1,1,1,1,9,2,2,1,2,1,2,2,1
"Doyle, Richard J.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1985.03.19 - 1998.03.10 ,1985.03.19 , 1998.03.10 ,(Retirement),99,99,99,1,2,1,2,1,2,1,1,8,1,2,1,2,1,9,1,2,2,2,2,2,1,1,2,1,2,1,1,2
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),2,9,9,2,9,9,9,2,1,9,9,9,9,9,2,1,9,9,9,1,1,1,9,1,2,2,1,2,9,9,9,1
"Hí©bert, Jacques",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.04.20 - 1998.06.21 ,1983.04.20 , 1998.06.21 ,(Retirement),2,9,9,2,2,2,1,9,9,1,2,1,2,1,2,1,9,9,8,1,1,1,9,1,2,2,1,2,1,9,9,9
"GigantíÂs, Philippe D.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.13 - 1998.08.16 ,1984.01.13 , 1998.08.16 ,(Retirement),2,1,2,2,2,9,1,2,1,9,9,9,9,9,2,9,9,1,8,9,1,1,9,1,2,2,1,2,1,2,9,1
"Bosa, Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10 ,1977.04.05 , 1998.12.10 ,(Death),9,1,2,2,9,2,1,2,1,1,2,1,9,9,2,1,9,1,8,1,1,1,1,1,9,9,9,2,1,2,9,9
"Wood, Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.26 - 1999.01.31 ,1979.03.26 , 1999.01.31 ,(Resignation),9,1,2,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),1,2,1,1,1,1,9,1,2,1,1,8,1,2,1,9,9,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2
"Lucier, Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23 ,1975.10.23 , 1999.07.23 ,(Death),9,9,9,9,9,2,1,2,9,9,2,1,2,1,9,1,2,9,9,9,1,1,9,1,9,9,9,9,1,2,9,9
"Stewart, John B.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 1999.11.19 ,1984.01.13 , 1999.11.19 ,(Retirement),2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,1,9,1,8,1,1,1,1,9,9,9,9,2,1,2,2,1
"Lewis, Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28 ,1978.03.23 , 1999.11.28 ,(Retirement),2,9,9,9,1,2,9,2,1,1,2,1,9,9,9,1,9,1,9,9,1,1,9,9,9,9,9,9,9,9,2,9
"Balfour, James",Progressive Conservative Party,Saskatchewan,"Clark, Charles Joseph",1979.09.13 - 1999.12.12 ,1979.09.13 , 1999.12.12 ,(Death),9,9,9,9,9,1,2,1,2,1,1,8,1,2,1,9,1,2,1,2,2,2,9,2,1,1,2,1,9,1,1,2
"Kelly, William M.",Progressive Conservative Party,Ontario,"Trudeau, Pierre Elliott",1982.12.23 - 2000.07.21 ,1982.12.23 , 2000.07.21 ,(Retirement),9,2,9,9,9,9,9,1,2,9,9,9,9,9,1,2,9,9,1,9,2,2,2,9,9,9,9,1,2,9,9,9
"Cogger, Michel",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1986.05.02 - 2000.09.01 ,1986.05.02 , 2000.09.01 ,(Resignation),99,99,99,99,9,1,2,1,9,1,1,8,1,2,1,9,9,2,1,2,2,2,2,9,9,9,9,1,2,1,9,9
"Robichaud, Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 2000.10.21 ,1973.12.21 , 2000.10.21 ,(Retirement),2,9,9,9,9,9,9,9,1,1,2,1,2,1,2,9,1,1,9,1,1,1,9,9,2,2,1,9,9,9,2,9
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),9,9,9,9,9,9,9,9,9,1,2,1,2,1,9,9,9,1,8,1,9,9,9,9,9,9,9,9,9,9,9,1
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),9,9,9,2,9,9,9,9,1,9,2,1,2,1,2,1,8,1,8,1,1,1,9,9,9,9,9,9,1,9,2,1
"Simard, Jean-Maurice",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1985.06.26 - 2001.06.16 ,1985.06.26 , 2001.06.16 ,(Death),99,99,99,1,9,1,2,1,2,1,1,8,9,9,1,9,1,9,1,2,2,2,2,9,9,9,9,9,9,9,1,9
"Bolduc, Roch",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2003.09.10 ,1988.09.26 , 2003.09.10 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9
"Kolber, Ernest Leo",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.12.23 - 2004.01.18 ,1983.12.23 , 2004.01.18 ,(Retirement),9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9
"Beaudoin, Gí©rald A.",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2004.04.15 ,1988.09.26 , 2004.04.15 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),2,9,2,2,9,2,1,9,1,1,2,9,2,1,9,1,9,1,9,9,1,1,9,9,9,9,9,2,1,9,9,1
"Robertson, Brenda",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1984.12.21 - 2004.05.23 ,1984.12.21 , 2004.05.23 ,(Retirement),99,2,9,9,1,1,2,1,2,1,9,9,9,9,1,9,1,2,9,2,9,9,2,2,1,1,2,1,9,9,1,2
"Rossiter, Eileen",Progressive Conservative Party,Prince Edward Island,"Mulroney, Martin Brian",1986.11.17 - 2004.07.14 ,1986.11.17 , 2004.07.14 ,(Retirement),99,99,99,99,99,1,2,1,2,1,1,8,1,2,1,2,1,2,1,2,2,2,2,9,9,9,9,1,2,1,9,9
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9,9,9,9,9,9,1,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9
"Doody, C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph",1979.10.03 - 2005.12.27 ,1979.10.03 , 2005.12.27 ,(Death),1,9,9,1,1,1,2,9,9,1,1,8,9,9,1,2,1,2,1,2,9,9,9,2,1,1,2,1,2,1,1,2
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 2006.10.31 ,1984.01.13 , 2006.10.31 ,(Resignation),9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,2,1,9,9,9
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,1,1,1,9,9,9,9,2,1,9,2,9
"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2007.06.30 ,1984.06.29 , 2007.06.30 ,(Resignation),2,9,9,9,9,9,9,2,9,9,9,9,2,1,9,9,9,1,9,1,1,1,1,9,9,9,9,2,1,2,9,1
"Adams, Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),9,1,2,2,9,2,1,2,1,2,2,1,2,1,2,9,9,1,8,1,1,1,1,9,9,9,9,2,9,9,2,9
"Atkins, Norman K.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1986.06.30 - 2009.06.27 ,1986.06.30 , 2009.06.27 ,(Retirement),99,99,99,99,99,1,2,1,9,1,1,8,1,2,9,9,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,9
"Spivak, Mira",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1986.11.17 - 2009.07.12 ,1986.11.17 , 2009.07.12 ,(Retirement),99,99,99,99,99,1,2,1,9,1,9,9,1,2,9,1,9,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02 ,1984.07.09 , 2009.08.02 ,(Retirement),2,1,2,2,2,9,9,2,1,1,2,1,2,1,2,2,2,1,8,1,1,1,1,9,9,9,9,2,1,9,2,1
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02 ,1984.01.13 , 2010.01.02 ,(Retirement),9,9,9,9,9,2,1,9,9,9,2,1,2,1,9,9,9,9,9,9,1,1,9,9,9,9,9,2,1,2,9,9
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott",1982.12.22 - 2010.06.01 ,1982.12.22 , 2010.06.01 ,(Resignation),9,9,9,2,9,9,9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,2,2,1,9,1,9,2,9
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29 ,1981.07.02 , 2010.11.29 ,(Retirement),2,1,2,9,9,2,1,2,1,9,9,9,9,9,2,1,9,9,8,9,1,1,1,9,9,9,9,2,1,2,9,9
