Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S15S1V01,S15S1V02
Date,,,,,,,,06.08.1926,06.15.1926
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act respecting Old Age Pensions) be read a second time,Motion that the Bill (An Act to amend The Immigration Act) be read a second time
"Lougheed, James Alexander",Liberal-Conservative,Alberta,"Macdonald, John Alexander",1889.12.10 - 1925.11.02 ,1889.12.10 , 1925.11.02 ,(Death),99,99
"Mitchell, William",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1904.03.05 - 1926.05.10 ,1904.03.05 , 1926.05.10 ,(Death),99,99
"Thibaudeau, Alfred",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1896.08.22 - 1926.08.15 ,1896.08.22 , 1926.08.15 ,(Death),9,9
"David, Laurent-Olivier",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.19 - 1926.08.24 ,1903.06.19 , 1926.08.24 ,(Death),9,9
"Blain, Richard",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1926.11.27 ,1917.07.26 , 1926.11.27 ,(Death),9,9
"McHugh, George",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1901.01.21 - 1926.11.28 ,1901.01.21 , 1926.11.28 ,(Death),9,9
"Pardee, Frederick Forsyth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.03.11 - 1927.02.04 ,1922.03.11 , 1927.02.04 ,(Death),1,2
"Montplaisir, Hippolyte",Liberal-Conservative,Quebec,"Macdonald, John Alexander",1891.02.09 - 1927.06.20 ,1891.02.09 , 1927.06.20 ,(Death),9,9
"Mulholland, Robert Alexander",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1918.03.12 - 1927.10.01 ,1918.03.12 , 1927.10.01 ,(Death),2,2
"McCoig, Archibald Blake",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.01.04 - 1927.11.21 ,1922.01.04 , 1927.11.21 ,(Death),1,9
"Boyer, Gustave Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1922.03.11 - 1927.12.02 ,1922.03.11 , 1927.12.02 ,(Death),9,9
"Cloran, Henry Joseph",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.06.30 - 1928.02.08 ,1903.06.30 , 1928.02.08 ,(Death),9,9
"King, George Gerald",Liberal Party of Canada,New Brunswick,"Laurier, Wilfrid",1896.12.18 - 1928.04.28 ,1896.12.18 , 1928.04.28 ,(Death),9,9
"Webster, John",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1918.03.12 - 1928.12.01 ,1918.03.12 , 1928.12.01 ,(Death),2,2
"Ross, William Benjamin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1929.01.10 ,1912.11.20 , 1929.01.10 ,(Death),2,2
"Watson, Robert",Liberal Party of Canada,Manitoba,"Laurier, Wilfrid",1900.01.29 - 1929.05.19 ,1900.01.29 , 1929.05.19 ,(Death),1,1
"Kemp, Albert Edward",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.04 - 1929.08.12 ,1921.11.04 , 1929.08.12 ,(Death),2,9
"Reid, John Dowsley",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1929.08.26 ,1921.09.22 , 1929.08.26 ,(Death),2,2
"Lavergne, Louis",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1910.10.13 - 1930.01.01 ,1910.10.13 , 1930.01.01 ,(Resignation),1,1
"Prowse, Benjamin Charles",Liberal Party of Canada,Prince Edward Island,"Laurier, Wilfrid",1911.05.05 - 1930.02.22 ,1911.05.05 , 1930.02.22 ,(Death),9,9
"Dessaulles, Georges-Casimir",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1907.03.12 - 1930.04.19 ,1907.03.12 , 1930.04.19 ,(Death),9,9
"Bostock, Hewitt",Liberal Party of Canada,British Columbia,"Laurier, Wilfrid",1904.06.06 - 1930.04.28 ,1904.06.06 , 1930.04.28 ,(Death),9,9
"Turriff, John Gillanders",Liberal Party of Canada,Saskatchewan,"Borden, Robert Laird",1918.09.23 - 1930.11.10 ,1918.09.23 , 1930.11.10 ,(Death),2,2
"Lessard, Prosper-Edmond",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1931.04.11 ,1925.09.05 , 1931.04.11 ,(Death),1,9
"Foster, George Green",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.27 - 1931.05.01 ,1917.07.27 , 1931.05.01 ,(Death),2,9
"Farrell, Edward Matthew",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1910.01.12 - 1931.08.06 ,1910.01.12 , 1931.08.06 ,(Death),1,1
"Crowe, Sanford Johnston",Unionist (Liberal),British Columbia,"Meighen, Arthur",1921.12.01 - 1931.08.23 ,1921.12.01 , 1931.08.23 ,(Death),2,2
"Curry, Nathaniel",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1931.10.23 ,1912.11.20 , 1931.10.23 ,(Death),9,9
"Foster, George Eulas",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1931.12.30 ,1921.09.22 , 1931.12.30 ,(Death),2,2
"Legris, Joseph Hormisdas",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.02.10 - 1932.03.06 ,1903.02.10 , 1932.03.06 ,(Death),9,9
"McDougald, Wilfrid Laurier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.06.25 - 1932.05.03 ,1926.06.25 , 1932.05.03 ,(Resignation),99,99
"Girroir, Edward Lavin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1932.05.08 ,1912.11.20 , 1932.05.08 ,(Death),2,9
"Willoughby, Wellington Bartley",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.10.23 - 1932.08.01 ,1917.10.23 , 1932.08.01 ,(Death),2,9
"Belcourt, Napolí©on Antoine",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.11.22 - 1932.08.07 ,1907.11.22 , 1932.08.07 ,(Death),1,1
"Haydon, Andrew",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1924.03.10 - 1932.11.10 ,1924.03.10 , 1932.11.10 ,(Death),1,1
"Ross, James Hamilton",Liberal Party of Canada,Saskatchewan,"Laurier, Wilfrid",1904.09.30 - 1932.12.14 ,1904.09.30 , 1932.12.14 ,(Death),1,1
"Todd, Irving Randall",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1918.03.07 - 1932.12.27 ,1918.03.07 , 1932.12.27 ,(Death),2,2
"Daniel, John Waterhouse",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1912.03.18 - 1933.01.11 ,1912.03.18 , 1933.01.11 ,(Death),2,2
"Bureau, Jacques",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1933.01.23 ,1925.09.05 , 1933.01.23 ,(Death),1,9
"Robertson, Gideon Decker",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1933.08.05 ,1917.01.20 , 1933.08.05 ,(Death),1,2
"Bí©ique, Frí©dí©ric Liguori",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1902.02.07 - 1933.09.12 ,1902.02.07 , 1933.09.12 ,(Death),9,2
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),9,9
"Fisher, John Henry",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1933.12.01 ,1917.07.26 , 1933.12.01 ,(Death),2,2
"Tessier, Jules",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.03.12 - 1934.01.06 ,1903.03.12 , 1934.01.06 ,(Death),9,1
"Stanfield, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.02.17 - 1934.01.22 ,1921.02.17 , 1934.01.22 ,(Death),2,2
"Rankin, James Palmer",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.09 - 1934.06.15 ,1925.09.09 , 1934.06.15 ,(Death),1,1
"Bí©land, Henri Sí©ví©rin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1935.04.22 ,1925.09.05 , 1935.04.22 ,(Death),1,1
"Martin, Peter Francis",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.12.05 - 1935.05.02 ,1921.12.05 , 1935.05.02 ,(Death),2,2
"Lewis, John",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.05.18 ,1925.09.05 , 1935.05.18 ,(Death),1,1
"Schaffner, Frederick Laurence",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.10.23 - 1935.05.22 ,1917.10.23 , 1935.05.22 ,(Death),2,2
"Murphy, Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.05 - 1935.11.24 ,1925.09.05 , 1935.11.24 ,(Death),9,1
"Planta, Albert",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.06.26 - 1935.12.11 ,1917.06.26 , 1935.12.11 ,(Resignation),2,2
"McLean, John",Conservative (1867-1942),Prince Edward Island,"Borden, Robert Laird",1915.12.03 - 1936.02.20 ,1915.12.03 , 1936.02.20 ,(Death),2,2
"McCormick, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.09.21 - 1936.02.21 ,1921.09.21 , 1936.02.21 ,(Death),2,2
"White, Richard Smeaton",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.30 - 1936.12.17 ,1917.07.30 , 1936.12.17 ,(Death),2,9
"Bí©nard, Aimí©",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.09.03 - 1938.01.08 ,1917.09.03 , 1938.01.08 ,(Death),2,2
"Wilson, Joseph-Marcellin",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1911.05.03 - 1939.01.01 ,1911.05.03 , 1939.01.01 ,(Resignation),9,9
"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.01.29 - 1939.01.06 ,1900.01.29 , 1939.01.06 ,(Death),9,9
"McLennan, John Stewart",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1916.02.10 - 1939.09.15 ,1916.02.10 , 1939.09.15 ,(Death),2,9
"Macdonell, Archibald Hayes",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.07 - 1939.11.12 ,1921.11.07 , 1939.11.12 ,(Death),2,2
"Gillis, Archibald Beaton",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.10.17 - 1940.01.18 ,1921.10.17 , 1940.01.18 ,(Death),2,2
"Lynch-Staunton, George",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1940.03.19 ,1917.01.20 , 1940.03.19 ,(Death),2,2
"Laird, Henry Willoughby",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.01.31 - 1940.09.30 ,1917.01.31 , 1940.09.30 ,(Death),9,9
"Hughes, James Joseph",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1925.09.05 - 1941.03.05 ,1925.09.05 , 1941.03.05 ,(Death),2,1
"Taylor, James Davis",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1941.05.11 ,1917.10.23 , 1941.05.11 ,(Death),2,2
