Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S39S1V01,S39S1V02,S39S1V03,S39S1V04,S39S1V05,S39S1V06,S39S1V07,S39S1V08,S39S1V09,S39S1V10,S39S1V11,S39S1V12,S39S1V13,S39S1V14,S39S1V15,S39S1V16,S39S1V17,S39S1V18,S39S1V19,S39S1V20,S39S1V21,S39S1V22,S39S1V23,S39S1V24,S39S1V25,S39S1V26,S39S1V27,S39S1V28,S39S1V29,S39S1V30,S39S1V31,S39S1V32,S39S1V33,S39S1V34,S39S2V01,S39S2V02,S39S2V03,S39S2V04,S39S2V05,S39S2V06,S39S2V07,S39S2V08,S39S2V09,S39S2V10,S39S2V11,S39S2V12,S39S2V13,S39S2V14
"Ferretti Barth, Marisa",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1997.09.22 - 2006.04.28 ,1997.09.22 , 2006.04.28 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Forrestall, J. Michael",Conservative Party of Canada,Nova Scotia,"Mulroney, Martin Brian",1990.09.27 - 2006.06.08 ,1990.09.27 , 2006.06.08 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Plamondon, Madeleine",Independent,Quebec,"Chrí©tien, Joseph Jacques Jean",2003.09.09 - 2006.09.21 ,2003.09.09 , 2006.09.21 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 2006.10.31 ,1984.01.13 , 2006.10.31 ,(Resignation),9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Christensen, Ione",Liberal Party of Canada,Yukon,"Chrí©tien, Joseph Jacques Jean",1999.09.02 - 2006.12.31 ,1999.09.02 , 2006.12.31 ,(Resignation),9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),9,2,2,1,2,2,2,9,1,1,1,1,1,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2007.06.30 ,1984.06.29 , 2007.06.30 ,(Resignation),9,2,2,2,2,2,2,8,1,1,1,1,1,9,2,2,8,1,1,1,1,9,9,9,2,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Carney, Pat",Conservative Party of Canada,British Columbia,"Mulroney, Martin Brian",1990.08.30 - 2008.01.31 ,1990.08.30 , 2008.01.31 ,(Resignation),9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,99,99,99,99,99,99
"Fitzpatrick, D. Ross",Liberal Party of Canada,British Columbia,"Chrí©tien, Joseph Jacques Jean",1998.03.06 - 2008.02.04 ,1998.03.06 , 2008.02.04 ,(Retirement),9,9,9,9,9,9,9,9,1,1,9,9,1,9,9,9,9,9,9,9,9,1,9,9,2,9,2,2,2,2,2,1,2,1,1,1,9,9,9,9,9,9,99,99,99,99,99,99
"Gill, Aurí©lien",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1998.09.17 - 2008.08.26 ,1998.09.17 , 2008.08.26 ,(Retirement),2,9,9,9,9,9,9,9,1,9,1,1,1,9,2,2,8,9,9,9,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9
"Fortier, Michael",Conservative Party of Canada,Quebec,"Harper, Stephen",2006.02.27 - 2008.09.07 ,2006.02.27 , 2008.09.07 ,(Resignation),9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,2,2,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Trenholme Counsell, Marilyn",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",2003.09.09 - 2008.10.22 ,2003.09.09 , 2008.10.22 ,(Retirement),2,9,9,9,9,9,9,9,1,1,1,1,1,9,2,2,8,1,1,1,1,9,9,2,2,9,2,2,1,1,1,2,2,1,9,1,1,1,2,2,2,8,8,1,9,2,1,1
"Gustafson, Leonard J.",Conservative Party of Canada,Saskatchewan,"Mulroney, Martin Brian",1993.05.26 - 2008.11.10 ,1993.05.26 , 2008.11.10 ,(Retirement),9,2,2,2,2,9,1,1,9,9,2,2,2,9,1,1,1,2,9,9,9,2,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,9,1,1,1,1,1,2,2,1,2,9
"Biron, Michel",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",2001.10.04 - 2009.03.16 ,2001.10.04 , 2009.03.16 ,(Retirement),2,9,9,9,9,9,9,9,1,1,1,9,1,1,9,9,9,1,2,1,1,1,9,9,9,2,2,2,8,1,1,2,2,1,1,9,9,9,9,9,9,9,9,9,9,2,9,9
"Phalen, Gerard A.",Liberal Party of Canada,Nova Scotia,"Chrí©tien, Joseph Jacques Jean",2001.10.04 - 2009.03.28 ,2001.10.04 , 2009.03.28 ,(Retirement),9,2,2,2,2,2,9,8,1,1,1,1,1,1,9,9,9,9,9,9,1,9,2,2,2,2,2,2,1,1,1,2,2,1,1,1,9,9,2,2,2,2,8,9,1,2,1,1
"Goldstein, Yoine",Liberal Party of Canada,Quebec,"Martin, Paul Edgar Philippe",2005.08.29 - 2009.05.11 ,2005.08.29 , 2009.05.11 ,(Retirement),9,2,2,8,2,2,2,9,1,1,9,1,1,1,2,2,8,9,1,9,1,1,9,2,2,2,2,2,9,9,9,9,9,9,1,1,1,1,2,2,2,8,9,9,9,2,1,9
"Adams, Willie",Liberal Party of Canada,Nunavut,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),9,9,9,9,9,9,9,8,9,9,9,9,9,9,2,2,8,1,8,8,1,1,9,9,2,9,2,2,2,2,2,1,2,1,1,9,1,9,9,9,9,1,8,9,1,9,9,9
"Atkins, Norman K.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1986.06.30 - 2009.06.27 ,1986.06.30 , 2009.06.27 ,(Retirement),9,1,1,1,1,1,2,8,9,9,1,1,1,9,9,9,9,2,2,9,1,1,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Spivak, Mira",Independent,Manitoba,"Mulroney, Martin Brian",1986.11.17 - 2009.07.12 ,1986.11.17 , 2009.07.12 ,(Retirement),9,9,9,9,9,9,9,9,9,9,1,9,1,9,9,9,1,9,2,9,9,9,9,9,9,2,2,2,8,8,8,1,2,1,9,9,9,9,9,9,9,1,2,2,9,2,1,9
"Eyton, John Trevor",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2009.07.12 ,1990.09.23 , 2009.07.12 ,(Retirement),9,2,2,2,2,2,9,9,2,9,9,9,2,9,1,1,9,9,9,9,2,2,9,1,1,9,9,1,2,2,2,1,1,2,2,2,9,9,9,1,1,1,9,9,9,1,2,9
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02 ,1984.07.09 , 2009.08.02 ,(Retirement),9,2,2,2,2,2,2,8,1,1,1,1,1,1,9,9,9,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,9,9,9,8,8,1,1,2,1,1
"Bacon, Lise",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - 2009.08.25 ,1994.09.15 , 2009.08.25 ,(Retirement),9,2,2,2,2,2,9,9,1,9,1,9,1,1,2,2,8,1,9,9,1,1,2,2,9,9,9,9,9,9,9,9,9,9,1,1,1,9,2,2,2,9,8,1,1,2,1,1
"Cook, Joan",Liberal Party of Canada,Newfoundland and Labrador,"Chrí©tien, Joseph Jacques Jean",1998.03.06 - 2009.10.06 ,1998.03.06 , 2009.10.06 ,(Retirement),2,2,2,2,2,2,2,8,1,9,1,1,1,1,2,2,8,1,1,1,9,1,2,9,2,9,9,9,1,1,1,2,2,1,1,1,1,9,2,2,2,2,8,9,1,2,1,9
"Bryden, John G.",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean",1994.11.23 - 2009.10.31 ,1994.11.23 , 2009.10.31 ,(Resignation),2,2,2,2,2,2,9,9,1,9,1,9,1,1,2,9,9,9,1,9,1,1,2,2,2,9,2,2,1,1,1,2,2,1,9,9,1,9,9,9,9,9,8,1,9,2,1,9
"Prud'homme, Marcel",Independent,Quebec,"Mulroney, Martin Brian",1993.05.26 - 2009.11.30 ,1993.05.26 , 2009.11.30 ,(Retirement),2,2,2,2,2,2,9,9,8,9,9,9,8,9,1,8,8,2,1,8,9,1,8,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2,8,2,9
"Milne, Lorna",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - 2009.12.13 ,1995.09.21 , 2009.12.13 ,(Retirement),2,2,2,2,2,2,2,9,1,1,1,1,1,1,2,2,9,1,1,1,9,1,2,9,9,2,2,2,2,2,2,1,2,1,1,1,1,8,2,2,2,8,2,1,9,2,1,2
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02 ,1984.01.13 , 2010.01.02 ,(Retirement),9,9,9,9,9,9,9,9,1,1,9,9,1,1,2,2,8,1,9,9,9,1,9,2,2,2,9,2,9,9,9,9,9,9,1,1,9,9,2,2,2,9,8,1,9,9,9,9
"Keon, Wilbert Joseph",Conservative Party of Canada,Ontario,"Mulroney, Martin Brian",1990.09.27 - 2010.05.17 ,1990.09.27 , 2010.05.17 ,(Retirement),2,2,2,2,2,2,1,1,2,2,2,2,9,2,1,1,1,2,1,2,2,2,1,9,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,2
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott",1982.12.22 - 2010.06.01 ,1982.12.22 , 2010.06.01 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29 ,1981.07.02 , 2010.11.29 ,(Retirement),9,2,2,2,2,2,2,8,1,9,1,1,1,9,9,9,9,9,9,1,1,1,2,2,9,9,2,2,2,2,2,1,2,1,1,1,8,9,9,9,9,9,8,1,1,9,9,1
"Lapointe, Jean",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",2001.06.13 - 2010.12.06 ,2001.06.13 , 2010.12.06 ,(Retirement),2,9,9,9,9,9,2,8,9,9,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9
"Lavigne, Raymond",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",2002.03.26 - 2011.03.21 ,2002.03.26 , 2011.03.21 ,(Resignation),9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,1,2,9,2,2,2,2,2,2,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Rompkey, Bill",Liberal Party of Canada,Newfoundland and Labrador,"Chrí©tien, Joseph Jacques Jean",1995.09.21 - 2011.05.13 ,1995.09.21 , 2011.05.13 ,(Retirement),2,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,1,9,9,9,1,2,9,2,2,2,2,1,1,1,2,2,1,9,1,9,9,9,9,9,9,9,1,1,9,1,9
