Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H08S1V001,H08S1V002,H08S1V003,H08S2V001,H08S2V002,H08S2V003,H08S2V004,H08S3V001,H08S3V002,H08S3V003,H08S3V004,H08S3V005,H08S3V006,H08S3V007,H08S3V008,H08S3V009,H08S3V010,H08S3V011,H08S3V012,H08S3V013,H08S3V014,H08S3V015,H08S3V016,H08S3V017,H08S4V001,H08S4V002,H08S4V003,H08S4V004,H08S4V005,H08S4V006,H08S4V007,H08S4V008,H08S4V009,H08S4V010,H08S4V011,H08S4V012,H08S4V013,H08S4V014,H08S4V015,H08S4V016,H08S4V017,H08S4V018,H08S4V019,H08S4V020,H08S4V021,H08S4V022,H08S4V023,H08S4V024,H08S4V025,H08S5V001,H08S5V002,H08S5V003,H08S5V004,H08S5V005,H08S5V006,H08S5V007,H08S5V008,H08S5V009,H08S5V010,H08S5V011,H08S5V012,H08S5V013,H08S5V014,H08S5V015,H08S5V016,H08S5V017,H08S5V018,H08S5V019,H08S5V020,H08S5V021,H08S5V022,H08S5V023,H08S5V024,H08S5V025,H08S5V026,H08S5V027,H08S5V028,H08S5V029,H08S5V030,H08S5V031,H08S5V032,H08S5V033,H08S5V034,H08S5V035,H08S5V036,H08S5V037,H08S5V038
843,YORK EAST,Ontario,1867 - 1903,8,1896.06.23,80,06cf61a5-7c95-4155-ab94-d0d4156924b9,"MCLEAN, William F.",3907,0.5002,Conservative (1867-1942),"Farmer, gentleman, journalist",Protestant,0,2,,,,,,,,,,,,,1,1,9,9,9,9,1,1,2,9,1,2,9,2,1,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
278,HASTINGS NORTH,Ontario,1867 - 1903,8,1896.06.23,112,09b5fa03-e37e-4560-ad97-6ba5639de2b9,"CARSCALLEN, Alexander W.",2478,0.5882,Conservative (1867-1942),Banker,Protestant,0,2,,,,,,,,,,,,,1,1,1,9,9,9,9,1,2,9,9,2,2,9,9,1,9,9,9,9,1,1,9,9,2,2,2,2,2,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,1,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,1,1,9,1,2,2,9,1,9,9,9,9,9,9,9
268,HAMILTON,Ontario,1867 - 1903,8,1896.06.23,121,0a1b2831-1a87-4f1b-aa30-a6b1415b8bda,"MACPHERSON, T.H.",3797,0.2275,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,Scotland,,,,2,2,2,9,1,9,9,2,1,9,9,2,9,9,2,2,9,2,2,9,9,1,9,9,9,9,9,1,9,9,2,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9
580,QUEBEC-CENTRE,Quebec,1867 - 1914,8,1898.01.24,140,0b1b55a6-2e4a-42aa-8439-bbc60857db89,"MALOUIN, Albert",accl.,,Liberal Party of Canada,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,2,1,2,1,9,1,1,9,2,1,2,9,2,2,2,9,1,9,9,1,1,9,9,9,2,1,9,1,1,9,9,2,1,2,9,9,9,9,9,9,9,9,2,2,1,2,9,9,9,2,9,2,9,9,9,9,9,2,2,2,9,9,9,9,9,2,2,2,2,1,2,2,2,1,9,9,9,9,9,9
248,GRENVILLE SOUTH,Ontario,1867 - 1903,8,1896.06.23,183,0e4f9dca-5c4f-43d7-af07-16546fe9215d,"REID, John Dowsley",1397,0.5199,Conservative (1867-1942),Physician,Protestant,0,2,,,,,,,,,,,,,1,1,2,9,1,2,9,1,2,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
755,THREE RIVERS AND ST. MAURICE,Quebec,1892 - 1924,8,1896.06.23,197,0f4d2c30-e6ab-43ec-9847-0a7006e3877d,"CARON, Sir A.P.",1691,0.5432,Conservative (1867-1942),Lawyer,Fr.Catholic,1,7,,,,,,,,,,,,,1,1,2,2,9,9,1,1,2,1,1,2,2,2,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,2,1,9,1,1,1,9,1,9,9,9,9,1,2,9,9,9,9,9,2,9,9,9,1,9,9,2,2,1,9,1,9
545,PERTH SOUTH,Ontario,1867 - 1933,8,1896.06.23,209,0fff3d61-c664-454d-865c-9f991e3b8e8b,"ERB, D.K.",2069,0.4628,Liberal Party of Canada,"Farmer, principal, teacher",Protestant,0,1,,,,,,,,,,,,,9,2,2,2,2,1,9,2,2,9,1,2,1,2,2,2,1,1,2,2,2,2,9,1,2,1,9,1,1,9,9,2,9,1,1,1,2,1,2,1,2,9,9,9,9,9,9,9,9,2,2,1,1,1,2,2,9,9,2,2,1,2,2,9,9,2,2,2,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
790,WATERLOO NORTH,Ontario,1867 - 1966,8,1896.06.23,250,12d09f2c-95fe-4a73-a2f8-a5c24e949b29,"SEAGRAM, Jos. E.",2706,0.5303,Conservative (1867-1942),"Breeder, distiller",Protestant,0,1,,,,,,,,,,,,,9,1,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,9,9,9,9,1,2
74,BROCKVILLE,Ontario,1867 - 1914,8,1899.04.20,273,1462bb16-5421-429b-beae-8a6a378234b2,"COMSTOCK, W.H.",1881,0.5293,Liberal Party of Canada,Drugs and medicine manufacturer,Protestant,0,1,,,,,,,,,United States,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,2,9,9,9,2,9,9,2,1,2,9,9,9,9,9,9,9,9,2,9,2,2,9,9,9,9,9,2,1,2,2,9,9,9,9
131,CHAMPLAIN,Quebec,1867 - 2003,8,1896.06.23- and 1897.04.07,277,149e7610-e9c8-4aa9-9352-207c2683939f,"MARCOTTE, F.A.",2411,0.5423,Conservative (1867-1942),Physician,Fr.Catholic,1,1,,,,,,,,,,Election declared void: 1896.06.23,,,1,1,1,9,1,2,9,1,2,1,9,9,2,9,1,1,9,2,9,9,1,1,9,2,1,2,9,2,2,9,2,1,2,9,2,2,9,9,1,2,9,9,9,9,9,9,9,9,9,1,1,2,1,9,9,9,9,1,1,1,9,9,9,9,9,1,1,9,2,1,9,9,1,1,2,1,1,2,1,1,2,9,9,9,9,9,9
