Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H19S1V001,H19S1V002,H19S1V003,H19S1V004,H19S1V005,H19S1V006,H19S2V001,H19S2V002,H19S2V003,H19S2V004,H19S2V005,H19S2V006,H19S2V007,H19S3V001,H19S3V002,H19S3V003,H19S3V004,H19S3V005,H19S3V006,H19S3V007,H19S3V008,H19S3V009,H19S3V010,H19S3V011,H19S3V012,H19S3V013,H19S3V014,H19S3V015,H19S3V016,H19S4V001,H19S4V002,H19S4V003,H19S4V004,H19S4V005,H19S4V006,H19S4V007,H19S4V008,H19S4V009,H19S4V010,H19S4V011,H19S4V012,H19S4V013,H19S4V014,H19S4V015,H19S4V016,H19S4V017,H19S4V018,H19S4V019,H19S4V020,H19S5V001,H19S5V002,H19S5V003,H19S5V004,H19S5V005,H19S5V006,H19S5V007,H19S5V008,H19S5V009,H19S5V010,H19S5V011,H19S5V012,H19S5V013,H19S5V014,H19S5V015,H19S5V016,H19S5V017,H19S5V018,H19S5V019,H19S5V020,H19S5V021,H19S5V022,H19S5V023,H19S5V024,H19S5V025,H19S5V026,H19S5V027,H19S5V028,H19S6V001,H19S6V002
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,06.03.1940,06.18.1940,06.19.1940,07.05.1940,07.05.1940,07.05.1940,12.03.1940,12.03.1940,12.05.1940,03.25.1941,05.01.1941,05.01.1941,05.22.1941,02.18.1942,02.19.1942,02.19.1942,02.19.1942,02.19.1942,03.04.1942,03.04.1942,03.17.1942,04.20.1942,07.02.1942,07.07.1942,07.07.1942,07.16.1942,07.23.1942,07.23.1942,07.28.1942,02.02.1943,02.18.1943,02.23.1943,02.23.1943,02.25.1943,03.01.1943,03.08.1943,03.25.1943,03.25.1943,03.25.1943,03.30.1943,05.06.1943,05.10.1943,05.10.1943,05.19.1943,05.20.1943,06.07.1943,06.30.1943,07.05.1943,07.19.1943,02.08.1944,02.10.1944,02.10.1944,02.10.1944,02.10.1944,02.21.1944,02.22.1944,03.10.1944,03.20.1944,03.27.1944,05.08.1944,05.11.1944,05.11.1944,05.15.1944,06.13.1944,06.29.1944,07.11.1944,07.25.1944,07.28.1944,07.31.1944,07.31.1944,08.09.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,12.07.1944,03.25.1945,04.13.1945
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,DORCHESTER,Quebec,1867 - 1966,19,1940.03.26,65,055d7c35-7ddf-4f01-a2a6-7d3a77420eba,"TREMBLAY, Leonard-D.",5573,0.5414,Liberal Party of Canada,"Journalist, public servant",,1,2,,,,,,,,,,,,,2,1,1,9,9,9,9,9,9,9,9,9,9,2,1,2,2,1,9,9,9,9,9,2,1,9,9,9,9,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,9,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,2,2,1,9
769,VEGREVILLE,Alberta,1924 - 1996,19,1940.03.26,75,062a59c1-a9b0-4143-b265-a45d56a4303d,"HLYNKA, Anthony",5083,0.3612,Social Credit,"Journalist, publisher",,0,1,,,,,,,,,Ukraine,,,,1,2,9,1,1,2,1,1,1,2,1,1,2,9,1,2,2,2,2,1,1,9,1,1,9,1,2,1,1,2,1,2,2,1,1,2,9,9,9,1,1,2,2,2,9,1,9,1,1,1,2,2,1,2,1,9,1,1,9,1,1,1,2,1,1,1,9,9,9,9,9,2,2,2,2,1,1,1,2
428,MATAPDIA--MATANE,Quebec,1933 - 1966,19,1940.03.26,83,073412d5-f06d-4109-82a1-fb311c3559ce,"LAPOINTE, Arthur-Joseph",9956,0.6317,Liberal Party of Canada,Station agent,,1,2,,,,,,,,,,,,,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,9,9,9,1,2,9,1,1,1,1,9
78,BRUCE,Ontario,1933 - 1975,19,1940.03.26,95,07ec0c25-9683-4d85-aa6f-d9a0931ec694,"TOMLINSON, William Rae",7420,0.5845,Liberal Party of Canada,Barrister,,0,2,,,,,,,,,,,,,2,1,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,2,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,1,1,1,1,9
154,COMOX--ALBERNI,British Columbia,1914 - 1976,19,1940.03.26,107,090c4da7-b949-45d0-b63f-39854ba32056,"NEILL, Alan Webster",10156,0.7259,Independent,"Farmer, merchant",,0,6,,,,,,,,,Scotland,,,,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,9,2,2,1,9,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,9,1,2,2,2,1,2,1,1,9,2,2,2,2,1,2,2,2,2,9,2,1,2,9,1,2,2,2,1,2,1,1,2,1,1,1,2,2,1,2
36,BEAUCE,Quebec,1867 - ,19,1925.10.29-1943.02.17,108,0935db8e-e304-41df-8612-5d1292addc8f,"LACROIX, Edouard",12482,0.7989,Liberal Party of Canada,"Industrialist, lumber merchant",,1,5,1,,,1,,,,,,,,,2,1,1,9,9,9,9,9,9,9,9,9,9,2,2,1,2,2,1,9,9,9,2,2,9,1,1,2,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
36,BEAUCE,Quebec,1867 - ,19,1943.02.18-1944.07.11,108.1,0935db8e-e304-41df-8612-5d1292addc8f,"LACROIX, Maurice-Ernest-Edouard",12482,0.7989,Bloc Populaire Canadien,,,1,5,,,,,,,,,,Resignation. Entres provincial politics in Quebec: 1944.07.11,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,9,9,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99
486,NICOLET--YAMASKA,Quebec,1933 - 1966,19,1940.03.26,125,0a6e27b6-9218-4ce6-8954-f49dbf99829f,"DUBOIS, Lucien",7445,0.4979,Liberal Party of Canada,Farmer,,1,3,,,,,,,,,,,,,2,1,1,2,2,1,2,2,2,2,2,2,9,2,9,9,2,1,2,9,2,2,9,2,9,9,1,2,2,1,2,1,9,2,9,1,9,9,9,2,1,1,1,1,9,9,9,2,9,2,9,9,9,9,9,2,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,2,1,9
1263,ST. ANN,Quebec,1914 - 1947,19,1940.03.26,147,0bd048a1-0b52-4169-94e1-b0d7cd26d5aa,"HEALY, Thomas P.",12687,0.7831,Liberal Party of Canada,"Contractor, manager",,0,1,,,,,,,,,,,,,9,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,9,9,2,9,1,1,9,2,1,2,1,2,2,2,2,9,9,2,2,1,2,9,2,2,1,9,9,1,9,9,2,9,9,9,9,9,2,9,9,9,9,1,2,9,9,9,2,1,9,9,9,9,1,2,1,1,1,1,1,9
675,SELKIRK,Manitoba,1871 - 1976,19,1940.03.26-1942.10.05,148,0bd1c7bb-8591-4517-b5ff-c82c3ab12753,"THORSON, Joseph T.",11023,0.5061,Liberal Party of Canada,"Barrister, dean, professor of law",,0,3,,1,,,,,,,,Resignation. Appointed President of the Exchequer Court of Canada: 1942.10.05,,,2,9,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
