Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S21S2V01,S21S2V02,S21S4V01,S21S4V02,S21S5V01
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11 ,1925.09.05 , 1954.07.11 ,(Death),9,2,2,9,9
"Beauregard, Elie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1954.08.27 ,1940.02.09 , 1954.08.27 ,(Death),9,9,9,9,9
"Hurtubise, Joseph Raoul",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.06.09 - 1955.01.31 ,1945.06.09 , 1955.01.31 ,(Death),2,2,2,2,9
"Fafard, Joseph-Fernand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.01.29 - 1955.05.14 ,1940.01.29 , 1955.05.14 ,(Death),2,2,2,9,1
"King, James Horace",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1930.06.07 - 1955.07.14 ,1930.06.07 , 1955.07.14 ,(Death),9,9,9,1,9
"Du Tremblay, Pamphile Rí©al Blaise Nugent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.11.19 - 1955.10.06 ,1942.11.19 , 1955.10.06 ,(Death),9,1,9,9,9
"Fallis, Iva Campbell",Progressive Conservative Party,Ontario,"Bennett, Richard Bedford",1935.07.20 - 1956.03.07 ,1935.07.20 , 1956.03.07 ,(Death),2,1,9,1,1
"Calder, James Alexander",Progressive Conservative Party,Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20 ,1921.09.22 , 1956.07.20 ,(Death),9,9,9,9,1
"Godbout, Joseph Adí©lard",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1949.06.25 - 1956.09.18 ,1949.06.25 , 1956.09.18 ,(Death),2,9,2,2,9
"Stevenson, John James",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1940.01.29 - 1956.09.21 ,1940.01.29 , 1956.09.21 ,(Death),2,2,2,2,1
"Ross, George Henry",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1948.12.01 - 1956.09.26 ,1948.12.01 , 1956.09.26 ,(Death),1,9,9,9,9
"Pirie, Frederick William",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1956.10.03 ,1945.04.19 , 1956.10.03 ,(Death),2,9,1,9,9
"Duffus, Joseph James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.15 - 1957.02.07 ,1940.02.15 , 1957.02.07 ,(Death),2,2,2,2,9
"Daigle, Armand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1957.03.08 ,1944.03.03 , 1957.03.08 ,(Death),2,2,9,9,1
"McIntyre, James Peter",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1943.02.19 - 1957.04.08 ,1943.02.19 , 1957.04.08 ,(Death),2,9,2,9,1
"McGuire, William Henry",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1926.12.20 - 1957.10.31 ,1926.12.20 , 1957.10.31 ,(Death),9,1,9,1,2
"MacKinnon, James Angus",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.05.09 - 1958.04.18 ,1949.05.09 , 1958.04.18 ,(Death),2,9,9,2,9
"Hawkins, Charles G.",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1958.08.14 ,1950.05.02 , 1958.08.14 ,(Death),2,9,9,2,1
"Marcotte, Arthur",Conservative (1867-1942),Saskatchewan,"Bennett, Richard Bedford",1931.07.06 - 1958.08.18 ,1931.07.06 , 1958.08.18 ,(Death),2,1,2,1,2
"Nicol, Jacob",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.07.14 - 1958.09.23 ,1944.07.14 , 1958.09.23 ,(Death),9,9,2,9,2
"Howden, John Power",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1959.11.04 ,1945.04.18 , 1959.11.04 ,(Death),1,9,2,9,1
"Petten, Ray",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1961.02.16 ,1949.08.17 , 1961.02.16 ,(Death),9,9,2,1,1
"Quinn, Felix Patrick",Conservative (1867-1942),Nova Scotia,"Bennett, Richard Bedford",1935.07.20 - 1961.03.28 ,1935.07.20 , 1961.03.28 ,(Death),1,9,9,9,1
"Euler, William Daum",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.05.11 - 1961.07.15 ,1940.05.11 , 1961.07.15 ,(Death),1,1,9,1,9
"Bradette, Joseph-Arthur",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1961.09.12 ,1953.06.12 , 1961.09.12 ,(Death),99,99,99,99,99
"Lí©ger, Aurel D.",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.06.12 - 1961.12.28 ,1953.06.12 , 1961.12.28 ,(Death),99,99,99,99,99
"Golding, William Henry",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1961.12.31 ,1949.06.25 , 1961.12.31 ,(Death),2,2,2,2,1
"Haig, John Thomas",Progressive Conservative Party,Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1962.01.17 ,1935.08.14 , 1962.01.17 ,(Resignation),2,1,9,9,1
"Barbour, George Hilton",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.07.06 - 1962.02.06 ,1949.07.06 , 1962.02.06 ,(Death),2,2,2,9,9
"Wilson, Cairine Reay",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.02.15 - 1962.03.03 ,1930.02.15 , 1962.03.03 ,(Death),9,1,1,9,9
"Hardy, Arthur Charles",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1922.02.10 - 1962.03.13 ,1922.02.10 , 1962.03.13 ,(Death),1,9,9,9,9
"McDonald, John Alexander",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1962.04.16 ,1945.04.18 , 1962.04.16 ,(Death),2,2,9,2,1
"Farquhar, Thomas",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1948.09.10 - 1962.09.27 ,1948.09.10 , 1962.09.27 ,(Resignation),2,2,2,2,9
"Fraser, William Alexander",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1949.06.25 - 1962.10.26 ,1949.06.25 , 1962.10.26 ,(Death),9,2,9,9,9
"Bouchard, Tí©lí©sophore-Damien",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1962.11.13 ,1944.03.03 , 1962.11.13 ,(Death),9,9,9,9,9
"Raymond, Donat",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.12.20 - 1963.06.05 ,1926.12.20 , 1963.06.05 ,(Death),9,9,9,9,9
"Pratt, Calvert Coates",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1963.11.13 ,1951.01.24 , 1963.11.13 ,(Death),99,99,9,1,9
"Campbell, Gordon Peter",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1943.02.19 - 1964.01.16 ,1943.02.19 , 1964.01.16 ,(Death),9,1,9,9,9
"Turgeon, James Gray",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1964.02.14 ,1947.01.27 , 1964.02.14 ,(Death),9,2,9,2,1
"Howard, Charles Benjamin",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1964.03.25 ,1940.02.09 , 1964.03.25 ,(Death),9,9,9,2,2
"Blais, Aristide",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1940.01.29 - 1964.11.10 ,1940.01.29 , 1964.11.10 ,(Death),9,9,9,9,2
"Horner, Ralph Byron",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1964.12.14 ,1933.12.30 , 1964.12.14 ,(Death),2,1,9,9,9
"Stambaugh, Wesley",Liberal Party of Canada,Alberta,"St-Laurent, Louis Stephen",1949.09.07 - 1965.06.08 ,1949.09.07 , 1965.06.08 ,(Resignation),2,2,9,9,9
"Grant, Thomas Vincent",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1949.06.25 - 1965.08.19 ,1949.06.25 , 1965.08.19 ,(Resignation),2,9,2,9,9
"Tremblay, Lí©onard-David Sweezey",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1965.09.02 ,1953.06.12 , 1965.09.02 ,(Resignation),99,99,99,99,99
"Lambert, Norman Platt",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1938.01.20 - 1965.11.04 ,1938.01.20 , 1965.11.04 ,(Death),1,1,1,1,2
"Wood, Thomas Harold",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1949.01.25 - 1965.11.26 ,1949.01.25 , 1965.11.26 ,(Death),2,9,9,9,1
"Robertson, Wishart McLea",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1943.02.19 - 1965.12.24 ,1943.02.19 , 1965.12.24 ,(Resignation),9,2,2,2,1
"Comeau, Joseph Willie",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1948.12.01 - 1966.01.10 ,1948.12.01 , 1966.01.10 ,(Resignation),2,9,9,2,9
"Bouffard, Paul Henri",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1946.12.27 - 1966.02.16 ,1946.12.27 , 1966.02.16 ,(Death),2,2,9,2,2
"Woodrow, Allan Lee",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.05.19 - 1966.03.15 ,1953.05.19 , 1966.03.15 ,(Resignation),99,99,99,99,99
"Bradley, Frederick Gordon",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1953.06.12 - 1966.03.30 ,1953.06.12 , 1966.03.30 ,(Death),99,99,99,99,99
"Crerar, Thomas Alexander",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1945.04.18 - 1966.05.31 ,1945.04.18 , 1966.05.31 ,(Resignation),1,1,9,9,9
"Taylor, William Horace",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),2,2,2,2,1
"Veniot, Clarence Joseph",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1966.06.01 ,1945.04.18 , 1966.06.01 ,(Resignation),1,2,9,2,1
"Jodoin, Marianna Beauchamp",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.05.19 - 1966.06.01 ,1953.05.19 , 1966.06.01 ,(Resignation),99,99,99,99,99
"Bishop, Charles Lawrence",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1966.09.23 ,1945.04.18 , 1966.09.23 ,(Resignation),2,2,1,1,1
"McKeen, Stanley Stewart",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1966.12.01 ,1947.01.27 , 1966.12.01 ,(Death),9,2,2,9,9
"Hugessen, Adrian Norton Knatchbull",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1937.01.12 - 1967.01.01 ,1937.01.12 , 1967.01.01 ,(Resignation),1,1,9,9,1
"Davies, William Rupert",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1942.11.19 - 1967.03.11 ,1942.11.19 , 1967.03.11 ,(Death),9,9,9,9,9
"McLean, Alexander Neil",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.18 - 1967.03.12 ,1945.04.18 , 1967.03.12 ,(Death),9,2,2,1,1
"Dupuis, Vincent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1967.05.11 ,1945.04.18 , 1967.05.11 ,(Death),2,2,9,2,1
"Reid, Thomas",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1949.09.07 - 1967.10.14 ,1949.09.07 , 1967.10.14 ,(Resignation),2,9,9,1,1
"Baird, Alexander Boyd",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1949.08.17 - 1967.11.23 ,1949.08.17 , 1967.11.23 ,(Death),1,9,1,9,9
"Macdonald, William Ross",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1967.12.22 ,1953.06.12 , 1967.12.22 ,(Resignation),99,99,99,99,99
"Gershaw, Frederick William",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1945.04.18 - 1968.03.26 ,1945.04.18 , 1968.03.26 ,(Resignation),9,9,9,9,1
"Vien, Thomas",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.10.05 - 1968.04.01 ,1942.10.05 , 1968.04.01 ,(Resignation),9,1,2,9,9
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03 ,1944.03.03 , 1969.01.03 ,(Resignation),9,2,9,2,1
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),2,9,2,2,1
"Farris, John Wallace de Beque",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1937.01.09 - 1970.02.25 ,1937.01.09 , 1970.02.25 ,(Death),2,9,9,9,9
"Dessureault, Jean-Marie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.06.09 - 1970.08.16 ,1945.06.09 , 1970.08.16 ,(Resignation),2,2,9,9,1
"Aseltine, Walter Morley",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),2,1,2,9,1
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12 ,1945.04.18 , 1971.06.12 ,(Resignation),2,9,9,9,9
"Roebuck, Arthur Wentworth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1971.11.17 ,1945.04.18 , 1971.11.17 ,(Death),1,2,1,1,9
"Isnor, Gordon Benjamin",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1973.03.17 ,1950.05.02 , 1973.03.17 ,(Death),2,1,9,2,1
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),99,99,99,99,99
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),2,2,2,2,1
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),99,99,9,9,1
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),9,9,9,9,1
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),99,99,99,99,99
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),9,9,9,9,9
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),99,99,99,99,99
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),1,9,9,9,2
