Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S36S1V001,S36S1V002,S36S1V003,S36S1V004,S36S1V005,S36S1V006,S36S1V007,S36S1V008,S36S1V009,S36S1V010,S36S1V011,S36S1V012,S36S1V013,S36S1V014,S36S1V015,S36S1V016,S36S1V017,S36S1V018,S36S1V019,S36S1V020,S36S1V021,S36S1V022,S36S1V023,S36S1V024,S36S1V025,S36S1V026,S36S1V027,S36S1V028,S36S1V029,S36S1V030,S36S1V031,S36S1V032,S36S1V033,S36S1V034,S36S1V035,S36S1V036,S36S1V037,S36S1V038,S36S1V039,S36S1V040,S36S1V041,S36S1V042,S36S1V043,S36S1V044,S36S1V045,S36S1V046,S36S1V047,S36S1V048,S36S1V049,S36S1V050,S36S1V051,S36S1V052,S36S1V053,S36S1V054,S36S1V055,S36S1V056,S36S1V057,S36S1V058,S36S2V001,S36S2V002,S36S2V003,S36S2V004,S36S2V005,S36S2V006,S36S2V007,S36S2V008,S36S2V009,S36S2V010,S36S2V011,S36S2V012,S36S2V013,S36S2V014,S36S2V015,S36S2V016,S36S2V017,S36S2V018,S36S2V019,S36S2V020,S36S2V021,S36S2V022
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02 ,1984.01.13 , 2010.01.02 ,(Retirement),9,2,9,1,2,1,2,1,1,1,1,1,2,9,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,9,1,2,9,2,2,1,1,2,9,2,1,2,2,9,2,9,9,2,2,2,2,9,9,9,9,9,9,2,9,9,9,9,2,2,1,2,8,2,9,1,8,1,1,1,8,2,9,1,2
"Watt, Charlie",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.16 - ,1984.01.16 , ,,9,2,2,1,2,1,2,9,1,1,1,9,9,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,9,9,9,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,8,2,9,1,2
"De Baní©, Pierre",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,9,9,1,2,1,9,9,9,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,1,2,1,9,2,2,2,2,2,1,1,2,1,9,9,2,2,2,2,2,2,2,2,2,1,2,2,2,1,9,9,9,9,9,2,2,1,2,1,2,2,2,2,2,2,2,1,9,9,1,2
"Fairbairn, Joyce",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,9,9,9,9,9,2,2,2,1,9,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2
"Kenny, Colin",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.06.29 - ,1984.06.29 , ,,9,9,2,9,9,9,2,1,1,9,9,1,9,2,2,2,2,1,2,2,2,2,1,9,9,9,9,2,2,1,2,1,9,2,2,2,2,2,1,2,2,1,9,9,9,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,9,2,2,2,2,2,2,1,2,2,1,2
"Marchand, Len",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1984.06.29 - 1998.03.01 ,1984.06.29 , 1998.03.01 ,(Resignation),9,9,9,9,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2007.06.30 ,1984.06.29 , 2007.06.30 ,(Resignation),2,2,2,1,2,1,2,1,1,1,9,1,9,9,9,2,2,1,2,2,2,2,1,9,9,2,2,2,9,9,9,1,2,2,2,2,2,2,1,9,2,9,9,9,2,2,2,2,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02 ,1984.07.09 , 2009.08.02 ,(Retirement),2,2,2,1,2,1,2,1,1,1,1,9,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,8,2,1,2,2,2,2,2,2,1,2,2,8,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,8,8,2,2,2,2,2,2,2,1,2,2,1,2
"MacDonald, Finlay",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1984.12.21 - 1998.01.04 ,1984.12.21 , 1998.01.04 ,(Retirement),9,9,9,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Robertson, Brenda",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1984.12.21 - 2004.05.23 ,1984.12.21 , 2004.05.23 ,(Retirement),9,9,1,2,1,9,9,9,2,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,9,9,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,9,1,2,1,2,9,1,2,1,2,1,9,1,1,1,1,1,2,1,9,9,9
"Doyle, Richard J.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1985.03.19 - 1998.03.10 ,1985.03.19 , 1998.03.10 ,(Retirement),2,1,9,2,1,9,1,2,2,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Simard, Jean-Maurice",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1985.06.26 - 2001.06.16 ,1985.06.26 , 2001.06.16 ,(Death),1,1,9,9,9,9,9,9,9,2,1,2,1,9,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,9,9,1,1,2,2,9,9,1,2,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,9,1,1,1,1,1,2,1,1,8,9
"Cogger, Michel",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1986.05.02 - 2000.09.01 ,1986.05.02 , 2000.09.01 ,(Resignation),1,9,9,2,1,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,8,1,2,1,1,2,1,2,1,9,1,1,1,1,1,2,9,9,9,9
"Atkins, Norman K.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1986.06.30 - 2009.06.27 ,1986.06.30 , 2009.06.27 ,(Retirement),9,9,9,2,1,2,1,2,1,2,1,2,1,9,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,9,1,2,2,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,9,9,1,1,1,1,1,2,1,1,2,9
"Cochrane, Ethel M.",Progressive Conservative Party,Newfoundland and Labrador,"Mulroney, Martin Brian",1986.11.17 - ,1986.11.17 , ,,2,9,1,2,1,2,1,2,1,1,9,2,1,9,1,1,1,2,9,9,9,9,9,9,1,1,1,9,1,2,1,2,1,1,1,1,2,2,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,9,9,9,1,1,2,1,2,9,9,1,1,1,1,1,2,1,1,9,1
"Rossiter, Eileen",Progressive Conservative Party,Prince Edward Island,"Mulroney, Martin Brian",1986.11.17 - 2004.07.14 ,1986.11.17 , 2004.07.14 ,(Retirement),9,9,9,2,1,9,9,9,2,2,1,2,1,9,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,9,1,1,1,1,2,2,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,9,1,1,1,1,1,2,1,9,9,1
"Spivak, Mira",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1986.11.17 - 2009.07.12 ,1986.11.17 , 2009.07.12 ,(Retirement),2,1,1,2,1,2,9,2,1,1,1,2,1,1,1,9,9,9,1,1,1,1,2,2,1,2,1,9,9,9,9,2,9,1,9,1,2,2,1,8,1,9,1,9,1,1,9,9,1,1,1,1,1,2,9,9,9,9,9,1,2,2,1,1,1,2,9,9,9,9,1,9,9,9,9,9,1,9,1,2
"Ottenheimer, Gerald R.",Progressive Conservative Party,Newfoundland and Labrador,"Mulroney, Martin Brian",1987.12.30 - 1998.01.18 ,1987.12.30 , 1998.01.18 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Bolduc, Roch",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2003.09.10 ,1988.09.26 , 2003.09.10 ,(Retirement),1,9,1,2,1,2,9,2,1,2,9,2,1,1,1,1,1,2,9,9,9,9,9,9,1,9,9,1,1,2,1,2,9,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,2,2,8,1,1,2,1,2,1,2,1,1,1,1,1,2,1,9,1,9
"Beaudoin, Gí©rald A.",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1988.09.26 - 2004.04.15 ,1988.09.26 , 2004.04.15 ,(Retirement),2,1,9,2,1,2,9,2,1,1,1,2,1,1,1,1,1,2,9,9,9,9,9,9,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,8,1,1,2,1,2,1,2,1,1,1,1,1,2,1,9,1,1
"Comeau, Gerald J.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,1,1,1,2,1,9,9,9,9,9,9,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,9,1,1,1,2,2,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,9,1,2,1,2,1,9,1,1,1,1,1,2,1,9,2,1
"Di Nino, Consiglio",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.08.30 - ,1990.08.30 , ,,9,9,9,2,1,2,1,2,2,2,1,2,1,9,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,2,9,9,1,1,1,1,1,2,9,9,2,9
"Carney, Pat",Progressive Conservative Party,British Columbia,"Mulroney, Martin Brian",1990.08.30 - 2008.01.31 ,1990.08.30 , 2008.01.31 ,(Resignation),2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,1,8,9,1,2,1,2,9,9,9,9,9,9,9,9,1,9,9,9
"Oliver, Donald H.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1990.09.07 - ,1990.09.07 , ,,9,1,1,2,1,2,1,2,2,2,9,9,9,9,9,1,1,2,1,1,1,1,2,2,9,9,9,1,1,2,1,2,1,1,9,1,2,2,2,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,2,9,9,1,1,1,1,1,2,1,9,9,9
"Kinsella, Noí‚l A.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1990.09.12 - ,1990.09.12 , ,,2,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1
"Buchanan, John M.",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1990.09.12 - 2006.04.22 ,1990.09.12 , 2006.04.22 ,(Retirement),2,9,9,2,1,9,9,9,9,1,1,2,1,1,1,1,1,2,1,1,1,1,2,9,9,1,1,9,1,2,1,2,1,1,9,1,2,2,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,9,1,2,1,2,1,1,2,9,9,1,9,1,1,1,1,1,2,1,9,1,1
"DeWare, Mabel M.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1990.09.23 - 2001.08.09 ,1990.09.23 , 2001.08.09 ,(Retirement),2,9,1,2,1,2,1,2,9,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,9,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,8,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1
"Lynch-Staunton, John",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.09.23 - 2005.06.19 ,1990.09.23 , 2005.06.19 ,(Retirement),2,1,1,2,1,2,1,2,1,9,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1
"Kelleher, James Francis",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2005.10.02 ,1990.09.23 , 2005.10.02 ,(Retirement),9,9,9,2,1,2,1,2,1,1,9,2,1,9,9,1,1,2,1,1,1,1,2,2,9,9,9,9,1,2,9,9,9,1,1,1,2,2,1,9,1,1,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,2,1,8,1,1,2,1,2,9,9,1,1,1,1,1,2,9,9,9,9
"Eyton, John Trevor",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.09.23 - 2009.07.12 ,1990.09.23 , 2009.07.12 ,(Retirement),8,9,9,2,1,9,1,2,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,8,8,9,9,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,8,9,9,9,9
"Johnson, Janis G.",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,2,9,1,9,1,2,9,2,9,1,1,2,1,1,1,1,1,2,1,1,1,1,2,9,9,9,9,9,9,9,9,2,9,1,1,1,2,2,1,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,2,1,9,1,2,1,2,1,9,1,1,8,1,1,8,9,9,9,2
"Meighen, Michael A.",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.09.27 - ,1990.09.27 , ,,9,9,9,2,1,9,9,9,1,9,9,9,1,9,9,9,9,9,1,1,1,1,2,2,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,1,1,1,9,9,1,9,9,1,1,9,9,9,9,9,1,1,1,2,1,1,2,1,8,9,9,9,9,9,9,9,1,1,1,1,1,2,1,9,8,1
"Twinn, Walter",Progressive Conservative Party,Alberta,"Mulroney, Martin Brian",1990.09.27 - 1997.10.30 ,1990.09.27 , 1997.10.30 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Grimard, Normand",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.09.27 - 2000.06.16 ,1990.09.27 , 2000.06.16 ,(Retirement),1,9,9,2,1,2,1,2,9,9,9,2,1,1,1,1,1,2,1,1,1,1,2,2,9,2,1,9,9,9,9,2,9,9,9,1,2,2,1,1,1,1,1,1,1,1,9,9,1,9,9,9,9,9,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,9,9,9,9,9,9,9,9,9,9,9
"Berntson, Eric A.",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1990.09.27 - 2001.02.27 ,1990.09.27 , 2001.02.27 ,(Resignation),9,9,1,9,9,9,9,9,1,2,1,9,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,9,9,9,1,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,1,1,1,2,1,1,2,8,2,1,9,9,1,2,9,9,1,1,1,1,1,2,9,9,9,9
"Lavoie-Roux, Thí©ríÂse",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1990.09.27 - 2001.03.12 ,1990.09.27 , 2001.03.12 ,(Resignation),2,1,9,2,1,2,1,2,8,2,1,2,1,1,1,1,1,2,9,9,9,9,9,9,9,1,1,9,1,2,1,2,1,1,1,1,2,2,1,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,2,9,9,9,9
"Forrestall, J. Michael",Progressive Conservative Party,Nova Scotia,"Mulroney, Martin Brian",1990.09.27 - 2006.06.08 ,1990.09.27 , 2006.06.08 ,(Death),2,1,9,2,1,2,1,2,9,2,9,2,1,9,1,1,1,2,1,1,1,1,2,2,9,1,1,1,1,2,1,2,1,1,1,1,2,2,1,9,1,1,1,1,1,1,9,9,1,1,1,1,1,2,9,9,9,9,1,1,2,1,2,1,1,2,1,2,1,9,1,1,1,1,1,2,1,9,8,1
"Keon, Wilbert Joseph",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1990.09.27 - 2010.05.17 ,1990.09.27 , 2010.05.17 ,(Retirement),9,9,9,9,9,9,1,2,2,2,1,9,1,1,9,1,1,2,9,9,1,1,2,2,1,1,1,1,9,9,1,2,1,1,1,1,2,2,1,9,1,9,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,9,1,1,2,1,2,9,1,2,1,2,1,9,1,1,1,1,1,2,1,1,9,9
"Andreychuk, Raynell",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,2,9,9,2,1,9,9,2,9,2,1,2,1,1,1,9,9,9,9,9,9,9,9,9,1,2,1,1,1,2,1,2,9,1,1,1,2,2,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,8,1,1,2,9,9,1,2,1,1,1,1,1,2,1,1,1,1
"Rivest, Jean-Claude",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1993.03.11 - ,1993.03.11 , ,,9,9,9,9,9,2,1,2,1,1,1,9,1,9,1,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,1,1,1,1,2,9,1,9,9,9,1,9,1,1,1,1,1,1,1,2,9,9,9,9,1,8,8,8,1,1,1,2,1,2,9,9,1,8,8,1,1,2,9,9,9,9
"Stratton, Terry",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1993.03.25 - ,1993.03.25 , ,,2,9,9,2,1,2,1,2,9,9,2,2,1,9,1,1,1,2,1,1,1,1,2,2,1,1,1,9,1,9,9,2,9,1,1,9,9,9,9,1,1,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,2,1,8,1,1,2,1,2,1,9,1,1,1,1,9,9,1,9,9,1
"Ghitter, Ronald D.",Progressive Conservative Party,Alberta,"Mulroney, Martin Brian",1993.03.25 - 2000.03.31 ,1993.03.25 , 2000.03.31 ,(Resignation),2,9,9,2,1,2,2,2,9,9,9,2,9,9,9,1,1,2,9,9,9,9,9,9,1,1,1,1,9,9,9,2,9,1,1,1,2,1,1,9,1,9,9,9,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Jessiman, Duncan James",Progressive Conservative Party,Manitoba,"Mulroney, Martin Brian",1993.05.26 - 1998.06.05 ,1993.05.26 , 1998.06.05 ,(Retirement),9,9,9,9,9,9,9,9,2,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Roberge, Fernand",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1993.05.26 - 2000.07.19 ,1993.05.26 , 2000.07.19 ,(Resignation),9,9,1,2,1,2,1,9,1,2,9,2,1,9,9,1,1,2,9,9,9,9,9,9,1,2,1,9,1,2,9,2,1,1,1,1,2,2,1,1,1,1,9,9,9,1,1,9,1,1,1,1,1,2,9,9,9,9,1,1,8,1,8,1,1,2,1,2,9,9,1,8,1,1,1,2,9,9,9,9
"Gustafson, Leonard J.",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1993.05.26 - 2008.11.10 ,1993.05.26 , 2008.11.10 ,(Retirement),2,9,1,2,1,2,1,9,2,2,1,2,1,1,1,1,1,2,9,9,9,9,9,9,9,1,1,1,1,2,9,2,2,1,1,1,2,8,2,1,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,2,9,9,1,9,1,9,9,9,9,9,1,1,1,1
"Prud'homme, Marcel",Independent,Quebec,"Mulroney, Martin Brian",1993.05.26 - 2009.11.30 ,1993.05.26 , 2009.11.30 ,(Retirement),1,1,9,9,9,9,9,9,9,9,1,2,2,2,2,8,8,1,9,9,2,9,9,9,2,2,2,8,1,2,1,1,1,2,2,1,1,1,2,1,9,2,9,1,8,2,8,1,1,1,1,1,1,2,1,1,1,2,8,9,9,9,9,1,9,9,1,2,9,9,1,1,1,1,1,2,8,1,2,8
"Cohen, Erminie J.",Progressive Conservative Party,New Brunswick,"Mulroney, Martin Brian",1993.06.04 - 2001.07.23 ,1993.06.04 , 2001.07.23 ,(Retirement),9,9,9,2,1,2,1,2,2,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,9,9,1,1,2,1,2,9,1,1,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,8,1,1,2,9,9,1,9,1,1,1,1,1,2,1,9,9,1
"Tkachuk, David",Progressive Conservative Party,Saskatchewan,"Mulroney, Martin Brian",1993.06.08 - ,1993.06.08 , ,,9,9,1,2,1,2,1,2,2,2,9,2,9,1,9,1,1,2,1,1,1,1,2,2,9,9,9,1,1,2,9,9,1,1,9,1,2,2,9,1,1,9,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,9,9,9,9,1,9,9,9,9,9,9,1,1,1,1,1,2,1,9,9,1
"Angus, W. David",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1993.06.10 - ,1993.06.10 , ,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,2,2,9,9,9,1,9,9,9,2,9,9,9,9,9,9,9,9,1,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,2,9,9,9,9
"LeBreton, Marjory",Progressive Conservative Party,Ontario,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,2,1,9,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1
"Nolin, Pierre Claude",Progressive Conservative Party,Quebec,"Mulroney, Martin Brian",1993.06.18 - ,1993.06.18 , ,,9,9,1,2,1,2,9,2,1,9,1,2,9,1,1,1,1,2,1,1,1,1,2,2,9,2,1,1,1,2,1,9,9,1,1,1,2,2,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,8,1,1,2,1,2,1,9,1,1,1,1,1,2,1,1,2,1
"St. Germain, Gerry",Canadian Reform Conservative Alliance,British Columbia,"Mulroney, Martin Brian",1993.06.23 - ,1993.06.23 , ,,9,9,1,9,9,2,9,9,2,9,9,9,1,9,1,1,1,2,9,9,9,9,9,9,9,2,1,9,9,9,9,2,1,9,1,9,2,2,1,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,8,8,1,9,9,1,2,9,9,1,9,9,9,9,9,1,9,2,9
"Carstairs, Sharon",Liberal Party of Canada,Manitoba,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - ,1994.09.15 , ,,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,9,9,2,2,2,2,2,2,2,1,2,9,1,2
"Pearson, Landon",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - 2005.11.16 ,1994.09.15 , 2005.11.16 ,(Retirement),2,2,2,1,2,1,2,1,1,1,1,1,9,2,2,2,2,1,9,9,9,9,9,9,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,9,2,2,2,2,2,2,9,9,9,9,9,9,2,2,2,1,2,2,2,2,1,2,2,1,2,1,9,2,2,2,2,2,2,1,2,2,9,2
"Bacon, Lise",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean",1994.09.15 - 2009.08.25 ,1994.09.15 , 2009.08.25 ,(Retirement),2,2,2,1,2,1,2,1,1,1,9,1,2,2,2,2,2,1,2,2,2,2,1,1,9,2,2,9,2,1,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,2,1,2,1,2,9,2,2,2,2,2,1,2,2,1,2
"Gauthier, Jean-Robert",Liberal Party of Canada,Ontario,"Chrí©tien, Joseph Jacques Jean",1994.11.23 - 2004.10.22 ,1994.11.23 , 2004.10.22 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,8,9,9,8,8,2,9,1,2,1,1,1,8,2,2,8,2
