Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S36S1V001,S36S1V002,S36S1V003,S36S1V004,S36S1V005,S36S1V006,S36S1V007,S36S1V008,S36S1V009,S36S1V010,S36S1V011,S36S1V012,S36S1V013,S36S1V014,S36S1V015,S36S1V016,S36S1V017,S36S1V018,S36S1V019,S36S1V020,S36S1V021,S36S1V022,S36S1V023,S36S1V024,S36S1V025,S36S1V026,S36S1V027,S36S1V028,S36S1V029,S36S1V030,S36S1V031,S36S1V032,S36S1V033,S36S1V034,S36S1V035,S36S1V036,S36S1V037,S36S1V038,S36S1V039,S36S1V040,S36S1V041,S36S1V042,S36S1V043,S36S1V044,S36S1V045,S36S1V046,S36S1V047,S36S1V048,S36S1V049,S36S1V050,S36S1V051,S36S1V052,S36S1V053,S36S1V054,S36S1V055,S36S1V056,S36S1V057,S36S1V058,S36S2V001,S36S2V002,S36S2V003,S36S2V004,S36S2V005,S36S2V006,S36S2V007,S36S2V008,S36S2V009,S36S2V010,S36S2V011,S36S2V012,S36S2V013,S36S2V014,S36S2V015,S36S2V016,S36S2V017,S36S2V018,S36S2V019,S36S2V020,S36S2V021,S36S2V022
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04 ,1971.11.04 , 1998.01.04 ,(Retirement),2,9,2,1,2,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,9,2
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),9,9,2,1,9,1,9,9,9,1,1,1,9,2,2,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,2,2,2,2,1,1,2,1,9,9,9,2,9,9,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,9,2,1,2,1,2,9,2,2,2,2,2,1,2,9,9,9
"Robichaud, Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 2000.10.21 ,1973.12.21 , 2000.10.21 ,(Retirement),2,9,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,9,2,2,2,2,1,2,9,2,2,2,2,2,2,1,9,2,1,2,2,2,9,9,9,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),9,9,9,9,9,1,2,1,9,9,9,1,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,1,9,2,9,2,2,2,1,1,2,1,2,2,2,2,2,9,2,9,9,9,9,9,2,2,2,1,9,2,2,2,1,2,2,1,2,1,9,2,2,2,2,2,2,1,2,9,1,9
"Lucier, Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23 ,1975.10.23 , 1999.07.23 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Rizzuto, Pietro",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.23 - 1997.08.03 ,1976.12.23 , 1997.08.03 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Bosa, Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10 ,1977.04.05 , 1998.12.10 ,(Death),9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Adams, Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),2,2,2,1,2,1,2,1,1,1,9,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,9,1,2,9,1,2,2,2,2,2,2,9,1,2,1,2,2,2,2,2,2,2,2,9,9,9,9,9,2,2,1,2,2,2,2,1,2,2,1,9,9,2,2,1,1,1,1,1,8,2,2,1,2
"Adams, Willie",Liberal Party of Canada,Nunavut,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
