Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S16S1V01,S16S1V02,S16S2V01,S16S2V02,S16S4V01,S16S4V02,S16S4V03,S16S4V04
Date,,,,,,,,03.24.1926,03.24.1926,03.22.1928,05.08.1928,05.15.1930,05.20.1930,05.30.1930,05.30.1930
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act respecting Old Age Pensions) be read a second time,"Motion that the Bill (An Act respecting Old Age Pensions) be committed to a Committee of the Whole, presently, with the following instructions",Motion that the Bill (An Act to anebd the Post Office Act (Newspaper Ownership)) be read a second time six months hence,Motion that the Bill (An Act to amend the Criminal Code) be now read a second time,Motion that the Bill (An Act to provide in the province of Ontario for the dissolution and the annulment of Marriage) be read a second time six months hence,"Motion that the Bill (An Act to amend the Export Act) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended"
"Black, Frank Bunting",Conservative (1867-1942),New Brunswick,"Meighen, Arthur",1921.11.25 - 1945.02.28 ,1921.11.25 , 1945.02.28 ,(Death),2,1,1,2,9,2,9,9
"Barnard, George Henry",Conservative (1867-1942),British Columbia,"Borden, Robert Laird",1917.10.23 - 1945.11.08 ,1917.10.23 , 1945.11.08 ,(Resignation),1,2,9,9,2,1,2,2
"Smith, Ernest D'Israeli",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1946.01.10 ,1913.05.26 , 1946.01.10 ,(Resignation),9,9,1,2,2,9,9,9
"Tanner, Charles Elliott",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1917.01.20 - 1946.01.13 ,1917.01.20 , 1946.01.13 ,(Death),1,2,1,2,2,1,9,9
"Chapais, Joseph Amable Thomas",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1919.12.31 - 1946.07.15 ,1919.12.31 , 1946.07.15 ,(Death),1,1,9,2,1,9,2,1
"Green, Robert Francis",Conservative (1867-1942),British Columbia,"Meighen, Arthur",1921.10.03 - 1946.10.05 ,1921.10.03 , 1946.10.05 ,(Death),1,2,1,9,2,1,2,2
"Michener, Edward",Conservative (1867-1942),Alberta,"Borden, Robert Laird",1918.02.05 - 1947.06.16 ,1918.02.05 , 1947.06.16 ,(Death),1,2,9,2,2,2,9,9
"Harmer, William James",Liberal Party of Canada,Alberta,"Borden, Robert Laird",1918.02.05 - 1947.09.09 ,1918.02.05 , 1947.09.09 ,(Death),1,2,1,1,2,2,9,9
"Foster, Walter Edward",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1928.12.06 - 1947.11.14 ,1928.12.06 , 1947.11.14 ,(Death),99,99,99,99,2,2,9,9
"Molloy, John Patrick",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1925.10.06 - 1948.03.16 ,1925.10.06 , 1948.03.16 ,(Death),1,2,1,1,1,2,9,9
"Riley, Daniel Edward",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1926.06.25 - 1948.04.27 ,1926.06.25 , 1948.04.27 ,(Death),1,2,2,9,2,2,9,9
"Donnelly, James J.",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1913.05.26 - 1948.10.20 ,1913.05.26 , 1948.10.20 ,(Death),9,2,1,9,9,9,9,9
"White, Gerald Verner",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1919.11.06 - 1948.10.24 ,1919.11.06 , 1948.10.24 ,(Death),9,9,9,2,9,2,2,2
"McDonald, John Anthony",Independent,New Brunswick,"Meighen, Arthur",1921.02.17 - 1948.12.12 ,1921.02.17 , 1948.12.12 ,(Death),1,2,1,9,9,9,9,9
"Beaubien, Charles-Philippe",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1915.12.03 - 1949.01.17 ,1915.12.03 , 1949.01.17 ,(Death),2,1,1,2,1,9,9,9
"Murdock, James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.03.20 - 1949.05.15 ,1930.03.20 , 1949.05.15 ,(Death),99,99,99,99,2,2,1,1
"Copp, Arthur Bliss",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1925.09.25 - 1949.12.05 ,1925.09.25 , 1949.12.05 ,(Death),1,2,9,1,2,2,9,9
"Sinclair, John Ewen",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1930.06.07 - 1949.12.23 ,1930.06.07 , 1949.12.23 ,(Death),99,99,99,99,99,99,99,99
"Aylesworth, Allen Bristol",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1923.01.11 - 1952.02.13 ,1923.01.11 , 1952.02.13 ,(Death),2,1,2,1,1,9,1,1
"Bourque, Thomas-Jean",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.01.20 - 1952.02.16 ,1917.01.20 , 1952.02.16 ,(Death),9,9,9,9,9,9,9,9
"Lacasse, Joseph-Henri-Gustave",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1953.01.18 ,1928.01.10 , 1953.01.18 ,(Death),99,99,2,1,9,9,9,9
