Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S26S1V01,S26S2V01,S26S2V02,S26S2V03,S26S2V04,S26S2V05,S26S2V06,S26S2V07,S26S2V08,S26S2V09,S26S3V01
Date,,,,,,,,12.04.1963,05.06.1964,07.21.1964,07.27.1964,12.14.1964,12.17.1964,12.17.1964,03.04.1965,03.16.1965,03.16.1965,06.02.1965
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Bill C-95: Amendment Act on the income tax as amended.,"Second reading of the Bill S-17: Law on the Territorial Sea and Fishing Zones of Canada
","vote for the application to the Supreme Court of Canada for the opinion on the constitutionality of Bill S-16 An Act to amend the Law on Marriage and Divorce
","Bill S-6: legislation to incorporate the Banq of Western Canada as amended (to send back to the standing committee)
",vote to support the ruling that the notice of one day by Senator Connolly in respect of a motion regarding the appointment of a National Flag of Canada is sufficient under the Rules of the Senate,Motion of the Honourable Senator Connolly that the House recommends that the government take the necessary steps to be designated as a National Flag with a red flag äó_  as amended (p.787),Motion of the Honourable Senator Connolly that the House recommends that the government take the necessary steps to be designated as a National Flag with a red flag äó_ (p.788),Motion of the Honourable Senator Grosart that the report be not now adopted but that it be referred to the Committee on Banking and Commerce for further consideration,"Third reading of Bill C-126: Law on working hours, minimum wages, annual leave and paid holidays in the works, undertakings and businesses under federal jurisdiction as amended ","Third reading of Bill C-126: Law on working hours, minimum wages, annual leave and paid holidays in the works, undertakings and businesses under federal jurisdiction as amended once again ",Third reading of Bill C-98 An Act establishing the retirement of members of the Senate as amended 
"Raymond, Donat",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.12.20 - 1963.06.05 ,1926.12.20 , 1963.06.05 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Higgins, John Gilbert",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1959.01.15 - 1963.07.01 ,1959.01.15 , 1963.07.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Emerson, Clarence Vernon",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1957.10.12 - 1963.09.25 ,1957.10.12 , 1963.09.25 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Drouin, Mark Robert",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.04 - 1963.10.12 ,1957.10.04 , 1963.10.12 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Pratt, Calvert Coates",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1963.11.13 ,1951.01.24 , 1963.11.13 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"MacTavish, Duncan Kenneth",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1963.06.11 - 1963.11.15 ,1963.06.11 , 1963.11.15 ,(Death),99,99,99,99,99,99,99,99,99,99,99
"Campbell, Gordon Peter",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1943.02.19 - 1964.01.16 ,1943.02.19 , 1964.01.16 ,(Death),9,99,99,99,99,99,99,99,99,99,99
"Turgeon, James Gray",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1947.01.27 - 1964.02.14 ,1947.01.27 , 1964.02.14 ,(Death),9,99,99,99,99,99,99,99,99,99,99
